--------------------
BDMEP - INMET
--------------------
Estação           : CRUZEIRO DO SUL - AC (OMM: 82704)
Latitude  (graus) : -7.6
Longitude (graus) : -72.66
Altitude  (metros): 170.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82704;31/01/1961;0000;0;0.923913;6;;;;;8.717391;18;209.5;;989.626087;30.548387;25.028387;21.96129;89.620968;;
82704;28/02/1961;0000;0;0.75;6;;;;;9;22;306.7;;990.359524;29.371429;24.112857;21.171429;90.625;;
82704;31/10/1961;0000;0;1.141304;4;;;;;7.793478;11;105;;989.679348;31.929032;25.179355;21.135484;88.774194;;
82704;30/11/1961;0000;0;1;6;;;;;8.633333;18;348.5;;989.263333;30.5;24.588;21.313333;90.916667;;
82704;31/12/1961;0000;0;1.225806;6;;;;;8.709677;19;251.2;;989.808602;29.858065;24.510968;21.329032;90.66129;;
82704;31/01/1962;0000;0;1;6;;;;;8.666667;21;262.5;;990.454839;29.851613;24.593548;21.567742;90.41129;;
82704;28/02/1962;0000;0;0.797619;4;;;;;8.452381;18;441.2;;989.983333;29.785714;24.714286;21.578571;91.723214;;
82704;31/03/1962;0000;0;1.075269;6;;;;;8.677419;16;248.9;;990.062366;30.854839;24.974839;21.477419;88.564516;;
82704;30/04/1962;0000;0;0.677778;4;;;;;8.477778;17;326.5;;990.823333;29.48;24.228;21.02;91.141667;;
82704;31/05/1962;0000;0;0.946237;4;;;;;7.989247;11;223.1;;992.097849;29.251613;24.310968;21.187097;90.056452;;
82704;30/06/1962;0000;0;0.822222;4;;;;;6.344444;6;31.9;;993.383333;28.973333;23.009333;19.013333;87.908333;;
82704;31/07/1962;0000;0;1.344086;6;;;;;5.989247;4;19.6;;994.882796;28.587097;22.205161;18.045161;85.58871;;
82704;31/08/1962;0000;0;0.967742;4;;;;;6.032258;6;78.3;;992.546237;32.303226;24.56;19.722581;84.733871;;
82704;30/09/1962;0000;0;0.677778;4;;;;;6.7;11;156.4;;991.221111;32.22;25.218667;20.853333;86.041667;;
82704;31/10/1962;0000;0;1;6;;;;;8.021505;16;195.3;;990.882796;30.83871;24.874839;21.245161;89.008065;;
82704;30/11/1962;0000;0;0.913333;6;;;;;7.711111;13;113.7;;989.353333;31.62;25.270667;21.433333;88.491667;;
82704;31/12/1962;0000;0;0.817204;6;;;;;7.849462;11;119.4;;989.102151;32.006452;25.597419;21.819355;87.572581;;
82704;31/01/1970;0000;;;;;;;;;;;;995.276;;;;;;
82704;30/04/1970;0000;;;;;;;;6.256757;18;231.1;;996.898649;31.116;25.0472;18.812;96.85;;
82704;31/05/1970;0000;;;;51.2;;;;4.903226;17;284.1;;996.809677;30.596774;24.290323;17.893548;94.129032;;
82704;30/06/1970;0000;;;;51.6;;;;4.604444;14;122.5;;998.404444;30.963333;23.636667;17.136667;88.591667;;
82704;31/07/1970;0000;;;;67;;;;4.387097;8;44;;999.453763;30.119355;22.959355;16.193548;88.637097;;
82704;31/08/1970;0000;;;;80;;;;3.666667;7;49.5;;997.127957;32.93871;24.405806;17.693548;87.387097;;
82704;30/09/1970;0000;;;;76.2;;;;4.555556;14;95.7;;996.35;32.573333;24.843333;18.876667;88.458333;;
82704;31/10/1970;0000;;;;65.9;;;;5.397849;18;337.6;;994.377419;32.748387;25.385161;19.770968;88.354839;;
82704;30/11/1970;0000;;;;71.6;;;;4.9;12;215;;993.906667;32.083333;25.281333;19.58;88.116667;;
82704;31/12/1970;0000;;;;57.6;;;;6.021505;20;338.7;;994.078495;31.325806;25.149032;20.048387;90.346774;;
82704;31/01/1971;0000;;;;55.6;;;;5.924731;19;201.7;;994.547312;31.048387;24.777419;19.609677;90.629032;;
82704;28/02/1971;0000;;;;58.3;;;;6.130952;21;325.4;;994.803571;29.646429;23.968571;18.946429;92.223214;;
82704;31/03/1971;0000;;;;54.7;;;;6.193548;23;180.2;;994.741935;31.041935;24.589677;19.112903;92.274194;;
82704;30/04/1971;0000;;;;58.6;;;;5.526667;17;179;;995.847778;31.116667;24.202667;18.636667;92.283333;;
82704;31/05/1971;0000;;;;62.8;;;;5.27957;;152;;997.621505;30.109677;23.763871;18.306452;92.733871;;
82704;30/06/1971;0000;;;;54.7;;;;4.644444;;105.5;;997.971111;29.863333;23.316;17.493333;92.075;;
82704;31/07/1971;0000;;;;76.9;;;;3.989247;;89.3;;998.650538;31.454839;;17.209677;90.427419;;
82704;31/08/1971;0000;;;;82.1;;;;3.784946;;77.3;;998.736559;31.93871;24.009032;17.654839;90.403226;;
82704;30/09/1971;0000;;;;71.1;;;;4.6;;167.6;;997.434444;32.05;24.758667;19.266667;90.566667;;
82704;31/10/1971;0000;;;;67.8;;;;5.182796;;107.1;;996.905376;31.570968;24.79871;19.632258;91.532258;;
82704;30/11/1971;0000;;;;65.4;;;;5.411111;17;284.1;;995.463333;31.803333;25.01;19.65;91.483333;;
82704;31/12/1971;0000;;;6.7;;;;;5.089744;15;253.8;;993.965385;30.626923;24.663077;18.961538;86.913462;;
82704;31/01/1972;0000;0;1.221505;6.7;45.9;;;;6.666667;27;218.4;;994.8;;;18.787097;88.427419;;
82704;29/02/1972;0000;0;0.986207;4.4;49.7;;;;5.724138;20;220.7;;987.983908;30.695455;24.478182;18.455172;86.413793;;
82704;31/03/1972;0000;0;0.677419;4;43.9;;;;5.935484;24;442.9;;985.844086;30.506452;24.640645;18.335484;88.556452;;
82704;30/04/1972;0000;0;0.9;5;48.7;;;;5.688889;17;206.9;;986.795556;30.44;24.138667;16.973333;87.825;;
82704;31/05/1972;0000;0;0.655914;3;50.2;;;;4.924731;17;269.9;;987.406452;30.735484;24.023226;15.841935;88.048387;;
82704;30/06/1972;0000;0;0.611111;6;50;;;;4.477778;;180.3;;988.637778;31.156667;23.850667;14.59;86.925;;
82704;31/07/1972;0000;0;0.591398;3;56.1;;;;4.311828;;158.9;;988.952688;30.309677;22.758065;12.56129;87.153226;;
82704;31/08/1972;0000;0;0.709677;4;67.6;;;;4.075269;;137.6;;987.624731;30.967742;23.317419;12.619355;85.637097;;
82704;30/09/1972;0000;0;0.655556;4;68.5;;;;4.644444;;114.2;;987.724444;32.186667;23.712667;12.436667;84.633333;;
82704;31/10/1972;0000;0;0.731183;5;75.2;;;;4.247312;;173.3;;986.603226;32.212903;24.065161;12.925806;84.895161;;
82704;30/11/1972;0000;0;0.866667;3;53.4;;;;4.955556;18;313.2;;985.503333;31.866667;23.97;13.206667;86.75;;
82704;31/12/1972;0000;0;0.752688;5;49.4;;;;4.569892;18;149.7;;986.110753;31.935484;24.327097;13.093548;85.798387;;
82704;31/01/1973;0000;0;0.602151;3;46.2;;;;5.602151;25;288.4;;989.054839;31.306452;25.688387;22.551613;88.193548;;
82704;28/02/1973;0000;0;0.52381;3;43.7;;;;5.464286;18;293.2;;990.854762;31.514286;25.883571;22.064286;86.571429;;
82704;31/03/1973;0000;0;0.430108;2;51.3;;;;5.612903;18;338.8;;990.946237;31.512903;25.803226;21.674194;87.709677;;
82704;30/04/1973;0000;0;0.233333;2;39.5;;;;6.1;15;284.4;;987.243333;31.403333;25.378;20.57;90.541667;;
82704;31/05/1973;0000;0;0.602151;2;49.5;;;;5.860215;;145.8;;989.272043;29.751613;24.496129;19.754839;90.056452;;
82704;30/06/1973;0000;0;0.7;5;55;;;;5.066667;;116.7;;987.958889;30.213333;24.604;19.47;92.233333;;
82704;31/07/1973;0000;0;0.583333;2;52;;;;5.27381;;94.1;;988.2;29.576923;23.818462;18.482759;91.75;;
82704;31/08/1973;0000;0;0.5;4;48.5;;;;4.576087;;64.7;;987.415217;30.8;24.8;19.096774;89.775;;
82704;30/09/1973;0000;0;0.622222;2;56.1;;;;4.944444;;200;;987.706977;31.182759;25.351724;19.996667;91.689655;;
82704;31/10/1973;0000;0;0.659091;2;38;;;;5.25;;201;;986.431818;30.317241;25.488276;20.49;91.586207;;
82704;30/11/1973;0000;0;0.292135;4;49.1;;;;5.966292;19;221.8;;985.911236;31.31;25.302667;20.346667;88.7;;
82704;31/12/1973;0000;0;0.602151;4;59.6;;;;5.72043;15;173.7;;986.117204;30.535484;25.040645;20.574194;86.725806;;
82704;31/01/1974;0000;0;0.333333;2;53.4;;;;6.182796;19;348.9;;985.673118;30.306452;25.230968;22.03871;88.41129;;
