--------------------
BDMEP - INMET
--------------------
Estação           : AGUA BRANCA - AL (OMM: 82989)
Latitude  (graus) : -9.28
Longitude (graus) : -37.9
Altitude  (metros): 605.34
Estação Operante
Inicio de operação: 05/05/1928
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82989;31/01/1977;0000;14;5.228261;10;;;;152.4;6.51087;11;135.2;;;29.077419;23.707742;19.651613;72.983871;;
82989;28/02/1977;0000;14;6.107143;9;;;;188.6;6.035714;3;16.3;;;29.132143;23.483571;19.425;72.6875;;
82989;31/03/1977;0000;14;6.172043;10;;;;245.6;4.612903;4;11.7;;;31.277419;24.636774;20.125806;68.290323;;
82989;30/04/1977;0000;14;4.655556;10;;;;168.8;6.111111;12;51.5;;;29.353333;23.745333;20.156667;77.141667;;
82989;31/05/1977;0000;14;4.473118;10;;;;115.5;7.935484;25;292.1;;;25.570968;21.590323;18.977419;89.395161;;
82989;30/06/1977;0000;14;4.5;9;;;;112.8;7.866667;24;184.7;;;23.966667;20.591333;18.33;92.6;;
82989;31/07/1977;0000;14;4.989247;9;;;;116.1;8.075269;28;268.6;;;22.767742;19.529677;17.283871;91.693548;;
82989;31/08/1977;0000;14;4.967742;8;61.3;;;182.9;6.204301;11;116.9;;;24.3;19.897419;16.974194;86.854839;;
82989;30/09/1977;0000;14;5.622222;10;92.7;;;198.3;5.966667;13;29.6;;946.472222;26.266667;21.008;17.496667;81.15;;
82989;31/10/1977;0000;14;6.354839;9;189.1;;;240.3;4.913978;4;16.5;;945.017204;29.280645;22.700645;18.164516;72.685484;;
82989;30/11/1977;0000;14;6.144444;10;244.3;;;286.4;3.033333;2;4.1;;943.108889;31.92;24.575333;18.973333;62.533333;;
82989;31/12/1977;0000;14;5;12;162.1;;;193.7;5.150538;12;158.4;;943.126882;29.629032;23.882581;19.674194;72.637097;;
82989;31/01/1978;0000;14;5.16129;12;160.7;;;279.8;3.752688;2;30.9;;944.264516;29.396774;23.741935;19.329032;69.604839;;
82989;28/02/1978;0000;14;4.869048;10;106;;;155.4;6.845238;9;222.1;;943.678571;28.089286;23.084286;19.732143;79.866071;;
82989;31/03/1978;0000;14;4.075269;7;62.9;;;168.6;6.784946;17;275.1;;944.32043;26.590323;22.376774;19.529032;85.209677;;
82989;30/04/1978;0000;14;4.222222;8;89;;;187.3;6.377778;11;91.4;;943.505556;27.893333;22.916;19.746667;82.258333;;
82989;31/05/1978;0000;14;3.677419;7;46;;;157;7.096774;16;226.7;;944.297849;25.783871;21.887742;19.332258;88.870968;;
82989;30/06/1978;0000;14;4.666667;8;48.1;;;149.6;6.577778;19;147.7;;947.196667;24.053333;20.240667;17.853333;88.9;;
82989;31/07/1978;0000;14;4.974194;9;56.8;;;161;6.677419;22;123.5;;946.117204;24.664516;20.396774;17.896774;89.677419;;
82989;31/08/1978;0000;14;5.225806;10;80.7;;;212.5;5.763441;16;84.7;;947.832258;24.851613;20.112903;17.629032;84.612903;;
82989;30/09/1978;0000;14;6.055556;9;101.9;;;167.2;5.677778;13;88.3;;946.717778;26.403333;20.717333;17.41;80.691667;;
82989;31/10/1978;0000;14;6;9;223.6;;;195.6;4.44086;0;0;;944.564516;29.56129;22.957419;18.535484;70.564516;;
82989;30/11/1978;0000;14;6.177778;10;241.6;;;254.6;3.633333;3;6.4;;943.604444;31.096667;23.973333;19.216667;62.816667;;
82989;31/12/1978;0000;14;5.129032;9;176.4;;;212.8;4.946237;;131.8;;943.422581;29.606452;23.667097;19.219355;71.08871;;
82989;31/01/1979;0000;;;;176.3;;;232.4;;;75;;;30.57931;;19.77931;;;
82989;28/02/1979;0000;14;4.9875;10;141.3;;;167.5;6.4375;;16.9;;936.29375;29.944444;24.076296;20.296296;70.972222;;
82989;31/03/1979;0000;;;;161.2;;;190.7;;;38.9;;;30.92963;;19.803704;;;
82989;30/04/1979;0000;;;;;;;156.8;;;39.8;;;28.795833;;19.683333;;;
82989;31/05/1979;0000;14;4.677419;8;59.4;;;137.2;7.129032;15;88.1;;938.804839;25.653571;21.677143;18.914286;86.511905;;
82989;30/06/1979;0000;;;8;;;;;;16;73.5;;941.1;24.017391;;17.734783;;;
82989;31/07/1979;0000;;;;;;;;;;39.1;;;23.658824;;17.217647;;;
82989;31/08/1979;0000;;;9;;;;173.5;;;20.7;;946.415385;25.761538;;17.196154;;;
82989;30/09/1979;0000;;;;;;;178.3;;;18.9;;;27.94;;17.836;;;
82989;31/10/1979;0000;;;;196.4;;;237.5;;;0.9;;;30.4;;18.582759;;;
82989;30/11/1979;0000;;;;199.7;;;222.1;;;5.6;;;31.417857;;19.432143;;;
