--------------------
BDMEP - INMET
--------------------
Estação           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Estação Operante
Inicio de operação: 01/01/1909
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82994;31/01/1961;0000;9;4.054348;8;106.3;;;252.1;6.293478;11;75.2;;;29.245161;26.316774;23.274194;77.822581;;
82994;28/02/1961;0000;9;2.964286;6;96.1;;;243;5.821429;15;50.6;;;29.775;26.537143;23.121429;75.526786;;
82994;31/03/1961;0000;9;3.032258;8;88.6;;;209;7.27957;25;243;;;29.641935;26.382581;23.309677;81.064516;;
82994;30/04/1961;0000;14;3.522222;9;82.2;;;203.9;7.188889;22;162.4;;;28.83;25.970667;22.93;80.441667;;
82994;31/05/1961;0000;14;3.430108;9;81.3;;;213;7.258065;27;261.7;;;27.990323;25.052258;22.270968;82.927419;;
82994;30/06/1961;0000;14;4.133333;10;77;;;165.6;7.344444;29;270.5;;;26.883333;24.268;21.963333;84.233333;;
82994;31/07/1961;0000;14;4.387097;10;91.3;;;197.1;6.924731;28;192.1;;1011.37957;26.303226;23.482581;20.845161;79.91129;;
82994;31/08/1961;0000;14;4.505376;9;122.2;;;215.2;6.83871;23;56.8;;;26.874194;23.951613;21.416129;75.677419;;
82994;30/09/1961;0000;14;4.3;8;124.8;;;218.9;6.022222;18;21.9;;;27.813333;24.8;21.853333;73.433333;;
82994;31/10/1961;0000;14;4.44086;8;130.8;;;214.8;6.655914;17;138.2;;;27.851613;25.026452;22.63871;77.120968;;
82994;30/11/1961;0000;9;4.522222;8;119.5;;;279.3;5.577778;14;52.5;;;28.7;25.415333;21.896667;73.233333;;
82994;31/12/1961;0000;9;4.258065;9;128.2;;;293.8;5.612903;11;18.7;;;29.596774;26.238065;23.022581;73.169355;;
82994;31/01/1962;0000;9;4.784946;12;124.6;;;331.7;4.182796;1;0.5;;;30.916129;26.809677;22.690323;71.612903;;
82994;28/02/1962;0000;9;3.309524;8;108.5;;;;5.345238;13;52.8;;;30.628571;26.81;23.353571;74.133929;;
82994;31/03/1962;0000;9;3.537634;8;118.8;;;224.2;6.247312;24;98.9;;1006.62043;30.225806;26.774839;23.687097;75.524194;;
82994;30/04/1962;0000;9;2.933333;10;83.5;;;208.6;6.777778;23;190.9;;;28.926667;25.798667;22.88;80.6;;
82994;31/05/1962;0000;14;3.526882;10;81.9;;;187.9;7.311828;29;273.4;;;28.051613;25.17871;22.603226;82.814516;;
82994;30/06/1962;0000;14;4.566667;12;74;;;135.9;7.988889;29;365.6;;;26.446667;24.07;21.736667;84.858333;;
82994;31/07/1962;0000;18;4.215054;9;86.7;;;198.1;5.989247;25;152.3;;;26.583871;23.709677;20.967742;80.467742;;
82994;31/08/1962;0000;14;4.462366;8;115.9;;;231.5;6.677419;23;99.9;;;27.267742;24.194194;21.23871;74.959677;;
82994;30/09/1962;0000;9;4.111111;10;107.1;;;204.5;5.911111;19;38.9;;;27.793333;24.745333;21.756667;74.725;;
82994;31/10/1962;0000;9;4.096774;9;113.8;;;279.1;5.55914;14;28.2;;;29.887097;26.687097;24.46129;72.370968;;
82994;30/11/1962;0000;9;4.522222;10;167.1;;;285.1;5.511111;16;22.9;;;29.856667;26.136667;22.236667;71.691667;;
82994;31/12/1962;0000;9;4.258065;8;159.7;;;273.3;5.83871;13;29.1;;1006.94086;30.077419;26.547097;23.216129;74.467742;;
82994;31/01/1963;0000;9;4.075269;9;148.5;;;305.5;5.311828;15;27;;;30.483871;26.735484;22.983871;71.693548;;
82994;28/02/1963;0000;9;3.916667;9;140;;;239.9;6.154762;17;55.4;;1006.45;30.860714;27.186429;23.639286;72.508929;;
