--------------------
BDMEP - INMET
--------------------
Estação           : BENJAMIN CONSTANT - AM (OMM: 82410)
Latitude  (graus) : -4.38
Longitude (graus) : -70.03
Altitude  (metros): 65.00
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82410;31/01/1961;0000;0;1.139785;3;;;;;4.376344;21;393.5;;;30.703226;;20.254839;;;
82410;28/02/1961;0000;0;1.378571;3;;;;;4.261905;14;218.5;;;30.903571;;20.278571;;;
82410;31/03/1961;0000;0;1.215054;3;;;;;4.333333;18;356.6;;;30.719355;;20.303226;;;
82410;30/04/1961;0000;0;1.333333;5;;;;;4.4;16;172.4;;;30.416667;;20.12;;;
82410;31/05/1961;0000;0;1.447312;5;;;;;4.365591;19;281.8;;;30.103226;;20.16129;;;
82410;30/06/1961;0000;0;1.614444;5;;;;;3.922222;10;80.9;;;28.816667;;19.276667;;;
82410;31/07/1961;0000;0;1.36129;5;;;;;3.709677;7;82.8;;;29.974194;;20.109677;;;
82410;31/08/1961;0000;0;1.35914;5;;;;;3.83871;11;137.5;;;31.222581;;20.567742;;;
82410;30/09/1961;0000;0;1.5;5;;;;;3.522222;11;228.5;;;31.27;;20.396667;;;
82410;31/10/1961;0000;5;1.731183;5;;;;;3.967742;17;240.3;;;30.016129;;20.258065;;;
82410;30/11/1961;0000;5;1.711111;5;;;;;4.344444;13;138.4;;;30.36;;20.283333;;;
