--------------------
BDMEP - INMET
--------------------
Estação           : COARI - AM (OMM: 82425)
Latitude  (graus) : -4.08
Longitude (graus) : -63.13
Altitude  (metros): 46.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82425;30/11/1961;0000;18;0.85618;1.2;;;;;5.494382;8;190.1;;;29.975;;;89.733333;;
82425;31/12/1961;0000;18;0.741935;1;;;;;6.089888;12;231.9;;;30.886207;;;90.072581;;
82425;28/02/1962;0000;18;0.939759;1;;;;;5.807229;8;234.8;;;;;;89.839286;;
82425;31/03/1962;0000;18;0.9;1;;;;;5.755556;10;205.4;;;;;;89.583333;;
82425;30/04/1962;0000;18;0.888889;1;;;;;5.8;13;284.6;;;;;;89.775;;
82425;31/05/1962;0000;18;0.784946;1;;;;;5.817204;12;304.7;;;;;;91.129032;;
82425;30/06/1962;0000;18;0.646667;1.2;;;;;4.844444;1;10;;;;;;89.583333;;
82425;31/07/1962;0000;18;0.817204;1;;;;;5.505376;6;101;;;;;;90.16129;;
82425;31/08/1962;0000;18;0.827957;1;;;;;5.129032;7;112.1;;1005.23871;;;;88.758065;;
82425;30/09/1962;0000;18;0.566667;1;;;;;4.9;3;45;;;;;;85.416667;;
82425;31/10/1962;0000;18;0.763441;1;;;;;5.946237;7;105.1;;;;;;87.185484;;
82425;30/11/1962;0000;18;0.833333;1;;;;;5.786517;6;130.4;;;;;;89.116667;;
82425;31/12/1962;0000;18;0.795699;1;;;;;5.88172;13;276.8;;;;;;88.274194;;
82425;31/01/1963;0000;18;0.903226;6;;;;;6.354839;14;321.4;;;;;;91.290323;;
82425;28/02/1963;0000;18;0.833333;1;;;;;6.321429;14;182.7;;;;;;91.714286;;
82425;31/03/1963;0000;18;0.763441;1;;;;;5.892473;13;264.9;;;;;;90.935484;;
82425;30/04/1963;0000;18;0.833333;1;;;;;6;13;277;;1005.42;;;;90.833333;;
82425;31/05/1963;0000;18;0.806452;1;;;;;5.623656;12;254.2;;1006.33871;;;;90.846774;;
82425;30/06/1963;0000;18;0.811111;1;;;;;5.6;9;121;;;;;;91.066667;;
82425;31/07/1963;0000;18;0.569892;1;;;;;5.043011;0;0;;;;;;87.5;;
82425;31/08/1963;0000;18;0.731183;1;;;;;5.16129;5;96.4;;;;;;85.943548;;
82425;30/09/1963;0000;18;0.755556;1;;;;;5.449438;8;105.9;;;;;;86.075;;
82425;30/06/1964;0000;18;0.820225;1;;;;;5.853933;8;113.7;;;;;;89.408333;;
82425;31/07/1964;0000;18;0.753763;1;;;;;5.258065;9;128.5;;1005.72043;;;;88.516129;;
82425;31/08/1964;0000;18;0.731183;1;;;;;5.064516;7;87.7;;;;;;86.887097;;
82425;30/09/1964;0000;18;0.722222;1;;;;;5.355556;8;190;;;;;;88.366667;;
82425;31/10/1964;0000;18;0.709677;1;;;;;5.537634;9;186;;;;;;90.685484;;
82425;30/11/1964;0000;18;0.733333;1;;;;;6.055556;5;99.8;;;;;;92.475;;
82425;31/12/1964;0000;18;0.83871;1;;;;;6.010753;9;165.3;;1005.64086;;;;92.685484;;
82425;31/01/1965;0000;18;0.741935;1;;;;;5.655914;9;134.3;;;;;;91.790323;;
82425;28/02/1965;0000;18;0.833333;1;;;;;5.892857;5;57;;;;;;92.875;;
82425;31/03/1965;0000;18;0.870968;1;;;;;6.010753;15;297.8;;1006.7;;;;94.5;;
