--------------------
BDMEP - INMET
--------------------
Estação           : CODAJAS - AM (OMM: 82326)
Latitude  (graus) : -3.83
Longitude (graus) : -62.08
Altitude  (metros): 48.00
Estação Operante
Inicio de operação: 19/08/1974
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82326;30/09/1976;0000;0;1.146067;5;57.6;;;216.7;3.52809;10;64.2;;;33.916667;26.944667;21.146667;82.208333;;
82326;31/10/1976;0000;0;1.010753;9;45.2;;;191;2.731183;16;395.3;;;32.858065;26.489677;20.380645;84.645161;;
82326;30/11/1976;0000;0;0.844444;5;39.6;;;162.8;3.1;12;238.2;;;32.25;26.142667;20.43;86.041667;;
82326;31/12/1976;0000;0;0.903226;4;40.7;;;177.3;3.83871;17;181.8;;;32.209677;26.037419;20.76129;86.241935;;
82326;31/01/1977;0000;0;0.989247;9;35.7;;;136.2;3.16129;22;287;;;31.83871;26.112258;21.283871;87.354839;;
82326;28/02/1977;0000;0;1.071429;10;18;;;101.7;3.333333;23;249.5;;;30.95;25.465714;20.760714;89.258929;;
82326;31/03/1977;0000;0;0.849462;5;28.2;;;96.1;2.204301;27;336.7;;;30.974194;25.172903;19.870968;90.072581;;
82326;30/04/1977;0000;0;0.633333;3;25.3;;;85.4;2.988889;26;449.4;;;30.443333;25.181333;19.576667;90.608333;;
82326;31/05/1977;0000;0;0.827957;5;18.7;;;105.5;2.763441;22;450.9;;;30.112903;24.975484;20.067742;89.879032;;
82326;30/06/1977;0000;0;1.077778;8;27.7;;;171.3;2.9;18;190.6;;;30.59;25.083333;19.856667;89.291667;;
82326;31/07/1977;0000;0;0.978495;6;45.4;;;215.1;2.698925;11;100.5;;;31.964516;24.987097;18.132258;88.104839;;
82326;31/08/1977;0000;0;1.010753;5;57.5;;;246.9;2.677419;5;69.9;;;33.622581;26.014194;18.570968;85.451613;;
82326;30/09/1977;0000;0;1.3;8;46.2;;;120.4;3.511111;13;166.9;;;32.713333;25.978;20.09;87.216667;;
82326;31/10/1977;0000;0;1.043011;9;40.6;;;131.4;3.16129;20;305.4;;;31.577419;26.215484;22.432258;88.096774;;
82326;30/11/1977;0000;0;0.833333;7;42.5;;;140.5;3.588889;12;205.6;;;32.013333;26.461333;22.87;90.775;;
82326;31/12/1977;0000;0;0.892473;4;34.3;;;82.7;3.150538;29;485.9;;;30.787097;25.905161;22.483871;92.943548;;
82326;31/01/1978;0000;0;0.956989;5;35.2;;;81.9;2.344086;23;420.1;;;29.893548;25.508387;22.532258;91.322581;;
82326;28/02/1978;0000;0;1.119048;8;38.1;;;65.4;2.428571;22;339.2;;;30.45;26.102143;22.946429;91.383929;;
82326;31/03/1978;0000;0;0.892473;6;32.2;;;77;3.14086;20;389.6;;;30.345161;25.858065;22.377419;91.641667;;
82326;30/04/1978;0000;0;0.9;7;36.9;;;111.2;3.044444;20;174.3;;;30.55;26.163333;22.886667;90.5;;
