--------------------
BDMEP - INMET
--------------------
Estação           : EIRUNEPE - AM (OMM: 82610)
Latitude  (graus) : -6.66
Longitude (graus) : -69.86
Altitude  (metros): 104.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82610;31/08/1974;0000;;;;;;;;;;46.7;;;;;;;;
82610;30/09/1974;0000;0;0.688889;2;35.8;;;155.6;6.066667;;128.5;;998.558889;31.5;24.979333;19.716667;87.266667;;
82610;31/01/1975;0000;0;0.445652;3;42.1;;;99.5;6.586957;21;253;;996.992391;30.451613;25.036774;20.580645;89.572581;;
82610;28/02/1975;0000;0;0.666667;3;37.3;;;90.1;7.047619;18;323.6;;996.941667;30.471429;25.2;21.014286;89.598214;;
82610;31/03/1975;0000;0;0.580645;2;40.1;;;86.6;6.860215;22;431.9;;997.008602;30.896774;25.025806;20.325806;90.91129;;
82610;30/04/1975;0000;0;0.511111;3;30.1;;;140.6;6.955556;19;249.8;;;31.173333;25.5;20.243333;89.008333;;
82610;31/05/1975;0000;0;0.688172;3;40.2;;;131.3;6.172043;17;230.8;;997.48913;30.048387;24.555484;19.516129;90.685484;;
82610;30/06/1975;0000;0;0.544444;3;42.1;;;159.4;5.4;;128;;998.398889;30.466667;24.340667;19.073333;89.15;;
82610;31/07/1975;0000;0;0.44086;4;;;;179.4;4.72043;;167.5;;;28.851613;22.515484;17.403226;89.491935;;
82610;31/08/1975;0000;0;0.537634;2;61.7;;;180.4;5.11828;;85.2;;;;;18.4;89.637097;;
82610;30/09/1975;0000;0;0.533333;3;37.5;;;141.9;4.722222;;128.5;;;31.673333;24.597333;18.866667;89.308333;;
82610;31/10/1975;0000;0;0.586957;3;57.4;;;171;5.774194;;80.9;;997.652174;33.164286;25.352857;20.26129;88.080645;;
82610;30/11/1975;0000;0;0.52809;3;49.5;;;108.7;6.644444;21;159.9;;;32.45;25.326667;20.25;89.416667;;
82610;31/12/1975;0000;0;0.623656;3;39.1;;;107.1;7.526882;15;350.7;;;31.870968;24.898065;19.603226;88.693548;;
82610;31/01/1976;0000;0;0.451613;3;32.5;;;98.1;6.387097;25;336.3;;996.634783;29.870968;24.185161;18.732258;90.879032;;
82610;29/02/1976;0000;0;0.402299;3;39.9;;;99.4;6.344828;23;329.5;;997.310345;30.982759;24.825517;19.310345;89.094828;;
82610;31/03/1976;0000;0;0.806452;4;40.5;;;106.1;5.774194;17;185.2;;997.001075;29.925806;24.565806;18.951613;88.669355;;
82610;30/04/1976;0000;0;0.5;3;42.6;;;136.5;5.288889;18;261.6;;997.601111;30.216667;24.74;19.733333;89.358333;;
82610;31/05/1976;0000;0;0.548387;3;35.1;;;139.3;5.225806;16;261.2;;997.668817;29.5;24.267097;19.174194;89.387097;;
82610;30/06/1976;0000;0;0.644444;3;48.5;;;141.4;5.988889;;45.6;;998.391111;28.8;23.046;17.816667;89.658333;;
82610;31/07/1976;0000;0;0.537634;4;80.7;;;259.7;4.451613;;23;;998.930108;30.725806;23.283226;16.641935;88.137097;;
82610;31/08/1976;0000;0;0.397849;6;68.2;;;199.8;5.064516;;51.8;;997.492473;32.880645;24.285806;16.564516;87.427419;;
82610;30/09/1976;0000;0;0.477778;3;63.9;;;161.1;4.733333;;112;;997.558889;32.2;24.323333;16.366667;88.366667;;
82610;31/10/1976;0000;0;0.365591;3;59.8;;;156.7;5.666667;;168;;996.45914;31.629032;24.898065;17.909677;88.532258;;
82610;30/11/1976;0000;0;0.4;3;43.3;;;124.9;5.655556;19;243.3;;996.683333;31.133333;24.536;18.3;88.441667;;
82610;31/12/1976;0000;0;0.505376;3;46.6;;;133.2;6.88172;21;238.6;;995.915054;30.403226;24.734839;18.770968;88.330645;;
82610;28/02/1977;0000;0;0.180723;3;31;;;61.4;5.421687;22;337.1;;997.877108;30.089286;24.5;19.321429;91.294643;;
82610;31/03/1977;0000;0;0.397849;3;39;;;95.7;6.408602;24;298.8;;997.572043;30.209677;24.542581;19.245161;89.846774;;
82610;31/05/1977;0000;0;0.369565;3;40.5;;;131.4;5.978261;13;199;;997.951087;;;;89.508065;;
82610;30/06/1977;0000;0;0.355556;3;33.6;;;119.2;6.844444;13;148.6;;998.784444;;;;88.7;;
82610;31/07/1977;0000;0;0.451613;3;64.7;;;143.9;5.688172;6;76.2;;997.726882;;;;88.491935;;
82610;31/08/1977;0000;0;0.870968;5;53.9;;;179.3;5.451613;6;66;;998.043011;;;;87.991935;;
82610;30/09/1977;0000;0;0.588889;5;54.7;;;136.4;6.377778;12;182.7;;997.502222;;;;88.5;;
82610;31/10/1977;0000;0;0.419355;3;52.7;;;107.2;6.430108;19;165.9;;996.807792;;;;89.798387;;
82610;30/11/1977;0000;0;0.395556;2.3;54.5;;;108.8;5.7;16;288.3;;991.163333;30.806667;25.675333;22.113333;88.066667;;
82610;31/12/1977;0000;0;0.239785;1.6;40.7;;;104.4;6.763441;21;261.2;;991.291398;30.935484;25.696129;21.854839;86.653226;;
82610;31/01/1978;0000;0;0.346237;10.5;45.9;;;96.8;5.752688;20;236.9;;991.522581;31.367742;25.80129;21.370968;86.483871;;
82610;28/02/1978;0000;0;0.282143;3.3;53.5;;;93.8;6.25;14;97;;990.928571;32.021429;26.343571;21.992857;84.982143;;
82610;31/03/1978;0000;0;0.145161;2.6;53.5;;;88;6.784946;22;247.2;;990.86129;30.883871;25.69871;21.380645;86.943548;;
82610;30/04/1978;0000;0;0.164444;3;43.5;;;83.1;6.255556;23;432.7;;990.627778;30.24;25.208;21.233333;89.741667;;
82610;31/05/1978;0000;0;0.109677;5;49.5;;;91.4;6.172043;13;210.5;;991.205376;30.516129;25.172903;20.822581;87;;
82610;30/06/1978;0000;0;0.135556;3.3;55.5;;;162.2;4.211111;10;66.2;;992.681111;30.12;24.287333;18.866667;85.45;;
82610;31/07/1978;0000;0;0.089247;1.3;47.3;;;149.4;5.354839;14;227.7;;991.602151;30.345161;24.698065;19.687097;87.137097;;
82610;31/08/1978;0000;0;0.139785;2.5;83.3;;;174;4.827957;6;34.1;;993.358065;30.93871;24.199355;17.845161;81.193548;;
82610;30/09/1978;0000;0;0.092222;3;81.5;;;137.1;5.611111;17;220;;991.088889;31.323333;24.949333;19.886667;86.333333;;
82610;31/10/1978;0000;0;0.095699;2;44.7;;;96.4;5.860215;17;213.6;;989.870968;31.870968;25.584516;20.8;84.83871;;
82610;30/11/1978;0000;;0.084444;1;81.3;;;98.4;5.588889;19;207.3;;989.608889;31.1;25.71;21.286667;;;
82610;31/12/1978;0000;0;0.209783;13.8;54.6;;;75.9;7;23;390.9;;989.65914;30.454839;25.407097;21.567742;90.112903;;
82610;31/01/1979;0000;;0.141935;0.8;;;;;6.55914;;108.6;;988.295699;;;;;;
82610;31/03/1979;0000;;0;0;;;;;;;;;;;;;;;
82610;30/04/1979;0000;;0.129213;2.5;;;;;6.292135;;143.8;;989.935955;;;;;;
82610;31/05/1979;0000;;0;0;48.4;;;91.7;6.290323;21;237.9;;990.407527;30.748387;25.435484;21.196774;;;
82610;30/06/1979;0000;0;0.145556;1.6;;;;;4.544444;;0.3;;988.18;30.463636;24.082727;17.827273;88.026316;;
82610;31/07/1979;0000;;0.090588;0.8;;;;;4.341176;;3.2;;991.82;;;;;;
82610;31/08/1979;0000;;0.072043;2.1;;;;;5.301075;;63.5;;989.867742;;;;;;
82610;30/09/1979;0000;;0.147561;1.6;;;;;4.402439;;1.5;;989.96988;;;;;;
82610;31/10/1979;0000;0;0.073118;2;;;;94.8;6.333333;;175.5;;989.808602;;;19.7625;82.6;;
82610;30/11/1979;0000;0;0.060494;0.8;;;;87.6;6.17284;;222.8;;988.64321;;;;82.485294;;
82610;31/12/1979;0000;0;0.078495;1.6;;;;;6.580645;;74.9;;989.8;;;;83.333333;;
82610;31/01/1980;0000;;0.072043;1.3;;;;;6.032258;;97.2;;989.776344;31.133333;25.304;18.453333;;;
82610;29/02/1980;0000;;0;0;;;;;5.83908;;62.2;;988.802299;;;;;;
82610;31/03/1980;0000;;0.298925;5;;;;;6.27957;;122.9;;989.668817;;;;;;
82610;30/04/1980;0000;;0.59;8;;;;;6.511111;;69.1;;989.632222;;;;;;
82610;31/05/1982;0000;0;0.005435;0.5;;;;;4.043478;;177.7;;987.702174;;;;64.266667;;
82610;30/06/1982;0000;0;0;0;;;;;3.711111;;61.6;;989.861111;31.338889;26.061111;21.188889;;;
82610;31/07/1982;0000;0;0;0;;;;;3.666667;;64.6;;989.484946;31.838095;26.539048;21.714286;60.630952;;
82610;31/08/1982;0000;0;0;0;;;;;4.225806;;101.6;;989.53871;31.495238;25.975238;20.761905;60.035714;;
82610;31/03/1983;0000;;0.445652;5;65;;;68.2;4.478261;16;392.9;;986.388043;32.677419;27.232258;22.532258;;;
82610;30/04/1983;0000;;0;0;62.3;;;89.6;5.9;;238.6;;986.488889;33.162069;26.868966;22.013333;;;
82610;30/09/1983;0000;;0.715909;5;92.7;;;129.7;4.215909;;134.9;;988.113636;32.953333;24.871034;18.331034;;;
82610;31/10/1983;0000;;1.075269;8;67;;;84.2;4.268817;;84.3;;986.92043;32.812903;25.60129;19.425806;;;
82610;30/11/1983;0000;;1.677778;8;;;;;4.155556;;125;;988.285556;;;;;;
82610;31/01/1984;0000;;0.467391;6;55.7;;;102.3;4;18;285.8;;987.86413;31.832258;24.859355;18.96129;;;
82610;29/02/1984;0000;;0;0;46;;;61.7;3.298851;19;294.8;;987.731034;31.503448;24.957241;19.37931;;;
82610;30/06/1984;0000;;0.28375;5.5;;;;110;3.7;;53.2;;988.917073;31.121053;24.518947;17.689474;;;
82610;30/11/1984;0000;;;;;;;;;;;;988.004494;;;;;;
82610;31/01/1985;0000;;0.467391;4;;;;2;3.347826;;162.6;;987.197826;31.467742;25.445806;20.374194;;;
82610;28/02/1985;0000;;0.428571;5;;;;58.2;3.535714;;158;;987.019048;30.635714;24.96;19.75;;;
82610;31/03/1985;0000;;0.505376;6;;;;73.4;2.741935;21;278.4;;986.107527;31.025806;25.194839;19.877419;;;
82610;30/04/1985;0000;0;0.25;5;;;;;4.107143;;183.6;;986.675;31.520833;25.616667;20.079167;88.034091;;
82610;31/05/1985;0000;0;0.354839;5;;;;;4.075269;;185.5;;987.166667;32.07;26.342;21.73;91.941176;;
82610;30/06/1985;0000;0;0.227273;5;;;;;4.45977;;57.1;;989.064368;30.322222;24.864444;19.65;89.791667;;
82610;31/07/1985;0000;0;0.119048;5;;;;;5.107143;;83;;988.458333;30.321739;24.733913;19.486957;88.565217;;
82610;31/10/1985;0000;;0.032609;3;;;;;3.304348;;0;;987.126087;;;;;;
82610;31/01/1986;0000;;;;;;;;;;90.5;;;;;;;;
82610;31/03/1986;0000;;;;;;;;;;52.8;;;;;;;;
82610;30/04/1986;0000;;;;;;;;;;153.4;;;;;;;;
82610;31/05/1986;0000;;0;0;74.4;;;125.2;3.445652;;77.2;;986.929348;32.503226;26.456129;20.893548;;;
82610;30/06/1986;0000;;0;0;81.4;;;150.9;3.477778;;40.4;;987.48;31.273333;25.16;18.193333;;;
82610;31/07/1986;0000;;0;0;91.4;;;170.3;3.370968;;85.8;;987.810753;31.451613;24.587333;17.336667;;;
82610;31/08/1986;0000;;0;0;90.3;;;122.7;3.430108;;115.8;;987.5;30.76129;24.442581;16.787097;;;
82610;30/09/1986;0000;;;;;;;;;;121;;;;;;;;
82610;31/10/1986;0000;;;;;;;;;;50.6;;;;;;;;
82610;30/11/1986;0000;;;;;;;;;;120.8;;;;;;;;
82610;31/12/1986;0000;;;;;;;;;;114;;;;;;;;
82610;31/01/1987;0000;;0;0;;;;;4.222222;17;140.8;;;31.303704;25.594783;19.362963;;;
82610;28/02/1987;0000;;0;0;;;;;3.510204;17;248;;;30.37037;24.910476;18.780769;;;
82610;31/03/1987;0000;;0;0;;;;52.1;4.213115;;79.8;;;;;;;;
82610;30/04/1987;0000;;0;0;;;;85.6;3.711864;;289.2;;;;;;;;
82610;31/05/1987;0000;;0;0;;;;;3.823529;;34.4;;;;;;;;
82610;30/06/1987;0000;;0;0;;;;;3.431373;;64.4;;;;;;;;
82610;31/07/1987;0000;;0;0;;;;;4.446429;;65.4;;;;;;;;
82610;31/08/1987;0000;;0;0;;;;;4.078431;2;78.2;;;;;;;;
82610;30/09/1987;0000;;0;0;;;;;4.307692;;177.4;;;;;;;;
82610;31/10/1987;0000;;0;0;;;;34.1;3.818182;;251.8;;;;;;;;
82610;30/11/1987;0000;;0;0;;;;;3.857143;;167.8;;;;;;;;
82610;31/12/1987;0000;;0;0;;;;;3.896552;;126.6;;;;;;;;
82610;31/01/1988;0000;;0;0;;;;24.5;3.564516;;195.6;;;;;;;;
82610;29/02/1988;0000;;0;0;;;;32.7;3.517241;;159.6;;;;;;;;
82610;31/03/1988;0000;;0;0;;;;43;4.112903;;140.2;;;;;;;;
82610;30/04/1988;0000;;0;0;;;;;3.466667;;374.6;;;32.216667;25.619333;19.646667;;;
82610;31/05/1988;0000;;0;0;;;;;3.516129;;189.6;;;31.087097;24.489677;18.458065;;;
82610;30/06/1988;0000;;0;0;;;;;3.6;;118.8;;;31.006667;23.382667;14.44;;;
82610;31/07/1988;0000;;0;0;;;;;3.967742;;44.4;;;31.829032;24.407097;15.96129;;;
82610;31/08/1988;0000;;0;0;;;;;4.548387;;6.2;;;34.090323;26.119333;17.603333;;;
82610;30/09/1988;0000;;0;0;;;;;3.909091;;122.8;;;33.476667;26.305385;19.786667;;;
82610;31/10/1988;0000;;0;0;;;;;;;;;;;;;;;
82610;30/11/1988;0000;;0;0;;;;;3.428571;16;659.6;;;32.063333;25.340769;18.596667;;;
82610;31/12/1988;0000;;0;0;;;;;4.129032;15;311.4;;;32.467742;26.243226;19.851613;;;
82610;31/01/1989;0000;;0;0;;;;;3.677419;23;281.4;;;32.067742;25.918065;19.819355;;;
82610;28/02/1989;0000;;0;0;;;;69.6;3.928571;18;242.3;;;33.467857;26.610714;20.107143;;;
82610;31/03/1989;0000;;0;0;;;;64.5;3.064516;21;417.8;;;31.496774;26.027742;20.454839;;;
82610;30/04/1989;0000;;0;0;;;;82.8;4.133333;19;265.5;;;32.373333;26.665333;20.38;;;
82610;31/05/1989;0000;;0;0;;;;98.8;4.096774;;114.2;;;32.351613;26.509032;20.4;;;
82610;30/06/1989;0000;;0;0;;;;99.3;3.533333;;162.4;;;32.146667;26.314667;20.266667;;;
82610;31/07/1989;0000;;0;0;;;;;4.065574;;38.6;;;32.490323;26.056774;19.419355;;;
82610;31/08/1989;0000;;0;0;;;;;4.483871;;48.6;;;33.322581;27.104516;20.264516;;;
82610;30/09/1989;0000;;0;0;;;;;4.666667;;62;;;33.473333;27.263333;21.043333;;;
82610;31/10/1989;0000;;0;0;;;;24.9;3.774194;16;232.6;;;32.736667;26.664667;20.42;;;
82610;30/11/1989;0000;;0;0;;;;40.3;3.733333;;214.4;;;33.3;26.920667;20.343333;;;
82610;31/12/1989;0000;;0;0;;;;22.4;3.854839;17;233.2;;;33.303226;26.743871;19.906452;;;
82610;31/01/1990;0000;;;;;;;;0.821839;20;334.4;;;;;;;;
82610;28/02/1990;0000;;;;;;;;0.777381;18;298.6;;;;;;;;
82610;31/03/1990;0000;;;;;;;;0.787097;21;292.2;;;;;;;;
82610;30/04/1990;0000;;;;;;;;0.733333;;109.4;;;;;;;;
82610;31/01/1993;0000;0;0.754348;2.9;51.6;;;;4.913043;;147.4;;;32.8;26.419355;20.43871;79.008065;;
82610;28/02/1993;0000;0;0.808333;2.9;49.6;;;;4.940476;;159.6;;;33.192857;26.810714;20.764286;77.535714;;
82610;31/03/1993;0000;0;0.811828;2.9;55.1;;;;4.892473;;198.2;;;32.825806;26.685161;20.722581;77.766129;;
82610;30/04/1993;0000;0;0.792222;2.9;50.9;;;;4.655556;;233.2;;;32.893333;26.657333;20.286667;77.366667;;
82610;31/05/1993;0000;0;0.76129;2.9;51.2;;;;5.473118;;164.6;;;32.064516;26.2;20.406452;78.580645;;
82610;30/06/1993;0000;0;0.856667;2.9;;;;;5.588889;;35;;;32.273333;26.074667;20.18;78.591667;;
82610;31/07/1993;0000;0;0.968817;2.9;;;;;5.247312;;52.4;;;31.632258;24.596774;17.380645;80.435484;;
82610;31/08/1993;0000;0;0.9;2.9;;;;135;5.27957;;54.2;;;32.025806;25.072258;18.43871;78.217742;;
82610;30/09/1993;0000;0;0.931111;2.9;;;;120.9;4.555556;;99;;;33.29;26.59;19.806667;75.75;;
82610;31/10/1993;0000;0;0.989247;2.9;;;;;5.516129;;209.4;;;32.277419;25.929032;19.793548;78.032258;;
82610;30/11/1993;0000;0;0.920225;2.9;;;;;4.966292;15;237;;;32.54;26.24;20.333333;78.060345;;
82610;31/12/1993;0000;0;0.863736;2.9;;;;;5.296703;16;279.2;;;32.280645;26.120667;20.8;79.655172;;
82610;31/01/1994;0000;0;0.958065;2.9;;;;;5.634409;17;337.6;;;31.593548;25.943871;20.529032;80.16129;;
82610;28/02/1994;0000;0;0.846988;2.9;;;;;5.60241;15;253.4;;;31.707143;25.913571;20.378571;79.5625;;
82610;31/03/1994;0000;0;0.822581;2.9;;;;;5.505376;19;328.2;;;32.070968;26.16;20.690323;78.451613;;
82610;30/04/1994;0000;0;0.888889;2.9;;;;;4.944444;;270.6;;;32.253333;26.384;20.686667;77.65;;
82610;31/05/1994;0000;0;0.901075;2.9;;;;;5.344086;;206;;;31.883871;26.104516;20.76129;78.362903;;
82610;30/06/1994;0000;0;0.947778;2.9;;;;;5.044444;;109.4;;;31.92;25.850667;20.206667;76.791667;;
82610;31/07/1994;0000;0;1.02043;2.9;;;;;4.580645;;93.2;;;31.612903;25.254194;18.967742;76.137097;;
82610;31/08/1994;0000;0;1.005376;2.9;;;;;4.408602;;89;;;31.967742;25.414194;18.993548;75.370968;;
82610;30/09/1994;0000;0;0.905556;2.9;;;;;4.622222;;182.8;;;32.736667;26.382667;20.53;72.891667;;
82610;31/10/1994;0000;0;0.880645;2.9;;;;;4.860215;15;265.2;;;32.729032;26.442581;20.451613;73.306452;;
82610;30/11/1994;0000;0;0.916667;2.9;;;;;4.522222;;168.4;;;32.746667;26.350667;20.546667;73.141667;;
82610;31/12/1994;0000;0;0.912903;2.9;;;;;5.526882;16;330.6;;;32.283871;25.966452;20.258065;76.233871;;
82610;31/01/1995;0000;0;0.912903;2.9;;;;;4.569892;;223.4;;;33.045161;26.543226;20.645161;73.862903;;
82610;28/02/1995;0000;0;0.913095;2.9;;;;;4.940476;;211.2;;;32.621429;26.345714;20.464286;74.339286;;
82610;31/03/1995;0000;0;0.766667;2.9;;;;;5.354839;18;325.6;;;32.419355;26.019355;20.258065;77.016129;;
82610;30/04/1995;0000;0;1.012222;2.9;;;;;4.611111;;167;;;32.013333;25.478667;19.76;78.9;;
