--------------------
BDMEP - INMET
--------------------
Estação           : ITACOATIARA - AM (OMM: 82336)
Latitude  (graus) : -3.13
Longitude (graus) : -58.43
Altitude  (metros): 40.00
Estação Operante
Inicio de operação: 01/01/1927
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82336;31/01/1961;0000;;0.967742;2;;;;;;;;;;;;;;;
82336;28/02/1961;0000;14;0.939759;2;;;;;3.915663;16;283;;;;;;;;
82336;31/03/1961;0000;14;0.967742;2;;;;;4.774194;22;340;;;;;;;;
82336;30/04/1961;0000;;;2;;;;;;8;74;;1011.56875;;;;;;
82336;31/05/1961;0000;14;0.989247;2;;;;;5.225806;19;281.6;;;;;;;;
82336;30/06/1961;0000;14;1.1;2;;;;;5.022222;19;89.6;;1012.66;;;;;;
82336;31/07/1961;0000;14;0.870968;2;;;;;5.892473;6;28;;;;;;;;
82336;31/08/1961;0000;14;0.83871;2;;;;;5.032258;7;74;;;;;;;;
82336;30/09/1961;0000;14;0.822222;2;;;;;5.133333;1;9;;;;;;;;
82336;31/10/1961;0000;14;0.987097;2;;;;;5.01087;13;270.2;;;;;;;;
82336;30/11/1961;0000;14;0.873333;2;;;;;4.755556;9;90.9;;;;;;;;
82336;31/01/1962;0000;14;0.913043;2;;;;;5.130435;14;431;;;;;;;;
82336;28/02/1962;0000;;;1;;;;;;15;153.7;;;;;;;;
