--------------------
BDMEP - INMET
--------------------
Estação           : LABREA - AM (OMM: 82723)
Latitude  (graus) : -7.25
Longitude (graus) : -64.83
Altitude  (metros): 61.00
Estação Operante
Inicio de operação: 30/11/1972
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82723;31/01/1973;0000;0;1.532609;6;37.8;;;;5.304348;22;299.2;;;30.316129;25.68;22.883871;91.346774;;
82723;28/02/1973;0000;5;2.035714;10;30.3;;;;5.142857;22;335;;1004;30.121429;25.947857;23.289286;91.366071;;
82723;31/03/1973;0000;5;1.666667;6;41.7;;;;5.064516;23;258.3;;;30.822581;26.430323;23.225806;90.419355;;
82723;30/04/1973;0000;0;1.488636;12;37.4;;;;5.195402;19;312.1;;;30.803333;26.127333;23.373333;90.175;;
82723;31/05/1973;0000;0;1.989247;10;37.3;;;;4.774194;14;199.1;;;29.648387;25.472258;22.383871;90.330645;;
82723;30/06/1973;0000;0;1.4;9;41.4;;;;4.644444;10;92.6;;;30.916667;25.572;22.033333;89.341667;;
82723;31/07/1973;0000;0;1.451613;6;38.8;;;;4.150538;10;85.6;;;30.132258;24.145161;20.270968;89.58871;;
82723;31/08/1973;0000;0;1.053763;5;48.1;;;;3.849462;5;37.4;;;31.109677;25.016;20.493333;86.395161;;
82723;30/09/1973;0000;0;1.388889;5;55;;;;4.533333;9;117.9;;;31.313333;25.789333;21.023333;86.725;;
82723;31/10/1973;0000;0;1.698925;10;47.9;;;;3.956522;13;178.2;;;32.319355;26.796774;22.541935;88.596774;;
82723;30/11/1973;0000;0;1.711111;12;43.6;;;;4.133333;18;159.6;;;31.083333;26.315333;22.68;90.216667;;
82723;31/12/1973;0000;0;1.698925;6;39.9;;;;4.150538;22;378.6;;;30.190323;25.327742;22.093548;91.508065;;
82723;28/02/1974;0000;0;1;8;28.4;;;;3.481928;22;310.2;;;29.396429;24.959286;22.403571;92.741071;;
82723;31/03/1974;0000;0;1.075269;8;40.6;;;;3.817204;17;366.1;;;29.6;25.403226;22.112903;91.185484;;
82723;30/04/1974;0000;0;0.9;8;33.6;;;;3.411111;20;292.9;;;29.426667;25.144667;22.11;93.491667;;
82723;31/05/1974;0000;0;0.763441;5;34.2;;;;4.451613;18;193;;;29.454839;24.782857;21.367857;91.040323;;
82723;30/06/1974;0000;0;0.588889;5;37.8;;;171.7;3.911111;7;37;;;31.196667;24.562;20.486667;88.466667;;
82723;31/07/1974;0000;0;1.301075;5;47.8;;;225.9;3.172043;5;40;;;31;23.905161;18.854839;85.935484;;
82723;31/08/1974;0000;0;1.010753;7;49.9;;;212.8;3.967742;11;142.3;;1003.65914;31.919355;25.233548;21.419355;88.080645;;
82723;30/09/1974;0000;0;0.655556;4;43.9;;;152.2;3.011111;12;177.6;;;31.44;24.974;20.776667;89.466667;;
82723;31/10/1974;0000;0;0.860215;5;44.7;;;139.2;3.774194;22;374.6;;;31.154839;25.432258;21.56129;88.41129;;
82723;30/11/1974;0000;0;0.866667;8;42.4;;;143.3;3.211111;10;299.5;;;32.04;26.022667;21.853333;87.666667;;
82723;31/12/1974;0000;0;1.107527;9;35.4;;;80.9;3.064516;22;373.2;;;29.187097;25.473548;21.674194;93.604839;;
82723;31/01/1975;0000;5;2.053763;6;37.4;;;96.8;6.806452;14;396.9;;;;;;88.072581;;
82723;28/02/1975;0000;0;0.797619;7;29;;;88.9;8.857143;20;503.2;;;28.139286;24.914286;21.385714;95.285714;;
82723;30/04/1975;0000;0;0.898876;5;34.7;;;119;8.303371;15;249.5;;;29.816667;25.966;21.793333;95.2;;
82723;31/07/1975;0000;;;;;;;;;5;5.4;;;;;;;;
82723;30/09/1975;0000;;;;;;;;;13;99.6;;;;;;;;
82723;31/10/1975;0000;;;;;;;;;10;64.7;;;;;;;;
82723;30/11/1975;0000;;;;;;;;;14;304.3;;;;;;;;
82723;31/12/1975;0000;;;;;;;;;18;333;;;;;;;;
82723;31/07/1976;0000;0;1.554348;7;69.2;;;258.2;3.565217;5;5;;;32.825806;24.379355;18.225806;81.919355;;
82723;30/09/1976;0000;0;1.420455;9;54.5;;;177.5;4.674157;14;100.3;;;32.526667;25.651333;21.356667;82.341667;;
82723;31/10/1976;0000;0;1.827957;9;49.9;;;131.8;3.741935;11;69.3;;;32.780645;26.157419;22.041935;84.408333;;
82723;30/11/1976;0000;0;1.188889;9;43.4;;;115.2;3.9;15;312.4;;;31.716667;26.037333;22.51;86.108333;;
82723;31/12/1976;0000;0;1.215054;7;39.8;;;125.3;4.731183;18;340.4;;;31.806452;25.934194;22.596774;87.701613;;
82723;31/01/1977;0000;0;1.419355;9;38.6;;;109.7;4.354839;21;266.7;;;;;22.680645;88.782258;;
82723;28/02/1977;0000;0;1.119048;5;32.3;;;74.3;4.27381;20;289;;;;;22.325;88.758929;;
82723;31/03/1977;0000;0;0.817204;12;52.5;;;83;5.053763;26;550.4;;;;;22.751613;88.435484;;
82723;30/04/1977;0000;0;1.533333;7;40.5;;;121.9;4.688889;13;225.8;;;;;22.523333;86.6;;
82723;31/05/1977;0000;0;0.88172;7;;;;129.6;4.655914;14;243.3;;;;;21.332258;86.717742;;
82723;30/06/1977;0000;0;0.777778;5;35.7;;;168.3;4.255556;13;118;;;;;20.913333;87.516667;;
82723;31/07/1977;0000;0;0.806452;7;72.3;;;239;3.806452;6;47.7;;;;;20.683871;82.08871;;
82723;31/08/1977;0000;0;0.827957;9;59.7;;;238.4;3.204301;7;64.2;;;;;20.53871;82.564516;;
82723;30/09/1977;0000;0;0.766667;5;41.6;;;129.4;3.744444;17;193.9;;;;;21.453333;87.5;;
82723;31/10/1977;0000;0;1.075269;12;36.1;;;133.6;4.709677;15;142.2;;;;;22.396774;89.354839;;
82723;30/11/1977;0000;0;0.722222;5;54.5;;;99.4;4.377778;20;146.7;;;;;22.67;88.958333;;
82723;31/12/1977;0000;0;0.645161;5;41.3;;;92.3;5.387097;18;208.3;;;;;22.893548;91.306452;;
82723;31/01/1978;0000;0;0.569892;5;41.1;;;76.1;3.989247;25;355.9;;;;;22.63871;90.403226;;
82723;28/02/1978;0000;0;0.619048;5;33.9;;;64.1;3.845238;18;380.4;;;;;23.121429;89.866071;;
