--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82331;31/01/1961;0000;5;1.666667;7;42.7;;;149.4;3.580645;20;285.9;;;30.516129;25.963871;22.693548;88.653226;;
82331;28/02/1961;0000;5;1.678571;12;37.9;;;118;3.345238;20;332.3;;;30.010714;25.260714;22.064286;88.580357;;
82331;31/03/1961;0000;5;1.688172;5;35.6;;;128.6;3.666667;22;237.6;;;30.990323;26.233548;23.032258;88.33871;;
82331;30/04/1961;0000;5;1.644444;5;31.9;;;146.8;4.033333;18;353;;1003.97;31.193333;26.106;22.93;89.308333;;
82331;31/05/1961;0000;5;1.806452;7;66.7;;;171.4;3.580645;21;327.5;;;30.919355;26.1;22.822581;89.951613;;
82331;30/06/1961;0000;9;1.733333;7;70.3;;;182.6;3.544444;13;98.2;;;30.84;25.802667;22.253333;86.8;;
82331;31/07/1961;0000;9;1.44086;7;65.4;;;248.7;3.473118;10;33;;;32.351613;26.42129;21.780645;82.580645;;
82331;31/08/1961;0000;9;1.645161;5;88.9;;;292.7;3.924731;2;6.9;;;34.470968;27.72;22.387097;75.991935;;
82331;30/09/1961;0000;9;1.8;7;96.8;;;255.8;3.2;9;51.7;;1004;34.196667;27.947333;22.576667;76.425;;
82331;31/10/1961;0000;5;1.258065;5;55.6;;;182;2.634409;19;123;;;31.835484;26.570968;22.477419;85;;
82331;30/11/1961;0000;5;1.744444;7;54.9;;;200.7;3.233333;14;145.9;;;32.576667;26.604;22.396667;84.416667;;
82331;31/12/1961;0000;5;1.935484;7;38.7;;;149;2.849462;23;353.1;;;30.503226;25.612903;22.309677;90.483871;;
82331;31/01/1962;0000;5;1.494624;7;38.8;;;140.9;3.731183;29;406.1;;;31.006452;25.769032;22.412903;89.967742;;
82331;28/02/1962;0000;5;1.666667;7;36.7;;;80.6;2.428571;21;399.4;;;30.321429;25.643571;22.514286;89.732143;;
82331;31/03/1962;0000;5;1.677419;5;41.3;;;132.3;2.075269;22;307.9;;;30.635484;25.807742;22.574194;89.225806;;
82331;30/04/1962;0000;5;1.866667;5;34.3;;;116.6;2.3;26;299;;;30.116667;25.729333;22.886667;90.683333;;
82331;31/05/1962;0000;5;2.107527;7;40.1;;;166.1;2.27957;23;260.5;;;30.567742;26.014839;22.751613;88.58871;;
82331;30/06/1962;0000;14;1.933333;5;47.2;;;211.3;2.922222;14;108.5;;;30.82;25.837333;21.94;85.558333;;
82331;31/07/1962;0000;14;1.709677;5;60;;;242.7;3.677419;12;47.3;;;31.687097;26.42129;22.283871;82.685484;;
82331;31/08/1962;0000;14;1.741935;7;73.5;;;260.4;3.27957;6;34;;;33.080645;27.002581;22.006452;77.629032;;
82331;30/09/1962;0000;5;2.4;7;104.8;;;265.3;2.711111;3;12.8;;;34.593333;28.368;22.973333;72.158333;;
82331;31/10/1962;0000;5;2.043011;7;82.9;;;212.6;2.827957;8;125.4;;;33.6;27.812258;23.312903;77.225806;;
82331;30/11/1962;0000;5;1.877778;7;49.5;;;152.7;3.522222;13;107.6;;;31.936667;26.744667;23.096667;84.55;;
82331;31/12/1962;0000;5;1.698925;7;56.9;;;182.7;3.989247;17;132;;;31.877419;26.895484;23.245161;84.064516;;
82331;31/01/1963;0000;5;1.795699;7;38.4;;;139.7;3.301075;22;265.1;;;30.529032;25.673548;22.316129;88.080645;;
82331;28/02/1963;0000;5;1.583333;5;32.3;;;90.4;2.845238;19;182.2;;;30.107143;25.275;22.414286;89.839286;;
82331;31/03/1963;0000;5;1.539785;5;39.6;;;91.4;2.505376;21;239.5;;1004.86129;30.296774;25.658065;22.6;88.056452;;
82331;30/04/1963;0000;5;1.505556;7;36.9;;;131.2;2.866667;23;313.3;;1004.24;30.67;26.003333;22.806667;88.191667;;
82331;31/05/1963;0000;14;1.892473;7;48.2;;;177.8;3.473118;15;243.3;;;31.248387;26.481935;22.929032;85.677419;;
82331;30/06/1963;0000;14;2.244444;5;52.9;;;208.9;3.966667;11;122.4;;;31.323333;26.475333;22.536667;83.566667;;
82331;31/07/1963;0000;14;1.892473;5;69.4;;;270;4.408602;6;46.7;;;32.551613;26.852903;22.319355;79.241935;;
82331;31/08/1963;0000;5;2.172043;5;93.7;;;278.2;5.451613;4;5.4;;;34.290323;27.947742;23.041935;74.330645;;
82331;30/09/1963;0000;5;2.444444;5;102.1;;;243.6;5.088889;3;45.3;;;35.123333;28.831333;23.816667;72.066667;;
82331;31/10/1963;0000;5;2.107527;5;95.4;;;209.6;5.16129;7;84.3;;;34.712903;28.813548;24.145161;74.564516;;
82331;30/11/1963;0000;5;1.655556;5;46;;;129.9;2.611111;16;239.6;;;31.916667;26.445333;22.99;85.6;;
82331;31/12/1963;0000;5;1.623656;5;44.1;;;130.5;2.935484;21;184.3;;;31.154839;26.549677;23.419355;86.217742;;
82331;31/01/1964;0000;5;1.548387;6;54.1;;;145.3;3.215054;16;159;;;31.580645;26.894194;23.851613;84.379032;;
82331;29/02/1964;0000;5;1.873563;6;43.3;;;105.8;2.781609;18;140.3;;;31.055172;26.534483;23.613793;86.439655;;
82331;31/03/1964;0000;5;1.709677;6;32.2;;;84.4;2.107527;28;426;;;30.793548;25.940645;23.029032;89.379032;;
82331;30/04/1964;0000;5;1.755556;7;34.5;;;123.6;2.611111;24;295.3;;;31.01;25.968;23.006667;89.333333;;
82331;31/05/1964;0000;14;1.763441;5;35.1;;;120.6;2.806452;18;268.1;;;30.254839;25.736129;23.080645;89.491935;;
82331;30/06/1964;0000;14;1.755556;5;43.4;;;181.9;3.955556;19;125.9;;;31.203333;26.049333;22.583333;86.491667;;
82331;31/07/1964;0000;14;1.806452;7;60.2;;;227.9;3.677419;9;61.6;;;31.970968;26.412258;22.229032;82.072581;;
82331;31/08/1964;0000;14;2.107527;5;69.8;;;262.7;4.311828;8;92.6;;;33.36129;27.290323;22.787097;78.177419;;
82331;30/09/1964;0000;5;2.111111;7;71.4;;;224.5;4.222222;8;40.7;;;33.553333;27.592667;22.92;77.241667;;
82331;31/10/1964;0000;5;2.268817;5;72.2;;;238;3.365591;11;135.2;;;33.106452;27.330323;22.954839;78.943548;;
82331;30/11/1964;0000;5;2.011111;5;64.3;;;182;3.333333;12;231;;;32.633333;27.106;23.046667;80.5;;
82331;31/12/1964;0000;5;1.83871;8;39.5;;;114.3;3.129032;19;312.2;;;30.709677;25.82129;22.654839;88.322581;;
82331;31/01/1965;0000;5;1.744086;5;41.1;;;;3.483871;20;169.5;;;30.496774;25.908387;22.948387;88.08871;;
82331;28/02/1965;0000;5;1.821429;5;39.9;;;126.2;2.857143;19;247.7;;;30.7;25.912143;22.803571;87.339286;;
82331;31/03/1965;0000;5;1.494624;5;32.8;;;81.1;2.387097;28;532.5;;;29.548387;25.440645;22.9;90.25;;
82331;30/04/1965;0000;5;2.122222;5;36.8;;;143.7;3.255556;21;284.2;;1003.84;30.036667;25.692;23.006667;88.933333;;
82331;31/05/1965;0000;5;1.688172;5;32.9;;;138.6;2.967742;22;268.9;;1004.24086;30.145161;25.783226;23.016129;90.290323;;
82331;30/06/1965;0000;5;1.833333;5;52.3;;;231.7;4.122222;13;64.2;;;31.353333;26.385333;22.786667;85.041667;;
82331;31/07/1965;0000;14;1.989247;5;66.9;;;256.3;3.989247;11;45.7;;;32.093548;26.793548;22.564516;81;;
82331;31/08/1965;0000;5;2.311828;5;97;;;281.7;4.236559;3;3.4;;;33.674194;27.783226;23.003226;72.935484;;
82331;30/09/1965;0000;5;2.488889;5;99.6;;;238.8;3.588889;6;13.6;;;34.726667;28.812667;24.096667;71.25;;
82331;31/10/1965;0000;5;2.44086;7;94;;;197.8;2.827957;10;138.6;;;34.351613;28.765161;24.551613;74.475806;;
