--------------------
BDMEP - INMET
--------------------
Estação           : PARINTINS - AM (OMM: 82240)
Latitude  (graus) : -2.63
Longitude (graus) : -56.73
Altitude  (metros): 29.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82240;31/01/1961;0000;5;1.860215;3;70.3;;;154.7;5.139785;18;292.2;;;30.709677;;;84.241935;;
82240;28/02/1961;0000;5;1.794048;5;49.5;;;127.6;6.02381;20;529.2;;;29.671429;;;87.116071;;
82240;31/03/1961;0000;5;1.83871;5;63;;;127.6;5.698925;21;240;;;30.722581;;;86.677419;;
82240;30/04/1961;0000;5;1.888889;5;57;;;155.2;5.744444;23;411.4;;;30.066667;;;86.95;;
82240;31/05/1961;0000;5;1.580645;7;50.5;;;175;5.946237;25;386.8;;;30.632258;;;87.427419;;
82240;30/06/1961;0000;5;1.688889;5;54.5;;;212.3;5.077778;18;195.8;;;30.543333;;;85.991667;;
82240;31/07/1961;0000;5;1.623656;5;69.4;;;249.7;4.301075;14;106.9;;;31.587097;;;81.935484;;
82240;31/08/1961;0000;5;1.817204;5;89.1;;;295.4;3.11828;9;58.5;;;32.53871;;;79.701613;;
82240;30/09/1961;0000;5;2.377778;5;132.6;;;292.3;2.655556;5;30.4;;;34.13;;;71.725;;
82240;31/10/1961;0000;;;;;;;192.2;;;;;;;;;;;
82240;30/11/1961;0000;5;1.786517;5;78.8;;;192.2;4.775281;6;80.8;;1006.38764;32.4;;;80.15;;
82240;31/12/1961;0000;5;2.182796;5;77.4;;;170.6;5.451613;21;203.8;;;31.270968;;;83.451613;;
82240;31/01/1962;0000;5;2.376344;5;53.8;;;173.1;5.784946;22;356.6;;;30.616129;;;85.274194;;
82240;28/02/1962;0000;5;2.440476;12;51.4;;;118.8;6.27381;22;254;;;30.442857;;;85.758929;;
82240;31/03/1962;0000;5;1.935484;12;55.8;;;140.4;6;24;275.1;;;30.5;;;86.556452;;
82240;30/04/1962;0000;5;1.911111;5;45.8;;;156.7;6.044444;24;486.9;;;30.46;;;87.616667;;
82240;31/05/1962;0000;5;1.752688;5;50.4;;;171.9;5.537634;22;418.9;;;30.551613;;;87.653226;;
82240;30/06/1962;0000;5;1.688889;5;58.7;;;226;5.055556;17;263.8;;;30.96;;;84.491667;;
82240;31/07/1962;0000;5;1.645161;5;64.6;;;237.2;4.989247;18;192.1;;;31.248387;;;84;;
82240;31/08/1962;0000;5;1.903226;9;83;;;292.4;3.483871;9;78.4;;;32.258065;;;79.653226;;
82240;30/09/1962;0000;5;2.644444;9;130.1;;;295.4;3.044444;1;1;;;34.063333;;;71.516667;;
82240;31/10/1962;0000;5;2.505376;5;140.5;;;244.9;4.16129;4;29.5;;;34.703226;;;70.056452;;
82240;30/11/1962;0000;5;2.133333;5;79.2;;;159.6;5.233333;10;252.1;;;32.59;;;80.475;;
82240;31/01/1963;0000;5;2;5;60.4;;;154;5.347826;19;240.2;;;31.06129;;;84.629032;;
82240;28/02/1963;0000;5;2.095238;5;50.3;;;132;6.440476;16;547.2;;;30.653571;;;86.517857;;
82240;31/03/1963;0000;5;1.860215;5;54.6;;;134.2;6.473118;25;453.4;;;30.416129;;;87.532258;;
82240;30/04/1963;0000;5;1.777778;5;51.7;;;144.8;6.122222;18;185.5;;;30.943333;;;87.741667;;
82240;31/05/1963;0000;14;1.516129;3;60;;;203.9;5.55914;16;245.4;;1008.42043;31.274194;;;85.645161;;
82240;30/06/1963;0000;5;1.333333;5;50.9;;;183.6;5.788889;22;300.8;;;30.773333;;;87.358333;;
82240;31/07/1963;0000;5;1.258065;3;82;;;272.4;4.645161;9;50.9;;;32.6;;;79.685484;;
82240;31/08/1963;0000;5;1.516129;3;104.1;;;296.8;3.935484;9;100.1;;;33.416129;;;77.330645;;
82240;30/09/1963;0000;5;1.755556;5;146;;;274.3;3.566667;1;1.2;;;34.776667;;;71.475;;
82240;31/12/1963;0000;;;5;;;;;;9;285.1;;1007.194;31.129412;;;84.455882;;
82240;31/01/1964;0000;5;1.817204;5;70.8;;;170;5.645161;17;121.4;;;31.516129;;;82.701613;;
82240;29/02/1964;0000;5;2.218391;5;61.3;;;127.9;6.436782;24;321.2;;;30.92069;;;85.301724;;
82240;31/03/1964;0000;5;2.247312;5;65.3;;;131.4;6.27957;25;378.9;;;31.383871;;;85.604839;;
82240;30/04/1964;0000;5;2.022222;7;50;;;130.6;6.222222;17;411.5;;1007.41;30.67;;;87.475;;
82240;31/05/1964;0000;5;1.623656;5;42.8;;;134.3;6.483871;28;453.2;;;30.112903;;;89.508065;;
82240;30/06/1964;0000;5;1.688889;5;57.4;;;214.1;5.133333;18;157.9;;;31.48;;;85.058333;;
82240;31/07/1964;0000;5;1.752688;5;82.2;;;234;4.698925;10;54;;;32.2;;;80.540323;;
82240;31/08/1964;0000;5;1.860215;5;100.3;;;285.2;4.064516;13;44;;;33.406452;;;77.822581;;
82240;30/09/1964;0000;5;2.377778;7;148.5;;;279.1;3.844444;4;26.5;;;34.036667;;;73.308333;;
82240;30/11/1964;0000;5;2.078652;5;166.3;;;226.9;4.516854;4;20.7;;;33.983333;;;69.941667;;
82240;31/12/1964;0000;5;2.032258;5;83.7;;;149.3;5.860215;18;242.8;;;31.409677;;;82.169355;;
82240;31/01/1965;0000;5;2.010753;5;86;;;;5.591398;14;434.7;;;30.96129;;;83.524194;;
82240;28/02/1965;0000;5;1.97619;5;69.3;;;151.7;5.666667;14;210;;;30.360714;;;84.4375;;
82240;31/03/1965;0000;5;1.946237;5;61.9;;;125.1;6.612903;23;335.4;;;30.509677;;;86.395161;;
82240;30/04/1965;0000;5;1.755556;5;61.6;;;163.1;6.1;16;113.5;;;30.716667;;;86.45;;
82240;31/05/1965;0000;5;1.473118;3;55.5;;;174.5;5.935484;24;366.2;;;30.829032;;;87.096774;;
82240;30/06/1965;0000;5;1.377778;3;76.8;;;235;4.388889;16;148.6;;1008.72;31.21;;;84.733333;;
82240;31/07/1965;0000;5;1.516129;5;91.5;;;274.9;3.290323;12;88.2;;;32.029032;;;80.379032;;
82240;31/08/1965;0000;5;1.537634;5;127;;;318.8;3.290323;8;48.6;;;33.370968;;;76.185484;;
82240;30/09/1965;0000;5;2.044444;5;170.1;;;303.5;3.5;2;3.4;;;34.756667;;;70.9;;
