--------------------
BDMEP - INMET
--------------------
Estação           : MACAPA - AP (OMM: 82098)
Latitude  (graus) : -0.05
Longitude (graus) : -51.11
Altitude  (metros): 14.46
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82098;31/12/1967;0000;5;3.684783;9;;;;186.9;0.68913;6;67.1;;;31.445161;26.829677;22.532258;75.024194;;
82098;31/01/1968;0000;5;3.268817;9;115.2;;;233.9;0.831579;16;250.3;;;30.874194;26.309032;22.76129;79.435484;;
82098;29/02/1968;0000;5;2.471264;7;76.8;;;155.3;0.930882;17;339.7;;;29.62069;25.577241;22.562069;84.008929;;
82098;31/03/1968;0000;5;2.182796;5;29.5;;;110.5;0.843373;25;439;;;28.641935;24.892258;22.225806;86.467742;;
82098;30/04/1968;0000;5;1.822222;7;24.2;;;132.9;0.938028;23;323.1;;;29.526667;25.919333;23.176667;86.041667;;
82098;31/05/1968;0000;5;1.365591;5;44;;;118.1;0.941176;26;358;;;28.845161;25.265806;22.674194;87.604839;;
82098;30/06/1968;0000;0;1.333333;7;53.8;;;159.3;0.839706;24;137.9;;;29.634483;25.606207;22.786667;86.183333;;
82098;31/07/1968;0000;5;1.666667;7;62.4;;;189.9;0.828169;24;238.5;;;30.319355;25.623871;22.487097;85.016129;;
82098;31/08/1968;0000;5;2.483871;7;106.1;;;295.1;0.631944;11;61.6;;;30.993548;26.452903;22.854839;78.846774;;
82098;30/09/1968;0000;5;3.422222;7;139.1;;;285.5;0.685556;11;70.5;;;32.166667;27.426;23.14;78.058333;;
82098;31/10/1968;0000;5;3.88172;7;175.6;;;295.2;0.62043;2;13.3;;;32.364516;27.613548;22.858065;71.330645;;
82098;30/11/1968;0000;5;2.888889;7;119;;;289.7;0.795556;10;102.5;;;31.783333;27.154667;23.27;76.358333;;
82098;31/12/1968;0000;5;1.989247;7;96.4;;;178.5;0.82043;17;156.7;;;30.506452;26.397419;22.86129;81.491935;;
82098;31/01/1969;0000;5;1.709677;5;65.7;;;160;0.901075;23;333.5;;;29.654839;25.967097;22.958065;85.822581;;
