--------------------
BDMEP - INMET
--------------------
Estação           : ALAGOINHAS - BA (OMM: 83249)
Latitude  (graus) : -12.14
Longitude (graus) : -38.42
Altitude  (metros): 130.92
Estação Operante
Inicio de operação: 01/01/1931
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83249;31/01/1961;0000;9;1.630435;4;59.9;;;;3.934783;4;47.4;;;32.964516;26.50129;18.870968;75.774194;;
83249;28/02/1961;0000;9;1.940476;4;41.8;;;;3.869048;5;32.9;;;33.175;25.914286;16.525;74.9375;;
83249;31/03/1961;0000;9;1.709677;4;53;;;;4.184783;9;55.7;;;33.570968;26.820645;19.135484;77.096774;;
83249;30/04/1961;0000;9;1.777778;4;51.6;;;;3.988889;7;46.8;;;31.956667;25.706667;17.913333;76.85;;
83249;31/05/1961;0000;18;1.677419;4;42;;;;4.053763;11;54.3;;;29.954839;23.812903;17.190323;80.903226;;
83249;30/06/1961;0000;18;1.633333;4;50.6;;;;5.277778;23;191.6;;;27.643333;22.701333;15.456667;82.583333;;
83249;31/07/1961;0000;14;1.462366;6;36.8;;;;4.731183;19;54.7;;;26.03871;21.172258;14.46129;85.895161;;
83249;31/08/1961;0000;14;1.473118;2;49.6;;;;4.344086;19;47.9;;;26.441935;20.98;14.164516;87.564516;;
83249;30/09/1961;0000;14;1.588889;2;54.8;;;;3.555556;2;1.4;;;29.32;23.1;13.543333;81.808333;;
83249;31/10/1961;0000;14;1.666667;2;49.7;;;;3.935484;10;48.2;;;29.606452;24.081935;14.1;76.395161;;
83249;30/11/1961;0000;9;1.988889;6;55.4;;;;3.555556;2;3.4;;;31.986667;25.573333;15.24;71.958333;;
83249;31/01/1962;0000;9;1.75;4;47.3;;;;3.836957;2;15.3;;;33.832258;26.980645;18.548387;71.822581;;
83249;28/02/1962;0000;9;1.666667;4;47.4;;;;3.988095;7;14.5;;;32.878571;26.327857;17.653571;75.178571;;
83249;31/03/1962;0000;9;1.741935;4;56.5;;;;3.967742;13;125.9;;;32.709677;26.24;18.164516;77.266129;;
83249;30/04/1962;0000;9;1.7;4;48.4;;;;4.977778;16;118.7;;;31.546667;25.954667;17.903333;77.7;;
83249;31/05/1962;0000;9;1.623656;6;90.5;;;;5.569892;22;163;;;29.319355;23.826452;16.987097;79.072581;;
83249;30/06/1962;0000;9;1.5;6;44.1;;;;5.7;24;191.9;;;26.99;22.603333;17.283333;81.133333;;
83249;31/07/1962;0000;5;1.569892;5;53.6;;;;4.869565;24;134;;;25.787097;21.187742;15.370968;85.467742;;
83249;31/08/1962;0000;14;1.376344;6;67.2;;;;3.677419;16;57.4;;;26.735484;21.885161;16.032258;80.629032;;
83249;30/09/1962;0000;5;1.344444;4;70.7;;;;3.088889;4;19.4;;;28.6;23.258667;15.563333;77.016667;;
83249;31/10/1962;0000;9;1.591398;6;68.4;;;;3.741935;8;34.9;;;30.232258;24.423871;16.048387;73.927419;;
83249;30/11/1962;0000;14;1.413333;4;67.8;;;;4.033333;10;88.9;;;30.513333;24.996667;17.353333;75.125;;
83249;31/12/1962;0000;9;1.731183;4;53.3;;;;3.870968;4;33.2;;;32.093548;25.7;17.090323;75.790323;;
83249;31/01/1963;0000;9;1.698925;4;49.9;;;;3.408602;2;2.7;;;33.583871;26.62;18.196774;75.112903;;
83249;28/02/1963;0000;9;1.690476;4;47.1;;;;4.654762;11;209.1;;;32.425;25.863571;18.107143;76.419643;;
