--------------------
BDMEP - INMET
--------------------
Estação           : BARREIRAS - BA (OMM: 83236)
Latitude  (graus) : -12.15
Longitude (graus) : -45
Altitude  (metros): 439.29
Estação Operante
Inicio de operação: 01/01/1924
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83236;31/01/1961;0000;5;2.26087;10;54.5;;;156.3;9.054348;19;186.3;;955.540217;30.23871;24.258065;20.467742;82.774194;;
83236;28/02/1961;0000;5;1.702381;4;67.9;;;224.7;7.02381;11;98.3;;956.611905;31.807143;24.727857;19.642857;77.258929;;
83236;31/03/1961;0000;5;1.602151;4;66.3;;;;7.462366;15;112.3;;956.489247;31.419355;24.605161;20.16129;80.5;;
83236;30/04/1961;0000;5;1.622222;5;94.9;;;;5.666667;9;30.5;;956.355556;33.12;24.911333;19.413333;73.391667;;
83236;31/05/1961;0000;14;1.666667;7;128.1;;;270.6;5.451613;2;15.1;;958.054839;33.367742;24.207097;17.887097;65;;
83236;30/06/1961;0000;14;2.566667;8;153.2;;;259.7;4.033333;2;3.9;;959.737778;31.976667;23.436667;16.293333;57.575;;
83236;31/07/1961;0000;14;2.268817;8;170.9;;;288;3.247312;0;0;;960.112903;31.845161;22.030323;13.458065;52.895161;;
83236;31/08/1961;0000;5;2.182796;7;205.5;;;;2.83871;0;0;;959.368817;33.280645;23.524516;13.6;46.080645;;
83236;30/09/1961;0000;5;1.788889;4;232.5;;;;4.7;0;0;;956.094444;36.67;25.982;15.163333;41.141667;;
83236;31/10/1961;0000;5;2.569892;9;239.1;;;;5.731183;5;20.8;;955.197849;35.583871;27.765806;20.2;47.032258;;
83236;30/11/1961;0000;5;2.288889;7;214.5;;;262.2;5.355556;5;27.9;;953.837778;36.866667;28.483333;20.743333;45.8;;
83236;31/12/1961;0000;5;1.666667;7;97.1;;;172.2;7.645161;21;268.8;;955.248387;31.764516;25.269032;20.758065;71.677419;;
83236;31/01/1962;0000;5;1.580645;7;61;;;182.5;6.978495;19;163.3;;955.093548;31.148387;25.14;20.93871;77.467742;;
83236;28/02/1962;0000;5;1.952381;6;61.3;;;218.2;7.035714;12;117.9;;955.316667;32.485714;25.344286;20.396429;76.866071;;
83236;31/03/1962;0000;5;1.344086;3;69.7;;;213.5;6.569892;14;138.1;;955.744086;31.116129;24.327097;19.916129;77.903226;;
83236;30/04/1962;0000;5;1.4;7;81.9;;;229.9;5.277778;7;41;;955.891111;32.33;24.315333;18.866667;73.275;;
83236;31/05/1962;0000;14;1.591398;6;108.1;;;238.1;5.543478;3;6.1;;956.992473;31.812903;22.994839;16.322581;65.508065;;
83236;30/06/1962;0000;14;1.888889;8;136.7;;;272.5;3.988889;1;1.2;;958.458889;31.413333;22.088667;14.5;55.966667;;
83236;31/07/1962;0000;14;1.44086;5;161.7;;;301.8;2.376344;0;0;;959.353763;32.103226;21.276774;12.090323;48.185484;;
83236;31/08/1962;0000;14;1.494624;5;197.4;;;;3.602151;0;0;;958.276344;34.067742;23.923226;14.422581;41.362903;;
83236;30/09/1962;0000;5;2.188889;9;205;;;;5.088889;5;18.9;;956.695556;34.933333;26.093333;17.18;43.141667;;
83236;31/10/1962;0000;5;1.924731;8;192.4;;;;6.666667;10;18;;955.770968;35.293548;27.465806;21.103226;49.919355;;
83236;30/11/1962;0000;5;1.477778;5;85.9;;;;7.588889;18;370.5;;954.805556;31.863333;25.248667;20.57;72.925;;
83236;31/12/1962;0000;5;1.366667;4;65.1;;;;8.344086;19;264.9;;955.676344;29.551613;24.094194;20.422581;81.266129;;
83236;31/01/1963;0000;0;1.032258;5;85.2;;;249.1;5.344086;12;87.6;;955.06129;31.86129;24.608387;19.451613;77.5;;
83236;28/02/1963;0000;5;1.845238;8;58.6;;;157.8;7.571429;12;75.9;;;30.814286;24.329286;20.078571;80.589286;;
83236;31/03/1963;0000;5;1.731183;4;113.2;;;262.6;6.010753;6;8.9;;;33.203226;25.057419;19.119355;69.725806;;
