--------------------
BDMEP - INMET
--------------------
Estação           : CANAVIEIRAS - BA (OMM: 83398)
Latitude  (graus) : -15.66
Longitude (graus) : -38.95
Altitude  (metros): 3.87
Estação Operante
Inicio de operação: 01/01/1930
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83398;31/01/1977;0000;36;3.923913;10;121.2;;;217.2;7.826087;17;124.2;;;29.467742;25.856129;21.96129;81.193548;;
83398;28/02/1977;0000;0;2.571429;7;106.5;;;197.3;7.107143;23;131.5;;1013.65119;29.178571;25.689286;21.975;81.607143;;
83398;31/03/1977;0000;0;2.430108;7;139.8;;;295;5.634409;13;45.9;;;30.222581;26.356129;21.522581;75.33871;;
83398;30/04/1977;0000;0;2.488889;7;108.4;;;205.4;7.055556;19;106.2;;1011.82;29.556667;25.476;22.14;82.008333;;
83398;31/05/1977;0000;0;2.505376;6;91.2;;;195.4;7.075269;15;95.1;;;27.619355;23.078065;19.696774;85.193548;;
83398;30/06/1977;0000;0;1.844444;7;68.4;;;156.6;7.177778;19;270.5;;;26.646667;22.42;19.523333;87.65;;
83398;31/07/1977;0000;0;1.806452;7;93.8;;;197.4;6.623656;23;113.2;;;26.322581;22.025161;17.974194;83.733871;;
83398;31/08/1977;0000;0;2.333333;8;110.6;;;250.4;5.322581;13;36.1;;;26.454839;21.824516;16.958065;80.072581;;
83398;30/09/1977;0000;0;2.844444;8;109.2;;;120.2;7.944444;20;106.5;;;26.6;23.099333;19.273333;81.191667;;
83398;31/10/1977;0000;5;2.913978;7;101.4;;;112.8;7.989247;26;501;;;26.780645;23.77871;20.512903;83.08871;;
83398;30/11/1977;0000;5;4.6;12;98.9;;;148.2;7.144444;15;32.9;;;28.793333;25.477333;21.98;82.066667;;
83398;31/12/1977;0000;0;3.11828;8;96.8;;;151;7.827957;18;206.3;;;29.1;25.369677;21.86129;82.870968;;
83398;31/01/1978;0000;5;3.354839;8;111.7;;;190.9;7.311828;19;189.4;;;28.951613;25.79871;22.545161;84.524194;;
83398;28/02/1978;0000;0;2.662651;14;79;;;138.5;8.214286;14;338.3;;1011.875;28.757143;25.409286;22.325;84.651786;;
83398;31/03/1978;0000;0;2.505376;9;94.4;;;197.9;7.548387;28;268.7;;;29.122581;25.571613;22.451613;84.91129;;
83398;30/04/1978;0000;0;2.066667;10;79.1;;;158.9;7.388889;22;208.8;;;28.306667;24.668;21.696667;86.133333;;
83398;31/05/1978;0000;0;2.010753;8;69;;;180.8;6.774194;13;103.9;;;27.925806;23.776774;20.370968;86.314516;;
83398;30/06/1978;0000;0;2.155556;7;66.6;;;148.8;6.966667;17;130.2;;;26.266667;22.121333;18.943333;87.125;;
83398;31/07/1978;0000;0;2.236559;8;72.8;;;171.3;6.924731;27;362.7;;;26.490323;22.780645;19.806452;86.862903;;
83398;31/08/1978;0000;0;2.537634;8;98;;;206.3;6.333333;19;151.8;;;26.193548;21.963871;17.912903;83.435484;;
