--------------------
BDMEP - INMET
--------------------
Estação           : CARINHANHA - BA (OMM: 83408)
Latitude  (graus) : -14.28
Longitude (graus) : -43.76
Altitude  (metros): 450.18
Estação Operante
Inicio de operação: 01/12/1927
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83408;31/01/1977;0000;9;2.494565;6.6;144.5;;;186.8;7.173913;19;226.9;;;30.393548;;;72.403226;;
83408;28/02/1977;0000;9;2.897619;9.1;134.5;;;233;5.761905;8;21.6;;;29.917857;;;69.294643;;
83408;31/03/1977;0000;9;2.309677;5.1;254.1;;;302.6;4.548387;2;0.9;;;34.480645;;;50.975806;;
83408;30/04/1977;0000;9;2.242529;6.6;183.4;;;218.9;6.16092;10;75.8;;;32.128571;;;61.535714;;
83408;31/05/1977;0000;9;1.932967;5;174.5;;;257;5.619565;4;20.6;;;30.183333;;;58.419355;;
83408;30/06/1977;0000;9;2.478889;5.6;214.7;;;222.8;4.822222;1;3.2;;;30.08;23.474483;16.893103;56.133333;;
83408;31/07/1977;0000;9;2.717204;7.1;274.9;;;296.9;1.870968;0;0;;;30.6;23.265161;15.851613;48.024194;;
83408;31/08/1977;0000;9;2.287097;6.3;317.1;;;315.2;1.311828;0;0;;;33.025806;25.19871;18.593548;39.193548;;
83408;30/09/1977;0000;9;2.864045;6.3;291.5;;;189.9;3.382022;5;8.8;;;31.982759;25.937241;20.463333;46.641667;;
83408;31/10/1977;0000;9;2.748387;5.5;271.6;;;247;4.72043;6;31.8;;961.011957;32.677419;26.596774;20.474194;52.862903;;
83408;30/11/1977;0000;9;2.668889;7.5;206.6;;;175.3;6.8;18;79.6;;959.416667;32.213333;26.149333;20.73;65.191667;;
83408;31/12/1977;0000;9;2.189247;5.5;156;;;184.1;6.806452;17;222.5;;959.703226;30.883871;25.512903;20.554839;69.217742;;
83408;31/01/1978;0000;9;1.954839;6.8;121.2;;;220.4;5.55914;13;114.3;;961.109677;29.990323;24.850323;20.63871;74.596774;;
83408;28/02/1978;0000;9;2.157143;5.5;89;;;134.6;7.095238;16;284.5;;960.211905;29.110714;24.532143;20.960714;79.116071;;
83408;31/03/1978;0000;9;2.067742;7.1;110.5;;;212.5;5.602151;15;159.8;;961.28172;28.951613;24.334194;20.880645;78.596774;;
83408;30/04/1978;0000;9;1.721111;4.5;116.4;;;205.4;5.477778;10;117.6;;960.935556;29.083333;24.244;20.56;75.316667;;
83408;31/05/1978;0000;9;1.673118;5.1;115.8;;;228.9;5.043011;3;36.3;;961.629032;28.870968;23.332903;20.203226;76.395161;;
83408;30/06/1978;0000;9;1.776667;6.6;123.3;;;211.1;4.066667;2;1.3;;965.165556;27.433333;21.418;17.63;69.2;;
83408;31/07/1978;0000;9;1.949451;6.6;170.6;;;249.9;4.569892;2;11.1;;963.543011;29.148387;22.474839;17.625806;62.830645;;
83408;31/08/1978;0000;9;2.258696;6.3;253.3;;;283.8;2.784946;0;0;;964.570968;30.758065;22.832258;15.558065;53.814516;;
83408;30/09/1978;0000;9;2.591111;5.1;301.9;;;248;3.944444;2;0.6;;962.936667;31.536667;24.898667;18.65;47.333333;;
83408;31/10/1978;0000;9;1.882796;5;200.8;;;193;5.462366;11;109;;960.563441;31.512903;25.34129;20;59.370968;;
83408;30/11/1978;0000;9;2.098889;6.3;176.3;;;186.6;5.977778;13;102.6;;960.217778;30.56;24.945333;20.116667;65.3;;
83408;31/12/1978;0000;9;1.649462;5;102.7;;;205.7;5.956989;17;194;;960.597849;29.545161;24.221935;19.935484;76.177419;;
83408;31/01/1979;0000;5;1.793548;5;79.7;;;106.4;7.655914;20;343.2;;952.048387;28.63871;24.020645;20.558065;80.75;;
83408;28/02/1979;0000;9;1.990476;4.8;81.2;;;149.6;6.559524;17;286.2;;952.504762;28.671429;24.282857;20.996429;80.392857;;
83408;31/03/1979;0000;9;1.743011;4.5;123.4;;;222.1;5.494624;11;92.1;;951.070968;30.406452;25.527742;20.948387;71.177419;;
83408;30/04/1979;0000;9;1.854444;4.1;120.4;;;237.6;4.877778;3;25.9;;952.394444;30.266667;24.384667;19.246667;68.966667;;
83408;31/05/1979;0000;9;1.824731;5;148.7;;;247.8;4.043011;0;0;;953.752688;30.022581;23.273548;17.387097;66.725806;;
83408;30/06/1979;0000;14;1.962222;5;168;;;224.6;3.377778;1;0.6;;958.983333;28.01;20.703333;13.813333;60.3;;
83408;31/07/1979;0000;9;1.822581;6.6;193.3;;;259.2;4.526882;0;0;;964.247312;29.509677;21.427742;12.86129;52.862903;;
83408;31/08/1979;0000;9;2.343011;5.3;259.3;;;254.8;3.247312;1;0.7;;961.249462;31.277419;23.654839;15.716129;46.169355;;
83408;30/09/1979;0000;9;2.544444;6.6;284.7;;;230.2;2.777778;1;7.6;;960.745556;32.886667;25.8;18.986667;40.883333;;
83408;31/10/1979;0000;9;2.205376;5.5;268.9;;;220.7;4.645161;5;66.3;;960.349462;33.012903;26.376774;20.067742;47.096774;;
83408;30/11/1979;0000;9;1.948315;5;125.1;;;175.3;7.11236;12;116.5;;959.446667;29.72;24.602667;20.56;71.583333;;
83408;31/12/1979;0000;9;1.877419;4.8;136.3;;;207.1;5.75;10;80.5;;959.684946;31.845161;25.837419;20.703226;70.701613;;
83408;31/01/1980;0000;9;1.77957;6.3;83.7;;;158;7.365591;19;281.2;;960.034409;29.448387;24.514839;20.651613;80.927419;;
83408;29/02/1980;0000;9;1.842529;5.1;77.7;;;158.4;7.045977;20;234.2;;959.094253;28.775862;24.373103;21.006897;81.991379;;
83408;31/03/1980;0000;9;1.926882;4.8;169.9;;;273.8;4.354839;2;0.3;;961.190323;31.019355;25.185161;19.467742;62.419355;;
83408;30/04/1980;0000;9;2.181111;5.8;158.5;;;218.4;6.722222;3;6.1;;961.214444;31.236667;25.143333;19.893333;64.016667;;
83408;31/05/1980;0000;9;1.950538;5;195.5;;;271.1;4.913978;3;3.3;;963.423656;30.903226;24.418065;18.974194;59.362903;;
83408;30/06/1980;0000;14;2.146667;5;200.8;;;225.8;5.744444;0;0;;964.698889;29.95;23.252;17.06;55.316667;;
83408;31/07/1980;0000;9;1.946237;5.8;221.4;;;284;3.204301;0;0;;964.607527;30.235484;22.362759;14.472414;46.91129;;
83408;31/08/1980;0000;9;2.53871;6.6;289.2;;;283.4;3.903226;0;0;;964.103226;31.3;23.726452;15.864516;41.112903;;
83408;30/09/1980;0000;9;2.34;5.8;264.2;;;216.2;4;2;5.4;;961.677778;33.226667;25.939333;19.323333;40.908333;;
83408;31/10/1980;0000;9;2.88172;6.1;335.6;;;274;3.741935;3;4.8;;960.991398;34.203226;27.125806;20.509677;36.862903;;
83408;30/11/1980;0000;9;2.173563;7.1;158.9;;;142.5;8.057471;17;137.6;;959.562069;31.623333;25.928966;22.1;60.568966;;
83408;31/12/1980;0000;9;2.006452;6.6;86.9;;;151;7.763441;23;284.2;;959.273118;29.625806;;;77.677419;;
83408;31/01/1986;0000;5;2.128261;5.5;102.9;;;230.6;6.586957;11;143;;959.804348;30.416129;24.761935;;74.701613;;
83408;28/02/1986;0000;9;1.879762;6.1;147.6;;;246.4;6.071429;7;30.8;;959.62619;31.889286;25.837857;;66.008929;;
83408;31/03/1986;0000;9;2.056989;6.5;199.3;;;296.5;5.032258;6;5.1;;959.813978;33.141935;26.441935;;59.564516;;
83408;30/04/1986;0000;9;2.083333;6.6;203;;;257.7;4.722222;3;8;;959.344444;33.263333;26.402667;;57;;
83408;31/05/1986;0000;5;2.139785;5.5;210;;;291.5;3.784946;0;0;;960.919355;32.609677;25.188387;;53.266129;;
83408;31/07/1986;0000;9;2.142391;5;228.3;;;245.1;4.391304;1;7.6;;964.856522;30.351613;22.785806;;50.387097;;
83408;31/08/1986;0000;9;2.378495;6.6;270.5;;;289;3.075269;2;4.8;;961.751613;32.4;24.734194;;45.604839;;
83408;31/10/1986;0000;9;2.572826;5.8;241.3;;;227.7;5.111111;7;43.4;;960.698913;32.383871;25.972903;;50.701613;;
83408;31/12/1986;0000;9;2.28022;5.3;207.8;;;188;6.98913;11;152.6;;959.53587;32.3;26.288387;;62.080645;;
83408;31/01/1987;0000;5;2.229032;8;189.6;;;266.8;5.903226;7;21.3;;959.47957;33.577419;26.848387;;59.548387;;
83408;28/02/1987;0000;9;2.830952;7.3;288.7;;;242.5;6.404762;3;10.1;;959.663095;35.739286;28.642857;;46.633929;;
83408;31/03/1987;0000;5;2.020652;5;159.9;;;221;6.784946;12;197.8;;958.863441;31.858065;26.200645;;69.120968;;
83408;30/04/1987;0000;9;1.855556;8.3;158.3;;;223.8;5.811111;6;62.4;;960.553333;31.713333;25.752667;;65.608333;;
83408;31/05/1987;0000;9;1.827957;5.8;205.8;;;293.6;3.580645;4;2.1;;960.348387;33.277419;25.950968;;55.387097;;
83408;30/06/1987;0000;9;2.006667;6.1;228.7;;;261.5;3.977778;0;0;;962.805556;31.85;24.436667;;49.441667;;
83408;31/07/1987;0000;9;2.033333;5.8;259.1;;;297;2.494624;;0;;962.254839;31.63871;23.823871;;46.1;;
83408;31/08/1987;0000;9;2.204301;5.3;307.2;;;299.1;2.322581;0;0;;961.562366;33.3;25.215484;;39.395161;;
83408;30/09/1987;0000;9;2.608989;5.8;296.4;;;242.1;2.933333;2;10;;961.11;33.76;26.758667;;41.425;;
83408;31/10/1987;0000;9;2.597778;6.8;361.6;;;255.8;4.1;5;6.4;;958.163333;36.493333;29.175862;;34.075;;
83408;30/11/1987;0000;5;2.314607;5.8;190.9;;;171.9;8.077778;12;126.3;;959.001111;32.246667;26.910667;;49.475;;
83408;31/12/1987;0000;9;1.873118;6.6;78.9;;;131.1;7.782609;18;321.4;;959.529032;29.854839;24.943871;;65.298387;;
83408;31/01/1988;0000;9;1.913043;5.8;153.2;;;275.3;4.827957;5;58.6;;959.376344;32.012903;26.695484;;51.733871;;
83408;29/02/1988;0000;5;2.145977;6.6;184.9;;;242.2;6.103448;8;14.5;;957.534483;34.341379;27.868276;;45.724138;;
