--------------------
BDMEP - INMET
--------------------
Estação           : ITABERABA - BA (OMM: 83244)
Latitude  (graus) : -12.51
Longitude (graus) : -40.28
Altitude  (metros): 249.89
Estação Operante
Inicio de operação: 21/08/1931
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83244;31/01/1961;0000;9;2.35;7;50.4;;;;7.208791;6;111.1;;982.708696;32.906452;26.003871;21.390323;68.209677;;
83244;31/03/1961;0000;9;2.674419;7;66.3;;;;7.162791;7;57.1;;982.983529;33.431034;26.503448;21.955172;66.077586;;
83244;30/04/1961;0000;9;2.477778;7;113.6;;;;7.2;5;18.8;;983.663333;32.506667;25.479333;20.866667;68.683333;;
83244;31/05/1961;0000;9;2.27957;9;99.4;;;;7.419355;5;24.1;;985.947312;30.570968;24.292903;20.135484;69.58871;;
83244;30/06/1961;0000;0;1.730337;12;13.9;;;;7.633333;14;50.2;;987.844444;27.793333;22.216;18.123333;76.641667;;
83244;31/07/1961;0000;0;1.225806;7;68.1;;;;6.172043;10;35.7;;989.001075;26.819355;20.774194;16.306452;76.096774;;
83244;31/08/1961;0000;0;1.365591;7;117.5;;;;6.569892;10;31.8;;989.097849;27.377419;20.807742;15.73871;73.330645;;
83244;30/09/1961;0000;9;2.444444;9;195.1;;;;4.877778;2;2.2;;986.338889;31.45;23.65;18.163333;61.75;;
83244;31/10/1961;0000;9;3.677419;9;193;;;;6.83871;6;7.8;;985.367742;31.612903;24.380645;19.764516;63.798387;;
83244;30/11/1961;0000;9;4.193182;9;238.8;;;;5.044444;0;0;;983.215556;34.096667;26.085333;20.293333;58.425;;
83244;31/12/1961;0000;9;3.784946;12;156.8;;;;7.215054;5;47.4;;983.429032;32.703226;25.656129;21.112903;66.33871;;
83244;31/01/1962;0000;0;1.473118;7;114;;;;6.494624;7;184.2;;982.211828;33.564516;26.325806;21.3;68.766129;;
83244;28/02/1962;0000;0;2.178571;9;145.2;;;;5.904762;1;28;;982.854762;34.642857;26.933571;21.582143;60.491071;;
83244;31/03/1962;0000;0;2.086022;12;135.1;;;;7.333333;9;47.3;;983.35914;32.496774;25.812258;21.296774;70.943548;;
83244;31/05/1962;0000;0;1.565217;7;113.9;;;;7.173913;3;8;;985.976923;30.009677;24.169677;19.693548;68.596774;;
83244;30/06/1962;0000;14;1.766667;7;81.5;;;;7.333333;5;5.5;;988.397778;27.803333;22.246667;17.966667;71.191667;;
83244;31/07/1962;0000;0;2.021505;9;110;;;;7.204301;4;16.1;;990.005376;27.935484;22.010323;17.867742;70.725806;;
83244;31/08/1962;0000;0;2.172043;14;119.4;;;;7.064516;6;21;;989.090323;28.487097;22.232903;17.919355;74.129032;;
83244;30/09/1962;0000;14;3.122222;9;170.4;;;;6.444444;5;11.5;;987.886667;30.586667;23.802667;19.156667;66.608333;;
83244;31/10/1962;0000;0;3.430108;12;200.2;;;;6.139785;2;2.9;;986.451613;32.516129;25.54129;20.625806;60.741935;;
83244;30/11/1962;0000;0;2.422222;9;128.3;;;;6.977778;5;160.9;;984.231111;32.02;25.597333;21.26;66.925;;
83244;31/12/1962;0000;0;1.430108;8;107.8;;;;7.569892;7;103.1;;984.309677;31.393548;25.46;21.648387;72.943548;;
83244;31/01/1963;0000;;;;;;;;;;0;;;;;;;;
83244;28/02/1963;0000;0;1.987952;7;104.8;;;;7.759036;11;197.6;;983.812195;32.007143;25.717143;21.678571;71.089286;;
83244;31/03/1963;0000;0;2.526882;7;146.3;;;;7.258065;8;20.4;;984.744086;32.380645;25.643226;20.870968;67.080645;;
83244;30/04/1963;0000;0;1.766667;9;99.6;;;;7.533333;12;100;;983.945556;31.386667;25.321333;21.016667;72.516667;;
83244;31/05/1963;0000;0;2.215054;12;85.4;;;;8.494624;6;30.4;;987.43871;27.809677;22.810968;18.951613;74.298387;;
83244;30/06/1963;0000;;;7;;;;;;2;5.1;;989.022414;28.22;21.503158;15.965;71.526316;;
83244;31/07/1963;0000;0;1.784946;9;104.7;;;;7.526882;9;25.6;;989.131183;27.945161;21.167097;15.612903;70.854839;;
83244;31/08/1963;0000;0;1.387097;7;123.4;;;;5.989247;6;24.6;;988.586022;28.458065;21.363871;15.416129;68.879032;;
83244;30/09/1963;0000;0;1.355556;7;145;;;;6.122222;3;7;;987.52;29.876667;22.934;17.37;65.691667;;
83244;31/10/1963;0000;0;1.72043;5;197.3;;;;5.698925;1;18.5;;986.054839;33.280645;25.494839;19.893548;59.387097;;
83244;30/11/1963;0000;0;1.688889;7;130.6;;;;7.177778;8;117.8;;983.676667;32.643333;25.703333;20.79;67.741667;;
