--------------------
BDMEP - INMET
--------------------
Estação           : ITUACU - BA (OMM: 83292)
Latitude  (graus) : -13.81
Longitude (graus) : -41.3
Altitude  (metros): 531.43
Estação Operante
Inicio de operação: 18/02/1973
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83292;31/01/1977;0000;0;2;8;151.4;;;154.6;7.793478;17;88.9;;;29.867742;24.450968;19.577419;;;
83292;28/02/1977;0000;0;1.297619;7;99.4;;;174.7;6.833333;22;45.3;;;29.107143;23.424286;18.789286;78.080357;;
83292;31/03/1977;0000;0;2.096774;12;191.9;;;277.5;4.397849;2;6.1;;;31.670968;25.410323;19.135484;64.943548;;
83292;30/04/1977;0000;0;1.255556;6;136.9;;;207.8;6.722222;9;65.4;;;30.256667;24.750667;20.57;71.833333;;
83292;31/05/1977;0000;0;1.107527;9;123.3;;;159.7;6.88172;7;24.6;;;27.712903;22.116129;16.645161;72.314516;;
83292;30/06/1977;0000;0;0.888889;6;116;;;130.7;6.822222;8;8.2;;955.783333;26.963333;21.894;17.926667;69.058333;;
83292;31/07/1977;0000;0;1.16129;7;134.5;;;205.8;5.150538;10;12.4;;956.794624;26.577419;21.209032;16.474194;64.483871;;
83292;31/08/1977;0000;0;2.204301;8;194.3;;;259.9;2.870968;1;1.5;;955.106452;29.106452;22.374839;15.909677;53.556452;;
83292;30/09/1977;0000;0;1.844444;12;160.2;;;156.9;6.266667;7;52.6;;955.483333;27.936667;22.968;18.943333;63.066667;;
83292;31/10/1977;0000;0;1.365591;8;137.6;;;195.9;6.731183;8;69.5;;953.932258;28.312903;23.827742;20.106452;65.669355;;
83292;30/11/1977;0000;0;1.633333;8;166.2;;;203.8;6.311111;8;62.4;;951.658889;30.603333;25.181333;20.54;63.166667;;
83292;31/12/1977;0000;0;1.268817;7;141;;;196.8;7.16129;13;246.4;;951.648387;29.893548;24.790323;20.329032;67.596774;;
83292;31/01/1978;0000;0;0.763441;8;115.1;;;192.2;7.150538;11;88;;952.998925;29.354839;24.110968;20.322581;73.008065;;
83292;28/02/1978;0000;0;0.97619;7;90.4;;;112.9;7.547619;15;182.3;;952.04881;28.596429;23.752857;19.928571;76.366071;;
83292;31/03/1978;0000;0;0.612903;8;98.7;;;153.4;7.505376;18;113.1;;952.848387;28.612903;23.48;19.735484;76.266129;;
83292;30/04/1978;0000;0;0.155556;4;71.6;;;143.2;7.344444;15;283.6;;952.503333;27.36;22.594;19.29;80.941667;;
83292;31/05/1978;0000;0;0.688172;6;77;;;161.9;7.053763;6;36.9;;953.396774;27.029032;21.679355;17.835484;82.112903;;
83292;30/06/1978;0000;0;0.355556;6;68.5;;;144.6;6.677778;16;42.8;;956.616667;24.783333;19.678667;16.05;83.641667;;
83292;31/07/1978;0000;0;0.569892;8;90.8;;;155.8;6.666667;11;26;;955.429032;26.316129;20.536129;16.603226;79.137097;;
83292;31/08/1978;0000;0;1.311828;7;96.8;;;218.4;4.548387;7;9.6;;957.168817;26.567742;20.129677;14.645161;68.798387;;
83292;30/09/1978;0000;0;1.711111;8;156.6;;;180.7;6.422222;6;5;;955.595556;27.496667;22.200667;17.94;62.083333;;
83292;31/10/1978;0000;0;1.107527;6;151.3;;;185.8;6.548387;5;57.1;;952.956989;29.822581;24.062581;19.6;62.564516;;
83292;31/12/1978;0000;0;0.663043;6;106;;;193.9;7.01087;11;139.4;;952.332609;28.596774;23.559355;19.393548;72.483871;;
83292;31/01/1979;0000;0;0.634409;6;95.8;;;145.2;7.569892;15;188.2;;950.905376;29.022581;24.127097;20.435484;73.895161;;
83292;28/02/1979;0000;0;0.771084;6;96.4;;;133.1;7.714286;13;138.7;;952.052381;28.653571;23.678571;20.014286;73.616071;;
83292;31/03/1979;0000;0;0.698925;6;109.3;;;206.4;7.032258;10;64.5;;951.975269;29.522581;24.204516;19.970968;70.064516;;
83292;30/04/1979;0000;0;0.422222;6;84.2;;;174.5;6.366667;11;39.1;;952.871111;28.28;22.665333;18.59;74.741667;;
83292;31/05/1979;0000;0;0.892473;6;109.9;;;212.9;5.236559;4;3.6;;954.166667;28.332258;21.873548;16.396774;69.064516;;
83292;30/06/1979;0000;0;0.922222;6;93;;;153;6.344444;8;15.9;;957.829213;25.47;19.873103;15.343333;69.810345;;
83292;31/07/1979;0000;0;0.11828;3.4;118.1;;;192.7;5.924731;3;6.4;;957.403226;26.512903;20.252258;14.903226;62.959677;;
83292;31/08/1979;0000;0;0.978495;6;157;;;199.1;5.677419;1;0.1;;955.044086;27.735484;21.747742;16.603226;58.314516;;
