--------------------
BDMEP - INMET
--------------------
Estação           : LENCOIS - BA (OMM: 83242)
Latitude  (graus) : -12.56
Longitude (graus) : -41.38
Altitude  (metros): 438.74
Estação Operante
Inicio de operação: 01/09/1931
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83242;31/01/1961;0000;0;0.595652;4.4;101.7;;;;8.25;10;191.9;;968.120652;31.058065;24.846452;19.948387;82.620968;;
83242;28/02/1961;0000;0;0.617857;2.4;112.4;;;;6.571429;6;14.2;;969.107143;31.760714;25.215714;19.982143;81.776786;;
83242;31/03/1961;0000;0;0.564516;4.4;127.3;;;;7.741935;11;49.1;;968.762366;32.258065;25.785161;20.483871;79.862903;;
83242;30/04/1961;0000;0;0.704444;4.4;97.9;;;;7.322222;7;57.4;;969.916667;30.473333;24.654667;20.01;82.783333;;
83242;31/05/1961;0000;0;0.869892;9;101.5;;;;6.849462;7;25.1;;971.778495;29.551613;23.757419;19.035484;82.258065;;
83242;30/06/1961;0000;14;1.161111;4.4;64.8;;;;8.244444;21;143.9;;973.753333;25.893333;21.526;17.35;88.941667;;
83242;31/07/1961;0000;14;1.092473;4.4;83.8;;;;7.096774;12;81.3;;974.388172;25.996774;20.798065;15.925806;85.322581;;
83242;30/09/1961;0000;18;1.062921;4.4;148.4;;;;4.483146;;0;;971.498876;31.136667;22.628;17.613333;75.25;;
83242;31/10/1961;0000;14;1.307527;4.4;157.2;;;;7.032258;13;30.1;;970.760215;30.958065;23.005161;18.277419;75.370968;;
83242;30/11/1961;0000;0;0.886667;4.4;192.8;;;;4.888889;1;0.7;;968.401111;33.926667;24.748;19.35;71.208333;;
83242;31/12/1961;0000;0;0.808602;4.4;163.6;;;;7.774194;9;64.2;;968.656989;31.635484;24.061935;20.025806;78.282258;;
83242;31/01/1962;0000;0;0.54086;6.7;111.6;;;;6.494624;12;124.7;;967.930108;31.822581;24.715484;20.43871;79.919355;;
83242;28/02/1962;0000;0;0.813095;4.4;147.5;;;;6.190476;4;31;;968.15119;33.646429;25.101429;20.342857;76.535714;;
83242;31/03/1962;0000;0;1.132258;6.7;119.5;;;;7.978495;15;119.4;;969.07957;31.748387;24.694194;20.329032;78.790323;;
83242;30/04/1962;0000;0;0.815556;4.4;111;;;;6.688889;13;118.5;;969.588889;31.493333;24.858;20.16;77.441667;;
83242;31/05/1962;0000;;;;;;;;;;0;;;;;;;;
83242;30/06/1962;0000;18;1.193258;6.7;73;;;;7.820225;13;60.2;;973.240449;25.4;21.154667;17.226667;84.883333;;
83242;31/07/1962;0000;18;1.249462;6.7;90.2;;;;6.27957;9;55.9;;974.177419;26.493548;21.17871;15.964516;80.66129;;
83242;31/08/1962;0000;14;1.529348;6.7;107.1;;;;7.172043;8;69.1;;973.47957;27.722581;21.524516;16.554839;81.282258;;
83242;30/09/1962;0000;14;1.611111;4.4;138.9;;;;5.888889;7;27.9;;972.037778;29.946667;22.939333;17.9;77.725;;
