--------------------
BDMEP - INMET
--------------------
Estação           : MONTE SANTO - BA (OMM: 83090)
Latitude  (graus) : -10.43
Longitude (graus) : -39.29
Altitude  (metros): 464.60
Estação Operante
Inicio de operação: 15/05/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83090;31/01/1961;0000;14;1.26087;3;211.1;;;;5.978261;6;118.6;;956.288043;32.790323;24.78129;15.425806;61.008065;;
83090;28/02/1961;0000;14;1.392857;10;150;;;;5.261905;2;31.5;;957.302381;31.55;24.345714;15.367857;62.910714;;
83090;31/03/1961;0000;14;1.537634;5;172.9;;;;6.268817;3;26;;956.849462;31.958065;24.542581;15.729032;66.758065;;
83090;30/04/1961;0000;14;1.422222;5;154.5;;;;5.722222;4;16.9;;957.585556;30.46;23.434;14.993333;69.141667;;
83090;31/05/1961;0000;14;1.397849;5;170.8;;;;6.580645;5;26.5;;959.378495;29.532258;22.634839;14.258065;69.185484;;
83090;30/06/1961;0000;14;1.633333;5;82.8;;;;5.811111;15;48.9;;961.013333;26.286667;20.179333;12.763333;79.016667;;
83090;31/07/1961;0000;14;1.817204;5;103.9;;;;6.634409;13;35.4;;961.573118;25.264516;19.199355;11.525806;77.717742;;
83090;31/08/1961;0000;14;2.193548;5;152.9;;;;4.978495;5;10.9;;961.692473;26.996774;20.033548;11.632258;66.903226;;
83090;30/09/1961;0000;14;1.911111;5;212.1;;;;3.766667;0;0;;959.46;30.463333;22.276667;12.786667;58.325;;
83090;31/10/1961;0000;14;2.354839;5;225.2;;;;4.774194;5;13.3;;958.549462;30.729032;22.63871;13.432258;61;;
83090;30/11/1961;0000;14;1.744444;5;268.6;;;;3.3;0;0;;956.88;33.166667;24.313333;14.46;57.691667;;
83090;31/12/1961;0000;14;1.505376;5;218.6;;;;5.655914;2;41.7;;956.904301;31.7;24.224516;14.993548;60.669355;;
83090;31/01/1962;0000;0;1.139785;5;184.8;;;;4.903226;11;149.3;;956.046237;32.56129;25.089677;15.583871;60.008065;;
83090;28/02/1962;0000;14;1.369048;5;214.6;;;;4.25;2;7.5;;956.279762;33.25;25.081429;15.417857;55.723214;;
83090;31/03/1962;0000;14;2;5;153.3;;;;5.397849;6;77.1;;956.663441;31.458065;24.294194;15.558065;64.774194;;
83090;30/04/1962;0000;14;1.588889;5;158.4;;;;5.8;7;18;;957.45;30.423333;23.486;15.436667;68.65;;
83090;31/05/1962;0000;14;1.483871;5;118;;;;6.83871;10;56.2;;958.94086;27.4;21.589677;13.816129;75.653226;;
83090;30/06/1962;0000;14;1.911111;5;82.4;;;;7.866667;12;35.6;;960.812222;24.983333;19.696667;12.656667;81.591667;;
83090;31/07/1962;0000;14;1.967742;7;95.3;;;;6.548387;14;42.6;;962.148387;25.083871;19.250323;11.506452;79.153226;;
83090;31/08/1962;0000;14;1.924731;5;146.1;;;;5.225806;11;32.9;;961.376344;27.432258;20.26129;11.835484;71.298387;;
83090;30/09/1962;0000;14;1.966667;5;196.8;;;;4.677778;4;10.8;;960.426667;29.33;21.626;12.613333;65.675;;
83090;31/10/1962;0000;14;2.010753;5;210.2;;;;4.139785;0;0;;958.565591;32.425806;23.727742;14.148387;57.903226;;
83090;30/11/1962;0000;14;1.5;4;169.4;;;;5.411111;6;99.3;;956.915556;30.406667;23.494;14.48;64.691667;;
83090;31/12/1962;0000;36;1.215054;3;170.2;;;;5.645161;7;75.5;;956.732258;31.6;24.219355;15.251613;61.298387;;
83090;31/01/1963;0000;36;1.569892;4;238.4;;;;4.731183;1;3.5;;956.052688;33.035484;24.825161;15.235484;54.814516;;
83090;28/02/1963;0000;14;1.738095;5;167.3;;;;5.845238;5;81;;956.485714;31.585714;24.507857;15.685714;61.294643;;
83090;31/03/1963;0000;14;2.045161;5;200.6;;;;5.698925;4;18.1;;957.260215;31.503226;24.167742;15.548387;61.33871;;
83090;30/04/1963;0000;14;1.788889;5;154.6;;;;7.177778;5;14.5;;956.87;30.936667;24.142667;15.746667;65.866667;;
83090;31/05/1963;0000;14;2.290323;7;104;;;;7.774194;17;49.1;;959.727957;26.651613;20.852903;13.467742;76.572581;;
83090;30/06/1963;0000;14;1.922222;7;107.8;;;;6.555556;8;16.5;;961.201111;;;12.346667;72.966667;;
83090;31/07/1963;0000;14;2.021505;5;118.7;;;;5.655914;7;18.4;;961.483871;;;10.954839;70.419355;;
83090;31/08/1963;0000;;;;;;;;4.630137;5;7.6;;961.04086;;;11.22;64.020833;;
83090;30/09/1963;0000;;;;159.6;;;;4.566667;4;4.4;;959.9;;;12.903333;60.983333;;
83090;31/10/1963;0000;;;;230.5;;;;2.913978;0;0;;958.94086;;;13.906452;55.096774;;
83090;30/11/1963;0000;;;;185.7;;;;4.977778;6;120.3;;956.601111;;;15.47;62.966667;;
83090;31/12/1963;0000;;;;107.9;;;;7.322581;12;294;;956.909677;;;14.693548;75.217742;;
83090;31/01/1964;0000;;;;86.7;;;;7.193548;10;33.7;;956.595699;;;15.777419;75.403226;;
83090;29/02/1964;0000;;;;86.7;;;;6.390805;11;73.1;;955.731034;;;15.558621;74.660714;;
83090;31/03/1964;0000;;;;82.8;;;;7.107527;14;177.3;;957.655914;;;15.322581;80.056452;;
83090;30/04/1964;0000;;;;47.4;;;;8.111111;18;112.8;;957.554444;;;14.8;85.341667;;
83090;31/05/1964;0000;;;;55.6;;;;7.978495;21;146.8;;958.986022;;;14.196774;88.185484;;
83090;30/06/1964;0000;;;;40.6;;;;7.422222;14;52.9;;959.698889;;;12.68;86.333333;;
