--------------------
BDMEP - INMET
--------------------
Estação           : MORRO DO CHAPEU - BA (OMM: 83184)
Latitude  (graus) : -11.21
Longitude (graus) : -41.21
Altitude  (metros): 1003.27
Estação Operante
Inicio de operação: 13/01/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83184;28/02/1961;0000;14;6;127.5;;;;5.590361;4;42.4;;894.224096;27.285714;20.775;16.785714;71.928571;;
83184;31/03/1961;0000;9;8;140.9;;;;6.505376;8;26.8;;894.077419;27.483871;21.30129;17.419355;72.645161;;
83184;30/04/1961;0000;14;8;125.7;;;;6.455556;10;34.7;;894.397778;26.57;20.667333;16.9;76.075;;
83184;31/05/1961;0000;14;8;122.6;;;;6.064516;13;7.1;;895.929032;24.974194;19.190323;15.825806;75.443548;;
83184;31/10/1961;0000;9;14;177.1;;;;5.804348;5;9.5;;895.042391;25.974194;19.672258;15.351613;68.758065;;
83184;30/11/1961;0000;9;8;218.4;;;;3.655556;;0;;893.454444;28.68;21.33;15.543333;56.566667;;
83184;31/12/1961;0000;9;6;168.4;;;;6.322581;5;82.8;;893.501075;27.219355;21.09871;16.290323;70.935484;;
83184;31/01/1962;0000;9;8;108.9;;;;6.333333;7;48.7;;893.241935;27.425806;21.313548;17.016129;80.443548;;
83184;28/02/1962;0000;9;8;161.2;;;;4.464286;3;28.9;;893.617857;28.835714;21.845714;16.8;75.125;;
83184;31/03/1962;0000;9;8;143.5;;;;6.139785;10;128.2;;893.963441;27.06129;21.141935;16.754839;81.604839;;
83184;30/04/1962;0000;9;8;118.7;;;;6.188889;12;57.5;;894.523333;26.01;20.318;16.406667;84.033333;;
83184;31/05/1962;0000;9;8;104.1;;;;6.806452;9;10.1;;895.863441;23.63871;18.272903;14.696774;86.790323;;
83184;30/06/1962;0000;9;10;72.8;;;;7.211111;17;23.2;;897.157778;21.526667;16.834667;13.453333;89.333333;;
83184;31/07/1962;0000;9;10;94.5;;;;6.215054;10;14.5;;898.250538;21.845161;16.452903;12.641935;87.83871;;
83184;31/08/1962;0000;9;10;117.4;;;;5.548387;11;15.1;;897.406452;23.625806;17.355484;12.909677;84.5;;
83184;30/09/1962;0000;9;8;165.3;;;;4.466667;3;4.9;;896.607778;25.673333;18.877333;14.076667;80.266667;;
83184;31/10/1962;0000;9;10;192.5;;;;4.709677;5;6.6;;895.452688;27.458065;20.566452;15.406452;74.459677;;
83184;30/11/1962;0000;9;8;136.7;;;;6.433333;8;101.2;;893.524444;26.453333;20.624;16.14;77.75;;
83184;31/12/1962;0000;9;8;111.2;;;;6.666667;9;91.5;;894.017204;;;16.567742;81.274194;;
83184;31/01/1963;0000;9;6;151.6;;;;4.677419;4;49.6;;893.67957;;;16.177419;79.419355;;
83184;28/02/1963;0000;9;8;113;;;;6.47619;14;123.5;;894.213095;;;16.535714;84.678571;;
83184;31/03/1963;0000;9;10;160.2;;;;6.021505;4;5;;894.792473;26.34;20.836;16.445161;80.766129;;
83184;30/04/1963;0000;9;6;112.1;;;;7.011111;11;56.9;;894.346667;25.876667;20.595333;16.906667;82.933333;;
83184;31/05/1963;0000;14;10;81.9;;;;7.505376;15;29;;897.02043;21.993548;17.703871;14.593548;88.241935;;
83184;30/06/1963;0000;9;10;95.6;;;;5.522222;6;5.7;;898.273333;22.993333;16.980667;13.13;84.808333;;
83184;31/07/1963;0000;9;10;98.6;;;;6.247312;13;17.1;;898.036559;21.858065;15.994839;11.9;85.612903;;
83184;31/08/1963;0000;9;10;108.5;;;;4.365591;9;13.8;;897.596774;23.225806;16.433548;12.183871;87.491935;;
83184;30/09/1963;0000;9;10;150.7;;;;4.188889;6;3.3;;896.876667;25.353333;18.286667;13.573333;75.808333;;
83184;31/10/1963;0000;9;8;209.4;;;;2.333333;1;2.5;;896.060215;28.625806;20.947097;14.96129;69.66129;;
83184;30/11/1963;0000;9;8;136.9;;;;5.488889;10;182.7;;894.151111;27.713333;21.298;16.483333;74.725;;
83184;31/12/1963;0000;9;6;98.7;;;;7.182796;18;276.9;;894.412903;24.56129;20.000645;16.335484;82.209677;;
83184;31/01/1964;0000;9;6;57;;;;8.387097;22;299.2;;894.407527;25.180645;20.657419;17.36129;86.467742;;
83184;29/02/1964;0000;9;6;72.4;;;;6.781609;15;141;;893.627586;26.441379;21.104138;17.265517;84.612069;;
83184;31/03/1964;0000;9;6;78.9;;;;7.709677;20;59.2;;895.325806;24.967742;20.21871;16.774194;85.032258;;
83184;30/04/1964;0000;14;8;58.9;;;;7.822222;21;89;;895.482222;23.786667;19.467333;16.35;88.191667;;
83184;31/05/1964;0000;14;7;52;;;;7.591398;17;37.5;;896.530108;23.03871;18.633548;15.435484;89.645161;;
83184;30/06/1964;0000;14;8;57.9;;;;6.222222;15;39.6;;897.008889;21.94;16.681333;12.276667;88.816667;;
83184;31/07/1964;0000;14;10;60.6;;;;7.268817;11;13.9;;897.833333;21.535484;16.690968;13.583871;88.959677;;
83184;31/08/1964;0000;9;8;65.8;;;;7.451613;19;40.8;;898.347312;21.509677;16.755484;14;89.548387;;
83184;30/09/1964;0000;9;10;89.2;;;;7.155556;19;26.4;;897.826667;23.34;17.644;14.173333;82.666667;;
83184;31/10/1964;0000;9;6;92;;;;5.698925;13;57.7;;895.754839;25.051613;18.795484;15.277419;80.685484;;
83184;30/11/1964;0000;9;8;77.9;;;;8.066667;15;157.3;;894.568889;24.906667;19.694;16.216667;82.583333;;
83184;31/12/1964;0000;9;6;94.1;;;;6.172043;10;93.1;;893.551613;25.906452;19.994194;16.225806;79.854839;;
