--------------------
BDMEP - INMET
--------------------
Estação           : PAULO AFONSO - BA (OMM: 82986)
Latitude  (graus) : -9.36
Longitude (graus) : -38.21
Altitude  (metros): 252.69
Estação Operante
Inicio de operação: 01/02/1951
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82986;31/01/1962;0000;9;9;352.3;;;314.9;4.565217;4;141.3;;981.773913;36.1;28.748387;22.748387;56.104839;;
82986;28/02/1962;0000;9;7;266;;;228.8;4.880952;1;21.8;;982.392857;35.632143;28.256429;22.446429;55.830357;;
82986;31/03/1962;0000;14;9;322.7;;;237.9;5.274725;2;16.1;;982.582796;34.612903;27.714667;22.643333;59.524194;;
82986;30/04/1962;0000;9;9;317.8;;;220.1;5.078652;3;14.7;;983.287778;33.463333;26.953333;21.973333;63.55;;
82986;31/05/1962;0000;14;12;199;;;231.6;6.021505;11;131.2;;985.036559;29.693548;24.468387;20.709677;76.572581;;
82986;30/06/1962;0000;18;7;114.9;;;162.9;6.288889;15;91.1;;986.665556;26.846667;22.606;19.67;82.75;;
82986;31/07/1962;0000;9;9;136.8;;;217.2;5.795699;8;48.1;;987.735484;27.5;22.229032;18.622581;78.725806;;
82986;31/08/1962;0000;9;9;249.4;;;269.7;4.741935;5;16.7;;986.826882;29.7;23.355484;18.754839;69.419355;;
82986;30/09/1962;0000;9;12;300.6;;;255.3;4;2;29;;986.568889;31.566667;24.726667;19.74;64.391667;;
82986;31/10/1962;0000;9;8;346.9;;;304.8;3.365591;2;3.1;;984.877419;34.090323;26.562581;20.822581;58.766129;;
