--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA DA CONQUISTA - BA (OMM: 83344)
Latitude  (graus) : -14.88
Longitude (graus) : -40.79
Altitude  (metros): 874.81
Estação Operante
Inicio de operação: 01/01/1936
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83344;31/12/1975;0000;;;;;;;;9;102.8;;912.356452;25.47619;20.279048;16.471429;79.738095;;
83344;31/01/1976;0000;9;6.6;138.9;;;297.8;6.021505;3;3.2;;912.178495;27.303226;20.825161;15.825806;72.427419;;
83344;29/02/1976;0000;9;8.3;110.8;;;196;6.885057;8;50.2;;912.010345;26.868966;21.166207;17.151724;76.612069;;
83344;31/03/1976;0000;9;9.8;133.6;;;248.1;6.107527;9;16.6;;912.211828;27.387097;21.276129;17.064516;73.459677;;
83344;30/04/1976;0000;9;6;121;;;216.1;5.551724;4;7.9;;913.83;26.19;20.392;16.523333;74.175;;
83344;31/05/1976;0000;14;7.3;118.8;;;209.6;6.591398;3;0.6;;914.6;25.63871;20.117419;16.251613;72.524194;;
83344;30/06/1976;0000;5;7.8;99.6;;;212.9;5.966667;13;14.7;;916.171111;23.613333;18.004667;13.843333;77.05;;
83344;31/07/1976;0000;9;7.6;93.9;;;182.9;6.795699;16;34.5;;918.124731;22.148387;17.2;14.051613;79.056452;;
83344;31/08/1976;0000;9;7.8;129.4;;;258;5.387097;8;4.1;;916.649462;23.964516;17.975484;14.051613;72.709677;;
83344;30/09/1976;0000;5;8;152.4;;;215.2;6.555556;4;23.9;;914.373333;26.776667;20.416667;15.953333;69.016667;;
83344;31/10/1976;0000;9;8.1;98.8;;;157;7.731183;12;83.2;;913.491398;24.145161;19.35871;16.006452;78.975806;;
83344;30/11/1976;0000;9;5.8;76.7;;;133.7;8.633333;20;225.8;;912.311111;24.743333;20.596667;17.64;82.833333;;
83344;31/12/1976;0000;5;;138.5;;;241.6;6.903226;9;48.2;;911.977419;26.9;21.496667;17.358065;71.056452;;
83344;31/01/1977;0000;9;;95.7;;;145.9;7.956989;15;111.8;;912.149462;25.551613;20.97871;17.716129;80.225806;;
83344;28/02/1977;0000;9;7;63.5;;;149.2;7.952381;24;79.8;;914.729762;24.846429;20.137143;17.021429;86.473214;;
83344;31/03/1977;0000;9;5;125.3;;;269.6;4.903226;5;2.4;;913.009677;27.622581;21.390323;16.993548;73.919355;;
83344;30/04/1977;0000;9;8.3;83.5;;;168.4;7.611111;11;67.3;;913.261111;25.743333;20.752667;17.506667;81.016667;;
83344;31/05/1977;0000;9;6.1;73.2;;;173.8;7.150538;13;35.4;;915.107527;23.03871;18.349677;15.374194;83.645161;;
83344;30/06/1977;0000;9;6.1;55.2;;;119.2;7.666667;18;30.1;;916.374444;21.983333;17.804;15.283333;86.15;;
83344;31/07/1977;0000;9;6.6;68.5;;;174.2;6.247312;13;18.7;;917.097849;21.932258;16.989677;13.887097;83.532258;;
83344;31/08/1977;0000;9;6.6;129.3;;;253.1;4.11828;6;5.4;;915.793548;24.56129;18.059355;13.806452;72.241935;;
83344;30/09/1977;0000;9;8.3;101.9;;;121.8;6.955556;10;132;;915.855556;23.543333;18.572;15.216667;79.141667;;
83344;31/10/1977;0000;9;6.6;90.8;;;139.1;7.526882;14;36.2;;914.741935;24.496774;19.566452;16.329032;80.766129;;
83344;30/11/1977;0000;5;10.5;116.1;;;157.1;7.088889;12;62.1;;912.548889;27.16;21.395333;17.506667;76.325;;
83344;31/12/1977;0000;5;8.3;102.5;;;147.1;7.354839;14;213.9;;912.637634;26.458065;21.104516;17.312903;78.927419;;
83344;31/01/1978;0000;9;7.1;71.6;;;135;7.451613;22;258.8;;913.843011;25.535484;20.843226;17.445161;82.774194;;
83344;28/02/1978;0000;5;7.1;64.7;;;85.4;8.238095;14;131.2;;912.92619;25.457143;20.996429;17.921429;83.0625;;
83344;31/03/1978;0000;5;6.3;57.7;;;149.5;7.204301;21;139.3;;913.715054;25.387097;20.563871;17.435484;84.693548;;
83344;30/04/1978;0000;14;5.3;49.1;;;108.1;7.755556;21;137.8;;913.278889;23.95;19.929333;17.33;87.108333;;
83344;31/05/1978;0000;14;5.3;55.3;;;123.6;7.150538;9;31.6;;913.769892;23.654839;19.16129;16.009677;84.346774;;
83344;30/06/1978;0000;14;5.1;42.8;;;104.9;7.522222;15;26.7;;917.004444;21.063333;17.052667;14.386667;87.425;;
83344;31/07/1978;0000;14;6;53.2;;;130.1;7.064516;16;34.1;;915.607527;22.535484;17.892258;15.13871;85.919355;;
83344;31/08/1978;0000;14;6.5;73.2;;;210.8;5.795699;11;15;;917.188172;22.751613;16.954194;13.558065;80.919355;;
83344;30/09/1978;0000;14;5.5;90.4;;;163.5;7.388889;11;8.9;;916.223333;23.543333;17.970667;14.46;78.658333;;
83344;31/10/1978;0000;14;6.6;117.5;;;149.1;6.752688;7;33.4;;913.627957;26.212903;20.372903;16.109677;72.806452;;
83344;30/11/1978;0000;9;6.8;109.1;;;143.3;7.2;8;66.6;;913.085556;25.966667;20.427333;16.556667;76.733333;;
83344;31/12/1978;0000;9;6.8;77.2;;;143.9;7.483871;16;76.4;;912.897849;25.412903;20.620645;17.125806;81.120968;;
83344;31/01/1979;0000;9;5.8;74.6;;;79.4;8.247312;15;162;;911.673118;25.693548;21.174839;17.86129;80.241935;;
83344;28/02/1979;0000;9;5.8;60.9;;;128.8;7.904762;16;92;;912.647619;25.764286;20.945;17.567857;81.053571;;
