--------------------
BDMEP - INMET
--------------------
Estação           : RONCADOR - DF (OMM: 83373)
Latitude  (graus) : -15.93
Longitude (graus) : -47.88
Altitude  (metros): 1100.57
Estação Operante
Inicio de operação: 28/05/1979
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83373;30/04/1994;0000;9;2.055056;4.5;77.3;;;208.8;5.168539;12;164.2;;893.361798;26.62;20.855333;16.09;80.091667;;
83373;31/05/1994;0000;14;1.688172;4.5;98.4;;;232.1;4.16129;5;16.1;;894.317204;26.864516;19.985806;14.467742;76.927419;;
83373;30/06/1994;0000;9;1.73;4.5;110.6;;;243.1;3.422222;4;27.6;;895.415556;25.306667;17.934667;11.556667;72.241667;;
83373;31/07/1994;0000;9;2.173118;5;130.3;;;261.4;3.677419;1;1.6;;896.549462;25.3;17.673548;11.022581;65.66129;;
83373;31/08/1994;0000;9;2.177419;5;214.5;;;306.5;1.268817;0;0;;895.293548;28.209677;19.730968;11.790323;42.370968;;
83373;30/09/1994;0000;9;2.537778;5.6;261.1;;;281.4;2.2;0;0;;894.228889;30.483333;22.368;14.656667;39.041667;;
83373;31/10/1994;0000;5;2.130108;5;229.8;;;222.5;4.731183;7;45;;892.172043;30.796774;23.585806;16.819355;51.008065;;
83373;30/11/1994;0000;9;2.09;5.6;137.3;;;147.3;6.7;19;224.5;;891.555556;27.973333;22.380667;18.123333;70.8;;
83373;31/12/1994;0000;0;1.747312;10;89.3;;;142.5;7.526882;25;332.3;;891.989247;26.819355;21.549677;17.729032;81.072581;;
83373;31/01/1995;0000;0;1.433333;5.6;90.2;;;191.6;6.182796;20;164.5;;892.808602;27.609677;21.657419;16.435484;80.266129;;
83373;28/02/1995;0000;0;1.67619;5.6;68.4;;;146.4;7.130952;19;242;;892.6;27.15;21.441429;16.503571;82.553571;;
83373;31/03/1995;0000;0;1.509677;4.2;100.5;;;210.8;5.88172;18;317.2;;892.158065;27.909677;21.801935;16.403226;76.919355;;
83373;30/04/1995;0000;9;1.684444;4.5;75.8;;;163.4;6.488889;17;238.1;;892.15;26.596667;20.965333;16.636667;81.725;;
83373;31/05/1995;0000;14;1.572043;9.6;82.9;;;212;5.268817;5;53.3;;893.6;26.119355;20.207742;14.941935;80.185484;;
83373;30/06/1995;0000;9;1.977778;5;123.5;;;261.5;2.577778;0;0;;895.403333;25.4;18.078667;11.38;65.75;;
83373;31/07/1995;0000;5;2.331183;5;154.3;;;275.5;3.172043;0;0;;895.241935;26.035484;18.65871;12.258065;59.475806;;
83373;31/08/1995;0000;9;2.13871;5.6;224.9;;;283.7;1.666667;0;0;;894.849462;28.509677;20.51871;12.932258;42.774194;;
83373;30/09/1995;0000;5;2.395556;7.6;233.2;;;248.5;3.222222;2;5;;894.828889;29.78;22.107333;14.29;44.308333;;
83373;31/10/1995;0000;0;1.739785;5.6;179;;;209.5;5.645161;14;73.9;;891.626882;30.425806;22.639355;16.125806;60.653226;;
83373;30/11/1995;0000;0;1.48;4.4;88.2;;;135;7.522222;18;320.5;;891.516667;26.88;20.896;16.136667;77.75;;
83373;31/12/1995;0000;32;1.719355;5;74.5;;;130.8;7.591398;23;278.8;;891.013978;26.506452;21.103226;16.832258;82.258065;;
83373;31/01/1996;0000;0;1.689247;6.2;111.1;;;222.8;5.290323;12;47.4;;891.27957;28.274194;21.843226;15.803226;70.024194;;
83373;29/02/1996;0000;0;1.671264;7.1;117.7;;;229.5;5.390805;12;190;;891.941379;28.862069;21.884138;16.086207;70.646552;;
83373;31/03/1996;0000;9;2.053763;5;80.3;;;174.5;5.956989;15;304.7;;892.078495;27.63871;21.566452;16.532258;79.274194;;
83373;30/04/1996;0000;9;1.844444;6;98.3;;;212.5;4.744444;7;39.7;;893.146667;26.896667;20.664;15.063333;73.75;;
83373;31/05/1996;0000;9;1.817204;6;118.7;;;225.6;3.892473;4;26.5;;894.02043;26.619355;19.613548;13.535484;70.330645;;
83373;30/06/1996;0000;14;2.266667;5;129.4;;;269.9;2;0;0;;895.601111;25.556667;17.606;11.043333;62.533333;;
83373;31/07/1996;0000;14;2.806452;8;180.3;;;292.9;1.870968;0;0;;896.526882;26.496774;18.290323;10.564516;48.467742;;
83373;31/08/1996;0000;14;2.924731;8;192.8;;;266.2;2.806452;4;48;;895.172043;27.822581;19.930323;13.209677;49.808333;;
83373;30/09/1996;0000;14;2.977778;9;180.2;;;213.8;4.5;7;37.9;;893.724444;28.903333;21.723333;15.64;52.258333;;
83373;31/10/1996;0000;5;2.225806;7;137.5;;;161.5;7.010753;11;114;;892.133333;28.941935;22.326452;16.674194;67.387097;;
83373;30/11/1996;0000;32;2.6;8;95.5;;;139.5;7.311111;20;260.6;;891.08;26.353333;21.072667;16.806667;78.375;;
83373;31/12/1996;0000;32;2.27957;7;100;;;164.9;6.741935;20;274.3;;891.995699;27.86129;21.692258;17.177419;75.346774;;
