--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Estação Operante
Inicio de operação: 20/11/1923
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83648;31/01/1961;0000;5;2.717391;6;68.7;;;161.5;5.717391;21;348.8;;;30.074194;25.738065;22.780645;81.895161;;
83648;28/02/1961;0000;5;2.988095;7;87.6;;;273.6;3.285714;5;73.4;;;32.203571;26.690714;23.05;75.589286;;
83648;31/03/1961;0000;5;2.852688;7;101.7;;;273.1;3.774194;9;22.7;;;31.870968;26.490968;22.948387;74.33871;;
83648;30/04/1961;0000;5;2.133333;6;89.2;;;226.8;3.866667;5;66.7;;;31.04;25.715333;22.326667;76;;
83648;31/05/1961;0000;;;;;;;;;;0;;;;;;;;
83648;30/06/1961;0000;23;1.842697;6;60.6;;;176.7;4.224719;13;253.3;;;26.603333;22.072;19.223333;81.658333;;
83648;31/07/1961;0000;0;1.806452;6;66.8;;;207.4;3.752688;13;98.6;;;26.129032;21.339355;18.335484;79.314516;;
83648;31/08/1961;0000;5;2.677419;6;87.2;;;257.9;2.397849;3;10.3;;;28.009677;22.431613;18.925806;74.830645;;
83648;30/09/1961;0000;5;3.4;6;107.7;;;226.6;4.244444;5;13.1;;;29.886667;24.344;20.966667;71.85;;
83648;31/10/1961;0000;5;2.408602;7;94.4;;;218.5;5.043011;11;48.7;;;29.148387;24.550323;21.348387;75.193548;;
83648;30/11/1961;0000;5;3.3;8;109.2;;;206.2;5.633333;8;49.3;;;29.846667;24.956;21.626667;73.883333;;
83648;31/12/1961;0000;5;3.107527;8;98.4;;;203.8;6.064516;14;119.4;;;29.709677;25.249032;22.058065;76.75;;
83648;31/01/1962;0000;5;2.580645;14;84.1;;;199.3;6.752688;15;177.3;;;30.706452;26.123871;22.732258;77.887097;;
83648;28/02/1962;0000;5;2.964286;6;89.6;;;146.9;5.952381;8;47;;;31.082143;26.259286;23.232143;76.223214;;
83648;31/03/1962;0000;5;2.075269;7;94.3;;;250.7;4.064516;14;29.4;;;31.351613;26.448387;22.970968;77.096774;;
83648;31/05/1962;0000;23;2.98913;8;104.4;;;212.4;4.434783;8;39.4;;;27.535484;23.12;20.064516;73.266129;;
83648;30/06/1962;0000;23;2.711111;7;94.4;;;176.1;5.355556;10;23.2;;;24.92;20.816;18.133333;74.408333;;
83648;31/07/1962;0000;23;2.924731;14;85.1;;;190.7;4.612903;12;65.4;;;24.9;20.894839;18.025806;76.5;;
83648;31/08/1962;0000;5;3;8;100.5;;;233.4;4.290323;5;9;;;26.787097;22.078065;18.893548;73.629032;;
83648;30/09/1962;0000;5;3.411111;8;85.1;;;149.1;5.711111;12;39.1;;;26.036667;22.274667;19.556667;77.425;;
83648;31/10/1962;0000;5;2.946237;10;87;;;130.8;7.387097;16;72;;;26.854839;22.980645;20.106452;76.846774;;
83648;30/11/1962;0000;5;3.811111;10;95.1;;;205.9;5.111111;10;80.9;;1009.29;28.306667;24.298;21.43;76.616667;;
83648;31/12/1962;0000;5;2.462366;7;70.1;;;145.8;6.967742;22;287.2;;;28.683871;24.84;21.906452;81.104839;;
83648;31/01/1963;0000;5;3.268817;7;119.2;;;335.1;2.677419;3;11.8;;;32.464516;27.044516;23.406452;72.370968;;
