--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSA - GO (OMM: 83379)
Latitude  (graus) : -15.54
Longitude (graus) : -47.33
Altitude  (metros): 935.19
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83379;31/01/1961;0000;0;1.228261;4;45;;;;9.043478;26;358.7;;909.686957;26.277419;21.406452;18.077419;87.298387;;
83379;28/02/1961;0000;0;1.071429;4;60.5;;;162.2;7.297619;20;238.6;;910.54881;27.971429;22.211429;17.742857;80.973214;;
83379;31/03/1961;0000;36;1.408602;4;77.7;;;223.8;6.096774;9;65.6;;910.752688;28.76129;22.590323;17.877419;78.620968;;
83379;30/04/1961;0000;36;1.266667;4;100.9;;;265.4;4.455556;4;128.4;;910.91;29.446667;22.958667;17.66;75.125;;
83379;31/05/1961;0000;9;1.430108;4;85.2;;;299.5;4.72043;3;44.8;;912.805376;27.870968;20.757419;15.483871;75.717742;;
83379;30/06/1961;0000;9;1.833333;6;105.1;;;282.9;3.522222;0;0;;914.24;27.086667;19.590667;13.78;83.066667;;
83379;31/07/1961;0000;9;1.763441;4;155.3;;;315.5;3.698925;0;0;;914.452688;26.693548;19.041935;12.63871;58.532258;;
83379;31/08/1961;0000;0;1.344086;4;188.9;;;340.2;1.763441;0;0;;913.736559;29.083871;21.129032;13.309677;44.951613;;
83379;30/09/1961;0000;0;1.022222;3;265.6;;;319.1;0.822222;0;0;;910.904444;33.613333;24.938667;16.073333;36.15;;
83379;31/10/1961;0000;0;1.139785;4;190.8;;;242.8;4.483871;8;61.8;;910.506452;30.445161;23.769677;16.974194;54.919355;;
83379;30/11/1961;0000;0;1.255556;4;138.4;;;238;5.688889;3;26.5;;909.624444;31.42;24.402667;18.126667;60.683333;;
83379;31/01/1962;0000;0;0.73913;;50.8;;;140.9;;21;146.3;;909.476087;27.683871;22.562581;19.219355;84.620968;;
83379;28/02/1962;0000;0;0.952381;;50.3;;;185.3;;20;324.4;;909.930952;28.407143;22.795714;19.071429;82.026786;;
