--------------------
BDMEP - INMET
--------------------
Estação           : IPAMERI - GO (OMM: 83522)
Latitude  (graus) : -17.71
Longitude (graus) : -48.16
Altitude  (metros): 772.99
Estação Operante
Inicio de operação: 10/02/1977
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83522;28/02/1977;0000;0;;9;;;;;1.584906;2;4.1;;;30.261111;23.762222;18.216667;;;
83522;31/03/1977;0000;0;1.182796;6;212.9;;;238.2;2.494624;10;99.8;;;;;19.241935;69.545161;;
83522;30/04/1977;0000;0;1.222222;7;86.7;;;193.8;3.111111;13;90.2;;;;;17.913333;78.156667;;
83522;31/05/1977;0000;0;0.88172;6;98;;;210.8;3.526882;5;41.5;;;;;14.1;78.196774;;
83522;30/06/1977;0000;0;0.7;3;107.8;;;208.5;3.388889;4;12.4;;;;;12.866667;77.323333;;
83522;31/07/1977;0000;0;1.666667;10;179.2;;;296.1;1.860215;0;0;;;;;10.725806;66.296774;;
83522;31/08/1977;0000;0;1.150538;8;195.9;;;260;2.354839;2;4.1;;;;;13.919355;58.974194;;
83522;30/09/1977;0000;0;1.033333;6;174.6;;;184.4;3.344444;8;49.7;;;;;15.766667;68.076667;;
83522;31/10/1977;0000;0;1.183908;10;159.2;;;206.8;4.885057;12;106.8;;;;;18.793103;70.306897;;
83522;30/11/1977;0000;0;1.244444;10;97;;;156.9;6.233333;19;248.9;;;;;20.623529;78.596667;;
83522;31/12/1977;0000;0;0.924731;5;100;;;170.2;6.774194;19;225.7;;;;;19.03871;79.622581;;
83522;31/01/1978;0000;0;1.111828;7;117.5;;;184.2;5.532609;16;314;;;29.470968;23.626452;19.7;78.170968;;
83522;28/02/1978;0000;0;0.988095;10;104.6;;;176.1;6.214286;18;178.6;;;30.452632;24.217895;19.582143;77.378571;;
83522;31/03/1978;0000;0;0.827957;5;116.3;;;204.5;5.053763;14;207.4;;;;;18.206452;77.696774;;
83522;30/04/1978;0000;0;0.922222;6;91;;;185.6;4.561798;10;90.2;;;;;16.783333;79.16;;
83522;31/05/1978;0000;0;0.731183;6;110.9;;;196.2;3.784946;7;32.8;;;;;14.070968;76.332258;;
83522;30/06/1978;0000;0;0.775556;3;108;;;239.3;3.166667;1;0.9;;;;;11.183333;73.32;;
83522;31/07/1978;0000;0;1.139785;7;139.4;;;218.1;3.311828;3;30.9;;;;;12.532258;70.148387;;
83522;31/08/1978;0000;0;1.193548;7;197.3;;;245.7;2.301075;0;0;;;28.203333;19.088;12.229032;59.674194;;
83522;30/09/1978;0000;0;1.153333;7;216.1;;;193.7;3.733333;4;14.9;;;29.6;22.18;16.183333;59.25;;
83522;31/10/1978;0000;0;0.978261;7;183.6;;;187.6;5.956522;14;128.8;;;30.496774;23.552903;18.474194;66.246667;;
83522;30/11/1978;0000;0;1.917778;5.1;100.2;;;134.8;7.177778;17;227.2;;928.197674;28.006667;22.778667;19.063333;78.663333;;
83522;31/12/1978;0000;27;1.849462;8.1;96.7;;;163.8;7.430108;22;250.6;;928.08172;28.293548;22.744516;18.325806;80.583871;;
83522;30/04/1979;0000;;;;;;;;;;7.3;;;;;;;;
83522;31/05/1979;0000;;;;;;;;;;0;;;;;;;;
83522;30/06/1979;0000;;;;;;;;;;0;;;;;;;;
83522;31/07/1979;0000;5;1.451471;4.1;;;;;3.073529;;2.5;;932.302941;26.643478;17.743478;9.743478;;;
83522;31/08/1979;0000;0;1.882609;5.1;184.3;;;218.5;3.645161;;41.4;;928.227957;29.274194;20.103226;10.867742;62.596774;;
83522;30/09/1979;0000;0;1.424691;5.1;135.3;;;147.2;5.938272;;92.4;;928.017284;29.025926;21.97037;14.944444;65.305556;;
83522;31/10/1979;0000;0;1.805172;7.6;;;;;4.758621;;28;;926.532759;30.878947;23.887368;17.784211;;;
83522;30/11/1979;0000;27;1.8025;5.7;99.3;;;176.8;5.925;;219.6;;924.2825;29.418519;23.432593;19.02963;73.648148;;
83522;31/12/1979;0000;18;1.485938;3.1;;;;;7.421875;15;205.8;;925.267188;28.685714;23.51619;20.128571;;;
83522;31/01/1980;0000;0;1.586957;4.6;82.5;;;142.6;6.681319;22;310.6;;927.233696;28.525806;22.988387;19.354839;81.766129;;
83522;29/02/1980;0000;23;1.773563;5.1;69.5;;;116.7;7.54023;20;344.3;;926.233333;27.57931;22.641379;19.186207;82.956897;;
83522;31/03/1980;0000;23;1.87957;5.7;145.3;;;250.1;3.791209;;15;;929.410753;30.116129;23.098065;17.296774;71.620968;;
