--------------------
BDMEP - INMET
--------------------
Estação           : PIRENOPOLIS - GO (OMM: 83376)
Latitude  (graus) : -15.85
Longitude (graus) : -48.96
Altitude  (metros): 740.00
Estação Operante
Inicio de operação: 17/02/1977
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83376;28/02/1977;0000;;;;;;;;;;38.4;;;;;;;;
83376;31/03/1977;0000;0;1.172043;7;124.4;;;229.1;5.741935;14;144.4;;;30.912903;23.78129;18.977419;76.677419;;
83376;30/04/1977;0000;0;1.555556;7;58.9;;;201.9;5.011111;13;135.5;;;29.226667;22.84;18.736667;78.641667;;
83376;31/05/1977;0000;0;1.688172;8;130;;;201.7;4.924731;7;34.8;;;28.032258;20.558065;15.7;75.33871;;
83376;30/06/1977;0000;0;1.433333;8;123.7;;;218.6;4.433333;8;94;;;27.906667;20.797333;16.22;74.575;;
83376;31/07/1977;0000;0;1.548387;12;214;;;299.6;1.580645;;0;;;29.7;20.418065;13.76129;58.540323;;
83376;31/08/1977;0000;0;1.430108;7;234.5;;;242.7;3.569892;2;7.6;;;32.112903;22.889677;16.096774;54.919355;;
83376;30/09/1977;0000;0;1.933333;8;212.8;;;151.3;5.811111;8;34;;;30.9;23.648667;18.17;62.833333;;
83376;31/10/1977;0000;0;1.722222;9;147;;;188;5.966667;13;141.6;;;30.98;24.549333;19.106667;69.641667;;
83376;31/12/1977;0000;0;1.478261;9;78.6;;;141.6;7.130435;24;241.6;;;28.609677;23.240645;19.677419;83.846774;;
83376;31/01/1978;0000;0;1.204301;9;90.7;;;166;6.236559;20;414.4;;;28.558065;23.083226;18.941935;82.459677;;
83376;28/02/1978;0000;0;0.678571;7;73.5;;;130.3;6.845238;19;304.7;;;28.735714;23.176429;19.642857;83.607143;;
83376;31/03/1978;0000;0;0.989247;5;108;;;187.3;5.516129;17;148.2;;;28.641935;22.63871;18.354839;78.209677;;
83376;30/04/1978;0000;0;0.844444;5;88.4;;;187;5.455556;15;117.4;;;28.6;22.442667;18.343333;79.375;;
83376;31/05/1978;0000;0;1.129032;5;116.4;;;232.1;4.053763;4;40;;;28.429032;20.895484;15.841935;74.072581;;
83376;30/06/1978;0000;0;1.666667;10;142.3;;;254.4;3.177778;2;3.9;;;27.766667;19.748;14.113333;67.4;;
83376;31/07/1978;0000;0;2.11828;9;184.2;;;237.1;4.301075;5;18.9;;;28.719355;20.767742;15.270968;62.975806;;
83376;31/08/1978;0000;9;2.354839;9;260.8;;;258.7;2.344086;0;0;;;30.416129;21.567097;14.570968;48.943548;;
83376;30/09/1978;0000;0;2.433333;9;261.5;;;181.7;5.522222;10;42.4;;;30.913333;23.784667;18.393333;50.791667;;
83376;31/10/1978;0000;0;1.225806;7;188.9;;;185.4;6.107527;13;144.5;;;30.887097;24.205806;19.296774;65.008065;;
83376;30/11/1978;0000;0;1.558889;5.1;104.2;;;105.1;7.122222;20;112.4;;926.1;28.573333;23.267333;19.566667;76.3;;
83376;31/12/1978;0000;5;1.28172;5.1;86.7;;;141.9;7.548387;25;351.2;;926.78172;27.741935;22.765161;19.403226;81.725806;;
83376;31/01/1979;0000;;;;;;;;;;32.5;;;;;;;;
83376;31/03/1979;0000;;;;;;;;;;0.4;;;;;;;;
83376;30/04/1979;0000;;;;;;;;;;13.6;;;;;;;;
83376;31/05/1979;0000;;;;;;;;;;0;;;;;;;;
83376;31/07/1979;0000;5;1.725352;5.1;159.8;;;;2.591549;;0;;932.585915;29.229167;20.339167;14.520833;57.3125;;
83376;31/08/1979;0000;5;1.702667;4.6;193.6;;;;3.88;;21;;928.884;31.02;22.1584;16.02;53.49;;
83376;30/09/1979;0000;0;1.716667;5.7;119.4;;;;7.181818;;101.7;;928.462121;30.7;23.818182;19.131818;;;
83376;31/10/1979;0000;23;1.810345;5.1;164.7;;;207.2;5.781609;;107.3;;926.957471;31.4;24.31931;19.148276;64.526786;;
83376;30/11/1979;0000;0;1.577381;6.2;95.1;;;171.3;6.309524;16;279.1;;925.69881;29.289286;23.225;18.807143;75.383929;;
83376;31/12/1979;0000;0;1.883871;5.7;68.9;;;121.7;8.129032;30;256.4;;926.195699;28.667742;23.22129;19.422581;83.016129;;
83376;31/01/1980;0000;0;1.43871;6.2;56;;;108.5;8.11828;28;331;;926.090323;27.387097;22.670323;19.393548;85.387097;;
83376;29/02/1980;0000;23;1.902299;6.2;49.5;;;77.1;9.034483;26;458;;925.03908;26.644828;22.18069;19.575862;87.732759;;
