--------------------
BDMEP - INMET
--------------------
Estação           : RIO VERDE - GO (OMM: 83470)
Latitude  (graus) : -17.8
Longitude (graus) : -50.91
Altitude  (metros): 774.62
Estação Operante
Inicio de operação: 01/01/1971
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83470;30/11/1971;0000;0;1.119318;10;93.7;;;148.8;4.58427;;98.5;;;29.566667;23.264;18.383333;73.663333;;
83470;31/12/1971;0000;0;0.516129;7;57.1;;;80.3;6.763441;24;367.1;;;28.164516;22.941935;19.412903;;;
83470;31/01/1972;0000;0;0.526882;7;79.2;;;134.5;6.488372;20;217.3;;;28.529032;22.528387;18.725806;;;
83470;29/02/1972;0000;23;0.494253;7;56.1;;;;7.367816;21;203.8;;;28.417241;22.662069;19.144828;85.531034;;
83470;31/03/1972;0000;0;0.301075;3;84.7;;;220.3;5.268817;15;118.4;;;30.637931;23.731724;19.116129;79.732258;;
83470;30/04/1972;0000;0;0.166667;5;97.3;;;246.6;3.644444;;75;;;29.02;21.653333;16.423333;75.343333;;
83470;31/05/1972;0000;0;0.053763;1;148.7;;;264;2.741935;;28.1;;;29.496774;21.914839;16.622581;67.619355;;
83470;30/06/1972;0000;0;0.044944;1;176.4;;;257.6;1.977778;;0;;;29.441379;21.39931;15.333333;63.631034;;
83470;31/07/1972;0000;0;0.268817;5;181.7;;;243.8;3.451613;;26.1;;;28.380645;20.64129;14.758065;64.948387;;
83470;31/08/1972;0000;5;0.424731;7;258.4;;;274.5;2.634409;;10;;;30.519355;22.356774;16.077419;60.632258;;
83470;30/09/1972;0000;23;0.8;5;227.6;;;201.4;4.033333;;53.4;;;30.306667;23.185333;17.236667;67.22;;
83470;31/10/1972;0000;5;0.88172;10;158.4;;;194;5.580645;16;242;;;30.283871;23.870968;19.283871;75.583871;;
83470;30/11/1972;0000;9;0.55;10;81.1;;;124.1;7.322222;22;357.2;;;29.27;23.713333;19.95;84.41;;
83470;31/12/1972;0000;36;0.734409;5;76.6;;;182.7;6.526882;20;285.5;;927.939623;29.909677;23.801935;20.203226;84.396774;;
83470;31/01/1973;0000;0;0.752688;6;95.8;;;207.2;5.548387;16;144.2;;930.517204;31.374194;24.709677;20.322581;81.335484;;
83470;28/02/1973;0000;36;0.5;5;75.9;;;168.4;5.892857;16;168;;930.211905;31.1;24.3464;20.110714;84.368;;
