--------------------
BDMEP - INMET
--------------------
Estação           : ALTO PARNAIBA - MA (OMM: 82970)
Latitude  (graus) : -9.1
Longitude (graus) : -45.93
Altitude  (metros): 285.05
Estação Operante
Inicio de operação: 21/08/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82970;30/09/1976;0000;5;1.622472;4.8;199.2;;;241.7;4.977528;;51.1;;977.966292;34.286667;24.701333;18.111538;61.158333;;
82970;31/10/1976;0000;14;1.709677;4.8;163.8;;;209.6;6.387097;;70.6;;976.678495;32.63871;25.684516;20.762069;69.75;;
82970;31/12/1976;0000;5;1.401087;5;93.5;;;196.2;6.130435;17;163.3;;976.190217;30.948387;24.105161;20.18;81.620968;;
82970;31/01/1977;0000;5;1.703226;5.1;94.2;;;162.8;8.086022;21;248;;977.045161;30.535484;24.579355;20.887097;81.669355;;
82970;31/03/1977;0000;18;1.28375;3.3;96.4;;;191;7.413043;17;127.8;;977.203261;32.135484;25.276774;20.970968;84.024194;;
82970;30/04/1977;0000;14;1.62987;6;88.4;;;153.6;7.355556;19;381;;977.438889;31.323333;25.002;20.996667;83.041667;;
82970;31/05/1977;0000;14;1.582051;4.6;137.8;;;234.6;6.397849;6;18.8;;978.419355;31.612903;24.639355;19.674194;75.685484;;
82970;30/06/1977;0000;14;1.678652;5.3;173.3;;;264.3;4.3;3;9.1;;979.394444;32.036667;23.524;17.35;70.983333;;
82970;31/07/1977;0000;14;2.011688;5;237.4;;;301.8;2.709677;1;0.3;;979.630108;32.496774;22.840645;15.590323;61.935484;;
82970;31/08/1977;0000;14;1.685542;6.6;243.5;;;312.4;3.204301;2;5.1;;978.473118;34.587097;24.136129;15.851613;56.58871;;
82970;30/09/1977;0000;14;2.188406;6.5;241.5;;;228;5.377778;8;113.6;;978.069318;34.613333;25.297241;18.23;58.857143;;
82970;31/10/1977;0000;18;1.81413;4.5;157.8;;;187.3;6.956989;19;180.3;;977.421505;32.845161;26.15871;21.425806;71.104839;;
82970;30/11/1977;0000;14;1.577193;5.3;122.4;;;170.2;6.862069;13;103.7;;976.396512;32.365517;25.87;21.2;76.101852;;
82970;31/12/1977;0000;18;1.322581;4.6;102.2;;;153.6;7.075269;17;316.6;;976.978495;31.270968;25.37871;21.406452;82.669355;;
82970;31/01/1978;0000;14;1.408602;7;116.3;;;182;6.139785;17;161.1;;978.036559;31.964516;25.386452;20.877419;81.709677;;
82970;28/02/1978;0000;;;4.5;101.4;;;104.7;7.474359;20;342;;977.126316;31.222222;25.4216;21.860714;83.572917;;
82970;31/03/1978;0000;14;1.609524;4.6;105.3;;;133.2;7.903226;16;289;;978.18587;30.56129;24.854194;20.712903;82.391667;;
82970;30/04/1978;0000;14;1.603333;5.5;112.3;;;194.2;6.177778;12;86.5;;977.335556;31.6;25.078;20.346667;79.016667;;
82970;31/05/1978;0000;14;1.377174;5.5;135.3;;;192.9;5.645161;8;89.9;;978.108602;31.332258;24.810323;20.254839;78.169355;;
82970;30/06/1978;0000;14;2.165823;8.1;203.2;;;243.2;3.877778;1;0.3;;980.822222;31.176667;23.634;17.286667;67.233333;;
82970;31/08/1978;0000;14;1.915217;6;284.7;;;305.2;2.521739;;0;;980.265217;33.670968;23.496129;15.609677;56.983871;;
82970;30/09/1978;0000;14;2.087778;4.8;278.2;;;228.5;5.438202;4;16.6;;978.1625;34.593103;26.144828;19.686667;54.663793;;
82970;31/10/1978;0000;14;1.72967;4.6;191.7;;;161.4;6.648352;11;68.6;;977.063736;33.280645;26.055484;20.987097;66.25;;
82970;30/11/1978;0000;14;1.456322;4.1;148.6;;;160.4;6.597701;11;135;;976.682759;32.182759;25.864828;20.824138;71.612069;;
82970;31/12/1978;0000;14;1.641935;5.3;106.6;;;151.6;7.537634;20;229.7;;977.393548;31.180645;25.226452;21.058065;79.580645;;
82970;31/01/1979;0000;36;1.415854;4.6;67.8;;;97.6;8.024691;21;459.9;;976.746341;30.103448;24.962143;21.475862;84.1875;;
82970;31/05/1979;0000;14;1.535088;6.6;;;;196.3;4.55;;17.2;;978.675;32.268;25.214;19.296;71.4375;;
82970;30/06/1979;0000;14;2.374026;5.5;207.9;;;263.8;2.402597;;0;;981.344156;31.15;23.302963;16.414815;64.333333;;
82970;31/10/1979;0000;14;1.6;7.1;;;;;5.964286;;94.6;;976.539286;33.995;26.701053;21.305;69.986842;;
82970;30/11/1979;0000;14;1.677381;5.1;102.2;;;133.3;6.761905;16;126.5;;976.12619;31.203571;25.825714;21.789286;78.6875;;
82970;31/12/1979;0000;14;1.602299;5.5;140;;;150;6.850575;15;137.8;;976.503409;32.906897;26.132414;21.616667;77.783333;;
82970;31/01/1980;0000;5;1.555;4.8;;;;105;7.5;16;213.4;;977.291667;31.680769;25.22;21.888462;84.475;;
82970;29/02/1980;0000;;;4.1;;;;;;20;272.3;;976.544186;29.8;;21.747619;;;
82970;31/03/1980;0000;;;;128.6;;;178.9;;;49;;;32.453571;;20.792857;;;
82970;30/04/1980;0000;;;3.5;;;;;;;47.6;;977.512195;32.1;;20.738889;;;
82970;31/05/1980;0000;14;1.6125;4.6;;;;236;3.444444;;0;;978.829167;33.6;25.580833;18.848;63.010417;;
82970;30/06/1980;0000;;;;141.8;;;272.6;;;0;;;33.056667;;17.713333;;;
82970;31/07/1980;0000;;;;246.8;;;299.9;;;0;;;33.309677;;15.56129;;;
82970;31/08/1980;0000;;;4.6;288.5;;;262.1;;;0;;979.220513;34.828571;;16.325;;;
82970;30/09/1980;0000;;;6.1;;;;183.4;;;57.8;;978.230556;34.873077;;20.196154;;;
82970;31/10/1980;0000;;;4.6;;;;;;;16.4;;977.474359;34.973913;;21.091304;;;
82970;30/11/1980;0000;18;1.374324;4.6;;;;86;7.148649;17;127.8;;976.801351;30.776;25.6288;22.256;80.93;;
82970;31/12/1980;0000;18;1.698246;6.3;;;;;6.842105;;126.1;;976.561404;30.304545;25.355789;21.895455;82.315789;;
82970;31/01/1981;0000;;;;85;;;144.2;;23;224.7;;;30.741935;;21.3;;;
82970;28/02/1981;0000;;;;124.7;;;205.2;;;83.4;;;32.346429;;20.628571;;;
82970;31/03/1981;0000;;;;67.9;;;87.3;;22;381;;;30.729032;;22.041935;;;
82970;30/04/1981;0000;;;;126.5;;;242.4;;;151.3;;;31.63;;20.363333;;;
82970;31/05/1981;0000;;;;167.8;;;286.3;;;0;;;32.170968;;17.419355;;;
82970;30/06/1981;0000;;;;212.4;;;283.6;;;0;;;32.193333;;16.99;;;
82970;31/07/1981;0000;;;;261;;;304.2;;;0;;;32.274194;;15.935484;;;
82970;31/08/1981;0000;;;;258.7;;;290.6;;;0;;;33.719355;;16.629032;;;
82970;30/09/1981;0000;;;;287.9;;;268.6;;;0;;;35.853333;;17.456667;;;
82970;31/10/1981;0000;;;;147.6;;;157.6;;17;132.9;;;33.325806;;20.551613;;;
82970;30/11/1981;0000;;;;108.2;;;122.8;;20;242;;;31.356667;;21.523333;;;
82970;31/12/1981;0000;;;;117.7;;;182;;15;102.2;;;32.245161;;21.648387;;;
82970;31/01/1982;0000;;;4.6;;;;;;;259.3;;976.420833;29.96875;24.97375;21.7625;85.21875;;
82970;28/02/1982;0000;;;2.5;;;;;;;108;;976.5;;;;;;
82970;31/03/1982;0000;;;5.1;;;;;;;83.7;;976.906452;;;;;;
82970;30/04/1982;0000;;;4;;;;;;;0.7;;976.894286;;;;;;
82970;31/05/1982;0000;;;5.5;;;;;;;0;;978.726667;32.453333;25.194667;19.72;67.8;;
82970;30/06/1982;0000;;;;100.2;;;267.6;;;0;;;33.003333;;17.56;;;
82970;31/07/1982;0000;;;;156.1;;;280.7;;;0;;;33.058065;;15.774194;;;
82970;31/08/1982;0000;;;;;;;;;;0;;;;;;;;
82970;30/09/1982;0000;;;;;;;;;;18.1;;;;;;;;
82970;31/10/1982;0000;;;5;;;;;;;56.3;;976.78125;;;;;;
82970;30/11/1982;0000;5;1.152055;3.5;;;;153.5;5.082192;;75.4;;975.961644;33.208333;26.501667;21.441667;72.6875;;
82970;31/12/1982;0000;;;8.7;;;;;;;41.9;;976.010638;32.5;25.995;21.44375;75.15625;;
82970;31/01/1983;0000;;;;78.5;;;124.1;;22;332.4;;;31.025806;;22.135484;;;
82970;28/02/1983;0000;;;;131.1;;;166.8;;;182.1;;;31.846429;;21.964286;;;
82970;31/03/1983;0000;;;;84.6;;;127.2;;24;150.9;;;31.193548;;22.174194;;;
82970;30/04/1983;0000;;;;141.5;;;268.4;;;51.2;;;32.993333;;20.696667;;;
82970;31/05/1983;0000;;;;171.2;;;300.9;;;0;;;34.73871;;18.529032;;;
82970;30/06/1983;0000;;;;203.9;;;281.4;;;0;;;34.11;;16.86;;;
82970;31/07/1983;0000;;;;232.9;;;296.6;;;0;;;34.422581;;16.490323;;;
82970;31/08/1983;0000;;;;252.9;;;300.8;;;0;;;35.470968;;17.483871;;;
82970;30/09/1983;0000;;;;255.5;;;240.9;;;;;;36.953333;;19.313333;;;
82970;31/10/1983;0000;;;;211.4;;;176.3;;;22.1;;;34.770968;;22.16129;;;
82970;30/11/1983;0000;;;;136.5;;;143.7;;17;195.8;;;32.6;;22.083333;;;
82970;31/12/1983;0000;;;;84.1;;;;;19;251.8;;;31.396774;;21.270968;;;
82970;31/01/1984;0000;;;;103.4;;;;;17;166.7;;;31.396774;;21.148387;;;
82970;29/02/1984;0000;;;;67.2;;;141.2;;;108.4;;;30.958621;;20.962069;;;
82970;31/03/1984;0000;;;;62.2;;;153.6;;23;349.7;;;30.66129;;21.490323;;;
82970;30/04/1984;0000;;;;74.9;;;154;;20;163;;;30.586667;;21.73;;;
82970;31/05/1984;0000;;;;137.4;;;269;;;22.8;;;32.412903;;19.919355;;;
82970;30/06/1984;0000;;;;181.4;;;290.7;;;0;;;32.48;;17.18;;;
82970;31/07/1984;0000;;;;275.9;;;258.4;;;0;;;32.883871;;16.629032;;;
82970;31/08/1984;0000;;;;226.7;;;;;;31.6;;;34.748387;;18.154839;;;
82970;30/09/1984;0000;;;;193.9;;;;;;19.3;;;34.126667;;20.97;;;
82970;31/10/1984;0000;;;;170.6;;;;;;64.8;;;34.158065;;21.641935;;;
82970;30/11/1984;0000;;;;145.1;;;219.3;;;131.3;;;33.92;;21.37;;;
82970;31/12/1984;0000;;;;99.2;;;181.3;;16;113.8;;;32.33871;;21.425806;;;
82970;31/01/1985;0000;;;;55.7;;;;;26;593;;;29.703226;;21.580645;;;
82970;28/02/1985;0000;;;;60;;;135.2;;24;236.6;;;30.5;;21.1;;;
