--------------------
BDMEP - INMET
--------------------
Estação           : BARRA DO CORDA - MA (OMM: 82571)
Latitude  (graus) : -5.5
Longitude (graus) : -45.23
Altitude  (metros): 153.00
Estação Operante
Inicio de operação: 14/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82571;31/01/1961;0000;0;0.73913;4;40.6;;;;4.728261;12;121.2;;;32.687097;26.392258;20.719355;78.217742;;
82571;28/02/1961;0000;0;0.738095;4;52.5;;;;4.309524;20;269.2;;;31.160714;25.065714;19.907143;83.651786;;
82571;31/03/1961;0000;0;0.516129;2;31.4;;;167.5;4.408602;23;244.9;;;31.045161;25.189677;20.306452;86.379032;;
82571;30/04/1961;0000;0;0.244444;2;34.5;;;180.6;3.933333;13;162.4;;;31.793333;25.432;20.18;84.8;;
82571;31/05/1961;0000;0;0.516129;2;18.3;;;;3.892473;6;36.5;;;31.890323;25.256774;19.619355;84.282258;;
82571;30/06/1961;0000;0;0.577778;4;78.1;;;;2.277778;1;0.7;;;32.273333;24.109333;17.086667;76.933333;;
82571;31/07/1961;0000;0;0.83871;2;79.2;;;302.9;2.16129;0;0;;;33.380645;23.873548;15.096774;74.112903;;
82571;30/09/1961;0000;0;0.764045;2;59.7;;;241;3.41573;4;29.3;;;35.786667;27.492667;20.083333;62.366667;;
82571;31/10/1961;0000;0;0.55914;4;81.9;;;;2.98913;6;25.7;;;36.316129;28.389677;21.083871;59.330645;;
82571;30/11/1961;0000;0;0.644444;2;79.1;;;;3.733333;5;30.5;;;34.593333;27.313333;20.7;66.183333;;
82571;31/12/1961;0000;0;0.473118;2;40.5;;;;4.107527;11;81;;;32.609677;26.036774;20.451613;76.467742;;
82571;31/01/1962;0000;0;0.455914;2.4;62.7;;;;3.946237;12;140.4;;;32.922581;26.209032;20.445161;76.5;;
82571;28/02/1962;0000;0;0.380952;2;28.8;;;;3.916667;13;163.5;;;31.871429;25.645;20.239286;82.678571;;
82571;31/03/1962;0000;0;0.215054;2;24.4;;;184.6;4.258065;21;126.4;;;31.180645;25.308387;20.193548;85.064516;;
82571;30/04/1962;0000;0;0.2;2;43;;;157.7;4.460674;17;203;;;30.98;25.084;20.093333;87.341667;;
82571;31/05/1962;0000;0;0.258065;3;67;;;235.9;3.731183;7;28.5;;;31.896774;25.052903;19.096774;81.612903;;
82571;30/06/1962;0000;0;0.422222;3;73.1;;;265.1;3.355556;6;71.8;;1000.51;32.133333;24.486;17.503333;77.55;;
82571;31/07/1962;0000;0;0.505376;3;113.2;;;282.9;2.892473;2;1.3;;1000.45914;33.458065;24.354839;16.025806;70.967742;;
82571;30/09/1962;0000;0;0.404494;2;;;;236.6;3.752809;1;0.1;;;36.014286;27.558571;19.792857;58.160714;;
82571;31/10/1962;0000;0;0.580645;2;;;;209.6;3.698925;4;35;;;35.587097;27.852903;21.335484;62.862903;;
82571;30/11/1962;0000;0;0.244444;2;;;;139.6;4.211111;11;150;;;32.8;26.524;21.006667;76.4;;
82571;31/12/1962;0000;0;0.258065;2;;;;175.3;4.483871;11;117.4;;1000.35914;31.73871;25.712903;20.406452;80.475806;;
82571;31/01/1963;0000;0;0.387097;2;;;;185.9;4.376344;12;134.8;;;31.503226;25.220645;19.909677;83.096774;;
82571;31/03/1963;0000;0;0.093023;2;;;;150.6;4.44186;17;161.3;;;31.262069;25.20069;20.203448;85.25;;
82571;30/04/1963;0000;0;0.177778;2;;;;161.7;4.455556;9;140.2;;;31.733333;25.412667;20.346667;85.216667;;
82571;31/05/1963;0000;0;0.397849;3;;;;232.7;2.806452;5;24.2;;999.833333;31.709677;24.612903;18.180645;79.782258;;
82571;30/06/1963;0000;0;0.2;6;;;;262.9;2.388889;;0;;999.747778;32.373333;24.172;16.806667;75.35;;
82571;31/07/1963;0000;0;0.408602;3;;;;286.1;1.483871;0;0;;999.697849;33.36129;23.696774;14.929032;68.306452;;
82571;31/08/1963;0000;0;0.311828;3;;;;277.8;2.344086;0;0;;999.911828;34.870968;25.412903;16.748387;62.580645;;
82571;30/09/1963;0000;0;0.382022;2;;;;237.8;2.707865;2;3.7;;999.851685;36.293333;27.753333;19.78;57.793103;;
82571;31/10/1963;0000;0;0.698925;4;;;;228;3.397849;5;29.7;;999.705376;36.096774;28.745161;21.735484;58.967742;;
82571;30/11/1963;0000;0;0.422222;4;;;;179.4;3.577778;6;52.2;;999.961111;33.506667;26.753333;20.913333;73.15;;
82571;31/12/1963;0000;0;0.344086;2;;;;167.9;4.032258;13;216;;;32.3;26.210968;20.387097;77.935484;;
82571;31/01/1964;0000;0;0.27957;2;;;;143.1;4.804348;21;362.2;;;30.993548;25.483871;20.606452;84.596774;;
82571;31/03/1964;0000;0;0.404494;2;;;;;5.179775;19;241.4;;999.941573;30.64;25.034667;20.4;87.7;;
82571;30/04/1964;0000;0;0.344444;3;;;;141.5;4.988889;16;212.9;;;30.66;25.028;20.3;87.275;;
82571;31/05/1964;0000;0;0.451613;4;;;;214.8;4.182796;11;75;;;31.219355;25.177419;19.912903;84.290323;;
82571;30/06/1964;0000;0;0.888889;3;;;;;2.511111;3;6.1;;999.983333;31.636667;24.240667;17.33;77.35;;
82571;31/08/1964;0000;0;0.930233;4;;;;272.3;1.604651;;0;;999.97093;34.117241;24.470345;15.475862;67.853448;;
82571;30/09/1964;0000;0;0.988889;4;;;;253.5;2.966667;0;0;;999.791111;34.973333;26.273333;17.533333;63.566667;;
82571;31/10/1964;0000;0;0.892473;3;;;;189.8;3.88172;10;55.8;;999.945161;33.425806;26.376774;19.954839;70.645161;;
82571;30/11/1964;0000;0;0.877778;3;;;;198.9;4.055556;4;14.7;;;34.06;26.641333;20.213333;68.258333;;
82571;31/12/1964;0000;0;0.666667;3;;;;177.9;3.913978;9;72.9;;1000.11828;32.367742;25.867097;19.845161;75.830645;;
82571;31/01/1965;0000;0;0.526882;3;;;;149.2;4.548387;12;212.5;;;31.106452;25.190323;19.825806;81.016129;;
82571;31/03/1965;0000;0;0.282609;2;;;;149.1;4.586957;23;293.5;;;30.816129;24.840667;20.154839;85.933333;;
82571;30/04/1965;0000;0;0.382222;3;;;;148;4.844444;21;470;;999.914444;30.273333;24.593333;20.02;89.15;;
82571;31/05/1965;0000;0;0.666667;2;;;;254.2;3.215054;4;31.8;;999.621505;32.2;25.070323;19.048387;81.629032;;
82571;31/08/1965;0000;;;2;;;;;;1;2;;999.806452;33.638095;24.786667;16.819048;72.166667;;
82571;30/09/1965;0000;0;0.888889;2;;;;261.9;3.277778;0;0;;999.372222;35.04;26.258667;18.513333;67.616667;;
82571;31/10/1965;0000;0;1.096774;4;;;;202.7;3.849462;4;18.4;;999.469892;34.122581;26.898065;20.393548;71.112903;;
82571;30/11/1965;0000;0;1.088889;4;;;;;3.422222;2;6.9;;999.351111;34.866667;26.926;19.996667;67.05;;
82571;31/12/1965;0000;0;0.612903;3;57.1;;;193.2;4.043011;7;58.6;;999.222581;34.13871;26.690968;20.141935;69.887097;;
82571;31/01/1966;0000;0;0.257143;2;;;;;4.318841;9;130.8;;999.211268;32.975;26.083478;20.108333;77.608696;;
82571;28/02/1966;0000;;;2;;;;;;4;44.4;;999.327273;31.826667;25.332;20.046667;94.05;;
82571;31/03/1966;0000;0;0.322581;2;75;;;143.9;4.677419;6;86.5;;999.490323;31.829032;25.360645;20.103226;95.282258;;
82571;30/04/1966;0000;0;0.4;2;62.8;;;163;4.366667;10;281.9;;999.454444;32.02;25.638667;19.993333;97.116667;;
82571;31/05/1966;0000;0;0.387097;2;69.9;;;198.9;4.16129;3;85.7;;999.510753;32.406452;25.214194;19.264516;98.41129;;
82571;30/06/1966;0000;0;0.622222;2;84.2;;;251.5;2.477778;5;45.2;;999.904444;32.346667;24.106667;16.913333;90.275;;
82571;31/07/1966;0000;0;0.88172;2;160.3;;;283;2.580645;;;;;33.587097;24.499355;16.641935;74.193548;;
82571;31/08/1966;0000;0;0.322581;2;208.4;;;271.6;2.494624;0;0;;;35.070968;24.974194;17.974194;66.790323;;
82571;30/09/1966;0000;0;0.111111;2;183.9;;;;4.455556;3;25.4;;;34.873333;26.913333;22.573333;67.1;;
82571;31/10/1966;0000;0;0.258065;2;159.1;;;;4.075269;4;19.8;;;34.825806;27.496774;23.403226;76.306452;;
82571;30/11/1966;0000;0;0.355556;2;103.5;;;146.9;4.688889;6;121.4;;1011.07;32.5;25.910667;21.666667;83.991667;;
82571;31/12/1966;0000;0;0.311828;2;61.8;;;;4.946237;15;260.6;;;31.354839;25.7;21.596774;84.129032;;
82571;31/01/1967;0000;0;0.27957;2;61.6;;;;4.741935;17;177.7;;;31.051613;25.112258;20.967742;87.91129;;
82571;31/03/1967;0000;0;0.6;2.4;60.3;;;146.1;4.782609;15;438;;999.695652;31;25.454194;21.709677;88.887097;;
82571;30/04/1967;0000;0;0.746667;2.4;55;;;146;4.588889;14;242.5;;999.702222;31.253333;25.464;21.753333;91.575;;
82571;31/05/1967;0000;0;0.387097;4;83.3;;;219.9;3.903226;6;80.4;;999.570968;32.083871;25.650323;21.806452;87.104839;;
82571;30/06/1967;0000;0;0.522222;2;126.2;;;269.5;2.522222;2;25.2;;999.588889;32.446667;24.477333;20.02;85.25;;
82571;31/07/1967;0000;0;0.430108;2;156.3;;;284.8;0.548387;1;3.8;;999.537634;33.032258;23.110968;15.141935;79.427419;;
82571;30/09/1967;0000;0;0.889888;2.4;144.4;;;204.4;4.235955;3;34.7;;999.911236;35.04;25.804667;18.59;73.775;;
82571;31/10/1969;0000;;;;;;;;;;0;;;;;;;;
82571;30/11/1969;0000;;;;156.5;;;197.9;5.388889;5;87.1;;;32.76;26.388667;22.066667;72.4;;
82571;31/12/1969;0000;0;1.608696;7;98.4;;;167.3;5.913043;8;90.6;;;31.4;25.648387;21.812903;80;;
82571;31/01/1970;0000;0;1.150538;5;69.2;;;140.7;7.193548;16;197.3;;;30.177419;25.172903;21.858065;84.66129;;
