--------------------
BDMEP - INMET
--------------------
Estação           : CAROLINA - MA (OMM: 82765)
Latitude  (graus) : -7.33
Longitude (graus) : -47.46
Altitude  (metros): 192.83
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82765;30/06/1961;0000;;;;;;;;;0;0;;;;;;;;
82765;31/07/1961;0000;;;;;;;;;0;0;;;;;;;;
82765;31/08/1961;0000;;;;;;;;;0;0;;;;;;;;
82765;30/09/1961;0000;;;;;;;;;2;11.6;;;;;;;;
82765;31/10/1961;0000;;;;;;;;;10;115.8;;;;;;;;
82765;30/11/1961;0000;;;;;;;;;7;156.1;;;;;;;;
82765;31/12/1961;0000;;;;;;;;;17;198.7;;;;;;;;
82765;31/01/1962;0000;;;;;;;;;15;257;;;;;;;;
82765;28/02/1962;0000;;;;;;;;;20;323.4;;;;;;;;
82765;31/03/1962;0000;;;;;;;;;20;344.8;;;;;;;;
82765;30/04/1962;0000;;;;;;;;;17;203.4;;;;;;;;
82765;31/05/1962;0000;;;;;;;;;5;27.4;;;;;;;;
82765;30/06/1962;0000;;;;;;;;;3;12.3;;;;;;;;
82765;31/07/1962;0000;;;;;;;;;1;1.6;;;;;;;;
82765;31/08/1962;0000;;;;;;;;;0;0;;;;;;;;
82765;30/09/1962;0000;;;;;;;;;1;1.5;;;;;;;;
82765;31/10/1962;0000;;;;;;;;;9;53.8;;;;;;;;
82765;30/11/1962;0000;;;;;;;;;18;302.2;;;;;;;;
82765;31/12/1962;0000;;;;;;;;;19;176.2;;;;;;;;
82765;31/01/1963;0000;;;;;;;;;15;208.6;;;;;;;;
82765;28/02/1963;0000;;;;;;;;;19;337.2;;;;;;;;
82765;31/03/1963;0000;;;;;;;;;19;343.4;;;;;;;;
82765;30/04/1963;0000;;;;;;;;;14;71.9;;;;;;;;
82765;31/05/1963;0000;;;;;;;;;7;89.4;;;;;;;;
82765;30/06/1963;0000;;;;;;;;;2;1.2;;;;;;;;
82765;31/07/1963;0000;;;;;;;;;0;0;;;;;;;;
82765;31/08/1963;0000;;;;;;;;;0;0;;;;;;;;
82765;30/09/1963;0000;;;;;;;;;1;4.6;;;;;;;;
82765;31/10/1963;0000;;;;;;;;;6;28;;;;;;;;
82765;30/11/1963;0000;;;;;;;;;11;187.4;;;;;;;;
82765;31/12/1963;0000;;;;;;;;;21;390.9;;;;;;;;
82765;31/01/1964;0000;;;;;;;;;25;427;;;;;;;;
82765;29/02/1964;0000;;;;;;;;;19;306.8;;;;;;;;
82765;31/03/1964;0000;;;;;;;;;20;317.9;;;;;;;;
82765;30/04/1964;0000;;;;;;;;;14;220.9;;;;;;;;
82765;31/05/1964;0000;;;;;;;;;8;133.9;;;;;;;;
82765;30/06/1964;0000;;;;;;;;;2;2.4;;;;;;;;
82765;31/07/1964;0000;;;;;;;;;1;3.5;;;;;;;;
82765;31/08/1964;0000;;;;;;;;;0;0;;;;;;;;
82765;30/09/1964;0000;;;;;;;;;1;1.6;;;;;;;;
82765;31/10/1964;0000;;;;;;;;;17;197.4;;;;;;;;
82765;30/11/1964;0000;;;;;;;;;11;139.9;;;;;;;;
82765;31/12/1964;0000;;;;;;;;;13;196.6;;;;;;;;
82765;31/01/1965;0000;;;;;;;;;0;0;;;;;;;;
82765;28/02/1965;0000;0;0.072289;2;;;;;5.795181;17;112.9;;990.355422;;;18.685714;81.473214;;
82765;31/03/1965;0000;0;0.129032;2;;;;;7.462366;24;267.1;;991.809677;;;18.693548;86.064516;;
82765;30/04/1965;0000;0;0.088889;2;;;;;6.144444;16;138.6;;991.246667;;;18.833333;83.55;;
82765;31/05/1965;0000;0;0.602151;3;;;;;2.462366;1;0.8;;991.390323;;;17.945161;69.677419;;
82765;30/06/1965;0000;0;0.664444;3;;;;;3.411111;2;19.6;;993.855556;;;17.74;64.658333;;
82765;31/07/1965;0000;0;0.451613;3;;;;;1.505376;4;51;;993.297849;;;16.080645;60.766129;;
82765;31/08/1965;0000;0;0.55914;3;;;;;1.580645;2;5.6;;991.964516;;;17.422581;51.266129;;
82765;30/09/1965;0000;0;0.477778;3;;;;;2.1;2;11.8;;991.046667;;;19.853333;51.433333;;
82765;31/10/1965;0000;0;0.215054;2;;;;;4.860215;10;132.6;;990.798925;;;19.970968;71.903226;;
82765;30/11/1965;0000;0;0.177778;2;;;;;5.2;13;154;;990.076667;;;19.42;73.833333;;
82765;31/12/1965;0000;0;0.021505;2;;;;;5.849462;13;105.6;;990.378495;;;18.996774;81.596774;;
82765;31/01/1966;0000;0;0.064516;2;;;;;6.419355;16;190;;990.798925;;;19.041935;83.91129;;
82765;28/02/1966;0000;0;0.142857;2;;;;;6.321429;17;131.3;;991.085714;;;19.310714;82.875;;
82765;31/03/1966;0000;0;0.193548;2;;;;;5.043011;11;269.4;;990.466667;;;19.196774;79.975806;;
82765;30/04/1966;0000;0;0.166667;3;;;;;5.233333;14;118.7;;990.913333;;;19.493333;80.758333;;
82765;31/05/1966;0000;0;0.172043;2;;;;;3.677419;4;45.5;;991.598925;;;19.390323;74.58871;;
82765;30/06/1966;0000;0;0.5;3;;;;;2.544444;4;15.3;;992.712222;;;17.38;71.808333;;
82765;31/07/1966;0000;0;1.032258;3;;;;;0.935484;0;0;;992.883871;;;16.687097;56.467742;;
82765;31/08/1966;0000;0;0.784946;3;;;;;0.967742;;0;;992.133333;;;17.016129;47.177419;;
82765;30/09/1966;0000;0;0.511111;3;;;;;3.366667;7;37.9;;991.634444;;;19.506667;57.675;;
82765;31/10/1966;0000;0;0.021505;2;;;;;4.827957;11;228.4;;990.660215;;;19.267742;73.362903;;
82765;30/11/1966;0000;0;0.144444;3;;;;;6.422222;14;188.6;;989.845556;;;18.8;79.566667;;
82765;31/12/1966;0000;0;0;0;;;;;6.333333;20;326.1;;989.167742;;;19.06129;81.508065;;
82765;31/01/1967;0000;0;0.043011;2;;;;;6.247312;17;67.8;;990.205376;;;19.467742;79.524194;;
82765;28/02/1967;0000;0;0.035714;3;;;;;6.72619;22;349.8;;990.944048;;;18.707143;83.160714;;
82765;31/03/1967;0000;0;0.150538;2;;;;;6.924731;24;288.2;;990.54086;;;18.964516;83.927419;;
82765;30/04/1967;0000;0;0.177778;2;;;;;6.166667;14;309.6;;991.366667;;;19.126667;81.875;;
82765;31/05/1967;0000;0;0.526882;3;;;;;3.354839;6;39;;991.886022;;;19.1;73.556452;;
82765;30/06/1967;0000;0;0.722222;3;;;;;1.3;1;52.6;;992.855556;;;16.96;65.458333;;
82765;31/07/1967;0000;0;0.698925;3;;;;;0.849462;0;0;;993.278495;;;15.687097;56.427419;;
82765;31/08/1967;0000;0;0.978495;3;;;;;1.193548;0;0;;993.068817;;;16.506452;47.370968;;
82765;30/09/1967;0000;0;0.322222;3;;;;;2.944444;6;98.6;;991.901111;;;18.96;60.441667;;
82765;31/10/1967;0000;0;0.193548;2;;;;;4.258065;7;48.6;;991.244086;;;19.074194;67.112903;;
82765;30/11/1967;0000;0;0.088889;2;;;;;5.366667;9;354.2;;989.587778;;;19.273333;74.725;;
82765;31/12/1967;0000;0;0.107527;2;;;;;5.72043;15;202.4;;990.649462;;;19.022581;77.459677;;
82765;31/01/1968;0000;0;0.129032;2;;;;;5.924731;19;389.7;;990.923656;;;18.403226;83;;
82765;29/02/1968;0000;0;0.16092;2;;;;;7.137931;20;286.9;;990.554023;;;18.941379;83.491379;;
82765;31/03/1968;0000;0;0.172043;2;;;;;6.784946;23;558.5;;991.669892;;;18.341935;84.451613;;
82765;30/04/1968;0000;0;0.155556;2;;;;;4.877778;13;145.4;;991.118889;;;19.14;78.241667;;
82765;31/05/1968;0000;0;0.311828;3;;;;;5.010753;13;104.3;;992.795699;;;18.251613;78.806452;;
82765;30/06/1968;0000;0;0.944444;3;;;;;1.877778;0;0;;993.965556;;;15.973333;64.25;;
82765;31/07/1968;0000;0;0.978495;3;;;;;1.150538;0;0;;994.276344;;;15.732258;60.532258;;
82765;31/08/1968;0000;0;0.741935;3;;;;;1.806452;2;37;;992.713978;;;18.035484;60;;
82765;30/09/1968;0000;0;0.377778;3;;;;;3.111111;6;138;;991.401111;;;18.733333;63.633333;;
82765;31/10/1968;0000;0;0.064516;2;;;;;5.935484;10;111.5;;990.687097;;;19.277419;76.903226;;
82765;30/11/1968;0000;0;0.088889;2;;;;;6.4;14;264.3;;990.195556;;;19.353333;78.608333;;
82765;31/12/1968;0000;0;0.107527;2;;;;;6.064516;17;233.9;;990.729032;;;19.016129;82.072581;;
82765;31/01/1969;0000;0;0.172043;3;171.7;;;167.8;7.043011;20;314.6;;989.586022;30.629032;24.856774;18.729032;82.983871;;
82765;28/02/1969;0000;0;0.190476;2;;;;;5.952381;14;132.1;;989.532143;;;19.885714;80.6875;;
82765;31/03/1969;0000;0;0.301075;3;;;;;5.795699;18;151;;990.707527;;;19.932258;81.427419;;
82765;30/04/1969;0000;0;0.277778;3;;;;;4.833333;18;252;;990.518889;;;20.173333;82.1;;
82765;31/05/1969;0000;0;0.591398;3;;;;;3.566265;8;28;;991.409677;;;19.590323;74.458333;;
82765;30/06/1969;0000;0;0.7;3;;;;;2.333333;4;23.9;;992.586667;;;18.373333;66.75;;
82765;31/07/1969;0000;0;0.913978;3;;;;;1.913978;0;0;;993.609677;;;17.667742;56.040323;;
82765;31/08/1969;0000;0;0.731183;3;;;;;1.580645;1;3.7;;991.554839;;;17.796774;50.120968;;
82765;30/09/1969;0000;0;0.411111;3;;;;;3.766667;8;60.7;;990.688889;;;19.57;61.566667;;
82765;31/10/1969;0000;0;0.129032;2;;;;;4.870968;7;157.1;;990.211828;;;19.422581;74.951613;;
82765;30/11/1969;0000;0;0.155556;2;;;;;5.444444;11;167.8;;989.824444;;;19.38;78.3;;
82765;31/12/1969;0000;0;0.129032;2;;;;;7.215054;21;345.4;;990.390323;;;19.13871;85.443548;;
82765;31/01/1970;0000;0;0.086022;2;;;;;6.827957;21;497.3;;991.26129;;;19.058065;86.701613;;
82765;28/02/1970;0000;0;0.190476;2;;;;;6;;213.4;;990.522619;;;19.507143;83.410714;;
82765;31/03/1970;0000;0;0.107527;2;;;;;6.397849;18;250.4;;990.697849;;;19.325806;84.991935;;
82765;30/04/1970;0000;0;0.111111;2;;;;;5.844444;16;244;;990.995556;;;19.52;84.655172;;
82765;31/05/1970;0000;0;0.236559;2;;;;;3.903226;7;32.8;;991.54086;;;18.448387;71.791667;;
82765;30/09/1970;0000;;;;;;;201.2;;6;52.8;;;33.42;;21.317857;;;
82765;31/10/1970;0000;;;;89.1;;;171.6;;15;126.5;;;31.241935;;21.9;;;
82765;30/11/1970;0000;;;;71.6;;;152.9;;19;362.2;;;30.413793;;21.466667;;;
82765;31/12/1970;0000;;;;75.3;;;194;;13;90.5;;;30.754839;;21.767742;;;
82765;31/01/1971;0000;;;;74.6;;;183;;19;250.8;;;30.496774;;21.577419;;;
82765;28/02/1971;0000;;;;61.7;;;162.7;;18;234.3;;;29.9;;21.107143;;;
82765;31/03/1971;0000;;;;70.8;;;165.4;;19;296.7;;;30.33871;;21.9;;;
82765;30/04/1971;0000;;;;65.1;;;171.8;;20;138.9;;;30.363333;;21.903333;;;
82765;31/05/1971;0000;;;;147.5;;;268.5;;;56.5;;;31.764516;;21.409677;;;
82765;30/06/1971;0000;;;;193.5;;;298;;;50.5;;;32.78;;20.866667;;;
82765;31/07/1971;0000;;;;248.7;;;300;;;5.1;;;33.393548;;19.280645;;;
82765;31/08/1971;0000;;;;259.9;;;295.1;;;45.1;;;34.183871;;20.06129;;;
82765;30/09/1971;0000;;;;209;;;215;;;35.9;;;33.003333;;21.796667;;;
82765;31/10/1971;0000;;;;100.2;;;123.1;;20;243.5;;;30.16129;;21.709677;;;
82765;30/11/1971;0000;;;;82.4;;;148.2;;15;217.7;;;30.2;;22.23;;;
82765;31/12/1971;0000;;;;91.3;;;172.3;;;62.5;;;30.677419;;22.016129;;;
82765;31/01/1972;0000;;;;63.4;;;162.9;;17;234.8;;;29.870968;;21.529032;;;
82765;29/02/1972;0000;;;;62.9;;;146.2;;20;267.6;;;29.893103;;21.765517;;;
82765;31/03/1972;0000;;;;77.4;;;160.8;;18;247.5;;;30.803226;;22.290323;;;
82765;30/04/1972;0000;;;;80.5;;;173.9;;;157.3;;;30.786667;;22.526667;;;
82765;31/05/1972;0000;;;;152.9;;;268;;;83.9;;;32.319355;;21.812903;;;
82765;30/06/1972;0000;;;;209;;;283;;;42.8;;;32.873333;;20.443333;;;
82765;31/07/1972;0000;;;;207.8;;;278.5;;;39.2;;;33.09;;19.964516;;;
82765;31/08/1972;0000;;;;229.6;;;259.4;;;47.1;;;33.843333;;21.067742;;;
82765;30/09/1972;0000;;;;97.6;;;222.4;;;183;;;33.46;;21.446667;;;
82765;31/10/1972;0000;;;;104.3;;;194.9;;;122.1;;;32.616129;;22.243333;;;
82765;30/11/1972;0000;;;;85;;;158.9;;;160.3;;;31.22;;22.356667;;;
82765;31/12/1972;0000;;;;77.9;;;165.5;;17;259.6;;;30.919355;;22.329032;;;
82765;31/01/1973;0000;0;1.252747;10;;;;194.9;6.846154;15;133.8;;990.694505;31.651613;23.122069;;82.060345;;
82765;28/02/1973;0000;0;1.535714;8;;;;115;8.202381;24;256;;990.229762;30.832143;21.562222;;87.888889;;
82765;31/03/1973;0000;0;1.444444;14;67.7;;;150.8;7.252747;19;480.5;;989.851648;30.719355;25.786;23.076667;85.706897;;
82765;30/04/1973;0000;0;1.477778;6;75.4;;;168.2;7;18;180.8;;989.955556;30.936667;25.723333;23.037931;84.725;;
82765;31/05/1973;0000;0;1.709677;8;101.1;;;241.3;5.268817;;233.7;;990.810753;31.380645;25.883226;22.254839;79.483871;;
82765;30/06/1973;0000;0;1.677778;7;133;;;235.5;4.566667;;36.7;;990.766667;32.41;26.098667;21.786667;75.15;;
82765;31/07/1973;0000;0;2.236559;10;214.9;;;264;4.462366;;45.2;;991.549462;32.803226;26.114839;20.987097;66.701613;;
82765;31/08/1973;0000;0;1.673913;9;240.1;;;293.6;2.663043;;10.1;;990.696739;34.403333;26.942759;21.093548;63.413793;;
82765;30/09/1973;0000;0;2.465909;14;217;;;223.6;5.125;;14;;990.477273;34.313793;27.883448;22.713333;63.125;;
