--------------------
BDMEP - INMET
--------------------
Estação           : COLINAS - MA (OMM: 82676)
Latitude  (graus) : -6.03
Longitude (graus) : -44.25
Altitude  (metros): 179.75
Estação Operante
Inicio de operação: 19/05/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82676;30/06/1976;0000;14;1.949438;5;112.6;;;274.8;3.797753;;13.8;;990.162921;31.263333;23.900667;18.446667;75.925;;
82676;31/07/1976;0000;14;2.063441;8;175.3;;;328.8;2.548387;;0;;991.88172;32.76129;23.886;16.558065;63.083333;;
82676;31/08/1976;0000;14;1.937634;5.8;188.2;;;287.6;3.27957;;2;;990.660215;33.616129;;17.387097;;;
82676;30/09/1976;0000;14;2.071111;4.8;164.5;;;211.7;4.466667;;7;;989.457778;33.796667;;20.54;;;
82676;31/10/1976;0000;5;1.843011;9;95.9;;;190.2;5.956989;18;120.9;;987.980645;32.032258;26.032258;21.974194;75.370968;;
82676;30/11/1976;0000;14;1.792222;3.8;84.9;;;162.8;6.3;;150.2;;987.815556;30.996667;25.454667;21.466667;77.016667;;
82676;31/12/1976;0000;5;1.51828;4;85.9;;;205.2;5.677419;;43.4;;987.212903;31.651613;25.778065;21.809677;78.266129;;
82676;31/01/1977;0000;5;1.710753;5.6;62.6;;;135.1;7.903226;21;197.4;;988.329032;29.151613;24.830323;21.619355;84.129032;;
82676;28/02/1977;0000;5;1.39881;5;46.3;;;108;8.285714;21;178.7;;989.353571;29.521429;24.544286;21.382143;85.758929;;
82676;31/03/1977;0000;5;1.507527;4;55.5;;;116.7;7.849462;20;164.4;;988.395699;30.374194;25.243226;21.816129;85.395161;;
82676;30/04/1977;0000;14;1.544444;4.3;47.4;;;121.7;7.766667;24;297.6;;988.604444;30.116667;25.156667;22.103333;87.408333;;
82676;31/05/1977;0000;14;1.706452;5.5;79;;;240.1;5.655914;9;60.3;;989.547312;31;25.270968;21.13871;81.290323;;
