--------------------
BDMEP - INMET
--------------------
Estação           : IMPERATRIZ - MA (OMM: 82564)
Latitude  (graus) : -5.53
Longitude (graus) : -47.48
Altitude  (metros): 123.30
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82564;30/06/1961;0000;5;1.269663;5;;;;;1.662921;3;13.7;;;32.88;25.260667;18.983333;77.375;;
82564;31/07/1961;0000;5;1.290323;6;;;;;1.16129;1;2;;;34.077419;25.206452;17.754839;73.66129;;
82564;31/08/1961;0000;5;1.021505;4;;;;;1.72043;0;0;;;35.096774;26.016129;17.958065;64.733871;;
82564;30/09/1961;0000;0;1.2;4;;;;;3.833333;2;20.4;;;34.93;27.105333;20.69;65.6;;
82564;31/10/1961;0000;0;0.83871;4;;;;;4.537634;6;53.3;;;34.212903;27.212258;21.8;70.596774;;
82564;30/11/1961;0000;0;0.844444;3;;;;;4.233333;5;17.4;;;34.15;27.099333;21.74;70.45;;
82564;31/12/1961;0000;0;0.612903;2;;;;;6.365591;19;270.4;;;32.096774;25.841935;21.941935;81.217742;;
82564;31/01/1962;0000;0;0.655914;5;;;;;6.107527;18;199.2;;;31.954839;25.906452;21.96129;84.145161;;
82564;28/02/1962;0000;0;0.716667;2;;;;;6.27381;15;272.9;;;31.65;25.852857;21.903571;85.125;;
82564;31/03/1962;0000;0;0.709677;3;;;;;6.795699;18;385;;;31.525806;25.705161;21.887097;85.798387;;
82564;30/04/1962;0000;0;0.566667;2;;;;;6.311111;18;173.4;;;30.963333;25.654;22.076667;87.091667;;
82564;31/05/1962;0000;0;0.849462;6;;;;;4.032258;5;60;;;32.319355;25.859355;21.432258;81.096774;;
82564;30/06/1962;0000;0;1.022222;5;;;;;2.6;4;31;;;32.12;25.062;19.886667;79.441667;;
82564;31/07/1962;0000;0;1.086022;4;;;;;1.473118;1;12;;;33.293548;24.875484;18.23871;74.653226;;
82564;31/08/1962;0000;0;1.129032;5;;;;;2.376344;0;0;;;34.680645;25.907097;18.23871;68.096774;;
82564;30/09/1962;0000;36;1.133333;6;;;;;4.088889;1;1.6;;;34.696667;26.769333;19.85;66.958333;;
82564;31/10/1962;0000;0;0.956989;3;;;;;5.215054;3;24.6;;;34.822581;27.337419;21.541935;69.137097;;
82564;30/11/1962;0000;0;0.666667;2;;;;;6.9;15;237.4;;;32.476667;26.253333;21.923333;81.083333;;
82564;31/12/1962;0000;0;0.602151;3;;;;;5.494624;17;221.3;;;31.325806;25.985161;22.019355;83.451613;;
82564;31/01/1963;0000;0;0.580645;2;;;;;5.88172;22;185.4;;;31.741935;25.476129;21.274194;84.967742;;
82564;28/02/1963;0000;0;0.669048;4;;;;;6.619048;19;317.2;;;31.135714;25.372143;21.682143;87.580357;;
82564;31/03/1963;0000;0;0.72043;3;;;;;7.16129;23;392;;;31.309677;25.397419;21.893548;87.677419;;
82564;30/04/1963;0000;0;0.744444;3;;;;;6.533333;15;158.6;;;31.336667;25.766667;22.206667;87.575;;
82564;31/05/1963;0000;0;1.096774;3;;;;;3.612903;4;72.9;;;32.306452;25.88129;20.674194;82.314516;;
82564;30/06/1963;0000;0;1.177778;4;;;;;1.855556;1;5.5;;;33.44;25.642;19.29;77.725;;
82564;31/07/1963;0000;0;1.064516;3;;;;;1.193548;0;0;;;34.048387;25.164516;17.709677;73.887097;;
82564;31/08/1963;0000;0;1.397849;7;;;;;2.096774;1;10.3;;;34.5;25.823226;18.209677;72.870968;;
82564;30/09/1963;0000;36;1.235556;5;;;;;3.588889;1;8.2;;;35.393333;27.104;19.983333;68.333333;;
82564;31/10/1963;0000;36;1.516129;5;;;;;3.763441;5;17.3;;;34.822581;27.400645;20.980645;69.177419;;
82564;30/11/1963;0000;36;1.422222;7;;;;;4.822222;8;110.7;;;33.77;27.145333;22.22;75.908333;;
82564;31/12/1963;0000;0;0.752688;3;;;;;7.075269;15;216;;;31.848387;26.30129;22.319355;83.629032;;
82564;31/01/1964;0000;0;0.602151;1;;;;;8.193548;17;346.2;;;30.458065;25.632903;22.416129;88.153226;;
82564;29/02/1964;0000;0;0.575862;3;;;;;7.37931;17;271;;;31.2;26.006207;22.427586;87.892857;;
82564;31/03/1964;0000;0;0.83871;4;;;;;7.612903;20;276.4;;;30.987097;25.694839;22.329032;89.290323;;
82564;30/04/1964;0000;0;0.766667;3;;;;;6.544444;22;276.7;;;31.106667;25.754;22.18;88.233333;;
82564;31/05/1964;0000;0;0.946237;5;;;;;5.075269;13;121.1;;;31.832258;25.963226;21.76129;84.766129;;
82564;30/06/1964;0000;0;1.157778;5;;;;;2.677778;5;8.2;;;32.603333;25.606667;20.263333;77.791667;;
82564;31/07/1964;0000;0;1.443011;7;;;;;1.935484;1;1.2;;;33.651613;25.665806;18.825806;72.346774;;
82564;31/08/1964;0000;0;1.580645;5;;;;;1.935484;1;1;;;34.73871;26.16129;18.003226;65.524194;;
82564;30/09/1964;0000;0;1.588889;5;;;;;3.8;2;3;;;34.876667;26.724667;19.32;65.5;;
82564;31/10/1964;0000;0;0.832258;4;;;;;5.354839;4;58.5;;;32.993548;26.426452;21.254839;74.508065;;
82564;30/11/1964;0000;0;0.955556;4;;;;;4.944444;4;27.6;;;33.556667;26.81;21.146667;71.883333;;
82564;31/12/1964;0000;0;0.741935;3;;;;;5.946237;12;112.3;;;31.945161;25.84;21.503226;81.233871;;
82564;31/01/1965;0000;0;0.666667;3;;;;;6.172043;16;220;;;31.041935;25.402581;21.490323;84.524194;;
82564;28/02/1965;0000;0;1;6;;;;;5.202381;13;140.4;;;32.092857;25.913571;21.467857;81.973214;;
82564;31/03/1965;0000;0;0.612903;3;;;;;7.634409;25;526.8;;;29.935484;24.820645;21.567742;90.322581;;
82564;30/04/1965;0000;0;0.744444;7;;;;;6.766667;22;260;;;30.803333;25.123333;21.73;89.175;;
82564;31/05/1965;0000;0;1.172043;5;;;;;3.451613;4;9.2;;;33.296774;26.476774;21.187097;79.459677;;
82564;30/06/1965;0000;0;1.2;5;;;;;3.344444;3;19.8;;;32.87;25.948;20.41;77.291667;;
82564;31/07/1965;0000;0;1.283871;5;;;;;1.666667;1;2.4;;;33.851613;25.441935;18.3;73.185484;;
82564;31/08/1965;0000;0;1.311828;5;;;;;2.365591;0;0;;;34.451613;25.856129;17.677419;69.137097;;
82564;30/09/1965;0000;5;1.444444;6;;;;;3.055556;0;0;;;34.96;27.129333;19.813333;64.85;;
82564;31/10/1965;0000;0;1.010753;5;;;;;4.569892;7;48.5;;;34.26129;27.530968;21.935484;70.282258;;
82564;30/11/1965;0000;0;0.977778;4;;;;;4.066667;7;94.1;;;34.46;27.559333;21.92;73.333333;;
82564;31/12/1965;0000;0;0.956989;14;;;;;5.010753;14;186.5;;;32.103226;26.452903;22.145161;80.41129;;
82564;31/01/1966;0000;0;0.72043;4;;;;;6.129032;18;188.5;;;31.280645;26.198065;22.335484;84.096774;;
82564;28/02/1966;0000;0;0.738095;4;;;;;6.595238;19;324.5;;;30.878571;25.707143;22.153571;87.026786;;
82564;31/03/1966;0000;0;0.870968;4;;;;;5.655914;19;247.6;;;31.425806;25.988387;22.23871;85.104839;;
82564;30/04/1966;0000;0;0.944444;5;;;;;5.511111;16;285.4;;;31.34;26.224667;22.46;84.85;;
82564;31/05/1966;0000;0;0.892473;4;;;;;4.129032;6;67.8;;;31.764516;26.313548;21.977419;83.669355;;
82564;30/06/1966;0000;0;1.4;7;;;;;2.477778;5;24.7;;;32.363333;25.788667;20.38;79.816667;;
82564;31/07/1966;0000;0;1.430108;5;;;;;2.225806;0;0;;;33.564516;26.349677;19.864516;72.08871;;
82564;31/08/1966;0000;0;1.215054;7;;;;;2.193548;;0;;;34.903226;26.537419;18.812903;68.427419;;
82564;30/09/1966;0000;0;1.266667;4;;;;;5.188889;3;4.6;;;34.186667;26.82;20.636667;72.708333;;
82564;31/10/1966;0000;0;0.870968;5;;;;;4.924731;8;81.7;;;33.183871;26.837419;21.787097;77.645161;;
82564;30/11/1966;0000;0;0.631111;3;;;;;5.977778;8;130.3;;;31.65;24.16;21.786667;81.833333;;
82564;31/12/1966;0000;0;0.516129;4;;;;;6.849462;17;289.1;;;30.687097;23.538065;21.777419;87.556452;;
82564;31/01/1967;0000;0;0.623656;4;;;;;5.483871;18;149.5;;;31.483871;25.841935;21.790323;85.637097;;
82564;28/02/1967;0000;0;0.785714;5;;;;;6.797619;23;279.1;;;30.457143;25.160714;21.657143;88.4375;;
82564;31/03/1967;0000;0;0.591398;2;;;;;7.311828;23;316.5;;;30.670968;25.403871;21.970968;88.572581;;
82564;30/04/1967;0000;0;0.722222;4;;;;;5.988889;19;405.1;;;30.813333;25.614;22.193333;89.066667;;
82564;31/05/1967;0000;0;1.129032;5;;;;;4.11828;10;51.9;;;32.03871;26.42;22.13871;83.370968;;
82564;30/06/1967;0000;0;1.366667;5;;;;;1.477778;0;0;;;32.906667;25.772667;19.62;78.658333;;
82564;31/07/1967;0000;0;1.592473;7;;;;;0.956989;1;4.5;;;33.635484;25.592258;18.335484;74.467742;;
82564;31/08/1967;0000;0;1.709677;7;;;;;2.225806;0;0;;;34.470968;25.965806;17.96129;69;;
82564;30/09/1967;0000;0;1.333333;5;;;;;3.555556;4;17.5;;;33.496667;26.337333;19.943333;75.141667;;
82564;31/10/1967;0000;0;0.784946;3;;;;;5.193548;9;72.4;;;33.141935;26.520645;21.064516;75.943548;;
82564;30/11/1967;0000;0;0.936667;5;;;;;5.611111;12;226;;;32.91;26.736;21.91;77.383333;;
82564;31/12/1967;0000;0;0.784946;4;;;;;5.623656;11;107.6;;;31.974194;26.301935;21.629032;79.83871;;
82564;31/01/1968;0000;0;0.817204;4;;;;;5.075269;13;52.1;;;32.222581;25.993548;21.232258;81.830645;;
82564;29/02/1968;0000;0;0.793103;7;;;;;7.114943;16;195.9;;;30.851724;25.404138;21.565517;86.344828;;
82564;31/03/1968;0000;0;0.526882;3;;;;;6.860215;22;359.5;;;29.890323;24.919355;21.151613;87.491935;;
82564;30/04/1968;0000;0;0.611111;3;;;;;5.244444;10;84.8;;;31.613333;26.013333;21.74;84.9;;
82564;31/05/1968;0000;0;0.645161;3;;;;;5.612903;18;118.4;;;30.567742;25.072258;20.919355;86.774194;;
82564;30/06/1968;0000;0;1.044444;4;;;;;1.633333;2;2;;;32.383333;25.454667;19.15;75.275;;
82564;31/07/1968;0000;0;1.182796;4;;;;;1.55914;1;0.5;;;33.364516;25.454194;18.235484;70.548387;;
82564;31/08/1968;0000;0;1.043011;3;;;;;2.849462;1;39.8;;;34.183871;26.62;19.467742;68.725806;;
82564;30/09/1968;0000;0;1.066667;7;;;;;3.7;2;1.1;;;34.676667;27.148667;20.036667;65.058333;;
82564;31/10/1968;0000;0;1;3;;;;;5;10;61.7;;;33.967742;27.468387;22.203226;71.951613;;
82564;30/11/1968;0000;0;0.8;3;;;;;5.988889;13;249.7;;;32.503333;26.614667;22.323333;80.158333;;
82564;31/12/1968;0000;0;0.72043;3;;;;;6.473118;15;196.2;;;31.035484;25.889677;22.074194;85.056452;;
82564;31/01/1969;0000;0;0.94086;6;;;;;6.451613;16;225.8;;;31.26129;25.874194;22.016129;85.475806;;
82564;28/02/1969;0000;0;0.809524;3;;;;;6.202381;15;178.3;;;32.235714;26.346429;22.592857;85.4375;;
82564;31/03/1969;0000;0;0.784946;5;;;;;6.473118;18;252.6;;;32.035484;26.394839;22.677419;84.830645;;
82564;30/04/1969;0000;0;0.755556;4;;;;;5.777778;19;121;;;32.396667;26.824;23.103333;84.316667;;
82564;31/05/1969;0000;0;1.11828;5;;;;;4.075269;8;33.8;;;32.745161;26.870968;22.33871;81.120968;;
82564;30/06/1969;0000;0;1.122222;5;;;;;2.8;4;3.3;;;33.473333;26.702;21.213333;76.508333;;
82564;31/07/1969;0000;0;1.096774;5;;;;;2.150538;3;12.5;;;33.932258;26.650968;20.551613;73.927419;;
82564;31/08/1969;0000;0;1.129032;7;;;;;2.172043;1;0.4;;;35.006452;26.923871;19.854839;66.612903;;
82564;30/09/1969;0000;0;1;5;;;;;4.422222;6;14.3;;;34.99;27.35;21.316667;69.766667;;
82564;31/10/1969;0000;0;0.827957;3;;;;;4.688172;6;68.4;;;34.1;27.209677;22.012903;72.532258;;
82564;30/11/1969;0000;0;0.777778;2;;;;;4.122222;7;83.4;;;34.376667;27.538667;22.45;75.8;;
82564;31/12/1969;0000;0;0.709677;3;;;;;5.709677;12;132.9;;;33.274194;26.800645;22.564516;81.395161;;
82564;31/01/1970;0000;0;0.731183;5;;;;;6.451613;17;293.9;;;31.396774;26.167742;22.425806;83.419355;;
82564;28/02/1970;0000;0;0.678571;3;;;;;6.821429;16;121.1;;;31.989286;26.539286;22.675;84.3125;;
82564;31/03/1970;0000;0;0.612903;3;;;;;5.645161;17;291.6;;;31.593548;26.216667;22.512903;86.85;;
82564;31/05/1970;0000;0;0.869565;3;;;;;3.891304;5;38.2;;;32.696774;26.802581;21.990323;79.467742;;
82564;30/06/1970;0000;0;0.888889;3;;;;;3.177778;7;40.9;;;32.68;26.199333;20.666667;77.183333;;
82564;31/07/1970;0000;0;1.214286;4;;;;;2.442857;;0;;;33.578261;26.238261;19.304348;70.282609;;
82564;30/09/1976;0000;;;5.6;;;;;;;39.6;;996.477419;32.957143;26.89619;21.647619;66.690476;;
82564;31/10/1976;0000;5;1.824731;6.3;116.1;;;171.6;6.391304;;103.9;;994.554839;32.048387;26.78;23.067742;74.903226;;
82564;30/11/1976;0000;36;1.837778;6.8;96.7;;;162.7;6.044444;;95;;994.307778;31.22;26.384;22.673333;76.791667;;
82564;31/12/1976;0000;5;1.943011;5.6;114.7;;;223.4;5.434783;;200.3;;993.710753;32.035484;26.56129;22.590323;76.919355;;
82564;31/01/1977;0000;9;1.917204;7.7;87.1;;;128;7.72043;19;227.9;;994.619355;30.180645;25.610968;22.522581;82.322581;;
82564;28/02/1977;0000;18;1.575;5.6;54.2;;;105;8.309524;23;205.4;;995.989286;29.589286;25.062857;22.310714;87.008929;;
82564;31/03/1977;0000;5;1.57957;5.8;91.5;;;135.2;7.935484;17;179.8;;994.837634;31.093548;26.107742;22.906452;83.217742;;
82564;30/04/1977;0000;0;1.444444;6.3;75.1;;;118;8.166667;17;310.3;;994.977778;30.973333;26.162667;22.93;84.183333;;
82564;31/05/1977;0000;0;1.429032;5;96;;;201.7;6.741935;13;126.9;;995.74086;31.245161;25.930968;22.306452;82.564516;;
82564;30/06/1977;0000;9;1.422222;5;135.8;;;248.1;4.266667;6;46.3;;996.561111;32.073333;25.958667;21.143333;76.483333;;
