--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82280;31/01/1961;0000;5;7;;;;;6.833333;8;73.6;;;;;24.107407;;;
82280;31/03/1961;0000;5;7;56.4;;;;7.258065;;6;;;;;23.206452;;;
82280;30/04/1961;0000;5;6;46.9;;;;8.166667;15;292.6;;1009.28;;;23.256667;;;
82280;31/05/1961;0000;5;5;52.6;;;;7.516129;22;307.7;;;;;23.303226;;;
82280;30/06/1961;0000;5;6;44.8;;;;6.466667;;17.7;;;;;22.86;;;
82280;31/07/1961;0000;;6;;;;;;;25.4;;1010.9475;;;22.615789;;;
82280;31/08/1961;0000;5;7;57;;;;5.532258;3;14.2;;;;;22.764516;;;
82280;30/09/1961;0000;5;7;67.1;;;;5.4;1;82.8;;1010.15;;;23.476667;;;
82280;31/10/1961;0000;5;7;53.1;;;;5;0;0;;;;;24.125806;;;
82280;30/11/1961;0000;;6;;;;;;;1.8;;;;;23.971429;;;
82280;31/12/1961;0000;5;7;61;;;;6.145161;1;45.2;;;;;23.790323;;;
82280;31/01/1962;0000;5;7;70.6;;;;6.822581;;15.4;;1009.23871;;;23.919355;;;
82280;28/02/1962;0000;5;6;42.9;;;;7.589286;;5;;;;;23.321429;;;
82280;31/03/1962;0000;5;7;48.1;;;;8.016129;25;389.9;;;;;23.151613;;;
82280;30/04/1962;0000;5;6;37.9;;;;7.95;27;562.2;;;;;23.223333;;;
82280;31/05/1962;0000;5;5;33.7;;;;7.209677;;11.2;;;;;23.535484;;;
82280;30/06/1962;0000;5;7;54;;;;6.4;13;151.3;;;;;23.17931;;;
82280;31/07/1962;0000;5;6;56.1;;;;5.951613;9;66.1;;;;;23.006452;;;
82280;31/08/1962;0000;5;7;77.1;;;;5.446429;;21.1;;;;;23.185714;;;
82280;31/10/1962;0000;5;8;91.4;;;;5.464286;;0;;;;;24.05;;;
82280;30/11/1962;0000;;7;;;;;;2;13.2;;;;;24.071429;;;
82280;31/01/1963;0000;5;7;60.9;;;;6.467742;16;232;;;;;23.012903;;;
82280;31/05/1963;0000;;;;;;;;;52;;;;;;;;
82280;31/07/1963;0000;5;6;61.1;;;;6.596774;;2.8;;;;;22.703226;;;
82280;31/08/1963;0000;;;;;;;;;0;;;;;;;;
82280;31/12/1963;0000;5;6;57.4;;;;7.339286;10;164.1;;;;;23.921429;;;
82280;31/01/1964;0000;5;5;38.2;;;;7.696429;;4.9;;1012.85;;;23.3;;;
82280;31/03/1964;0000;5;5;63.7;;;;7.759259;;32.6;;;;;23.244444;;;
82280;30/04/1964;0000;;;;;;;;;90;;;;;;;;
82280;30/09/1970;0000;5;9;129.7;;;258.9;4.272727;;0;;;30.486207;25.56;23.512;82.405172;;
82280;31/10/1970;0000;5;12;94.7;;;291.1;4.301075;1;22.8;;;30.846667;26.388;23.406452;79.935484;;
82280;31/12/1970;0000;5;9;79.9;;;236.1;5.097826;2;3.4;;;31.23871;25.877419;23.615385;78.685484;;
82280;31/01/1971;0000;;;79.8;;;206;;10;187;;;30.425806;;23;;;
82280;28/02/1971;0000;;;42.9;;;146.8;;15;459.3;;;29.289286;;22.514286;;;
82280;31/03/1971;0000;;;50.6;;;127.4;;26;702.7;;;29.119355;;22.770968;;;
82280;30/04/1971;0000;;;43;;;136;;23;688.2;;;28.993103;;22.41;;;
82280;31/05/1971;0000;;;39.1;;;115.4;;28;679.4;;;28.809677;;22.335484;;;
82280;30/06/1971;0000;;;67.3;;;230.4;;15;177.1;;;30.389655;;22.856667;;;
82280;31/07/1971;0000;;;70.1;;;242.6;;18;204.2;;;29.941935;;22.616129;;;
82280;31/08/1971;0000;;;94.8;;;286;;;9.3;;;30.321429;;22.854839;;;
82280;30/09/1971;0000;;;117.8;;;267.6;;;31.8;;;30.303448;;23.396667;;;
82280;31/10/1971;0000;;;140.5;;;276.2;;;3.4;;;30.529032;;23.76129;;;
82280;30/11/1971;0000;;;134.2;;;256.5;;;2.2;;;30.557143;;23.486667;;;
82280;31/12/1971;0000;;;140.3;;;262.9;;;29.1;;;30.666667;;23.370968;;;
82280;31/01/1972;0000;;;85.9;;;165.7;;;195.4;;;29.574194;;23.003226;;;
82280;29/02/1972;0000;;;63.6;;;149.7;;16;178.3;;;29.171429;;23.07931;;;
82280;31/03/1972;0000;;;73.6;;;137.8;;21;281.1;;;29.622581;;23.2;;;
82280;30/04/1972;0000;;;48.2;;;135.9;;23;288.3;;;29.089655;;23.06;;;
82280;31/05/1972;0000;;;66;;;213.5;;17;188.3;;;30.364516;;23.380645;;;
82280;30/06/1972;0000;;;68.6;;;231.7;;;118.4;;;30.24;;23.436667;;;
82280;31/07/1972;0000;;;79.6;;;255;;;80;;;29.96;;23.477419;;;
82280;31/08/1972;0000;;;82.7;;;274;;;40.5;;;30.277419;;23.316129;;;
82280;30/09/1972;0000;;;138.5;;;249.1;;;1.5;;;31.196552;;23.92;;;
82280;31/10/1972;0000;;;146.6;;;278.2;;;0.2;;;31.409677;;23.867742;;;
82280;30/11/1972;0000;;;80.3;;;276.1;;;4.8;;;31.586207;;24.216667;;;
82280;31/12/1972;0000;;;106.8;;;201.1;;;209.5;;;31.031034;;24.03871;;;
82280;31/01/1973;0000;5;7;58.4;;;129.3;7.826087;21;368.7;;;29.670968;25.973548;23.416129;90.66129;;
82280;28/02/1973;0000;5;8;48.1;;;107.3;7.662651;21;359.8;;;29.496429;25.894074;23.203571;92.296296;;
82280;31/03/1973;0000;0;8;38.3;;;96;8.043956;28;416.3;;;29.33871;25.811613;23.387097;93.948276;;
82280;30/04/1973;0000;0;7;36.4;;;86.9;8.517647;22;515.5;;;29.125;25.504615;22.9;93.201923;;
82280;31/05/1973;0000;0;5;45.1;;;159.2;8.065934;22;336.3;;;30.109677;25.812;22.866667;92.267241;;
82280;30/06/1973;0000;0;7;63.5;;;221.2;6.377778;21;214;;;30.443333;25.986;23.096667;90.833333;;
82280;31/07/1973;0000;0;9;64.7;;;219.9;6.369565;19;159.9;;;30;25.801333;22.909677;90.475;;
82280;31/08/1973;0000;5;8;75.4;;;258.6;4.645161;;113.5;;;30.241935;25.782581;22.790323;89.056452;;
82280;30/09/1973;0000;9;8;;;;214;5.788732;;18.6;;;30.93913;26.447368;23.826087;85.960526;;
82280;31/10/1973;0000;;6.6;;;;;;;55.3;;1003.628;30.823529;26.654118;23.870588;89.352941;;
82280;30/11/1973;0000;5;6.1;128.9;;;272.9;5.4;;0;;1004.14026;30.85;26.802;24.1;86.716667;;
82280;31/12/1973;0000;5;6.6;97.5;;;186.9;6.826087;;93.3;;;30;26.196774;23.53871;86.540323;;
