--------------------
BDMEP - INMET
--------------------
Estação           : TURIACU - MA (OMM: 82198)
Latitude  (graus) : -1.56
Longitude (graus) : -45.36
Altitude  (metros): 44.06
Estação Operante
Inicio de operação: 29/07/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82198;31/01/1961;0000;0;4;67;;;171.8;9.836957;18;222.2;;;30.690323;27.103871;24.190323;80.233871;;
82198;28/02/1961;0000;0;3;25.1;;;;9.97619;24;777.6;;;28.414286;25.051429;22.389286;89.026786;;
82198;31/03/1961;0000;0;4;42.4;;;129.2;9.849462;28;399.2;;;29.587097;26.165806;23.274194;86.040323;;
82198;30/04/1961;0000;0;2;26.8;;;;9.988889;26;601.9;;;29.32;25.628;22.743333;89.616667;;
82198;31/05/1961;0000;0;4;31.2;;;;9.978495;30;455.2;;;29.854839;25.949032;22.8;89.137097;;
82198;30/06/1961;0000;0;7;42.2;;;;8.966667;24;346.9;;;30.263333;26.005333;22.59;84.966667;;
82198;31/07/1961;0000;0;5;46;;;;8.086022;26;248.1;;;30.03871;25.870323;22.474194;85.282258;;
82198;31/08/1961;0000;9;5;67;;;285.1;8.075269;12;23.2;;;30.709677;26.397419;23.303226;79.201613;;
82198;30/09/1961;0000;9;6;86.9;;;285.1;7.988764;3;13.8;;;31.393333;26.901333;23.633333;75.141667;;
82198;31/10/1961;0000;9;5;95;;;274.1;8.215054;8;15.2;;;31.741935;27.29871;24.274194;74.612903;;
82198;30/11/1961;0000;0;5;83.5;;;257.8;7.8;7;63.2;;;31.546667;27.184;24.006667;76.125;;
82198;31/12/1961;0000;0;5;86.6;;;253.9;8.666667;10;32.1;;;31.632258;27.227097;23.903226;76.395161;;
82198;31/01/1962;0000;0;5;86.8;;;;8.537634;7;152.2;;;31.270968;27.115484;23.867742;77.717742;;
82198;28/02/1962;0000;0;3;39.8;;;;9.607143;25;297.4;;;29.846429;26.170714;23.285714;86.982143;;
82198;31/03/1962;0000;0;5;36.9;;;109.9;9.612903;23;433.4;;;29.322581;25.669032;22.725806;87.879032;;
82198;30/04/1962;0000;0;5;31.6;;;110.2;9.7;25;439.6;;;29.863333;25.799333;22.736667;88.6;;
82198;31/05/1962;0000;;3;;;;;;17;271.8;;1010.2;29.505263;25.765263;22.815789;88.434211;;
82198;30/06/1962;0000;;;;;;;;0;0;;;;;;;;
82198;31/07/1962;0000;;;;;;;;;50.8;;;;;;;;
82198;31/08/1962;0000;0;5;70.1;;;283.5;8.365591;12;51.7;;;31.316129;26.803226;23.596774;78.467742;;
82198;30/09/1962;0000;9;5;85.5;;;259.2;9.244444;4;2.6;;;31.88;27.168;24.213333;74.616667;;
82198;31/10/1962;0000;9;5;93.9;;;270.3;9.311828;2;5.1;;;32.070968;27.425806;24.306452;73.532258;;
82198;30/11/1962;0000;0;5;85.2;;;217.7;9.155556;4;50;;;31.62;27.236667;23.896667;75.841667;;
82198;31/12/1962;0000;0;5;90.4;;;245.8;9.204301;5;123.9;;;31.916129;27.404516;23.951613;76.830645;;
82198;31/01/1963;0000;0;5;61.4;;;174.2;9.548387;17;100.7;;;30.36129;26.18;23.26129;83.604839;;
82198;28/02/1963;0000;0;5;32.8;;;100.8;9.702381;24;491.1;;;29.957143;25.711429;22.507143;88.803571;;
82198;31/03/1963;0000;0;5;29.1;;;81.3;9.609195;26;540.8;;;29.641379;25.428276;22.431034;89.163793;;
82198;30/04/1963;0000;0;8;31.1;;;94.1;9.533333;25;344.2;;;29.706667;25.73;22.773333;89.4;;
82198;31/05/1963;0000;0;5;37;;;;9.677419;24;355.4;;1010.6;30.116129;25.936774;22.735484;88.266129;;
82198;30/06/1963;0000;0;5;40.4;;;;9.6;20;235.5;;1011.72;30.286667;26.172667;23.043333;86.658333;;
82198;31/07/1963;0000;0;5;51.3;;;231.9;9.408602;17;122.2;;;30.445161;26.092903;22.554839;83.75;;
82198;31/08/1963;0000;9;5;66;;;240.7;9.043011;13;93.7;;;30.774194;26.580645;23.522581;80.379032;;
82198;30/09/1963;0000;9;5;77.8;;;249.2;9.233333;9;12.8;;;31.373333;26.956667;23.97;76.783333;;
