--------------------
BDMEP - INMET
--------------------
Estação           : ZE DOCA - MA (OMM: 82376)
Latitude  (graus) : -3.26
Longitude (graus) : -45.65
Altitude  (metros): 45.28
Estação Operante
Inicio de operação: 25/08/1970
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82376;31/08/1975;0000;9;6;;;;;5.649351;;3.4;;1005.41039;32.611111;21.611111;;76.111111;;
82376;30/09/1975;0000;9;7;171.6;;;;4.928571;;25.1;;1004.89881;33.1125;23.065833;;73.885417;;
82376;31/10/1975;0000;5;9;191.1;;;;5.670455;;15.9;;;33.742308;26.696923;21.963333;70.798077;;
82376;30/11/1975;0000;9;10;204.6;;;;6.371795;;58.3;;;33.915;27.017;22.313793;70.0625;;
82376;31/12/1975;0000;36;10;117.5;;;;7.512821;;68.7;;;31.561111;25.793333;21.987097;80.361111;;
82376;31/01/1976;0000;9;10;74.3;;;;7.37931;;73.2;;;30.852;25.2088;21.525806;86.12;;
82376;29/02/1976;0000;9;10;54;;;;8.513158;15;220.5;;;30.75;25.16;21.782759;85.819444;;
82376;31/03/1976;0000;36;6;67;;;150.7;8.543478;27;431.5;;;31.206667;23.960667;21.838095;87.65;;
82376;30/04/1976;0000;9;9;81.4;;;183.2;8.11236;22;185.8;;;31.568966;;;84.336207;;
82376;31/05/1976;0000;9;7;81.3;;;242;7.204301;17;219.7;;1004.92043;31.680645;;;83.282258;;
