--------------------
BDMEP - INMET
--------------------
Estação           : AIMORES - MG (OMM: 83595)
Latitude  (graus) : -19.49
Longitude (graus) : -41.07
Altitude  (metros): 82.74
Estação Operante
Inicio de operação: 01/06/1972
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83595;30/06/1972;0000;14;1.337079;5;78.6;;;243.1;7.123596;1;3.4;;;30.29;22.639333;15.526667;73.308333;;
83595;31/07/1972;0000;9;1.634409;9;60;;;168.1;7.935484;10;51.5;;;28.951613;21.174839;14.041935;81.612903;;
83595;31/08/1972;0000;14;1.967391;7;86.2;;;191.1;7.11828;3;6;;;29.76;22.158667;14.470968;72.141667;;
83595;30/09/1972;0000;14;2.511111;7;82.8;;;211.1;7.944444;8;54.1;;;29.4;23.161333;16.85;71.7;;
83595;31/10/1972;0000;14;2.537634;7;83.7;;;162;8.258065;8;83.9;;;30.406452;24.616129;18.764516;74.112903;;
83595;30/11/1972;0000;9;2.422222;9;85.1;;;167.9;8.466667;16;354.8;;;32.153333;25.992667;20.37;76.275;;
83595;31/12/1972;0000;14;2.193548;12;84.3;;;203.4;8.268817;12;250.3;;;32.096774;25.976129;19.722581;74.266129;;
83595;31/01/1973;0000;14;2.053763;7;116.1;;;;7.623656;6;60.9;;999.123656;35.474194;28.370968;21.451613;67.604839;;
83595;28/02/1973;0000;14;2;5;95.4;;;238.5;8.107143;6;127.9;;996.466667;35.160714;28.216429;20.964286;68.428571;;
83595;31/03/1973;0000;14;2.043011;7;78.7;;;186.3;8.365591;13;415.6;;993.029032;32.125806;26.131613;20.045161;77.354839;;
83595;30/04/1973;0000;14;1.888889;7;85.1;;;276.6;7.877778;5;14.2;;993.437778;33.29;26.180667;18.4;74.408333;;
83595;31/05/1973;0000;14;1.913978;7;82.4;;;244.9;7.817204;6;88.6;;992.505376;30.303226;23.102581;15.451613;74.387097;;
83595;30/06/1973;0000;14;1.711111;7;74;;;218.8;8.2;3;19;;992.177778;30.37;22.928;17.67;76.341667;;
83595;31/07/1973;0000;14;2.225806;7;81.7;;;219.4;8.225806;7;32;;991.644086;29.448387;21.812903;14.241935;73.766129;;
83595;31/08/1973;0000;14;2.548387;7;104.3;;;231.7;8.354839;1;2;;989.221505;30.364516;22.925161;16.348387;65.725806;;
83595;30/09/1973;0000;14;2.533333;7;101;;;157.6;8.844444;5;20.6;;986.934444;29.673333;23.418;16.996667;65.808333;;
83595;31/10/1973;0000;14;2.247312;7;80.3;;;123.4;9.107527;16;360.7;;980.391398;29.022581;23.159355;16.732258;74.395161;;
83595;30/11/1973;0000;14;2.424444;7;70.7;;;125.9;8.955556;13;302.6;;977.245556;29.06;23.893333;18.333333;75.875;;
