--------------------
BDMEP - INMET
--------------------
Estação           : ARAXA - MG (OMM: 83579)
Latitude  (graus) : -19.6
Longitude (graus) : -46.94
Altitude  (metros): 1023.61
Estação Operante
Inicio de operação: 07/09/1916
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83579;30/04/1965;0000;0;1.298701;9;;;;;4.363636;7;59.4;;903.38961;27.026923;20.783077;15.719231;85.788462;;
83579;31/05/1965;0000;0;1.728395;4;;;;245.5;3.185185;2;5;;905.075309;26.988889;19.973333;13.862963;86.555556;;
83579;31/07/1965;0000;;;;;;;;;3;11.3;;;;;;;;
83579;31/03/1971;0000;14;2.359551;9;132.7;;;200.6;5.516854;11;93.6;;899.596629;27.756667;21.854667;16.533333;74.55;;
83579;30/04/1971;0000;14;2.466667;7;133.7;;;242.1;4.644444;7;59.6;;900.357778;27.003333;20.632;14.816667;71.25;;
83579;31/05/1971;0000;14;2.076087;9;162;;;240.6;4.236559;3;29.7;;902.62043;25.467742;19.205806;13.048387;65.08871;;
83579;30/06/1971;0000;14;2.211111;9;136.5;;;213.4;4.688889;8;36.1;;902.868889;23.76;17.852;12.003333;68.908333;;
83579;31/07/1971;0000;36;2.263441;9;191.6;;;254.3;2.827957;2;18;;903.562366;24.780645;17.719355;10.764516;61.766129;;
83579;31/08/1971;0000;14;2.794624;9;219;;;293.5;1.83871;0;0;;903.331183;26.412903;18.889677;11.412903;52.112903;;
83579;30/09/1971;0000;14;2.222222;9;174;;;212.8;3.466667;5;69.4;;901.611111;27.026667;19.807333;13.776667;59.308333;;
83579;31/10/1971;0000;14;2.010753;7;140.4;;;174.6;5.752688;11;176.7;;900.633333;25.751613;19.840645;15.819355;75.879032;;
83579;30/11/1971;0000;14;2.066667;7;106;;;159.1;5.788889;15;210.4;;898.417778;25.436667;20.028;16.6;80.141667;;
83579;31/12/1971;0000;14;1.645161;7;69.3;;;102.1;6.741935;23;508.8;;898.070968;25.654839;20.820645;17.712903;84.959677;;
83579;31/01/1972;0000;14;1.764516;7;137.8;;;206.5;5.580645;14;210;;898.837634;27.564516;21.525806;17.43871;76.822581;;
83579;29/02/1972;0000;14;1.528736;5;81.8;;;118.7;6.45977;16;227.4;;899.366667;26.003448;20.777931;17.596552;83.87931;;
83579;31/03/1972;0000;18;1.526882;5;112.5;;;214.1;5.322581;11;173;;899.653763;27.596774;21.739355;18.203226;79.685484;;
83579;30/04/1972;0000;14;2.588889;9;108;;;213.2;4.133333;8;66.3;;900.811111;25.046667;19.171333;15.176667;76.891667;;
83579;31/05/1972;0000;14;2.365591;9;139;;;256.7;2.602151;4;22.4;;901.766667;24.848387;18.610323;14.632258;71.5;;
83579;30/06/1972;0000;14;2.011111;7;152.5;;;290.1;1.422222;0;0;;903.063333;25.863333;18.938;13.816667;64.283333;;
83579;31/07/1972;0000;14;2.215054;7;167.9;;;248.3;2.989247;4;40.4;;902.215054;24.548387;17.787742;13.083871;66.145161;;
83579;31/08/1972;0000;14;2.354839;9;210.1;;;267.8;3.548387;3;35.7;;901.098925;27.096774;19.934194;15.635484;67.419355;;
83579;30/09/1972;0000;23;2.411111;12;170;;;197.8;4.911111;8;91.5;;902.024444;25.513333;19.537333;15.06;72.125;;
83579;31/10/1972;0000;32;2.021505;5;156.6;;;194;6.494624;11;228.7;;899.844086;26.619355;21.383871;17.303226;81.706897;;
83579;30/11/1972;0000;14;1.844444;9;59.7;;;122.9;7.677778;23;424.8;;898.122222;25.89;21.419333;18.576667;89.258333;;
83579;31/12/1972;0000;5;2.311828;9;113;;;192.8;6.645161;14;183.1;;898.423656;26.493548;21.68;17.741935;83.153226;;
83579;31/01/1973;0000;23;1.612903;5;100.5;;;173.1;7.11828;18;286.3;;900.596774;28.358065;22.653548;17.925806;79.782258;;
83579;28/02/1973;0000;14;1.488095;5;101.4;;;191.5;6.678571;12;254.9;;900.214286;28.996;23.2232;19.671429;81.160714;;
83579;31/03/1973;0000;18;1.795699;5;81.2;;;157.6;7.494624;17;248.3;;898.890323;29.065;22.8;17.612903;83.048387;;
83579;30/04/1973;0000;5;1.144444;5;93;;;221.7;5.144444;12;229;;900.968889;;;16.821429;78.808333;;
83579;31/05/1973;0000;14;1.430108;5;113;;;236.4;3.494624;6;75.2;;902.076344;;;12.941935;73.370968;;
83579;30/06/1973;0000;14;1.2;5;124.8;;;244.7;4.211111;4;28.2;;902.493333;25.946667;19.148667;12.8;68.266667;;
83579;31/07/1973;0000;14;1.473118;5;141.8;;;278.4;2.451613;0;0;;903.149462;25.006452;17.310323;10.574194;65.548387;;
83579;31/08/1973;0000;9;1.215054;3;202.1;;;258.2;2.333333;1;0.1;;901.846237;28.016129;20.074194;12.741935;55.669355;;
83579;30/09/1973;0000;14;1.7;7;177.6;;;174.8;5.933333;5;17.8;;901.82;26.836667;20.223333;13.13;64.875;;
83579;31/10/1973;0000;14;1.430108;5;118.7;;;167;7.043011;12;122.3;;898.815054;26.532258;20.023226;13.545161;76.959677;;
83579;30/11/1973;0000;32;1.566667;5;94.7;;;176.1;7.133333;18;262.7;;898.682222;26.936667;20.528;14.06;80.875;;
83579;31/12/1973;0000;9;1.301075;5;73.3;;;164.6;7.623656;22;199.2;;898.704301;27.206452;21.02;14.693548;83.58871;;
83579;31/01/1974;0000;27;1.236559;7;86.4;;;194.1;7.408602;20;233.5;;898.908602;27.083871;20.785806;14.56129;83.314516;;
83579;28/02/1974;0000;0;1.202381;5;118.2;;;244.2;5.809524;9;114;;899.22381;28.903571;22.512143;18.175;75.321429;;
83579;31/03/1974;0000;32;1.032258;5;68.7;;;157.8;7.989247;20;327.2;;897.948387;26.545161;20.54129;14.277419;84.629032;;
83579;30/04/1974;0000;9;1.177778;5;73.9;;;188.6;6.633333;13;139.5;;900.627778;26.14;20.352667;16.28;81.933333;;
83579;31/05/1974;0000;18;1.107527;5;106.9;;;264.1;4.258065;8;23;;902.560215;25.232258;17.994839;10.335484;76.048387;;
83579;30/06/1974;0000;14;1.177778;5;112.4;;;253.1;3.611111;2;36.8;;902.432222;24.206667;16.515172;8.655172;77.025;;
83579;31/07/1974;0000;9;1.354839;7;171;;;303.8;1.311828;0;0;;905.258065;24.2;16.304516;7.864516;66.693548;;
83579;31/08/1974;0000;14;2.323656;8;193.1;;;280.4;2.924731;2;10.2;;902.324731;27.090323;18.687097;9.306452;64.806452;;
83579;30/09/1974;0000;5;3.152222;9.8;246.2;;;269;2.688889;1;0.6;;901.626667;29.65;21.162;11.473333;56.391667;;
83579;31/10/1974;0000;14;2.607527;9.8;114.5;;;198.5;6.892473;15;215.9;;899.250538;27.93871;20.234194;11.754839;73.129032;;
83579;30/11/1974;0000;18;2.976667;9.8;136.3;;;262.7;4.9;7;66.9;;898.502222;28.05;20.763333;11.793333;70.4;;
83579;31/12/1974;0000;14;2.474194;9.3;70;;;104;8.526882;23;511.2;;898.870968;25.680645;19.468387;11.796774;85.370968;;
83579;31/01/1975;0000;27;2.630108;7.7;105;;;203.4;7.139785;18;242.2;;899.752688;27.648387;20.470968;11.93871;79.846774;;
83579;28/02/1975;0000;9;2.286905;4.6;78.6;;;167;6.988095;20;189.7;;899.510714;28.196429;21.340714;12.8;82.4375;;
83579;31/03/1975;0000;9;3.147312;7.7;137.5;;;263.8;5.391304;8;29.1;;900.790323;28.516129;22.474839;18.354839;76.733871;;
83579;30/04/1975;0000;9;2.622222;5.7;112.1;;;248;4.288889;10;77.1;;899.996667;26.1;19.649655;14.472414;77.45;;
83579;31/05/1975;0000;36;3.135484;8.8;114.2;;;266.5;3.741935;6;25.7;;902.589247;24.529032;17.738065;12.025806;68.346774;;
83579;30/06/1975;0000;23;3.232222;8.8;155.8;;;260.3;2.844444;3;21.6;;904.006667;24.52;17.766667;13.156667;61.683333;;
83579;31/07/1975;0000;14;2.848387;6.7;132.4;;;268.3;3.053763;4;37.9;;904.293548;23.190323;16.397931;11.431034;63.024194;;
83579;31/08/1975;0000;14;3.226882;9.8;224.5;;;317.7;0.903226;0;0;;903.413978;27.26129;19.803226;14.303226;48.137097;;
83579;30/09/1975;0000;9;3.768889;9.8;261.6;;;230.4;2.166667;0;0;;902.494444;28.182759;21.129655;15.923333;52.766667;;
83579;31/10/1975;0000;9;2.696774;6.7;142.6;;;211.6;5.83871;14;124.3;;899.270968;27.909677;21.447143;16.5;64.233871;;
83579;30/11/1975;0000;18;2.564444;6.2;84.7;;;129.7;8.044444;20;289;;898.643333;26.371429;21.18;17.516;81.1;;
83579;31/12/1975;0000;9;2.434409;6.7;118.3;;;224.9;5.913978;19;258;;899.231183;27.235484;21.427857;17.175;74.516129;;
83579;31/01/1976;0000;9;2.376344;6.7;129.5;;;221.2;5.88172;14;105.6;;899.294624;28.596774;22.341935;17.977419;71.862903;;
83579;29/02/1976;0000;36;2.595402;8.8;76.6;;;135.1;7.666667;20;232.6;;899.042529;26.289655;21.06069;17.613793;81.008621;;
83579;31/03/1976;0000;14;2.425806;9.3;92.4;;;205.5;6.717391;15;136;;899.874194;27.074194;21.318065;17.612903;78.08871;;
83579;30/04/1976;0000;9;2.408889;7.4;116.5;;;263.1;3.744444;5;103.2;;901.146667;27.393333;20.94;16.69;69.975;;
83579;31/05/1976;0000;18;2.507527;7.1;101;;;219.7;5.27957;10;84.4;;902.1;24.880645;18.835484;14.509677;77.064516;;
83579;30/06/1976;0000;14;2.663333;6.7;123.5;;;274.4;2.388889;2;2.8;;903.242222;24.943333;;;75.083333;;
83579;31/07/1976;0000;18;3.332258;9.8;115.7;;;269.7;3.236559;7;56.4;;905.043011;23.032258;16.96;12.59;73.846774;;
83579;31/08/1976;0000;9;3.436559;8.2;133.5;;;241;3.924731;5;22.5;;903.25914;25.396774;18.956129;14.209677;72.806452;;
83579;30/09/1976;0000;9;2.55;8.2;77;;;162;7.033333;12;180.1;;901.172222;24.99;19.235333;15.366667;89.591667;;
83579;31/10/1976;0000;18;3.076344;8.8;93.2;;;214.9;6.55914;11;182.8;;900.150538;26.354839;20.417419;16.158065;89.08871;;
83579;30/11/1976;0000;18;2.434444;6.2;81.8;;;178.4;7.888889;18;223.9;;898.772222;26.366667;20.720667;16.803333;83.05;;
83579;31/12/1976;0000;5;2.002151;8.2;71;;;107.3;8.344086;25;339.7;;898.54086;25.329032;20.09;16.188889;94.008065;;
83579;31/01/1977;0000;14;2.096774;6.3;82.1;;;180.9;7.83871;20;371;;898.26129;26.680645;;;88.024194;;
83579;28/02/1977;0000;36;2.558333;5.6;153.5;;;274.9;3.511905;6;16.2;;901.966667;28.657143;22.454286;17.853571;90.419643;;
83579;31/03/1977;0000;14;2.224731;5.8;147;;;219.7;5.849462;17;129.8;;900.095699;29.541935;22.85871;18.358065;90.112903;;
83579;30/04/1977;0000;27;2.842222;10;96.7;;;187.4;5.544444;7;71;;900.842222;26.406667;20.710667;16.913333;87.325;;
83579;31/05/1977;0000;9;2.056989;6.1;109.7;;;238.6;3.731183;3;20.2;;902.543011;24.567742;18.437419;13.806452;81.66129;;
83579;30/06/1977;0000;9;1.468889;4.1;77;;;208.7;4.233333;7;65.7;;903.603333;24.24;18.124667;13.79;73.866667;;
83579;31/07/1977;0000;5;1.872043;4.1;122.5;;;281.9;1.956989;1;4;;903.291398;26.148387;18.986452;13.545161;61.072581;;
83579;31/08/1977;0000;18;1.663441;5;180;;;234.9;2.978495;1;4;;901.81828;28.412903;20.980645;15.206452;57.362903;;
83579;30/09/1977;0000;14;1.985556;5;154.5;;;179.6;5.288889;8;33.4;;901.9;27.32;20.679333;16.003333;67.216667;;
83579;31/10/1977;0000;9;1.477419;9;128.5;;;216.9;6.903226;8;183.3;;901.170968;28.303226;22.190968;17.716129;77.241935;;
83579;30/11/1977;0000;32;1.157778;2.5;61;;;120.5;8.411111;19;232.6;;899.187778;26.81;21.486667;17.56;86.533333;;
83579;31/12/1977;0000;5;1.201075;2.5;94.2;;;158.1;8.043011;18;221.4;;899.769892;26.045161;21.270769;17.338462;86.266129;;
83579;31/01/1978;0000;9;1.05914;2.5;104.3;;;189.5;6.397849;18;352.4;;900.302151;27.419355;22.133846;18.484615;82.346774;;
83579;28/02/1978;0000;5;1.071429;1.6;100.8;;;155.9;6.392857;12;262.6;;899.410714;27.85;22.034286;18.535714;81.276786;;
83579;31/03/1978;0000;5;1.122581;2;117.7;;;225.1;5.731183;10;111.6;;900.694624;27.548387;21.745161;17.912903;77.5;;
83579;30/04/1978;0000;18;1.086667;2.6;94.5;;;189.4;5.877778;13;107.2;;900.775556;25.72;19.942069;16.986207;82.2;;
83579;31/05/1978;0000;18;1.088172;1.6;104;;;214.3;4.849462;11;127.8;;900.993548;24.187097;18.300645;14.135484;81.25;;
83579;30/06/1978;0000;32;1.04;2;90;;;225.2;3.655556;1;6;;904.433333;23.28;16.646667;11.693333;79.708333;;
83579;31/07/1978;0000;9;1.074194;2.1;119.5;;;232.4;4.451613;3;35;;902.967742;24.222581;17.454839;12.387097;80.83871;;
83579;31/08/1978;0000;9;0.941935;1.8;175.3;;;263.3;2.451613;0;0;;904.335484;25.877419;18.278065;12.254839;70.862903;;
83579;30/09/1978;0000;23;1.067778;2.8;161;;;192.8;5.422222;6;55.1;;902.89;26.32;19.444;14.286667;74.25;;
83579;31/10/1978;0000;9;0.998925;6.1;142.2;;;211.1;5.72043;14;242.1;;899.874194;28.441935;21.763226;16.506452;76.701613;;
83579;30/11/1978;0000;18;1.326667;3.1;77.2;;;138;7.722222;17;309.5;;899.751111;25.98;20.573333;16.446667;88.575;;
83579;31/12/1978;0000;9;1.173118;2.6;86.3;;;148.7;7.612903;22;305.7;;899.778495;26.006452;20.517419;15.954839;86.959677;;
83579;31/01/1979;0000;23;;2.1;71.5;;;125.2;7.740741;21;199.5;;893.394444;25.74;20.77;15.373333;;;
83579;28/02/1979;0000;14;1.296429;2.3;77;;;147.9;7.154762;22;235.7;;893.702381;27.135714;20.868571;15.45;87.785714;;
83579;31/03/1979;0000;;;;83.2;;;167.5;;15;173.1;;;27.167857;;16.664286;;;
83579;30/04/1979;0000;;;;93.2;;;189.2;;9;118.1;;;26.15;;15.067857;;;
83579;31/05/1979;0000;27;;2.1;;;;;5.787879;3;2.6;;897.412121;26.13913;;15;;;
83579;30/06/1979;0000;14;1.066154;2.5;;;;;2.892308;;0;;901.166154;23.866667;17.043636;13.1625;;;
83579;31/07/1979;0000;;;;;;;;;2;3.5;;;24.377778;;12.027778;;;
83579;31/08/1979;0000;18;;2;151;;;219.7;5.851852;3;26.4;;901.737037;26.735714;;14.542857;;;
83579;30/09/1979;0000;18;;5.6;39;;;155.2;7.588235;11;127.7;;902.796078;25.964286;18.487059;15.475;;;
83579;31/10/1979;0000;27;;2.8;;;;;7.342857;7;107.6;;900.22;28.55;;17.522727;;;
83579;30/11/1979;0000;36;1.213043;5.5;119;;;193.1;7.217391;9;186.3;;898.241304;27.007407;20.194667;16.359259;;;
83579;31/12/1979;0000;18;1.142105;2;;;;;8.333333;16;245.6;;898.968421;27.553846;21.431579;18.476923;;;
83579;31/01/1980;0000;23;1.302941;2.1;;;;;8.308824;19;462.8;;897.033824;26.073913;20.8;17.517391;89.467391;;
83579;29/02/1980;0000;32;1.265333;2.1;;;;;7.546667;11;211.1;;896.166667;26.896;21.5872;18.192;;;
83579;31/03/1980;0000;5;1.208602;2.5;138;;;252;4.946237;7;56.4;;899.570968;28.5;22.368387;18.058065;77.112903;;
83579;30/04/1980;0000;18;1.280952;2.1;80.5;;;187.4;6.166667;13;206.3;;899.90119;25.760714;19.63;13.553571;85.178571;;
83579;31/05/1980;0000;32;1.318421;3.3;;;;;4.671053;3;2.8;;901.625;25.856;19.4824;14.74;78.16;;
83579;30/06/1980;0000;36;1.26875;2.1;103.8;;;228.2;3.825;4;19.3;;902.7525;23.992593;17.234074;12.003704;78.75;;
83579;31/07/1980;0000;36;1.215054;2.1;128;;;266.6;3.494624;0;0;;902.412903;25.548387;18.556774;12.751613;75.158333;;
83579;31/08/1980;0000;18;1.554023;7.5;143.4;;;214;3.643678;4;29;;901.983908;26.517241;19.432414;13.224138;80.163793;;
83579;30/09/1980;0000;9;2.339744;5.6;;;;;4.884615;4;55.8;;900.437179;26.876923;20.244615;15.423077;77.615385;;
83579;31/10/1980;0000;9;2.82069;7.8;204;;;233.7;4.425287;4;29.6;;899.378161;28.855172;22.461379;17.444828;79.074074;;
83579;30/11/1980;0000;18;1.650685;7.8;;;;;7.273973;12;189.6;;897.428767;27.283333;21.489167;17.566667;;;
83579;31/12/1980;0000;0;1.631746;7.5;;;;;7.428571;14;135.6;;896.984127;26.704762;21.424762;17.666667;;;
83579;31/01/1981;0000;9;1.457831;4.5;87.3;;;134.4;7.759036;14;305.1;;900.515663;27.064286;21.332857;17.435714;82.392857;;
83579;28/02/1981;0000;14;1.361333;4.6;;;;;5.653333;4;56;;901.788;28.744;22.2984;17.932;71.895833;;
83579;31/03/1981;0000;18;1.839744;7.8;;;;;7.064103;16;218.7;;898.951282;27.773077;22.193846;18.211538;76.365385;;
83579;30/04/1981;0000;36;2.00274;5.3;;;;;5.178082;4;13;;901.557534;26.816667;20.66;16.225;70.322917;;
83579;31/05/1981;0000;18;2.648148;6;119.4;;;216.8;4.654321;2;3.4;;903.606173;25.085185;18.994074;14.522222;66.675926;;
83579;30/06/1981;0000;9;2.24321;5.3;108.8;;;208.2;4.17284;3;8;;904.030864;23.244444;16.979259;12.503704;67.346154;;
83579;31/07/1981;0000;18;2.95125;7;129.9;;;229.7;3.1875;;0;;905.245;23.066667;16.385185;11.422222;59.685185;;
83579;31/08/1981;0000;9;2.785897;6.8;;;;;2.064103;1;0.9;;902.966667;26.792308;19.545385;13.903846;54.27;;
83579;30/09/1981;0000;18;2.653623;6.3;;;;;1.956522;2;15.8;;902.386957;29.182609;21.788696;16.204348;;;
83579;31/10/1981;0000;18;2.097701;5.3;116.8;;;143.8;7.321839;13;183.2;;899.967816;26.358621;20.774483;16.734483;73.784483;;
83579;30/11/1981;0000;9;2.108333;6.5;81.6;;;137.1;8.142857;18;180.6;;898.361905;26.55;21.249286;17.639286;83.296296;;
83579;31/12/1981;0000;5;2.236667;4.8;86.1;;;131.6;7.955556;21;238.2;;899.966667;26.49;21.418;17.873333;85.551724;;
83579;31/01/1982;0000;9;2.308642;6.5;63.8;;;85.5;9.037037;19;439.8;;899.175309;25.674074;20.721481;17.785185;88.471154;;
83579;28/02/1982;0000;18;2.248101;5.1;;;;;5.734177;6;55.1;;900.703797;27.969231;22.116154;17.965385;83.43;;
83579;31/03/1982;0000;5;1.946154;6;;;;;7.858974;18;379.7;;898.503846;26.130769;21.242308;18.061538;89.778846;;
83579;30/04/1982;0000;9;2.51625;7.5;110.1;;;205.1;6.0375;8;51;;901.75125;25.214815;19.397778;15.514815;83.509615;;
83579;31/05/1982;0000;9;2.407778;6.6;119.4;;;226.7;5.377778;5;43.4;;902.601111;23.926667;17.786;13.546667;82.658333;;
83579;30/06/1982;0000;9;1.964444;4.6;115.3;;;212.4;4.855556;3;11.7;;903.436667;25.026667;19.021333;14.886667;82.732143;;
83579;31/07/1982;0000;9;2.723656;6;160.8;;;266.9;3.731183;2;15.3;;903.697849;25.006452;18.327097;13.583871;77.330645;;
83579;31/08/1982;0000;18;2.723656;7.5;191.4;;;239.9;5.053763;3;24.4;;903.644086;26.722581;20.113548;15.322581;72.120968;;
83579;30/09/1982;0000;32;2.632143;5.6;196.6;;;219;4.940476;2;14.2;;902.033333;27.528571;20.825;15.603571;60.973214;;
83579;31/10/1982;0000;9;2.361905;5.1;118.1;;;176.8;7.130952;16;144.6;;900.165476;28.103571;21.687143;17.303571;79.517857;;
83579;30/11/1982;0000;9;2.228395;8;117.4;;;208.2;6.703704;16;152.1;;899.559259;29.788889;23.378519;18.696296;;;
83579;31/12/1982;0000;18;2.295402;5;72.8;;;101.3;8.735632;23;270.2;;899.727586;26.127586;20.943448;17.886207;84.948276;;
