--------------------
BDMEP - INMET
--------------------
Estação           : ARINOS - MG (OMM: 83384)
Latitude  (graus) : -15.91
Longitude (graus) : -46.1
Altitude  (metros): 519.00
Estação Operante
Inicio de operação: 05/04/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83384;30/06/1976;0000;;;;68;;;255.9;1.955056;;0;;;30.62;;;69.891667;;
83384;31/07/1976;0000;;;;101.7;;;276.7;2.516129;1;2.8;;;30.412903;;;65.008065;;
83384;31/08/1976;0000;;;;137.5;;;276;1.516129;0;0;;;32.554839;;;57.935484;;
83384;30/09/1976;0000;;;;101.4;;;168.7;4.5;9;111;;;31.76;;;63.058333;;
83384;31/10/1976;0000;;;;57.3;;;178.3;5.488889;13;119;;;30.054839;;;68.467742;;
83384;30/11/1976;0000;;;;49.4;;;87;7.261905;18;192.6;;;28.885714;;;81.633929;;
83384;31/12/1976;0000;;;;55.4;;;118.1;6.698925;24;178.9;;;29.9;;;78.758065;;
83384;31/01/1977;0000;;;;72.6;;;158.8;6.365591;20;229.1;;;30.122581;;;77.048387;;
83384;28/02/1977;0000;;;;85.6;;;201;4.75;9;42.2;;;30.914286;;;67.491071;;
83384;31/03/1977;0000;;;;130.9;;;267.8;3;5;19.5;;;34.23871;;;61.822581;;
83384;30/04/1977;0000;;;;91.8;;;201.9;4.677778;8;55.9;;;31.386667;;;70.825;;
83384;31/05/1977;0000;;;;88.3;;;243.8;3.258065;4;47.1;;;29.629032;;;67.346774;;
83384;30/06/1977;0000;;;;67.5;;;199.9;3.123457;3;47.7;;;29.407407;;;67.981481;;
83384;31/07/1977;0000;;;;112.7;;;274.2;1.55914;0;0;;;30.212903;;;61.524194;;
83384;31/08/1977;0000;;;;141;;;268.9;1.72043;0;0;;;33.187097;23.781935;15.806452;56.024194;;
83384;30/09/1977;0000;;;;135.9;;;189.5;4.555556;5;36.6;;;31.86;24.670667;18.726667;58.841667;;
83384;31/10/1977;0000;;;;118;;;205.9;4.870968;9;131.8;;;32.251613;25.230968;20.225806;63.741935;;
83384;30/11/1977;0000;;;;73.3;;;149.1;6;17;160.6;;;30.978571;24.791429;20.57931;74.651786;;
83384;31/12/1977;0000;;;;65.4;;;135.4;6.698925;16;222;;;30.509677;24.870323;20.93871;75.701613;;
83384;31/01/1978;0000;;;;76.4;;;186.9;5.258065;14;288.8;;;30.554839;24.769032;20.490323;74.983871;;
83384;28/02/1978;0000;;;;;;;;6.381579;15;241.4;;;29.688;24.0592;20.607692;81.47;;
83384;31/03/1978;0000;;;;60.4;;;178.7;5.482759;15;205.9;;;29.868966;24.154483;20.124138;75.241379;;
83384;30/04/1978;0000;;;;55.5;;;166.2;5.566667;12;191.1;;;29.076667;23.272667;19.4;79.166667;;
83384;31/05/1978;0000;27;1.781522;5.1;61.6;;;197.2;4.397849;9;83.8;;960.527174;29.016667;22.671333;18.206452;77.083333;;
83384;30/06/1978;0000;36;1.795294;5.1;65.5;;;237.1;3.360465;1;0.2;;958.562353;27.524138;20.47;14.793103;70.928571;;
83384;31/07/1978;0000;23;2.589247;13.4;62.2;;;234.2;3.892473;3;10.6;;957.344086;28.477419;20.611613;14.774194;72.516129;;
83384;31/08/1978;0000;0;2.143333;6.7;115.5;;;274;2.266667;;0;;958.043333;30.626667;21.90069;14.433333;65.948276;;
83384;30/09/1978;0000;0;2.734177;7.2;;;;230.4;3.088608;;0;;956.28481;31.651852;24.429231;18.007692;62.682692;;
83384;31/10/1978;0000;18;2.051613;8.6;105.6;;;186.6;4.879121;15;212.1;;953.552688;32.270968;25.09931;20.158621;71.080645;;
83384;30/11/1978;0000;0;2.09186;7.2;77.8;;;137.6;6.134831;14;251.1;;953.444444;30.226667;24.213913;20.46087;75.75;;
83384;31/12/1978;0000;0;1.624731;6.2;52.2;;;157.9;6.612903;25;412.2;;953.510753;30.245161;24.171613;20.077419;78.516129;;
83384;31/01/1979;0000;18;1.896203;5.1;41.5;;;82.3;7.544304;21;646.6;;946.350633;28.548148;23.686923;20.392593;88.34;;
83384;28/02/1979;0000;36;2.150667;6.2;;;;;6.106667;14;136.7;;946.910667;30.44;24.7024;21.088;77.44;;
83384;31/03/1979;0000;14;1.875281;9.3;41.6;;;141.6;6;13;132.1;;947.507865;30.870968;24.838621;20.974194;77.715517;;
83384;30/04/1979;0000;9;1.229762;4.1;43;;;220.8;4.107143;2;9.4;;948.538095;31.492857;24.115714;19.221429;71.866071;;
83384;31/05/1979;0000;14;1.522093;5.1;78.5;;;211.7;3.883721;4;44.8;;949.968605;30.475862;23.091429;17.455172;72.571429;;
83384;30/06/1979;0000;18;1.598837;8.2;79.8;;;228.4;2.593023;;0;;954.689535;27.903448;19.844828;12.775862;65.732143;;
83384;31/07/1979;0000;23;1.514063;4.1;;;;;2.459016;;0;;958.517188;29.914286;20.678095;13.380952;;;
83384;31/08/1979;0000;9;1.307865;4.1;71.2;;;187.1;3.202247;1;7.6;;956.225843;31.533333;22.522667;14.933333;54.111111;;
83384;30/09/1979;0000;18;1.604938;4.6;64;;;160.3;3.3375;3;33.1;;955.164198;32.874074;24.943704;19.148148;53.833333;;
83384;31/10/1979;0000;0;1.667742;5.1;78.5;;;187.1;4.419355;6;78.7;;953.932258;33.167742;25.38;19.958065;59.777778;;
83384;30/11/1979;0000;18;1.67971;7.2;;;;;5.898551;10;128.2;;952.594203;31.6;24.956522;20.547826;68.206522;;
83384;31/12/1979;0000;0;1.138095;4.1;51;;;169;5.714286;10;162.3;;952.466667;32.558621;25.608889;21.165517;73.53125;;
83384;29/02/1980;0000;5;1.923377;7.7;;;;;7.090909;13;253.4;;951.558442;29.188462;24.3928;21.1;78.55;;
83384;31/03/1980;0000;14;2.110465;10.8;92.5;;;215.1;3.5;2;9;;954.773256;32.193103;24.969655;19.468966;59.455357;;
83384;30/04/1980;0000;36;1.88481;4.6;;;;;4.898734;4;64.8;;955.553165;29.8;23.6592;19.607407;72.12;;
83384;31/05/1980;0000;18;1.903409;6.7;75.2;;;211.6;4.08046;2;10.2;;956.832955;29.606667;23.086897;18.246667;66.5;;
83384;30/06/1980;0000;18;1.536364;7.2;;;;;3.805195;1;13.8;;958.248052;28.933333;21.4208;15.546154;68.5;;
83384;31/07/1980;0000;0;1.647222;7.7;;;;;1.527778;;0;;957.783333;30.575;20.998333;12.85;;;
83384;30/09/1980;0000;36;2.065278;9.8;;;;;2.958333;2;29.1;;955.083333;33.5;24.945;18.216667;59.8125;;
83384;31/10/1980;0000;9;2.244828;7.2;133.4;;;244.4;3.436782;2;17.6;;954.789655;34.426667;26.133793;19.433333;57.520833;;
83384;30/11/1980;0000;5;1.885333;10.3;81.7;;;106.4;7.666667;15;133.1;;953.276;30.533333;24.6544;20.296296;;;
83384;31/12/1980;0000;0;1.844118;10;;;;;7.882353;17;304.6;;951.879412;29.577273;23.894783;20.081818;;;
83384;31/01/1981;0000;0;1.332432;7.7;;;;;6.391892;14;261;;954.118919;30.876923;24.146667;19.930769;75.554348;;
83384;28/02/1981;0000;9;1.911429;6.2;;;;;4.185714;4;28;;954.397143;;;;62.26087;;
83384;31/03/1981;0000;0;1.135897;4.1;;;;;6.102564;12;279.6;;951.970513;;;;74.57;;
83384;30/04/1981;0000;9;1.54881;4.1;71.1;;;211.2;4.666667;4;57.5;;955.433333;;;;68.160714;;
83384;31/05/1981;0000;18;1.50125;4.1;65.1;;;188.7;4.3875;3;21.4;;957.19875;;;;68.546296;;
83384;30/06/1981;0000;18;1.396203;6.2;;;;;4.050633;2;16.3;;958.432911;;;;68.729167;;
83384;31/07/1981;0000;0;1.588312;5.2;;;;;2.649351;;0;;959.645455;;;;59.0625;;
83384;31/08/1981;0000;18;1.331111;6.2;113.9;;;250.8;1.333333;2;34.8;;956.97284;;;;56.641667;;
83384;30/09/1981;0000;9;1.793182;7.2;147.9;;;232;1.238636;1;10.2;;956.180682;;;;55.698276;;
83384;31/10/1981;0000;18;1.161842;4.1;;;;;6.5;15;232.4;;953.481579;;;;;;
83384;30/11/1981;0000;0;1.086667;6.2;;;;;7.893333;20;283;;952.433333;;;;84.45;;
83384;31/12/1981;0000;0;1.023611;5.2;;;;;6.652778;11;222;;953.744444;;;;76.163043;;
83384;31/01/1982;0000;36;1.438095;4.1;49;;;103.1;8.083333;21;398.1;;953.409333;;;;83.758929;;
83384;28/02/1982;0000;14;1.355405;5.2;;;;;4.283784;1;22.6;;954.062162;;;;63.989583;;
83384;31/03/1982;0000;0;0.870238;3.1;65.1;;;129.1;6.595238;13;205.3;;952.37971;;;;79.571429;;
83384;30/04/1982;0000;18;1.063415;3.1;74.1;;;196.6;4.134146;4;54.5;;954.886585;;;;71.185185;;
83384;31/05/1982;0000;5;1.5;7;75.8;;;169.1;4.795181;4;26.7;;956.692683;;;;71.321429;;
83384;30/06/1982;0000;18;0.987356;4.1;79.9;;;250.3;2.034483;;0;;957.4;;;;68.732759;;
83384;31/07/1982;0000;0;1.191398;6.2;102.2;;;275.7;2.27957;;0;;957.610753;;;;64.153226;;
83384;31/08/1982;0000;18;1.628889;7.2;110.2;;;217.6;3.766667;2;28.6;;957.34;;;;62.025;;
83384;30/09/1982;0000;0;1.42069;6.2;131.2;;;231.6;3.781609;3;7.8;;955.114943;;;;57.836207;;
83384;31/10/1982;0000;9;1.308602;9.3;120.4;;;218.2;5.139785;10;52.9;;952.960215;;;;60.758065;;
83384;30/11/1982;0000;18;0.978667;3.1;;;;;4.106667;6;16;;951.581333;;;;56.982;;
83384;31/12/1982;0000;0;1.411905;5.2;114.8;;;137.9;7.148148;16;176;;952.597531;;;;72.723214;;
83384;31/01/1986;0000;;0.915217;;52.9;;;186.8;;19;249.7;;;31.283871;;20.445161;;;
