--------------------
BDMEP - INMET
--------------------
Estação           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Estação Operante
Inicio de operação: 09/06/1914
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83689;31/01/1961;0000;0;1.48913;10;42.7;;;114.8;8.434783;26;423;;889.68587;24.780645;19.773548;16.819355;89.83871;;
83689;28/02/1961;0000;0;0.696429;4;49.8;;;139.1;7.583333;22;380;;892.655952;26.214286;20.165714;16.385714;86.758929;;
83689;31/03/1961;0000;0;1.225806;7;62;;;202.9;6.741935;16;219.3;;893.429032;26.122581;19.818065;15.958065;84.895161;;
83689;30/04/1961;0000;14;0.977778;5;64.5;;;185.6;5.577778;10;84.7;;893.138889;24.983333;18.75;14.66;84.616667;;
83689;31/05/1961;0000;0;0.868817;5;63.8;;;192.3;4.72043;7;12;;895.395699;22.6;16.183226;12.070968;83.983871;;
83689;30/06/1961;0000;0;1.222222;7;60.9;;;185.5;5.133333;9;3.4;;897.325556;22;15.342;11.166667;84.791667;;
83689;31/07/1961;0000;9;1.043011;7;96.3;;;241.7;3.268817;2;1.3;;897.087097;22.932258;15.02;9.945161;77.645161;;
83689;31/08/1961;0000;0;1.193548;5;137.4;;;271.3;2.225806;0;0;;896.289247;25.870968;17.005806;10.364516;68.346774;;
83689;30/09/1961;0000;0;1.38;5;167.5;;;226.5;3.588889;3;0.6;;893.658889;29.863333;20.884;14.57;66.483333;;
83689;31/10/1961;0000;14;1.688172;5;128.4;;;195.6;5.892473;9;58;;893.641935;26.23871;19.325161;13.935484;74.177419;;
