--------------------
BDMEP - INMET
--------------------
Estação           : BOM DESPACHO - MG (OMM: 83533)
Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Altitude  (metros): 695.00
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83533;31/05/1981;0000;;;;106.3;;;;1.375;2;12;;;27.162963;;14.374074;68.351852;;
83533;30/06/1981;0000;;;;125.2;;;;1.218391;4;16.6;;;25.17931;;12.062069;72.913793;;
83533;31/07/1981;0000;;;;211.8;;;;0.481481;;0;;;25.607407;;10.733333;57.574074;;
83533;31/08/1981;0000;;;;282.8;;;;0.632184;2;31.2;;;27.834483;;13.37931;54.956897;;
83533;30/09/1981;0000;;;;325.2;;;;1.493827;;0;;;30.348148;;15.77037;51.916667;;
83533;31/10/1981;0000;;;;152.7;;;;4.804598;11;204.6;;;28.42069;;17.386207;71.017241;;
83533;30/11/1981;0000;;;;83.7;;;;5.740741;18;264.7;;;27.925926;;18.211111;81.157407;;
83533;31/12/1981;0000;;;;105.5;;;;3.848101;15;270.3;;;29.361538;;19.015385;76.173077;;
83533;31/01/1982;0000;;;;100.5;;;;4;19;523;;;27.086667;;19.06;82.741667;;
83533;28/02/1982;0000;;;;184.1;;;;0.925926;7;25.7;;;30.466667;;18.822222;67.101852;;
83533;31/03/1982;0000;;;;72.1;;;;4.301075;22;292.3;;;28.322581;;19.36129;84.717742;;
83533;30/04/1982;0000;;;;120.1;;;;1.055556;4;22.7;;;26.973333;;16.073333;72.291667;;
83533;31/05/1982;0000;;;;127.1;;;;1.318681;3;41.4;;;25.926667;;13.433333;70.183333;;
83533;30/06/1982;0000;;;;127;;;;0.232558;;0;;;27.331034;;14.22069;68.474138;;
83533;31/07/1982;0000;;;;189.8;;;;0.376344;2;3.5;;;26.677419;;12.6;63.282258;;
83533;31/08/1982;0000;;;;232.3;;;;0.91954;2;2.5;;;29.027586;;15.427586;57.991379;;
83533;30/09/1982;0000;;;;306.1;;;;1.111111;1;5;;;29.846667;;14.833333;53.258333;;
83533;31/10/1982;0000;;;;161;;;;3.225806;12;147.3;;;29.619355;;17.793548;70.806452;;
83533;30/11/1982;0000;;;;228;;;;0.777778;6;87;;;31.92;;19.553333;63.258333;;
83533;31/12/1982;0000;;;;98.9;;;;4.777778;17;398;;;27.693333;;19.026667;81.175;;
83533;31/01/1983;0000;;;;;;;;8.787879;11;218.6;;;;;;;;
83533;28/02/1983;0000;;;;99.8;;;;2.5;10;225.7;;;29.158333;;19.316667;77.802083;;
83533;30/04/1983;0000;;;;;;;;;2;20.6;;;;;;;;
83533;31/05/1983;0000;;;;;;;;;1;2.2;;;;;;;;
83533;30/06/1983;0000;;;;;;;;;;0;;;;;;;;
83533;31/07/1983;0000;;;;129.8;;;;1.918605;3;30.4;;;26.648276;;13.248276;64.293103;;
83533;31/08/1983;0000;;;;208.4;;;;2.258065;0;0;;;27.645161;;12.406452;52.225806;;
83533;30/09/1983;0000;;;;136.7;;;;7.206897;11;71.2;;;27.468966;;16.337931;70.793103;;
83533;31/10/1983;0000;;;;135.2;;;;7.7;13;276.3;;;27.886667;;17.186667;73.866667;;
83533;31/01/1984;0000;;;;139.6;;;;5.640449;10;156.7;;;31.57;;18.69;68.4;;
83533;29/02/1984;0000;;;;177;;;;3.928571;3;6;;;32.821429;;19.810714;60.392857;;
83533;31/03/1984;0000;;;;129.2;;;;6.255556;8;68.3;;;31.02;;19.213333;70.733333;;
83533;30/04/1984;0000;;;;128.3;;;;5.781609;4;45;;;28.537931;;17.627586;69.982759;;
83533;31/05/1984;0000;;;;135.9;;;;4.811111;4;12.4;;;29.606667;;15.826667;63.791667;;
83533;30/06/1984;0000;;;;162.5;;;;2.9;0;0;;;28.8;;13.233333;56.666667;;
83533;31/07/1984;0000;;;;178.3;;;;4.129032;1;0.5;;;27.76129;;13.129032;54.451613;;
83533;31/08/1984;0000;;;;169.4;;;;5.388889;6;50.4;;;27.013333;;14.166667;59.233333;;
83533;30/09/1984;0000;;;;129.9;;;;5.547619;7;112.4;;;27.2;;14.4;64.017857;;
83533;31/10/1984;0000;;;;174.9;;;;5.784946;5;67.8;;;30.264516;;17.290323;59.846774;;
83533;30/11/1984;0000;;;;150.7;;;;6.271605;12;136;;;30.244444;;18.103704;64.925926;;
83533;31/12/1984;0000;;;;64.1;;;;8.607143;22;342.8;;;29.15;;18.964286;82.5;;
83533;31/01/1986;0000;;;;102;;;;6.184783;16;274.8;;;29.916129;;19.103226;;;
83533;28/02/1986;0000;;;;92.7;;;;6.238095;15;276;;;30.7;;19.335714;;;
83533;31/03/1986;0000;;;;110.6;;;;5.277778;10;65.5;;;31.106667;;19.18;;;
83533;30/04/1986;0000;;;;147.6;;;;3.643678;6;34.5;;;30.666667;;17.826667;;;
83533;31/05/1986;0000;;;;110.9;;;;3.935484;7;28.7;;;28.354839;;15.980645;;;
83533;30/06/1986;0000;;;;145.8;;;;2.033333;1;0.1;;;26.58;;11.933333;;;
83533;31/07/1986;0000;;;;148.5;;;;3.268817;4;39.7;;;25.748387;;12;;;
83533;31/08/1986;0000;;;;160.7;;;;4.064516;7;42.6;;;28.193548;;14.948387;;;
83533;30/09/1986;0000;;;;233.3;;;;3.577778;1;18.3;;;28.893333;;15.196667;;;
83533;31/10/1986;0000;;;;43.2;;;;;3;13.8;;;31.612903;;17.390323;;;
83533;30/11/1986;0000;;;;195.5;;;;6;10;109.4;;;31.006667;;18.56;;;
