--------------------
BDMEP - INMET
--------------------
Estação           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Estação Operante
Inicio de operação: 17/11/1972
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83639;28/02/1973;0000;;;;;;;;;3;18.5;;;;;;;;
83639;31/03/1973;0000;27;1.619355;6.2;63.6;;;157.8;7.010753;19;277.8;;918.780645;26.925806;21.269677;16.474194;84.314516;;
83639;30/04/1973;0000;0;1.263333;4.1;64.8;;;227.5;4.711111;8;28.3;;921.038889;28.33;21.206667;15.12;81.3;;
83639;31/05/1973;0000;0;1.797849;6.2;68.8;;;212;4;4;11.7;;922.212903;24.835484;16.990323;10.012903;80.919355;;
83639;30/06/1973;0000;0;1.386667;8;72.9;;;210.4;3.9;2;24.1;;922.404444;25.703333;17.148667;9.83;80.15;;
83639;31/07/1973;0000;0;1.236559;5.1;75.9;;;218.2;4.086022;4;9;;923.766667;24.496774;16.388387;10.993548;79.572581;;
83639;31/08/1973;0000;0;1.829032;5.1;97.8;;;238.8;4.193548;3;23.7;;922.812903;25.76129;17.272903;11.993548;74.717742;;
83639;30/09/1973;0000;23;1.977778;5.1;99.1;;;162.5;5.833333;4;6.4;;923.49;24.303333;17.997333;13.916667;73.825;;
83639;31/10/1973;0000;27;2.008602;7.2;92.4;;;128.2;7.666667;14;167.8;;919.687097;24.8;18.481935;12.016129;77.435484;;
83639;30/11/1973;0000;32;1.756667;6.2;74.6;;;129.9;7.977778;14;130.3;;919.365556;24.536667;18.963333;12.553333;80.133333;;
83639;31/12/1973;0000;0;1.949462;5.7;84.3;;;180.7;7.516129;16;216.6;;918.798925;27.6;20.974839;13.183871;78.540323;;
83639;31/01/1974;0000;0;1.939785;6.7;82;;;225.8;6.268817;16;211;;918.833333;28.096774;21.157419;13.909677;80.322581;;
83639;28/02/1974;0000;23;1.771429;5.7;72.8;;;233;4.869048;9;74.6;;919.453571;29.103571;21.834286;16.753571;77.892857;;
83639;31/03/1974;0000;27;2;6.7;68.4;;;181.3;6.902174;13;139.5;;918.305376;27.564516;21.192258;15.641935;81.379032;;
83639;30/04/1974;0000;0;1.938889;6.2;63;;;181.9;6.111111;9;132.9;;920.712222;25.433333;19.664667;15.796667;82.208333;;
83639;31/05/1974;0000;0;1.468817;4.6;53.5;;;198.1;4.935484;8;71.9;;922.850538;24.764516;17.651613;10.983871;83.193548;;
