--------------------
BDMEP - INMET
--------------------
Estação           : CARATINGA - MG (OMM: 83592)
Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Altitude  (metros): 609.65
Estação Operante
Inicio de operação: 15/03/1924
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83592;31/01/1961;0000;0;0.684783;6;47;;;93.7;8.032609;24;408.2;;947.065217;27.245161;22.289032;19.029032;82.443548;;
83592;28/02/1961;0000;0;0.588095;6;66.6;;;197.4;5.345238;6;86.6;;948.528571;29.514286;22.876429;18.7;76.071429;;
83592;31/03/1961;0000;0;0.806452;4;88;;;157.6;5.860215;4;50.5;;949.233333;29.43871;22.546452;18.067742;75.508065;;
83592;30/04/1961;0000;0;0.667778;3;72.7;;;187.6;4.944444;6;56.3;;949.847778;28.8;21.438;17.02;75.683333;;
83592;31/05/1961;0000;0;0.451613;3;64.3;;;172.1;4.548387;5;9.9;;952.190323;27.174194;19.44;14.5;76.919355;;
83592;30/06/1961;0000;0;0.766667;4;71.6;;;168.7;3.866667;3;1.8;;954.502222;25.943333;18.432;13.386667;74.683333;;
83592;31/07/1961;0000;0;0.688172;4;85.2;;;196.1;3.354839;1;0.5;;954.6;25.654839;17.376129;11.635484;70;;
83592;31/08/1961;0000;0;0.860215;4;122.2;;;231;2.290323;0;0;;954.070968;27.312903;18.628387;12.503226;63.233871;;
83592;30/09/1961;0000;0;0.855556;6;164.4;;;210.9;3;;0;;950.061111;30.793333;22.614;16.443333;57.825;;
83592;31/10/1961;0000;9;0.83871;6;156.2;;;160;4.956989;4;25.3;;950.341935;28.248387;22.258065;18.154839;61.653226;;
83592;30/11/1961;0000;0;0.711111;4;130;;;134.3;5.091954;3;65.5;;947.328889;29.466667;23.48;18.75;64.316667;;
83592;31/12/1961;0000;0;0.774194;6;115.6;;;148.9;6.423913;12;134;;948.097849;27.83871;22.547097;18.93871;71.209677;;
83592;31/01/1962;0000;0;0.27957;4;51.9;;;126.9;7.870968;25;496.1;;946.082796;28.267742;22.815484;18.954839;82.806452;;
83592;28/02/1962;0000;9;0.547619;5;51;;;121.9;7.261905;14;210.8;;947.408333;28.167857;23.001429;19.528571;81.892857;;
83592;31/03/1962;0000;0;0.709677;5;76.5;;;212.4;5.591398;10;42.3;;948.653763;29.064516;22.648387;18.619355;78.322581;;
83592;30/04/1962;0000;32;0.4;2;72.9;;;210.3;4.811111;4;44.4;;949.357778;29.243333;21.300667;16.313333;75.583333;;
83592;31/05/1962;0000;0;0.44086;3;63.2;;;201.5;5.086022;5;3.5;;950.26129;27.054839;19.82129;14.5;73.008065;;
83592;30/06/1962;0000;0;0.277778;5;59.1;;;184.5;4.944444;3;27.4;;952.156667;25.306667;17.333333;12.36;74;;
83592;31/07/1962;0000;0;0.516129;7;73;;;186.5;4.731183;3;27.2;;953.092473;24.777419;16.869032;11.36129;74.137097;;
83592;31/08/1962;0000;0;1.043011;5;;;;;4.172043;1;0.5;;951.36129;;;;;;
83592;30/09/1962;0000;5;0.733333;5;;;;;6.055556;3;20.4;;950.23;;;;;;
83592;31/10/1962;0000;0;0.752688;7;;;;;7.698925;13;87.1;;948.913978;;;;;;
83592;30/11/1962;0000;0;0.589744;4;;;;;5.487179;9;76.6;;946.383333;;;;;;
83592;31/12/1962;0000;;;;;;;;;1;48.2;;;;;;;;
83592;31/01/1963;0000;0;1.103297;5;116.9;;;277.9;5.076087;6;29.8;;944.973913;30.56129;24.046452;19.180645;69.209677;;
83592;28/02/1963;0000;0;0.75;9;93.9;;;183.7;6.47619;9;93.9;;946.219048;29.271429;23.259286;19.325;72.991071;;
83592;31/03/1963;0000;0;0.569892;4;138.2;;;258.7;3.989247;;0;;947.45914;31.412903;23.927097;18.990323;65.733871;;
83592;30/04/1963;0000;0;0.155556;1;57.6;;;201.6;5.377778;5;59.4;;947.197778;28.33;21.410667;17.176667;75.358333;;
83592;31/05/1963;0000;0;0.344086;3;77.7;;;229.3;2.483871;0;0;;951.153763;26.183871;18.052903;12.874194;73.379032;;
83592;30/06/1963;0000;0;0.611111;3;95.5;;;182.1;4.1;1;0.5;;952.178889;25.5;17.564667;11.786667;68.366667;;
