--------------------
BDMEP - INMET
--------------------
Estação           : CARBONITA - MG (OMM: 83485)
Latitude  (graus) : -17.53
Longitude (graus) : -43
Altitude  (metros): 736.38
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83485;30/04/1981;0000;;;;86.1;;;;5.903614;5;32.4;;;26.035714;19.868571;14.892857;75.348214;;
83485;31/05/1981;0000;;;;;;;;5.205882;;0;;;25.108696;18.349565;13.065217;75.923913;;
83485;30/06/1981;0000;;;;74.9;;;;5.559524;3;9.5;;;22.921429;16.361429;11.425;81.25;;
83485;31/07/1981;0000;;;;105.1;;;;4.813953;2;0.7;;;23.344828;15.953103;9.248276;75.715517;;
83485;31/08/1981;0000;;;;153;;;;4.877778;;0;;;25.593333;18.108667;11.163333;66.908333;;
83485;30/09/1981;0000;;;;190;;;;3.844444;0;0;;;27.56;19.563333;11.74;61.633333;;
83485;31/10/1981;0000;;;;100.3;;;;7.761905;11;179.8;;;26.092857;20.795;16.321429;75.973214;;
83485;30/11/1981;0000;;;;69.9;;;;8.560976;19;307.3;;;26.659259;21.744444;18.377778;84.490741;;
83485;31/12/1981;0000;;;;149.4;;;;6.423913;10;98.1;;;28.509677;22.409032;17.43871;77.233871;;
83485;31/01/1982;0000;;;;83.7;;;;7.913978;20;384.2;;;26.283871;21.564516;18.229032;82.669355;;
83485;28/02/1982;0000;;;;138.8;;;;5.765432;5;60.9;;;29.518519;22.826667;17.644444;69.259259;;
83485;31/03/1982;0000;;;;94.2;;;;6.978495;14;198.8;;;28.687097;22.571613;18.33871;80.185484;;
83485;30/04/1982;0000;;;;83.6;;;;6.344444;10;122.7;;;25.673333;19.675333;14.953333;79.083333;;
83485;31/05/1982;0000;;;;81.6;;;;6.086022;5;16.6;;;24.135484;18.045161;13.354839;79.951613;;
83485;30/06/1982;0000;;;;85.4;;;;4.172414;;0;;;24.896552;16.813793;10.662069;79.344828;;
83485;31/07/1982;0000;;;;110.9;;;;3.623656;1;0.6;;;24.896774;17.098065;10.741935;74.564516;;
83485;31/08/1982;0000;;;;133.5;;;;4.7;1;0.1;;;26.073333;18.928;13.06;70.241667;;
