--------------------
BDMEP - INMET
--------------------
Estação           : C  DO MATO DENTRO - MG (OMM: 83589)
Latitude  (graus) : -19.02
Longitude (graus) : -43.43
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 30/06/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83589;31/01/1961;0000;0;0.282609;5;47.9;;;92.6;8.782609;27;661.2;;939.855435;27.129032;21.959355;18.983871;85.927419;;
83589;28/02/1961;0000;0;0.178571;5;68.4;;;178.8;6.630952;8;93.2;;941.305952;28.907143;21.992857;18.214286;80.830357;;
83589;31/03/1961;0000;5;0.419355;5;70.8;;;189.9;6.215054;8;188.2;;941.883871;28.458065;21.673548;17.870968;81.322581;;
83589;30/04/1961;0000;0;0.088889;5;71.6;;;177.6;5.855556;7;20.7;;942.927778;27.753333;19.905333;15.833333;82.45;;
83589;31/05/1961;0000;0;0.247312;3;70.9;;;176.5;5.44086;3;15.6;;945.046237;26.051613;17.565161;13.419355;83.177419;;
83589;30/06/1961;0000;0;0.511111;3;67.1;;;159.8;5.911111;8;14.3;;947.386667;24.693333;15.805333;11.18;82.083333;;
83589;31/08/1961;0000;0;0.365591;3;122.4;;;260.1;2.698925;2;1;;944.627957;26.787097;14.244516;8.435484;76.983871;;
83589;30/09/1961;0000;0;1.022222;5;168.6;;;235.1;3.877778;0;0;;941.032222;31.383333;18.898;12.733333;67.358333;;
83589;31/10/1961;0000;0;1.537634;5;150.2;;;139.5;6.924731;5;34;;941.274194;28.083871;20.51871;15.548387;69.879032;;
83589;30/11/1961;0000;0;1.07;5.3;127.9;;;174.3;7.666667;7;90.7;;938.307778;30.42;22.758;17.483333;69.708333;;
83589;31/12/1961;0000;5;0.634409;3;96.4;;;153.4;7.784946;14;243;;939.046237;27.677419;21.732258;17.596774;76.048387;;
83589;31/01/1962;0000;0;0.505376;5;48.2;;;119.3;8.849462;31;533.6;;937.166667;28.470968;22.403226;19.435484;82.943548;;
83589;28/02/1962;0000;0;0.857143;5;50.3;;;107.7;8.369048;22;327.6;;938.29881;28.757143;22.620714;19.410714;82.794643;;
83589;31/03/1962;0000;14;0.892473;3;64.2;;;183.3;6.827957;12;200.4;;939.380645;28.63871;22.652903;18.645161;78.16129;;
83589;30/04/1962;0000;0;0.5;3;63.7;;;158.5;6.233333;8;49.4;;940.765556;28.22;20.858667;15.533333;76.891667;;
83589;31/05/1962;0000;0;0.870968;3;69.4;;;201.6;5.483871;5;13.8;;942.61828;26.245161;18.729677;13.080645;75.459677;;
83589;30/06/1962;0000;14;0.6;3;71.1;;;201.5;5.133333;0;0;;944.923333;24.6;16.342;9.916667;72.016667;;
83589;31/07/1962;0000;0;1.021505;3;80.1;;;224.6;4.666667;3;5;;945.232258;25.077419;16.319355;9.403226;71.266129;;
83589;31/08/1962;0000;0;0.795699;3;116.1;;;224;4.473118;0;0;;943.768817;27.690323;18.571613;10.677419;64.153226;;
83589;30/09/1962;0000;0;1.288889;5;103.8;;;147.1;6.766667;7;87.6;;942.44;27.373333;20.328;14.366667;68.725;;
83589;31/10/1962;0000;;;;;;;;;1;1;;;;;;;;
83589;30/11/1962;0000;0;0.820225;3;71.6;;;181.6;6.662921;14;218;;938.357303;28.406667;22.05;17.116667;74.808333;;
83589;31/12/1962;0000;0;0.462366;3;35.7;;;74.5;8.817204;28;468.2;;937.546237;26.793548;21.974194;19.258065;87.951613;;
83589;31/01/1963;0000;0;0.666667;3;89.6;;;270.9;5.27957;9;104.4;;937.175269;31.258065;24.104516;18.322581;70.274194;;
83589;28/02/1963;0000;0;0.428571;3;74.4;;;176.9;7.011905;12;88;;938.590476;29.607143;23.473571;18.767857;72.303571;;
83589;31/03/1963;0000;0;1.010753;3;135.9;;;287.2;3.72043;0;0;;940.048387;31.258065;23.737419;16.370968;63.072581;;
83589;30/04/1963;0000;0;0.422222;5;84.9;;;183;6.4;7;38.9;;940.272222;28.346667;21.188667;15.616667;73.766667;;
83589;31/05/1963;0000;0;0.817204;5;104.8;;;249.9;3.774194;1;0.6;;943.778495;26.154839;17.630323;10.435484;68.064516;;
83589;30/06/1963;0000;0;1.011111;5;95.6;;;196.4;4.696629;3;2.8;;944.99;24.853333;16.466667;9.233333;67.033333;;
83589;31/08/1963;0000;0;1.141304;5;122.4;;;231.5;2.456522;2;1;;943.163043;27.703226;18.305806;9.483871;58.862903;;
83589;30/09/1963;0000;0;1.421053;5;;;;;3.592105;;0;;941.848684;29.869231;21.1936;12.269231;54.36;;
83589;31/10/1963;0000;0;1.247312;5;151.7;;;114.5;8.774194;4;30.4;;939.778495;31.109677;24.218065;17.774194;60.927419;;
83589;30/11/1963;0000;0;1.222222;5;129.9;;;181;6.622222;9;103.4;;937.732222;31.713333;25.006667;19.033333;66.2;;
83589;31/12/1963;0000;14;0.967742;5;138;;;214.4;6.107527;11;169.2;;938.498925;30.180645;23.52129;17.645161;65.943548;;
83589;31/01/1964;0000;0;0.666667;5;34.3;;;69.5;9.247312;31;672.5;;937.930108;26.012903;21.710323;19.145161;88.790323;;
83589;29/02/1964;0000;14;0.954023;3;58;;;136.9;7.827586;18;263.3;;936.789655;29.206897;23.667586;20;81.955357;;
83589;31/03/1964;0000;14;1.107527;5;79.5;;;214.2;5.774194;11;157.7;;940.368817;27.993548;22.015484;17.580645;77.459677;;
83589;30/04/1964;0000;14;0.5;3;56.2;;;199.4;5.7;7;92.6;;940.982222;27.38;21.252;16.833333;80.55;;
83589;30/06/1964;0000;0;0.617978;3;68.1;;;194;4.067416;2;4.6;;943.22809;25.313333;16.784667;10.683333;75.175;;
83589;31/07/1964;0000;23;0.88172;5;59.1;;;159.6;6.225806;11;101.6;;944.116129;23.135484;16.772903;12.064516;77.58871;;
83589;31/08/1964;0000;14;1.225806;5;83.1;;;193.1;5.516129;5;20.5;;944.8;25.109677;18.255484;12.741935;71.782258;;
83589;30/09/1964;0000;14;1.355556;5;110.5;;;159.6;6.288889;6;10;;943.373333;26.573333;19.947333;14.183333;68.2;;
83589;31/10/1964;0000;0;0.552941;3;62.6;;;91.1;8.329412;14;221.3;;939.92;26.848276;21.352143;17.431034;77.330357;;
83589;30/11/1964;0000;0;0.877778;5;59;;;103.7;8.666667;17;357.3;;939.064444;26;20.997333;17.433333;80.158333;;
83589;31/12/1964;0000;0;0.72043;5;60.6;;;133.5;8.548387;23;273.7;;937.513978;27.980645;21.990968;18.258065;81.830645;;
83589;31/01/1965;0000;0;1.021505;5;62;;;174.4;7.83871;20;438.5;;938.7;27.348387;22.194839;18.645161;81.491935;;
83589;28/02/1965;0000;0;0.452381;3;42.8;;;112;8.571429;25;311.3;;937.25119;28.307143;22.64;19.321429;84.982143;;
83589;31/03/1965;0000;0;0.473118;5;47.7;;;136.1;7.849462;19;231.4;;939.36129;27;21.850323;18.483871;83.580645;;
83589;30/04/1965;0000;14;0.811111;5;53.5;;;192.4;5.766667;11;82.9;;940.331111;27.053333;20.668667;16.55;82.45;;
83589;31/05/1965;0000;0;0.505376;3;55.8;;;211.1;5.215054;5;57;;941.8;26.709677;19.382581;14.629032;80.032258;;
83589;30/06/1965;0000;14;0.7;3;51.9;;;160.1;6.444444;8;14.8;;944.962222;24.453333;17.935333;13.383333;79.541667;;
83589;31/08/1965;0000;0;0.945652;3;84.6;;;191.8;4.717391;2;2.4;;944.022826;26.696774;18.86129;12.112903;68.983871;;
83589;30/09/1965;0000;14;1.2;5;113.8;;;181.6;5.088889;7;14.8;;943.255556;28.646667;20.649333;13.466667;64.083333;;
83589;31/10/1965;0000;9;0.645161;5;60.2;;;86.3;8.204301;17;231.7;;941.1;25.722581;20.640645;16.725806;80.798387;;
83589;30/11/1965;0000;0;0.888889;5;64.1;;;144;7.933333;19;432.4;;939.667778;27.386667;22.002;18.15;79.633333;;
83589;31/12/1965;0000;0;0.903226;5;71.5;;;185;7.075269;18;273.6;;938.024731;29.496774;22.964516;18.403226;78.919355;;
83589;31/01/1966;0000;0;0.741935;5;58.7;;;143.6;7.806452;20;334.3;;937.706452;27.741935;22.628387;18.967742;81.467742;;
83589;31/03/1966;0000;0;1.065217;5;63.9;;;194.3;6.021739;6;177.8;;938.36413;28.593548;22.286452;17.483871;77.758065;;
83589;30/04/1966;0000;0;0.644444;3;62.5;;;198.3;5.788889;8;41.8;;939.028889;27.333333;20.418667;15.2;77.241667;;
83589;31/05/1966;0000;0;0.835294;3;50.9;;;167.4;6.294118;6;42.4;;940.921176;25.171429;19.136429;14.510714;78.598214;;
83589;31/07/1966;0000;14;1.153846;5;;;;;6.815385;7;14.6;;943.729231;23.863636;17.362727;12.759091;;;
83589;31/08/1966;0000;0;1.043011;5;106.2;;;233.1;4.290323;1;0.2;;942.474194;27.058065;18.377419;10.777419;63.653226;;
83589;30/09/1966;0000;0;1.277778;5;108.5;;;165.5;5.466667;6;67.8;;941.328889;26.766667;19.170667;12.16;63.35;;
83589;31/10/1966;0000;0;0.88172;3;83.2;;;158.8;7.225806;16;135.1;;937.232258;28.909677;22.463871;17.758065;72.169355;;
83589;30/11/1966;0000;14;1.122222;7;68.1;;;145.9;8.344444;18;182.5;;936.434444;27.52;21.482;17.083333;77.533333;;
83589;31/12/1966;0000;0;0.569892;3;63.7;;;148.1;7.580645;21;361.2;;934.362366;28.503226;23.083871;18.993548;79.701613;;
83589;31/01/1967;0000;0;0.663043;5;62.2;;;180.2;7.741935;18;247.9;;935.147312;29.380645;23.36129;19.096774;78.153226;;
83589;28/02/1967;0000;0;1.047619;5;63.1;;;210.4;6.845238;11;108;;935.522619;30.1;23.710714;19.246429;75.767857;;
83589;31/03/1967;0000;0;0.73913;3;69.5;;;182.4;6.731183;10;136.5;;936.552688;28.993548;23.049032;18.567742;76.233871;;
