--------------------
BDMEP - INMET
--------------------
Estação           : CORONEL PACHECO - MG (OMM: 83037)
Latitude  (graus) : -21.55
Longitude (graus) : -43.26
Altitude  (metros): 435.00
Estação 
Inicio de operação: 01/01/1955
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83037;31/10/1966;0000;0;0.586957;5;65.8;;;135.7;7.521739;10;126.4;;964.879348;28.654839;21.126452;11.448387;76.129032;;
83037;30/11/1966;0000;0;0.455556;3;23.4;;;123.9;8.455556;22;311.8;;964.477778;27.523333;21.711333;16.433333;81.933333;;
83037;31/12/1966;0000;0;0.333333;5;47.8;;;186.5;6.806452;18;269.8;;961.641935;30.322581;23.746452;18.774194;80.209677;;
83037;31/01/1967;0000;0;0.344086;4;47;;;145.5;8.16129;23;353.8;;963.003226;29.796774;23.336129;17.990323;83.508065;;
83037;28/02/1967;0000;0;0.392857;3;48;;;184.6;7.035714;19;199.4;;963.396429;31.153571;24.173571;19.071429;82.732143;;
83037;31/03/1967;0000;0;0.311828;4;47;;;168.3;7.397849;13;154.9;;964.950538;29.53871;23.41871;18.754839;83.983871;;
83037;30/04/1967;0000;0;0.144444;3;44;;;171.5;6.822222;10;22.7;;966.607778;28.403333;21.522;16.586667;82.933333;;
83037;31/05/1967;0000;0;0.182796;4;42.8;;;238.8;4.247312;4;42.3;;968.811828;27.358065;18.792903;13.983871;81.193548;;
83037;30/06/1967;0000;0;0.111111;2;36.7;;;169.6;5.4;4;32.7;;969.683333;25.876667;17.735333;12.406667;83.475;;
83037;31/07/1967;0000;0;0.215054;3;48.2;;;193.7;4.784946;2;22.6;;970.754839;25.296774;17.331613;11.829032;78.935484;;
83037;31/08/1967;0000;0;0.344086;3;70;;;236.3;3.516129;1;1.5;;970.055914;28.212903;18.805161;13.345161;73.040323;;
83037;30/09/1967;0000;0;0.9;3;79.6;;;195.7;3.988889;5;42.1;;968.035556;28.173333;19.881333;12.073333;71.216667;;
83037;31/10/1967;0000;0;0.580645;4;80.3;;;215.2;5.032258;9;48.7;;966.039785;30.158065;22.693548;16.241935;69.991935;;
83037;30/11/1967;0000;0;0.544444;5;52.1;;;123.1;8.366667;22;330.7;;963.396667;27.8;21.579333;16.166667;80.05;;
83037;31/12/1967;0000;0;0.677419;5;49.5;;;94.5;8.655914;21;257;;964.292473;26.590323;21.135484;15.735484;82.717742;;
83037;31/01/1968;0000;0;0.741935;5;58.8;;;236.8;6.612903;14;151.7;;965.354839;30.341935;23.64129;18.448387;77.983871;;
83037;29/02/1968;0000;0;0.896552;5;57.1;;;168.4;7.436782;15;129;;965.388506;29.082759;22.62;16.958621;77.205357;;
83037;31/03/1968;0000;0;0.870968;5;62.9;;;255.5;5.516129;8;84.3;;966.326882;29.919355;22.917419;17.603226;77.137097;;
83037;30/04/1968;0000;0;0.855556;5;53.1;;;157.8;6.550562;6;53.9;;966.503333;26.386667;19.898667;14.576667;79.383333;;
83037;31/05/1968;0000;0;0.83871;5;54;;;230.2;3.494624;3;15.6;;968.953763;25.096774;16.899355;11.441935;77.266129;;
83037;30/06/1968;0000;0;0.677778;3;45.7;;;186.2;4.988889;0;0;;971.98;24.44;15.468;10.026667;79.683333;;
83037;31/07/1968;0000;0;0.817204;4;51.9;;;198.1;5.129032;0;0;;972.797849;24.248387;15.529032;9.951613;77.427419;;
83037;31/08/1968;0000;0;1.139785;5;62;;;171.1;5.569892;5;23.5;;971.136559;24.332258;16.463226;10.467742;75.895161;;
83037;30/09/1968;0000;5;1.233333;5;72.4;;;176.8;5.733333;4;53.6;;969.541111;26.026667;18.374;12.736667;75.491667;;
83037;31/10/1968;0000;5;1.182796;4;55.5;;;118.5;7.516129;14;122.8;;966.867742;25.948387;19.987742;14.467742;79.862903;;
83037;30/11/1968;0000;5;1.588889;9;73.3;;;190.4;6.422222;6;73.8;;964.383333;29.606667;23.192;18.033333;73.525;;
83037;31/12/1968;0000;5;1.010753;4;63.4;;;210.9;6.333333;16;280.3;;964.563441;29.829032;23.212258;17.483871;77.629032;;
83037;31/01/1969;0000;0;1.021505;5;60.9;;;189.6;6.827957;16;276.9;;962.255914;31.345161;24.592903;19.464516;78.467742;;
83037;28/02/1969;0000;0;0.785714;5;54.5;;;180.8;6.345238;10;141.3;;962.9;31.975;25.432143;20.692857;77.571429;;
83037;31/03/1969;0000;5;1.172043;5;49.4;;;210;6.870968;17;182.6;;965.131183;30.332258;22.609032;15.048387;82.596774;;
83037;30/04/1969;0000;0;0.7;5;40.6;;;178.3;5.9;7;36.2;;966.326667;28.05;20.34;12.82;83;;
83037;31/05/1969;0000;0;0.419355;3;50.4;;;189.8;4.935484;3;36.8;;969.036559;26.716129;18.519355;11.306452;83.096774;;
83037;30/06/1969;0000;0;0.677778;3;41.2;;;182.4;4.433333;6;36.3;;970.126667;25.416667;16.954667;10.443333;84.016667;;
83037;31/07/1969;0000;0;0.569892;3;43.7;;;182.9;4.16129;2;18.5;;971.619355;25.270968;16.096129;8.751613;84.451613;;
83037;31/08/1969;0000;0;0.752688;5;54.9;;;170.8;5.301075;2;20.6;;968.86129;26.012903;17.670968;10.832258;80.241935;;
83037;30/09/1969;0000;5;0.88;5;58.6;;;129.4;6.366667;3;42.6;;967.198889;27.92;19.396;12.246667;77.583333;;
83037;31/10/1969;0000;0;0.795699;5;44.6;;;74.9;8.602151;14;162.3;;965.913978;25.641935;19.597419;13.251613;83.032258;;
83037;30/11/1969;0000;0;0.333333;3;47.3;;;109.1;8.022222;12;132.9;;963.27;28.756667;22.134667;15.616667;84.666667;;
