--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83538;31/01/1961;0000;5;4.271739;6;37.9;;;100.4;9.228261;28;520.6;;875.419565;23.229032;19.403226;17.187097;88.596774;;
83538;28/02/1961;0000;14;3.630952;5;62.6;;;184.5;7.452381;9;108.6;;877.014286;25.525;20.779286;17.607143;75.053571;;
83538;31/03/1961;0000;14;3.645161;5;65.8;;;212.5;7.247312;9;60.5;;876.098925;25.332258;20.614839;17.283871;75.854839;;
83538;31/05/1961;0000;14;3.586957;5;65.2;;;199.8;6.282609;4;22.4;;878.152174;22.458065;17.372258;12.132258;72.701613;;
83538;30/06/1961;0000;14;4.155556;6;59.2;;;190.5;6.433333;6;18.6;;880.472222;21.166667;15.620667;9.776667;73.666667;;
83538;31/07/1961;0000;14;4.010753;6;75.9;;;236.7;5.817204;4;8.6;;880.290323;20.735484;15.137419;9.996774;67.580645;;
83538;31/08/1961;0000;14;4.032258;6;110.5;;;279.1;5.83871;0;0;;880.426882;23.206452;16.770968;11.590323;58.008065;;
83538;30/09/1961;0000;5;3.8;6;148;;;270.5;7.166667;0;0;;877.416667;27.776667;21.152667;15.95;50.375;;
83538;31/10/1961;0000;14;4.172043;6;104.7;;;180.9;7.516129;5;64.1;;877.392473;24.654839;19.063871;14.909677;65.370968;;
83538;30/11/1961;0000;14;3.808989;5;96.9;;;207.2;7.855556;8;64;;875.141111;26.693333;21.304;17.086667;66.091667;;
83538;31/12/1961;0000;14;3.83871;6;74;;;162;8.483871;14;89.6;;875.908602;24.767742;19.940645;16.058065;72.508065;;
83538;31/01/1962;0000;5;3.967742;5;38.6;;;113.9;9.397849;28;454.6;;874.239785;24.709677;20.638065;17.86129;84.741935;;
83538;28/02/1962;0000;14;3.72619;6;54.1;;;140.9;8.77381;16;229.9;;875.686905;25.35;20.986429;17.910714;79.928571;;
83538;31/03/1962;0000;14;3.978495;6;61.7;;;177.6;7.580645;13;119.4;;876.03871;24.396774;19.826452;16.767742;79.403226;;
83538;30/04/1962;0000;14;3.577778;5;69;;;219.7;6.288889;6;88.4;;876.69;24.266667;19.292667;15.57;74.666667;;
83538;31/05/1962;0000;5;3.462366;6;63.8;;;229;6.731183;5;31.6;;878.158065;22.380645;17.02129;13.093548;74.354839;;
83538;30/06/1962;0000;14;3.444444;5;65.9;;;231.3;6.022222;1;5.2;;879.648889;20.366667;14.697333;10.573333;72.033333;;
83538;31/07/1962;0000;;;;;;;;;;0;;;;;;;;
83538;31/08/1962;0000;14;3.347826;5;102.3;;;227.9;6.402174;2;5.6;;879.477174;23.219355;17.201935;12.467742;62.604839;;
83538;30/09/1962;0000;14;3.666667;5;79.5;;;174.3;7.522222;7;55.2;;878.977778;23.353333;17.928667;13.976667;70.025;;
83538;31/10/1962;0000;14;4.052632;5;54.6;;;112.1;8.684211;8;101.6;;877.921053;23.6;18.6648;15.108;76.91;;
83538;29/02/1972;0000;;;;;;;;;6;55.4;;;;;;;;
83538;31/03/1972;0000;0;1.236559;5;107.9;;;208.1;6.709677;12;83.6;;870.137634;25.5;20.336552;16.732258;77.975806;;
83538;30/04/1972;0000;23;1.511111;5;83.5;;;180.1;7.533333;15;179;;871.344444;;;14.689655;78.666667;;
83538;31/05/1972;0000;9;1.494382;5;103.4;;;213.2;5.955056;2;18.2;;872.595506;22.034483;16.526207;12.853333;78.068966;;
83538;30/06/1972;0000;0;1.616867;5;104.6;;;209.3;4.421687;1;0.1;;873.627711;22.589286;16.695;12.396429;72.857143;;
83538;31/07/1972;0000;9;2.26087;7;118.5;;;213.5;4.978261;9;36.3;;873.58913;21.413333;15.808;11.496774;71.941667;;
83538;31/08/1972;0000;9;2.010753;5;157.7;;;285.8;4.075269;4;13;;872.036559;23.645161;17.216774;12.125806;66.967742;;
83538;30/09/1972;0000;14;2.455556;7;142.3;;;194.8;6.466667;8;32.6;;873.465556;22.736667;16.950667;12.636667;72.475;;
83538;31/10/1972;0000;36;2.247312;12;131.3;;;196;7.483871;13;140.6;;871.411828;24.929032;19.354839;14.925806;74.508065;;
