--------------------
BDMEP - INMET
--------------------
Estação           : FLORESTAL - MG (OMM: 83581)
Latitude  (graus) : -19.88
Longitude (graus) : -44.41
Altitude  (metros): 760.00
Estação Operante
Inicio de operação: 09/04/1960
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83581;31/01/1961;0000;32;1.402174;5;41.5;;;101.3;8.869565;25;489.2;;926.880435;26.980645;21.645806;18.470968;89.346774;;
83581;28/02/1961;0000;0;0.714286;3;51;;;147.4;7.77381;14;220;;928.759524;28.807143;22.212143;17.710714;84.901786;;
83581;31/03/1961;0000;0;1.365591;9;68.3;;;219.2;6.11828;7;59.1;;929.290323;29.125806;22.024516;16.93871;82.451613;;
83581;30/04/1961;0000;0;0.955556;5;63.6;;;248.5;4.344444;6;67.8;;929.691111;28.943333;20.388;14.15;82.475;;
83581;31/05/1961;0000;0;0.870968;5;57.2;;;229.7;4.784946;3;24.2;;931.998925;26.287097;17.622581;11.435484;83.959677;;
83581;30/06/1961;0000;0;1.122222;5;66.2;;;247.2;3.666667;2;2.2;;934.052222;25.92;16.322667;9.156667;80.733333;;
83581;31/07/1961;0000;9;1.064516;5;82.5;;;265.5;2.83871;;0;;933.880645;26.267742;15.310968;7.358065;77.225806;;
83581;31/08/1961;0000;0;1.16129;5;107.8;;;269;1.462366;0;0;;933.409677;28.874194;16.549677;7.403226;74.153226;;
83581;30/09/1961;0000;0;1.133333;5;136.9;;;232.8;0.733333;;0;;929.208889;32.846667;20.432667;11.643333;76.041667;;
83581;31/10/1961;0000;0;2.021739;7;109.6;;;192.9;3.934783;7;53.6;;929.581522;29.967742;21.026897;14.403333;78.766667;;
83581;30/11/1961;0000;0;1.222222;5;87.9;;;189.1;4.3;15;162.5;;927.405556;30.516667;22.846667;16.993333;79.291667;;
83581;31/12/1961;0000;0;1.225806;5;67.6;;;133.6;6.021505;15;188.9;;928.315054;27.43871;21.465161;16.896774;82.556452;;
83581;31/01/1962;0000;0;0.991398;5;47.9;;;123.7;7.075269;27;428.8;;926.552688;28.658065;22.460645;18.706452;91.193548;;
83581;28/02/1962;0000;0;1;5;47;;;140.8;6.845238;17;127.1;;927.621429;28.582143;22.471429;18.45;92.026786;;
83581;31/03/1962;0000;0;0.827957;3;62.2;;;189.3;5.032258;14;126.6;;928.698925;29.135484;21.927097;16.841935;85.096774;;
83581;30/04/1962;0000;0;0.8;3;64.1;;;234;3.333333;5;82.5;;928.804444;28.58;19.975333;13.783333;84.275;;
83581;31/05/1962;0000;0;0.891304;5;64.1;;;219.1;2.806452;3;10.1;;931.462366;26.112903;16.692258;9.983871;89.266129;;
83581;30/06/1962;0000;14;0.933333;7;62.9;;;245.7;2.344444;4;21;;932.887778;24.516667;13.892667;6.336667;87.258333;;
83581;31/07/1962;0000;0;0.978495;7;79;;;250.2;2.010753;1;3;;933.693548;25.351613;14.329032;6.467742;74.903226;;
83581;31/08/1962;0000;0;1.290323;9;96.8;;;241.3;2.473118;1;4.4;;931.801075;27.922581;16.836129;8.170968;65.548387;;
83581;30/09/1962;0000;0;0.844444;3;85.5;;;195.3;3.988889;7;69.8;;930.521111;27.943333;19.292667;13.033333;71.025;;
83581;31/10/1962;0000;32;0.83871;3;63.1;;;118.1;6.505376;13;142.9;;929.707527;26.345161;20.062581;15.925806;79.451613;;
83581;30/11/1962;0000;0;0.766667;3;68.9;;;200.8;4.622222;14;245.8;;927.511111;28.463333;20.986;15.523333;76.591667;;
83581;31/12/1962;0000;32;0.731183;3;34.6;;;80.6;8.903226;27;662.8;;926.873118;25.63871;21.474839;18.716129;88.443548;;
83581;31/01/1963;0000;0;1.053763;3;76.4;;;249.9;4.419355;11;92.2;;926.795699;29.983871;22.936774;17.377419;77.024194;;
83581;28/02/1963;0000;0;1.154762;4;51.4;;;162.2;5.452381;16;315.8;;928.044048;27.953571;21.981429;17.357143;82.1875;;
83581;31/03/1963;0000;0;1.096774;3;87.3;;;277.1;2.204301;2;35.3;;929.165591;30.890323;22.067097;15.332258;72.241935;;
83581;30/04/1963;0000;0;1.233333;5;85.8;;;238.1;2.766667;6;8.4;;928.777778;29.46;20.318;13.703333;71.958333;;
83581;31/05/1963;0000;32;1.032258;3;85.2;;;242.2;1.193548;2;2.6;;932.397849;26.396774;15.568387;7.722581;72.201613;;
83581;30/06/1963;0000;14;1.488889;5;83.5;;;201.1;2.522222;1;0.2;;933.312222;24.86;14.625333;6.753333;71.425;;
83581;31/07/1963;0000;0;1.010753;3;88.5;;;216.6;1.322581;0;0;;933.016129;25.848387;14.210968;5.812903;72.112903;;
83581;31/08/1963;0000;0;1.271739;5;112.1;;;230.5;1.445652;1;2;;931.52043;28.577419;16.55871;7.919355;63.967742;;
83581;30/09/1963;0000;14;1.47191;5;123.3;;;224.3;1.033708;1;0.1;;930.260674;30.883333;18.984667;9.393333;57.698276;;
83581;31/10/1963;0000;0;1.623656;8;109.2;;;149.5;5.11828;5;32;;928.813978;30.680645;23.037419;16.674194;65.733871;;
83581;30/11/1963;0000;0;1.322222;5;92.9;;;182.4;4.844444;12;111.7;;927.03;30.32;23.484667;17.596667;70.941667;;
83581;31/12/1963;0000;14;1.752688;7;108.4;;;225.8;4.075269;12;80.4;;927.507527;30.203226;22.462581;15.564516;66.879032;;
83581;31/01/1964;0000;14;1.11828;5;39.5;;;96.8;7.924731;29;639;;926.925806;25.877419;21.472258;18.287097;87.233871;;
83581;29/02/1964;0000;9;0.954023;3;46.1;;;129.5;6.965517;19;393.4;;926.524138;27.823529;22.522353;17.768966;87.089286;;
83581;31/03/1964;0000;14;1.204301;9;74.3;;;210;4.043011;6;56.3;;929.703226;28.215789;21.276842;15.409677;76.169355;;
83581;30/04/1964;0000;14;1.577778;13;67.2;;;184.7;3.011111;4;63.9;;929.664444;27.89;20.350667;14.58;76.916667;;
83581;31/05/1964;0000;0;1.172043;7;54.1;;;194.9;3.387097;4;57.5;;931.612903;24.677419;16.987097;11.7;77.991935;;
83581;30/06/1964;0000;0;1.033333;5;68.5;;;219.2;2.244444;3;24;;931.543333;24.396667;15.010667;8.436667;76.916667;;
83581;31/07/1964;0000;14;0.967742;5;53.3;;;213.8;2.989247;7;48.9;;930.930108;22.583871;14.914194;9.293548;78.008065;;
83581;31/08/1964;0000;9;1.311828;5;81.6;;;263.7;2.451613;1;1;;929.291398;25.877419;17.119355;10.274194;69.419355;;
83581;30/09/1964;0000;14;1.377778;7;103.3;;;232.9;2.5;1;3.4;;925.218889;27.833333;19.078;11.946667;63.525;;
83581;31/10/1964;0000;9;1.397849;5;77;;;125.4;7.322581;12;103.3;;921.458065;26.406452;20.666452;16.464516;75.798387;;
83581;30/11/1964;0000;0;1.577778;5;58.6;;;187.9;5.766667;15;322.7;;921.758889;26.183333;20.208667;15.736667;78.341667;;
83581;31/12/1964;0000;14;1.44086;5;60.4;;;134.6;8;23;338.8;;918.284946;26.151613;21.32;18.087097;84.120968;;
83581;31/01/1965;0000;32;1.430108;5;48.9;;;149.6;6.258065;17;320.9;;919.273118;26.167742;21.141935;17.419355;82.879032;;
83581;28/02/1965;0000;0;1.166667;4;36;;;91.9;7.833333;23;473.9;;919.019048;26.407143;21.792857;18.5;85.071429;;
83581;31/03/1965;0000;0;0.924731;5;44.9;;;154;6.258065;19;224.1;;926.439785;27.006452;21.090323;17.093548;83.887097;;
83581;30/04/1965;0000;0;0.977778;5;62.5;;;226;2.811111;4;19.7;;929.421111;28.486667;20.391333;13.893333;73.158333;;
83581;31/05/1965;0000;0;1.150538;7;63.3;;;256.4;2.44086;3;30.5;;930.36129;26.867742;17.368387;7.53871;77.306452;;
83581;30/06/1965;0000;0;1.277778;7;48.1;;;222.1;2.8;0;0;;933.708889;25.363333;15.308667;4.563333;77.15;;
83581;31/07/1965;0000;0;1.365591;12;55;;;214.8;3.376344;1;16.1;;932.3;24.629032;14.980645;4.825806;74.677419;;
83581;31/08/1965;0000;14;1.354839;9;75.2;;;248.4;2.795699;2;36.2;;931.195699;27.190323;16.288387;4.277419;69.5;;
83581;30/09/1965;0000;0;1.292135;7;86.2;;;176;2.833333;3;11;;930.282222;29.766667;19.009333;7.78;65.816667;;
83581;31/10/1965;0000;5;1.126882;9;51.4;;;123.1;7.021505;14;242.3;;928.836559;26.812903;20.156774;15.219355;79.830645;;
83581;30/11/1965;0000;14;1.144444;7;48.3;;;152;6.577778;14;230.4;;927.758889;28.046667;21.288;16.42;79.108333;;
83581;31/12/1965;0000;0;1.516129;9;59;;;190.5;6.268817;18;187.1;;927.636559;30.206452;22.804516;17.890323;77.645161;;
83581;31/01/1966;0000;14;1.688172;7;45.8;;;128.2;6.978495;20;490.3;;927.223656;27.964516;22.012903;17.83871;82.903226;;
83581;28/02/1966;0000;0;1.154762;7;54.4;;;176.7;5.5;10;208.4;;927.896429;29.55;22.609286;17.228571;77.446429;;
83581;31/03/1966;0000;0;1.354839;9;59.6;;;202;5.225806;9;275.6;;928.380645;29.116129;21.821935;16.541935;79.25;;
83581;30/04/1966;0000;0;1.288889;7;64.2;;;225.4;3.511111;6;25.6;;928.657778;28.113333;19.852;13.62;76.316667;;
83581;31/05/1966;0000;0;1.075269;5;65.2;;;177.6;4.666667;4;42.4;;930.606452;26.283871;18.054194;12.822581;78.508065;;
83581;30/06/1966;0000;0;0.811111;5;70.3;;;245.8;1.911111;;0;;931.601111;26.423333;15.294;7.543333;78.416667;;
83581;31/07/1966;0000;0;1.290323;9;81.7;;;236.7;3.032258;;0;;933.291398;25.896774;16.09871;8.758065;75.766129;;
83581;31/08/1966;0000;0;1.301075;7;104;;;241.8;2.365591;0;0;;931.531183;28.296774;17.219355;9.232258;70.080645;;
83581;30/09/1966;0000;0;1.4;7;111.8;;;210.5;3.344444;3;38.7;;930.436667;28.59;18.752667;11.666667;69.116667;;
83581;31/10/1966;0000;0;0.849462;5;78.9;;;176.8;5.870968;13;126.6;;927.634409;29.387097;21.941935;16.380645;74.91129;;
83581;30/11/1966;0000;14;1.177778;7;59.8;;;146.1;6.988889;14;114.1;;927.226667;27.673333;21.119333;16.406667;79.333333;;
83581;31/12/1966;0000;0;1.23913;7;65;;;148;7.204301;18;351.1;;925.473118;28.812903;22.536129;17.983871;80.08871;;
83581;31/01/1967;0000;0;1.107527;5;56.3;;;169.8;7.11828;19;293.8;;926.975269;29.435484;22.492903;17.825806;80.451613;;
83581;28/02/1967;0000;0;1.095238;3;52.1;;;208.4;5.464286;11;160;;927.280952;30.617857;22.911429;17.832143;79.464286;;
83581;31/03/1967;0000;0;1.233333;7;55.3;;;183.2;5.677419;12;72.4;;927.882796;29.564516;22.19871;17.245161;80.08871;;
83581;30/04/1967;0000;0;0.822222;3;55.4;;;181.5;4.022222;6;20.6;;929.598889;28.613333;20.198;14.55;78.8;;
83581;31/05/1967;0000;14;1.032258;5;67.5;;;242.4;2.215054;;0;;931.421505;27.883871;16.813548;9.219355;74.419355;;
83581;30/06/1967;0000;0;0.966667;5;64.9;;;208.3;3.022222;1;2;;932.215556;26.87;16.499333;8.99;76.358333;;
83581;31/07/1967;0000;0;0.709677;5;84.5;;;231;2.677419;;0;;932.545161;26.487097;15.070968;7.145161;71.983871;;
83581;31/08/1967;0000;0;1.462366;7;106.5;;;241.4;2.537634;0;0;;932.462366;28.906452;17.065161;8.174194;65.854839;;
