--------------------
BDMEP - INMET
--------------------
Estação           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Estação Operante
Inicio de operação: 27/03/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83488;30/06/1962;0000;5;;3;;;;;4.728814;;0;;887.323729;23.16;14.914;9.76;;;
83488;31/07/1962;0000;14;1.634409;4;;;;;3.935484;1;7;;887.322581;24.283871;15.69871;9.648387;80.459677;;
83488;31/08/1962;0000;14;1.591398;4;;;;;3.989247;0;0;;886.954839;26.8;17.970323;11.206452;71.540323;;
83488;30/09/1962;0000;32;1.655556;4;;;;;5.188889;4;23.2;;886.77;27.033333;19.154667;13.193333;72.433333;;
83488;31/10/1962;0000;5;1.88172;4;;;;;7.483871;8;133.6;;886.649462;26.348387;20.006452;15.56129;78.645161;;
83488;30/11/1962;0000;32;1.333333;3;;;;;6.577778;9;181.6;;886.321111;27.453333;20.698667;16.06;81.7;;
83488;31/12/1962;0000;5;1.473118;4;;;;;9.204301;26;393.9;;886.386022;24.993548;20.545806;17.754839;88.5;;
83488;31/01/1963;0000;5;1.408602;3;;;;;4.397849;3;32.6;;886.065591;30.464516;22.16129;15.883871;77.120968;;
83488;28/02/1963;0000;5;1.380952;3;;;;;5.666667;6;38.3;;886.202381;28.928571;21.654286;16.728571;78.044643;;
83488;31/03/1963;0000;5;1.182796;4;;;;;3.086022;0;0;;886.244086;30.974194;21.744516;15.154839;73.008065;;
83488;30/04/1963;0000;5;1.4;3;;;;;5.922222;5;37.2;;886.391111;27.553333;20.233333;15.346667;80.683333;;
83488;31/05/1963;0000;5;1.569892;4;;;;;3.462366;0;0;;887.025806;25.283871;16.663226;10.432258;77.879032;;
83488;30/06/1963;0000;5;1.422222;4;;;;;4.388889;2;2.7;;887.275556;24.1;15.789333;9.773333;75.066667;;
83488;31/07/1963;0000;5;1.290323;4;;;;;3.655914;1;3.5;;887.222581;24.419355;15.587097;9.341935;75.459677;;
83488;30/09/1963;0000;5;1.516854;4;;;;;1.168539;;0;;886.631461;29.18;19.737333;12.12;65.5;;
83488;31/10/1963;0000;32;1.27957;3;;;;;1.677419;2;6.6;;886.190323;30.741935;22.76129;16.335484;68.064516;;
83488;30/11/1963;0000;5;1.155556;3;;;;;4.588889;7;110.9;;886.02;30.793333;22.794667;16.946667;72.441667;;
83488;31/12/1963;0000;;;;;;;;;;0;;;;;;;;
83488;30/04/1964;0000;5;;3;;;;;4.428571;1;1.4;;886.4375;27.705263;20.503158;15.273684;;;
83488;31/05/1964;0000;32;1.763441;4;;;;;5.16129;3;14.6;;886.833333;24.774194;18.132903;14.090323;81.096774;;
83488;30/06/1964;0000;14;1.288889;4;;;;;4.255556;0;0;;887.087778;24.74;15.86;9.826667;77.433333;;
83488;31/08/1964;0000;5;1.478261;4;;;;;5.119565;2;10.6;;887.243478;24.129032;16.873548;11.993548;81.645161;;
83488;30/09/1964;0000;5;1.611111;4;;;;;5.577778;1;47.4;;887.001111;25.473333;18.361333;13.82;77.9;;
83488;31/10/1964;0000;32;1.193548;3;;;;;8.258065;14;149.8;;886.495699;26.148387;20.108387;15.980645;82.048387;;
83488;30/11/1964;0000;32;1.333333;4;;;;;9.088889;15;248.6;;886.531111;24.453333;19.412;16.233333;85.75;;
83488;31/12/1964;0000;32;1.27957;3;;;;;8.193548;15;296.1;;886.189247;26.6;20.492903;16.529032;85.903226;;
83488;31/01/1965;0000;5;1.225806;3;;;;;7.365591;10;230.8;;886.288172;27.632258;20.939355;16.625806;83.217742;;
83488;28/02/1965;0000;32;1.333333;5;;;;;7.904762;12;183.3;;886.07381;28.157143;21.481429;17.271429;84.607143;;
83488;31/03/1965;0000;5;1.301075;3;;;;;7.924731;11;125.9;;886.321505;27.135484;20.997419;16.954839;83.879032;;
83488;30/04/1965;0000;5;1.244444;3;;;;;6.655556;6;39.6;;886.463333;26.286667;19.830667;15.64;84.6;;
83488;31/10/1965;0000;9;1.271739;4;;;;;8.369565;13;166;;886.553261;25.606452;19.670968;15.509677;83.491935;;
83488;30/11/1965;0000;32;1.355556;4;;;;;7.533333;16;209.6;;886.372222;26.32;20.432;16.533333;84.116667;;
83488;31/12/1965;0000;5;1.27957;3;;;;;6.354839;5;29;;886.095699;29.806452;22.252903;16.845161;77.983871;;
83488;31/01/1966;0000;32;1.365591;3;;;;;8.301075;13;220.6;;886.203226;27.309677;21.52129;17.858065;85.072581;;
83488;28/02/1966;0000;32;1.392857;4;;;;;6.77381;8;101.3;;886.278571;27.885714;21.22;16.564286;82.169643;;
83488;31/03/1966;0000;5;1.365591;3;;;;;5.860215;3;31.3;;886.263441;28.548387;20.923871;16.374194;81.790323;;
83488;30/04/1966;0000;14;1.277778;4;;;;;5.411111;5;79.1;;886.411111;26.56;19.426667;14.666667;82.758333;;
83488;31/05/1966;0000;5;1.44086;4;;;;;6;4;56.3;;886.830108;24.309677;17.512903;13.325806;84.056452;;
83488;30/06/1966;0000;5;1.3;3;;;;;3.322222;0;0;;887.054444;24.583333;15.962;10.193333;80.741667;;
83488;31/07/1966;0000;5;1.870968;4;;;;;5.516129;0;0;;887.274194;23.154839;16.190968;11.980645;82.129032;;
83488;30/09/1966;0000;5;1.550562;4;;;;;5.820225;3;26.2;;886.847191;26.146667;18.284;12.48;71.933333;;
83488;31/10/1966;0000;36;1.322581;3;;;;;7.688172;7;107.6;;886.376344;27.296774;20.756129;16.341935;80.725806;;
83488;30/11/1966;0000;36;1.277778;4;;;;;7.755556;12;132.8;;886.272222;26.773333;20.510667;16.42;82.658333;;
83488;31/12/1966;0000;5;1.301075;4;;;;;7.494624;16;306.6;;886.047312;27.103226;21.438065;17.429032;84.362903;;
83488;31/01/1967;0000;36;1.16129;3;;;;;6.666667;10;112.1;;886.101075;28.670968;21.872258;17.367742;82.66129;;
83488;28/02/1967;0000;36;1.25;4;;;;;6.190476;5;21.5;;886.042857;29.635714;22.262857;17.514286;81.214286;;
83488;31/03/1967;0000;5;1.043011;3;;;;;5.623656;5;136;;886.092473;29.503226;21.907097;17.258065;80.024194;;
83488;30/04/1967;0000;5;1.233333;10;;;;;6.611111;7;66.9;;886.45;26.393333;19.958667;15.96;84.075;;
83488;31/05/1967;0000;5;1.236559;3;;;;;4.290323;0;0;;886.783871;25.264516;17.72129;13.012903;82.532258;;
83488;30/06/1967;0000;5;1.4;3;;;;;5.355556;0;0;;886.883333;25.28;17.508;12.48;79.325;;
83488;31/07/1967;0000;5;1.322581;3;;;;;5.204301;0;0;;887.187097;23.983871;16.137419;11.212903;78.814516;;
83488;31/08/1967;0000;32;1.473118;4;;;;;4.290323;2;8.8;;887.090323;26.058065;17.020645;10.612903;75.362903;;
83488;30/09/1967;0000;5;1.322222;4;;;;;5.388889;2;20.5;;886.731111;26.56;18.952;13.493333;74.766667;;
83488;31/10/1967;0000;5;1.333333;4;;;;;5.612903;5;71.2;;886.526882;29.064516;20.72129;15;70.822581;;
83488;31/12/1967;0000;5;1.293478;4;;;;;8.597826;16;270.6;;886.346739;25.206452;20.210323;17.206452;87.040323;;
83488;31/01/1968;0000;32;1.225806;4;;;;;6.430108;7;86.2;;886.306452;28.825806;21.463226;16.212903;80.33871;;
