--------------------
BDMEP - INMET
--------------------
Estação           : JANUARIA - MG (OMM: 83386)
Latitude  (graus) : -15.45
Longitude (graus) : -44
Altitude  (metros): 473.71
Estação Operante
Inicio de operação: 19/06/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83386;31/01/1961;0000;9;1.586957;3;42.7;;;135.4;8.706522;23;222.8;;959.903261;29.083871;24.651613;21.006452;81.435484;;
83386;28/02/1961;0000;9;1.880952;5;64.9;;;248.3;4.940476;4;46.5;;960.296429;30.764286;25.938571;20.4;71.133929;;
83386;31/03/1961;0000;9;2.086022;7;87.5;;;293;4.645161;4;45.5;;960.906452;32.158065;26.518065;20.8;69.008065;;
83386;30/04/1961;0000;14;1.977778;5;101.3;;;270.8;4.066667;3;48.7;;960.504444;32.706667;26.221333;20.113333;65.075;;
83386;31/05/1961;0000;9;1.763441;5;89.8;;;276.3;3.967742;2;8.3;;963.390323;31.316129;24.574194;18.2;64.427419;;
83386;30/06/1961;0000;9;2.278889;7;101.9;;;235.7;2.744444;1;0.2;;965.58;29.846667;23.458667;17.006667;61.858333;;
83386;31/07/1961;0000;;;;;;;;;;0;;;;;;;;
83386;31/08/1961;0000;9;2.021739;5;137.4;;;306.4;1.717391;;0;;965.416304;31.832258;23.88129;15.348387;48.459677;;
83386;30/09/1961;0000;9;2.233333;7;180;;;286.9;6.222222;;0;;961.091111;35.793333;27.205333;18.093333;44.95;;
83386;31/10/1961;0000;9;2.580645;8;169.3;;;240.8;5.83871;6;18.2;;961.313978;33.587097;26.861935;19.767742;51.653226;;
83386;30/11/1961;0000;9;2.088889;7;156.5;;;243;6.544444;6;23.6;;959.441111;35.433333;28.461333;21.086667;52.933333;;
83386;31/01/1962;0000;9;1.76087;8;44.9;;;150;8.619565;25;230.7;;959.702174;30.232258;25.242581;21.322581;79.975806;;
83386;28/02/1962;0000;9;1.642857;5;65.3;;;240.8;6.642857;7;20.8;;959.229762;32.042857;26.941429;21.564286;71.482143;;
83386;31/03/1962;0000;9;1.956989;5;92;;;246.9;6.032258;6;12.1;;960.254839;32.348387;26.516129;20.8;67.112903;;
83386;30/04/1962;0000;9;2.3;5;107.5;;;270.1;4.066667;4;22.9;;959.971111;33.446667;26.657333;19.86;58.083333;;
83386;31/05/1962;0000;14;2.193548;6;93.3;;;259.6;4.645161;3;69.6;;962.647312;30.664516;24.170323;17.812903;63;;
83386;30/06/1962;0000;14;2.155556;5;101.3;;;243.8;3.5;0;0;;965.401111;29.746667;22.633333;15.126667;55.458333;;
83386;31/07/1962;0000;14;2.204301;5;116.4;;;280.2;2.354839;0;0;;965.903226;30.180645;22.756129;14.554839;51.693548;;
83386;31/08/1962;0000;9;2.817204;9;143.6;;;290.7;4.333333;0;0;;964.243011;32.445161;25.123871;16.587097;46.330645;;
83386;30/09/1962;0000;14;2.733333;6;154.8;;;243.1;5.555556;4;11.7;;962.751111;33.78;26.528;18.44;48.041667;;
83386;31/10/1962;0000;;;;;;;;;;0;;;;;;;;
83386;30/11/1962;0000;9;1.775281;5;84.9;;;196.6;6.640449;6;123.8;;959.707865;31.94;26.146667;20.666667;66;;
83386;31/12/1962;0000;9;2.315217;5;44.3;;;111.4;8.172043;20;166.7;;960.683871;28.006452;24.127742;20.76129;82.314516;;
83386;31/01/1963;0000;9;2.215054;7;91.8;;;278.7;3.924731;4;99.6;;959.435484;32.348387;27.027742;20.887097;65.725806;;
83386;28/02/1963;0000;9;2.464286;6;73.2;;;227.4;5.904762;8;54;;960.72619;31.571429;26.317143;21.335714;69.776786;;
83386;31/03/1963;0000;9;2.591398;7;139.7;;;306.2;3.827957;1;0.1;;961.197849;35.141935;27.823226;20.509677;55.403226;;
83386;30/04/1963;0000;9;2.311111;5;112.8;;;240;5.666667;4;1.3;;961.381111;33.58;26.86;20.646667;60.808333;;
83386;31/05/1963;0000;14;2.365591;7;107.5;;;259.6;3.301075;1;29.5;;964.647312;30.625806;23.624516;16.8;57.951613;;
83386;30/06/1963;0000;9;2.3;7;105.1;;;223.1;3.266667;0;0;;965.767778;29.406667;22.049333;14.566667;57.525;;
83386;31/08/1963;0000;9;2.76087;7;142.4;;;285.5;2.51087;;0;;963.732609;32.225806;23.930323;15.329032;50.056452;;
83386;30/09/1963;0000;9;3.011111;8;155.2;;;274.6;5.188889;0;0;;962.158889;33.96;26.066667;17.54;48.033333;;
83386;31/10/1963;0000;9;2.580645;7;205.7;;;284.1;7.892473;0;0;;959.902151;37.335484;29.364138;21.380645;46.306452;;
83386;30/11/1963;0000;9;2.4;5;127.6;;;227.5;6.522222;9;75.2;;959.135556;34.793333;27.641429;21.613333;59.883333;;
83386;31/12/1963;0000;;;;;;;;;;0;;;;;;;;
83386;31/01/1964;0000;9;2.279412;5;;;;;9.588235;20;322.7;;959.292647;27.721739;23.914783;21.147826;86.336957;;
83386;29/02/1964;0000;9;2.282759;5;54.1;;;221.4;6.918605;10;169.5;;958.994253;31.331034;26.153103;21.903448;77.75;;
83386;31/03/1964;0000;9;2.569892;9;81.3;;;274.5;4.376344;5;26;;961.778495;31.63871;26.152258;20.632258;69.064516;;
83386;30/04/1964;0000;9;2.755556;5;83.8;;;274.6;3.966667;3;3.8;;962.032222;31.04;25.822667;20.246667;67.6;;
83386;31/05/1964;0000;9;2.215054;5;75.4;;;256.5;4.150538;1;19.4;;963.667742;29.587097;24.027097;18.335484;68.612903;;
83386;30/06/1964;0000;14;2.211111;5;76.6;;;243;2.744444;0;0;;964.563333;29.34;21.720667;14.19;62.816667;;
83386;31/07/1964;0000;9;2.752688;6;87.4;;;;3.88172;2;2.4;;964.821505;29.109677;21.792258;15.522581;62.064516;;
83386;31/08/1964;0000;9;3.150538;8;117.3;;;;3.709677;0;0;;964.751613;30.651613;23.830968;17.167742;54.701613;;
83386;30/09/1964;0000;9;3.255556;7;141.7;;;;4.377778;0;0;;962.777778;32.766667;25.726667;18.786667;50.675;;
83386;31/10/1964;0000;9;2.473118;6;92.2;;;;7.430108;12;111.9;;961.513978;31.812903;25.503226;20.309677;65.669355;;
83386;30/11/1964;0000;9;2.455556;5;51.3;;;;8.788889;18;314.1;;960.066667;28.32;23.858667;20.133333;78.691667;;
83386;31/01/1965;0000;9;2.271739;5;62.2;;;;6.228261;9;110.2;;959.383696;30.232258;24.744516;20.193548;76.475806;;
83386;28/02/1965;0000;9;2.107143;3;51.9;;;;6.369048;12;159.6;;958.45;30.957143;25.491429;21.035714;77.339286;;
83386;31/03/1965;0000;9;2.032258;4;61.4;;;;7.258065;14;103.3;;960.263441;30.36129;24.921935;20.864516;77.395161;;
83386;30/04/1965;0000;9;2.311111;6;64.3;;;;4.677778;1;32.2;;960.575556;31.213333;25.341333;20.166667;72.483333;;
83386;31/05/1965;0000;9;2.328767;5;;;;;4.356164;;0;;962.656164;30.744;24.2425;17.74;66.739583;;
83386;30/06/1965;0000;9;2.566667;7;77.6;;;;4.933333;0;0;;965.703333;29.26;22.729333;16.866667;67.658333;;
83386;31/07/1965;0000;9;2.462366;8;104.2;;;;2.806452;0;0;;964.537634;30.916129;22.668387;15.625806;60.548387;;
83386;30/09/1965;0000;14;2.550562;7;145.8;;;;4.494382;1;5.2;;960.941573;34.253333;26.398667;18.786667;55.291667;;
83386;31/10/1965;0000;9;2.387097;8;89.8;;;;8.268817;12;157;;959.748387;31.2;25.419355;20.432258;71.758065;;
83386;30/11/1965;0000;9;2.377778;5;65.8;;;;6.433333;15;225.7;;958.568889;31.646667;25.432;20.433333;74.091667;;
83386;31/12/1965;0000;14;2.305556;5;;;;;5.527778;6;82;;959.068056;32.375;26.091667;20.708333;69.614583;;
83386;31/01/1966;0000;14;2.290323;4;62.5;;;;7.010753;18;244.2;;958.651613;29.883871;25.092258;21.009677;77.25;;
83386;28/02/1966;0000;9;2.595238;8;58.9;;;;5.738095;12;99.7;;959.414286;29.971429;25.278571;20.714286;73.848214;;
83386;31/03/1966;0000;9;2.526882;5;73.7;;;;4.967742;7;79.2;;959.516129;31.116129;25.443871;20.387097;72.733871;;
83386;30/04/1966;0000;9;2.422222;8;74.9;;;;5.122222;6;51.2;;959.964444;31.06;24.546667;18.993333;72.25;;
83386;31/05/1966;0000;9;;5;;;;;4.904762;3;19.3;;962.869841;29.380952;23.35619;18.152381;;;
83386;30/06/1966;0000;9;2.277778;5;93.1;;;;2.166667;0;0;;963.348889;30.153333;22.017333;14.746667;62.308333;;
83386;31/08/1966;0000;9;2.684783;7;131.5;;;;2.336957;;0;;960.944565;31.767742;23.252258;16.041935;63.556452;;
83386;30/09/1966;0000;9;2.666667;7;130.6;;;;4.255556;3;46.9;;959.736667;32.98;24.762667;17.793333;57.583333;;
83386;28/02/1967;0000;9;2.277108;5;64.8;;;;5.927711;7;26;;957.39759;32.235714;26.292857;21.3;72.669643;;
83386;31/03/1967;0000;9;2.419355;5;81.2;;;;4.83871;9;117.8;;956.617204;33.535484;26.116129;21.103226;74.08871;;
83386;30/04/1967;0000;9;2.288889;5;57.9;;;;6.3;7;81.9;;958.414444;31.286667;24.784667;20.476667;78.208333;;
83386;31/05/1967;0000;9;2.408602;8;90;;;;2.430108;0;0;;960.605376;31.73871;23.718065;17.548387;68.741935;;
83386;30/06/1967;0000;9;2.566667;6;102.5;;;;2.2;0;0;;961.998889;31.273333;22.96;16.513333;66.066667;;
83386;31/10/1967;0000;9;2.793478;8;153.7;;;;4.673913;1;1.5;;958.815217;35.025806;27.197419;20.058065;52.040323;;
83386;30/11/1967;0000;9;2.366667;7;65.2;;;;8.177778;18;223.2;;956.39;30.26;25.028;20.886667;75.925;;
83386;31/12/1967;0000;9;2.225806;5;52.4;;;;7.827957;20;358.2;;956.573118;28.845161;23.988387;20.554839;82.040323;;
83386;31/01/1968;0000;9;2.27957;6;81.4;;;;4.741935;2;7.5;;958.347312;31.393548;25.405161;20.025806;72.653226;;
83386;29/02/1968;0000;9;2.275862;4;42.1;;;;8.436782;19;202.3;;957.610345;28.034483;23.544828;20.317241;81.6875;;
83386;31/03/1968;0000;9;2.430108;7;70.7;;;;4.139785;6;114.9;;958.794624;30.167742;24.651613;19.348387;73.346774;;
83386;31/05/1968;0000;9;2.434783;7;75.7;;;;3.369565;;0;;961.626087;29.367742;21.412903;15.677419;72.508065;;
83386;30/06/1968;0000;9;2.522222;5;85.1;;;;2.755556;0;0;;964.29;27.34;19.441333;14.013333;70.775;;
83386;31/07/1968;0000;9;2.870968;8;107;;;;2.731183;0;0;;963.922581;28.187097;20.656774;14.574194;69.354839;;
83386;31/08/1968;0000;9;2.634409;8;117.2;;;;4.107527;2;1.5;;962.945161;30.23871;22.138065;15.612903;61.83871;;
