--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PINHEIRO - MG (OMM: 83481)
Latitude  (graus) : -17.73
Longitude (graus) : -46.17
Altitude  (metros): 760.36
Estação Operante
Inicio de operação: 09/12/1925
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83481;31/01/1961;0000;32;1.4;5.8;;;;;8.913043;24;557;;925.120652;26.96129;21.685806;16.074194;85.459677;;
83481;28/02/1961;0000;32;1.547619;3;;;;;7.892857;12;138.4;;926.285714;29.128571;23.215714;16.814286;74.883929;;
83481;31/03/1961;0000;14;1.763441;7;;;;;5.956989;7;57;;926.673118;29.309677;23.225806;16.632258;71.870968;;
83481;30/04/1961;0000;14;1.855556;5;;;;;5.288889;9;70.8;;927.02;29.746667;23.048;16.16;68.108333;;
83481;31/05/1961;0000;;;;;;;;;;0;;;;;;;;
83481;30/06/1961;0000;5;1.922472;5;;;;;3.685393;3;2.8;;930.732584;27.013333;19.77;12.496667;64.866667;;
83481;31/07/1961;0000;14;2.059701;5;;;;;3.328358;;0;;931.037313;26.709091;19.274545;12.127273;;;
83481;30/09/1961;0000;;;;;;;;;;0;;;;;;;;
83481;31/10/1961;0000;9;2.11828;7;;;;;7.892473;6;53.8;;926.633333;30.36129;23.588387;16.129032;55.354839;;
83481;30/11/1961;0000;9;1.711111;5;;;;;7.422222;9;113.8;;924.756667;31.873333;24.804;17.353333;61.891667;;
83481;31/12/1961;0000;0;1.849462;5;;;;;8.451613;18;314.2;;925.276344;27.929032;22.141935;16;77.709677;;
83481;31/01/1962;0000;5;1.322581;3;;;;;9.043011;21;320.2;;924.523656;28.025806;22.419355;16.541935;85.032258;;
83481;28/02/1962;0000;5;1.204762;3.2;;;;;8.714286;15;269;;925.395238;29.428571;22.868571;16.514286;81.955357;;
83481;31/03/1962;0000;14;1.580645;3;;;;;7.634409;15;189.2;;925.960215;28.76129;22.63871;16.354839;79.096774;;
83481;30/04/1962;0000;14;1.611111;3;;;;;5.522222;6;30.6;;926.83;29.62;22.442667;15.2;71.833333;;
83481;31/05/1962;0000;14;2.021505;5;;;;;4.311828;1;1.4;;928.832258;27.754839;20.340645;12.922581;69.814516;;
