--------------------
BDMEP - INMET
--------------------
Estação           : MONTE AZUL - MG (OMM: 83388)
Latitude  (graus) : -15.16
Longitude (graus) : -42.86
Altitude  (metros): 625.00
Estação Operante
Inicio de operação: 01/03/1974
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83388;31/03/1974;0000;;;;123.5;;;148.4;7.01087;15;99.2;;;29.590323;24.71913;20.573913;71.403226;;
83388;30/04/1974;0000;;;;180.8;;;257.2;5.111111;5;10.4;;;30.833333;;;59.033333;;
83388;31/05/1974;0000;;;;219.4;;;232.6;4.967742;2;1.2;;;29.916129;;;57.298387;;
83388;30/06/1974;0000;9;2.671111;6.1;228.9;;;276.5;3.277778;0;0;;;29.03;;;51.333333;;
83388;31/07/1974;0000;14;3.278495;8;267.6;;;293.1;3.462366;1;0.2;;;27.158065;;;49.629032;;
83388;31/08/1974;0000;9;3.021505;7.5;281.8;;;291.7;3.548387;2;1.4;;;29.725806;;;47.483871;;
83388;30/09/1974;0000;0;3.586364;9.8;328.7;;;267.6;3.643678;;0;;;31.863333;;;41.325;;
83388;31/10/1974;0000;9;1.894624;8;210.3;;;188.5;5.924731;11;156.3;;;30.73871;24.966316;20.757895;60.741935;;
83388;30/11/1974;0000;9;1.631111;8.3;126.6;;;199.3;6.235955;13;185.5;;;28.316667;23.432;19.706667;70.741667;;
83388;31/12/1974;0000;0;1.76129;9.6;108.9;;;229.4;6.73913;11;169.6;;;29.112903;23.665161;19.632258;72.846774;;
83388;31/01/1975;0000;5;1.505376;5.1;130.4;;;256.5;5.880435;12;127.6;;;30.135484;24.136129;19.919355;69.975806;;
83388;28/02/1975;0000;5;1.146429;5.3;88.4;;;240.8;5.469136;13;106.5;;;30.475;24.147143;19.739286;74.330357;;
83388;31/03/1975;0000;9;1.809677;5.1;201.8;;;275.4;4.795699;7;26.7;;;32.26129;25.774194;21.154839;58.717742;;
83388;30/04/1975;0000;0;1.648889;5.5;119.5;;;195.6;5.633333;11;122.6;;;28.72;23.274667;19.27;72.075;;
83388;31/05/1975;0000;0;2.306593;7.8;199.9;;;291.1;3.408602;2;3.7;;;28.832258;22.538065;17.358065;58.016129;;
83388;30/06/1975;0000;0;2.545556;7.3;213.9;;;250.2;3.322222;0;0;;;28.421053;21.966316;16.946667;53.375;;
83388;31/07/1975;0000;0;2.921505;7.6;228.7;;;254.5;3.354839;0;0;;;;;16.535484;52.935484;;
83388;31/08/1975;0000;9;3.495652;6.3;283.5;;;289.6;3.462366;0;0;;;29.303226;22.887097;17.177419;47.467742;;
83388;30/09/1975;0000;9;3.802222;7;321.2;;;285.1;3.188889;1;0.5;;;30.95;24.362667;18.933333;45.75;;
83388;31/10/1975;0000;0;1.918478;6.3;202.3;;;176.2;6.315217;13;123.7;;;30.873333;25.342667;20.567742;60.072581;;
83388;30/11/1975;0000;0;1.66;5.6;113.7;;;194.9;6.955556;13;199.6;;;29.506667;23.956;19.78;72.933333;;
83388;31/12/1975;0000;0;2.18587;7.1;158.9;;;286.6;5.23913;6;77.5;;;30.56129;;19.629032;;;
83388;31/01/1976;0000;9;2.93871;8.1;335.2;;;;3.247312;0;0;;;34.083871;;21.190323;;;
83388;29/02/1976;0000;18;1.871264;8.3;190.8;;;208.1;5.54023;7;129.4;;;31.462069;;21.117241;;;
83388;31/03/1976;0000;5;2.829213;7.6;287.7;;;280.8;4.354839;2;9.2;;;33.193548;;21.725806;;;
