--------------------
BDMEP - INMET
--------------------
Estação           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83437;31/01/1961;0000;27;0.369565;1;40.8;;;91.4;7.98913;25;956.6;;845.763043;27.796774;23.205806;21.029032;84.919355;;
83437;28/02/1961;0000;0;0.535714;1;74.6;;;195.4;3.416667;2;58.4;;845.925;31.414286;24.447857;20.592857;70.607143;;
83437;31/03/1961;0000;0;0.582796;3;95;;;226.6;2.806452;2;8.1;;845.745161;31.909677;25.105161;21.406452;66.814516;;
83437;30/04/1961;0000;0;0.702222;1;97.5;;;238.9;2.544444;0;0;;850.697778;31.526667;24.319333;20.44;65.291667;;
83437;31/05/1961;0000;0;0.763441;1;90;;;235.5;2.543478;1;0.5;;852.156989;30.051613;22.784516;19.193548;64.096774;;
83437;30/06/1961;0000;0;0.784444;1;87.7;;;230.3;2.433333;1;7;;852.085556;28.336667;20.991333;17.24;64.9;;
83437;31/07/1961;0000;0;0.870968;1;104.4;;;219.9;2.043011;;0;;851.749462;27.56129;20.473548;16.412903;57.604839;;
83437;31/10/1961;0000;18;0.836957;1;133.9;;;222.7;2.836957;4;45.7;;881.808696;31.1;25.127742;22.077419;53.137097;;
83437;30/11/1961;0000;9;0.888889;7;117.8;;;;3.595506;6;102;;;33.053333;;;59.141667;;
83437;31/12/1961;0000;0;0.741935;3;112;;;153.8;4.086022;9;74.9;;;30.8;;;65.83871;;
83437;31/01/1962;0000;0;0.677419;3;62.8;;;121.7;7.301075;24;854.1;;;29.248387;24.190667;21.673333;84.483871;;
83437;28/02/1962;0000;0;0.903614;1;63.8;;;171.4;4.047619;7;45.3;;879.23625;31.9;;;73.116071;;
83437;31/03/1962;0000;14;;1;;;;;3.775862;6;16.4;;877.824138;30.042105;;;;;
83437;30/04/1962;0000;9;0.973034;1.6;88.4;;;220.8;2.831461;4;19.2;;;31.593333;24.435714;21.714286;65.358333;;
83437;31/05/1962;0000;27;1;3;88.3;;;230.5;2.354839;0;0;;877.067391;29.567742;;;64.048387;;
83437;30/06/1962;0000;5;1.011111;3;84.9;;;219;1.9;;0;;876.566667;27.556667;;;62.075;;
83437;31/07/1962;0000;27;0.989247;1;101.2;;;225;1.763441;0;0;;876.560215;27.970968;20.26;16.445161;58.935484;;
83437;31/08/1962;0000;5;0.956989;1;123.7;;;214.4;2.064516;0;0;;;30.354839;;;52.137097;;
83437;30/09/1962;0000;27;1.066667;3;125.9;;;163.8;2.2;3;39;;;31.52;;;55.741667;;
83437;31/10/1962;0000;0;1.086022;3;104;;;158.4;4.322581;8;59;;;30.477419;;;64.048387;;
83437;30/11/1962;0000;18;0.98;3;76.1;;;172.5;4.211111;10;145;;;30.526667;;;70.6;;
83437;31/12/1962;0000;;;;;;;;;;0;;;;;;;;
