--------------------
BDMEP - INMET
--------------------
Estação           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Estação Operante
Inicio de operação: 13/05/1918
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83479;31/07/1973;0000;5;1.914118;6.7;116.1;;;256.3;3.588235;;0;;936.497647;27.464286;19.34;12.746429;65.455357;;
83479;31/08/1973;0000;5;1.46129;5.1;176.9;;;259.8;2.978495;0;0;;935.152688;31.012903;22.234839;14.367742;59.758065;;
83479;30/09/1973;0000;5;2.184444;6.2;185.5;;;187.3;2.822222;5;4.4;;934.906667;31.193333;23.500667;16.426667;64.125;;
83479;31/10/1973;0000;5;1.810753;11.3;86.6;;;130.7;7.774194;20;232.8;;932.232258;27.829032;22.484516;17.483871;77.951613;;
83479;30/11/1973;0000;5;1.786667;11.5;56.5;;;137.2;8.177778;22;295.2;;932.042222;28.673333;23.083333;18.11;84.058333;;
83479;31/12/1973;0000;5;1.578495;5.1;71.4;;;187;8.311828;19;140.5;;932.351613;29.219355;23.465161;17.983871;83.580645;;
83479;31/01/1974;0000;5;1.568817;4.6;76.4;;;222.9;7.569892;13;159.5;;931.955914;29.606452;23.691613;19.06129;83.032258;;
83479;28/02/1974;0000;5;1.661905;5.1;95.5;;;224.4;6.261905;8;93.9;;932.555952;30.075;23.807143;17.45;79.232143;;
83479;31/03/1974;0000;5;1.423656;4.6;47.9;;;99.8;9.107527;25;495.5;;931.707527;27.658065;22.609677;19.322581;91.282258;;
83479;30/04/1974;0000;5;1.274444;3.6;68.3;;;219.1;6.211111;9;94.1;;933.905556;28.643333;22.808;18.516667;81.85;;
83479;31/05/1974;0000;5;1.327957;6.2;81.8;;;245.8;4.946237;2;14.4;;936.03871;27.480645;20.573548;14.051613;81.225806;;
