--------------------
BDMEP - INMET
--------------------
Estação           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Estação Operante
Inicio de operação: 01/10/1918
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83393;29/02/1972;0000;;;;;;;;;1;1.5;;;;;;;;
83393;31/03/1972;0000;32;2.290323;6;149.1;;;248;6.677419;6;34.4;;945.327957;29.645161;22.470588;11.105882;68.854839;;
83393;30/04/1972;0000;14;1.977778;8;106.9;;;199.5;7.366667;6;28.3;;946.537778;28.172727;;;72.725;;
83393;31/05/1972;0000;9;2.344086;7;116;;;217.1;6.913978;6;12.6;;948.101075;26.680645;21.54;17.319355;70.943548;;
83393;30/06/1972;0000;14;2.255556;7;105;;;179;6.311111;4;2.7;;949.948889;26.613333;21.206;16.69;71.641667;;
83393;31/07/1972;0000;14;2.344086;9;111.6;;;224.2;5.989247;10;22.6;;951.147312;26.029032;20.599355;15.719355;73.201613;;
83393;31/08/1972;0000;14;2.236559;7;149.6;;;255.9;5.032258;1;1.8;;949.913978;28.056522;22.210435;16.451613;61.41129;;
83393;30/09/1972;0000;14;2.866667;9;137.6;;;182.8;6.677778;6;43.4;;951.054444;26.293333;21.542667;17.703333;68.741667;;
83393;31/10/1972;0000;9;2.430108;9;144.2;;;199.8;6.569892;7;58.9;;946.965591;28.396774;23.294839;19.203226;70.040323;;
83393;30/11/1972;0000;9;2.022222;9;113.4;;;159.2;8;16;308.9;;946.974444;28.882759;24.166897;20.323333;76.2;;
83393;31/12/1972;0000;14;1.903226;6;100.3;;;168.3;7.419355;13;336;;946.404301;28.145161;23.650323;19.758065;76;;
