--------------------
BDMEP - INMET
--------------------
Estação           : POMPEU - MG (OMM: 83570)
Latitude  (graus) : -19.21
Longitude (graus) : -45
Altitude  (metros): 690.91
Estação Operante
Inicio de operação: 01/11/1972
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83570;31/01/1973;0000;0;0.323077;3.6;;;;;7.015385;12;177.3;;936.146032;31.677273;24.684762;18.986364;;;
83570;28/02/1973;0000;0;0.17619;3.1;72.5;;;229.4;6.142857;9;138.1;;935.653571;31.842857;24.757143;18.907143;74.571429;;
83570;31/03/1973;0000;9;0.334409;2.6;62.2;;;183;6.684783;19;240.2;;935.14086;30.025806;23.943226;19.058065;79.846774;;
83570;30/04/1973;0000;0;0.125556;3.6;73;;;257;4.166667;4;8;;937.17;30.96;23.841333;17.013333;72.9;;
83570;31/05/1973;0000;0;0.17957;2.1;76;;;254.1;3.741935;8;47.4;;938.622581;27.632258;19.694194;12.135484;71.854839;;
83570;30/06/1973;0000;0;0.155556;6;81.5;;;232.4;3.511111;3;24;;938.65;28.093333;19.721333;12.266667;70.775;;
83570;31/07/1973;0000;9;0.287097;6;80.3;;;280.6;2.193548;1;0.5;;940.102151;27.516129;18.778065;9.987097;63.903226;;
83570;31/08/1973;0000;0;0.055914;2.1;117.9;;;;1.698925;1;3;;938.564516;30.580645;21.066452;11.235484;62.806452;;
83570;30/09/1973;0000;0;0.214444;2.1;148.5;;;;3.488889;4;10;;938.67;30.066667;22.078;13.223333;56.725;;
83570;31/10/1973;0000;0;0.010753;1;107;;;136.5;6.010753;15;216;;935.766667;28.677419;21.870968;14.774194;69.193548;;
83570;30/11/1973;0000;0;0.544578;6;69.5;;;174.5;6.650602;18;242.3;;935.03494;28.148148;22.003077;14.571429;76.528846;;
83570;31/12/1973;0000;;;;;;;;;2;36;;;;;;;;
83570;31/01/1974;0000;0;0.084507;1;;;;;6.619718;8;95.1;;934.923944;29.291667;23.156522;16.333333;75.01087;;
83570;28/02/1974;0000;0;;2.1;;;;;6.375;5;61;;935.30625;29.952381;22.784762;15.636364;;;
83570;31/03/1974;0000;0;;2.1;;;;;7.555556;10;123;;934.494444;27.882353;22.703529;18.755556;;;
83570;30/06/1974;0000;;;;;;;;;4;17;;;;;;;;
83570;31/07/1974;0000;0;0.043011;1;106.7;;;271.4;1.860215;0;0;;942;25.193548;17.070968;6.548387;61.862903;;
83570;31/08/1974;0000;0;;2.1;;;;;1;;0;;938.376087;;;8.875;;;
83570;30/09/1974;0000;0;0.181609;2.1;186;;;217.2;2.229885;;0;;937.198851;30.758621;22.640714;11.855172;53.669643;;
83570;31/10/1974;0000;0;0.040789;2.1;;;;;6.746667;15;163;;934.943421;29.341667;22.188333;14.030769;73.03125;;
83570;30/11/1974;0000;0;0.24023;3.1;113.7;;;259.3;4;7;67.5;;933.347126;30.124138;22.944828;14.451724;69.586207;;
83570;31/12/1974;0000;5;1.523529;3.6;71.5;;;134.8;7.588235;21;371.8;;933.929412;27.751724;22.367143;18.628571;82.705357;;
83570;31/01/1975;0000;23;0.808602;2.1;76;;;213.6;6.086022;14;389.5;;934.853763;29.525806;23.528276;18.686207;76.580645;;
83570;28/02/1975;0000;5;0.858333;2.1;71.2;;;213.8;5.738095;9;197.5;;933.753571;30.560714;24.605833;19.941667;76.419643;;
83570;31/03/1975;0000;5;0.883721;2.1;105.2;;;251.4;4.313953;5;26;;935.710465;31.225;24.358571;18.558621;67.517857;;
83570;30/04/1975;0000;14;0.827778;2.1;73;;;224.8;4.822222;7;128;;935.144444;28.166667;21.444138;15.982759;72.183333;;
83570;31/05/1975;0000;5;0.810753;2.1;79;;;260.8;3.83871;4;10;;938.308602;26.829032;19.115484;13.348387;72.666667;;
83570;30/06/1975;0000;14;0.894444;2.1;;;;;3.027778;1;3;;940.525;26.2125;18.1375;11.316667;66.604167;;
83570;31/07/1975;0000;14;0.509524;5;;;;235.6;3.22619;3;22;;940.734524;25.453571;17.311111;10.496296;66.133929;;
