--------------------
BDMEP - INMET
--------------------
Estação           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Estação Operante
Inicio de operação: 04/02/1922
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83736;31/01/1961;0000;0;0.682609;3.7;48;;;134;8.369565;23;249.1;;913.893478;27.632258;22.12;18.441935;81.959677;;
83736;28/02/1961;0000;0;0.578571;9.5;39.5;;;115;8.011905;23;262.9;;916.080952;27.285714;21.63;17.821429;83.366071;;
83736;31/03/1961;0000;14;1.055914;6.2;58.4;;;197.3;5.870968;15;285.2;;916.783871;28.490323;21.383226;16.529032;77.427419;;
83736;30/04/1961;0000;0;0.823333;3.2;47.4;;;165.2;5.388889;9;147.2;;917.052222;27.146667;19.792667;14.263333;79.85;;
83736;31/05/1961;0000;0;0.686022;3.7;45.4;;;199.2;5.053763;8;49.4;;919.398925;25.016129;16.374839;10.541935;81.387097;;
83736;30/06/1961;0000;0;0.765556;4.3;47.6;;;171;5.011111;2;0.7;;921.327778;23.843333;15.155333;9.18;81.091667;;
83736;31/07/1961;0000;0;0.824731;3.3;65.5;;;230.1;2.666667;2;3.3;;921.206452;25.148387;14.061935;6.116129;73.153226;;
83736;31/08/1961;0000;0;0.797849;3.4;82.5;;;248.4;1.827957;1;5;;920.249462;27.8;15.944516;6.845161;67.782258;;
83736;30/09/1961;0000;0;1.122222;4.9;108.5;;;195.9;4.111111;1;0.5;;916.878889;32.03;21.111333;12.833333;62.275;;
83736;31/10/1961;0000;9;0.852688;5.5;93.4;;;201.5;6.516129;10;51.9;;917.051613;29.674194;21.721935;14.974194;64.217742;;
83736;30/11/1961;0000;0;0.916667;3.9;60.4;;;220.4;6.411111;19;151.2;;914.721111;29.506667;22.336;16.906667;72.8;;
83736;31/12/1961;0000;0;0.890323;4.9;50.4;;;160.7;7.634409;21;156.9;;915.621505;27.229032;21.023226;16.706452;79.241935;;
83736;31/01/1962;0000;14;1.126882;5.5;60.4;;;200.1;6.526882;15;184.8;;913.946237;28.729032;22.383871;17.641935;76.669355;;
83736;28/02/1962;0000;14;0.717857;4.6;42;;;160.8;7.833333;21;585.7;;914.761905;28.325;21.849286;17.821429;82.598214;;
83736;31/03/1962;0000;14;0.545161;3.2;56.8;;;194.9;5.365591;14;126.7;;916.168817;28.43871;21.490968;16.603226;78.5;;
83736;30/04/1962;0000;0;0.388889;2.9;55.5;;;200.6;5.055556;10;52.5;;916.963333;27.54;19.190667;13.92;78.558333;;
83736;31/05/1962;0000;0;0.766667;3.7;54.6;;;211.1;3.924731;5;38.8;;919.241935;24.580645;15.691613;9.277419;77.032258;;
83736;30/06/1962;0000;0;0.643333;3.7;48.7;;;190.7;3.744444;4;12.8;;920.862222;22.273333;12.570667;5.613333;77.433333;;
83736;31/07/1962;0000;0;0.651613;6;64.4;;;215.7;2.731183;4;14.7;;921.494624;23.33871;13.443226;5.077419;70.137097;;
83736;31/08/1962;0000;0;0.735484;3.7;85.4;;;234.4;2.709677;2;24.8;;919.724731;26.422581;16.290968;7.367742;65.129032;;
83736;30/09/1962;0000;14;0.804444;5;78.2;;;188.6;5.333333;9;83;;918.557778;26.916667;19.144667;12.993333;70.283333;;
83736;31/10/1962;0000;0;0.383871;3.3;55.1;;;115.7;7.763441;16;225.1;;917.297849;24.322581;19.354839;15.412903;75.951613;;
83736;30/11/1962;0000;0;0.892222;4.6;72.7;;;250.5;5.1;14;231.8;;915.303333;28.63;21.066667;14.603333;69.883333;;
83736;31/12/1962;0000;0;0.72043;3.9;48.3;;;122.9;8.290323;23;491.8;;914.33871;26.877419;21.633548;17.974194;80.782258;;
83736;31/01/1963;0000;0;0.753763;4.6;59.8;;;222.1;5.849462;11;192.1;;914.358065;29.809677;23.312258;18.680645;74.983871;;
83736;28/02/1963;0000;0;0.816667;3.7;49.3;;;193.7;6.916667;17;189.6;;915.875;28.889286;22.145;17.728571;77.464286;;
83736;31/03/1963;0000;0;0.787097;3.7;73.9;;;250.3;4.247312;6;36.2;;917.334409;31;22.811613;16.903226;72.403226;;
83736;30/04/1963;0000;14;0.732222;3.7;69.5;;;228.7;2.366667;2;8.8;;916.972222;28.99;19.084667;11.633333;70.4;;
83736;31/05/1963;0000;0;0.698925;5.5;64.7;;;240.7;1.344086;2;28.9;;920.586022;26.074194;15.096129;6.580645;69.879032;;
83736;30/06/1963;0000;0;0.665169;6.2;57.5;;;229.3;2.2;0;0;;921.33;24.07;13.511333;5.326667;72.216667;;
83736;31/07/1963;0000;0;0.825806;4.9;74.3;;;236.1;1.344086;1;1.2;;920.835484;25.741935;14.445161;5.483871;67.620968;;
83736;31/08/1963;0000;0;0.876344;3.9;83.8;;;225.1;2.83871;2;10.3;;919.62043;27.225806;16.54;7.535484;64.685484;;
83736;30/09/1963;0000;0;0.741111;3.7;114.8;;;217.1;5.077778;1;0.2;;918.106667;31.11;20.224667;10.386667;54.358333;;
83736;31/10/1963;0000;0;0.853763;4.9;85.8;;;169.7;7.913978;15;126.3;;917.030108;29.809677;22.307742;16.574194;66.862903;;
83736;30/11/1963;0000;0;0.604444;3.4;69.6;;;;6.088889;15;103.3;;914.798889;30.176667;22.554;16.86;71.025;;
83736;31/12/1963;0000;0;1.16129;4.9;99.9;;;;4.537634;10;60.5;;915.434409;30.264516;22.129677;15.874194;65.129032;;
83736;31/01/1964;0000;0;0.888172;6.2;54.1;;;167.4;7.129032;20;405.2;;914.298925;27.825806;21.547097;17.535484;78.508065;;
83736;29/02/1964;0000;5;0.598851;3.7;37.9;;;108.1;8.609195;22;472.7;;914.183908;27.662069;21.511724;18.103448;83.474138;;
83736;31/03/1964;0000;0;0.549462;6;66.1;;;205.4;4.311828;8;51.4;;917.848387;28.667742;21.031613;14.864516;72.677419;;
83736;30/04/1964;0000;0;0.591111;3.7;54.3;;;183.9;4.744444;10;44.5;;918.08;28.24;20.908;15.593333;75.858333;;
83736;31/05/1964;0000;14;0.584946;3.4;48.2;;;186.9;4.010753;7;94.4;;919.788172;24.383871;16.287097;10.535484;76.75;;
83736;30/06/1964;0000;0;0.713333;6.2;43.6;;;154.5;4.122222;7;27.3;;919.382222;22.966667;14.673333;8.206667;78.583333;;
83736;31/07/1964;0000;0;0.563441;6;42.3;;;167.6;3.956989;8;53.1;;920.391398;21.36129;13.404516;7.33871;78.548387;;
83736;31/08/1964;0000;0;0.86129;3.4;72.9;;;216.2;3.107527;1;1.4;;920.848387;26.193548;17.347097;9.806452;68.451613;;
83736;30/09/1964;0000;0;0.882222;6.2;90.8;;;212.3;3.488889;6;40.6;;918.943333;27.566667;19.561333;11.74;60.7;;
83736;31/10/1964;0000;0;0.663441;3;57.8;;;145.2;7.258065;20;179.2;;915.907527;25.587097;19.773548;15.012903;75.306452;;
83736;30/11/1964;0000;0;0.836667;5.5;69.4;;;205.8;5.566667;11;107.5;;915.006667;26.683333;20.098667;14.42;71.675;;
83736;31/12/1964;0000;0;0.609677;3.3;47.1;;;134.8;7.849462;23;292.7;;912.890323;26.380645;20.83871;16.864516;80.508065;;
83736;31/01/1965;0000;0;0.594624;3.7;23.9;;;117.9;7.956989;18;333.9;;914.909677;26.193548;20.981935;17.090323;81.991935;;
83736;28/02/1965;0000;0;0.435714;3.9;27.4;;;103.3;8.168675;23;251.3;;913.407143;27.278571;21.885;18.617857;84.678571;;
83736;31/03/1965;0000;0;0.46129;4.9;45.6;;;153;6.268817;20;184.3;;915.889247;26.912903;20.324516;15.916129;81.25;;
83736;30/04/1965;0000;0;0.597778;3.3;54.8;;;184.9;3.577778;5;86.1;;916.755556;26.976667;19.577333;13.97;77.783333;;
83736;31/05/1965;0000;0;0.28172;2.9;41.7;;;151;4.225806;9;113.6;;918.212903;24.932258;17.263226;12.13871;82.08871;;
83736;30/06/1965;0000;0;0.326667;4.2;36.3;;;162.2;4.266667;8;89.9;;921.648889;24.316667;15.785333;10.29;83.116667;;
83736;31/07/1965;0000;0;0.404301;3;46.1;;;153;4.569892;8;56.5;;920.831183;23.225806;15.316129;9.435484;81.104839;;
83736;31/08/1965;0000;0;0.517204;3.9;72;;;225.3;2.903226;4;11.5;;918.984946;26.458065;16.735484;8.219355;69.467742;;
83736;30/09/1965;0000;0;0.361111;3.3;82.8;;;169.1;3.444444;3;60.6;;917.74;28.643333;20.263333;12.94;66.275;;
83736;31/10/1965;0000;0;0.462366;4.6;57.1;;;148.4;6.913978;19;206.6;;915.956989;26.551613;20.143871;15.529032;75.290323;;
83736;30/11/1965;0000;14;0.658889;3.9;57.8;;;155.2;6.422222;14;189;;915.392222;27.63;21.13;15.966667;75.641667;;
83736;31/12/1965;0000;0;0.689247;6;51.7;;;;7.784946;18;353.2;;915.14086;28.558065;22.429677;18.46129;78.25;;
83736;31/01/1966;0000;0;0.427957;3.4;55.6;;;;7.290323;18;434.2;;914.34086;28.648387;22.57871;18.23871;77.991935;;
83736;28/02/1966;0000;0;0.582143;2.9;48.4;;;169.4;6.380952;17;289.8;;915.553571;29.017857;22.947143;18.303571;76.339286;;
83736;31/03/1966;0000;0;0.535484;3.4;54.1;;;193.1;5.892473;15;350.1;;916.394624;28.003226;21.278065;16.412903;79.120968;;
83736;30/04/1966;0000;0;0.468889;3.4;56.7;;;194.7;4.444444;10;76.7;;916.8;27.323333;19.514;13.593333;76.691667;;
83736;31/05/1966;0000;0;0.544086;4.6;41.7;;;164.3;5.698925;12;98.3;;919.062366;24.248387;16.719355;11.283871;81.427419;;
83736;30/06/1966;0000;0;0.596667;4.6;49.2;;;203.3;3;0;0;;919.516667;24.143333;14.651333;7.6;77.991667;;
83736;31/07/1966;0000;14;0.54086;4.6;54.9;;;195.8;4.376344;3;6.9;;921.603226;24.36129;15.24;8.76129;76.169355;;
83736;31/08/1966;0000;0;0.549462;3.7;39.1;;;201;3.387097;4;23;;919.925806;25.693548;16.450323;9.709677;72.66129;;
83736;30/09/1966;0000;0;0.915556;3.7;89.4;;;210.8;3.255556;5;41.3;;918.712222;27.426667;18.098;10.71;63.491667;;
83736;31/10/1966;0000;0;0.758065;3.7;69.6;;;170.9;6.139785;13;118.9;;915.750538;27.680645;20.592903;15.306452;74.064516;;
83736;30/11/1966;0000;0;0.374444;3.2;49.7;;;187.9;6.944444;20;234.5;;915.04;27.216667;20.580667;15.563333;77.341667;;
83736;31/12/1966;0000;0;0.686022;3.7;61.6;;;187.2;6.83871;18;337.6;;912.894624;29.2;22.761935;18.129032;75.975806;;
83736;31/01/1967;0000;5;0.396774;3.4;44;;;156.6;8.075269;28;447.3;;914.406452;28.506452;21.890323;18.064516;82.766129;;
83736;28/02/1967;0000;0;0.342857;4;41.7;;;156.7;6.880952;19;211.7;;914.889286;29.210714;22.463571;18.182143;80.732143;;
83736;31/03/1967;0000;0;0.36129;4;45.4;;;152.3;6.924731;20;194.1;;915.898925;28.26129;21.545806;17.467742;80.951613;;
