--------------------
BDMEP - INMET
--------------------
Estação           : SETE LAGOAS - MG (OMM: 83586)
Latitude  (graus) : -19.46
Longitude (graus) : -44.25
Altitude  (metros): 732.00
Estação Operante
Inicio de operação: 03/05/1926
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83586;31/01/1961;0000;0;1;6;45.1;;;107.2;8.456522;25;688.8;;901.684783;26.429032;21.189032;16.490323;88.564516;;
83586;28/02/1961;0000;0;0.714286;4;74.3;;;185.5;6.785714;11;308.4;;902.990476;29.192857;22.574286;16.689286;83.267857;;
83586;31/03/1961;0000;0;0.924731;5;79;;;242.8;5.053763;13;135.8;;903.221505;29.341935;22.325806;16.135484;83.33871;;
83586;30/04/1961;0000;0;1.146067;5;91.3;;;270.2;3.544444;6;54.3;;903.616667;29.463333;21.304;14.243333;78.9;;
83586;31/05/1961;0000;0;0.677419;5;83.9;;;257.6;3.913978;4;18.7;;905.833333;26.383871;18.896774;11.948387;77.330645;;
83586;30/06/1961;0000;0;1.311111;5;90.1;;;279.5;2.577778;1;1.8;;907.678889;26.336667;18.057333;10.81;75.533333;;
83586;31/07/1961;0000;14;1.290323;5;107.3;;;283.8;2.172043;0;0;;907.711828;26.177419;17.555484;9.941935;69.83871;;
83586;31/08/1961;0000;0;1.434783;8;143.3;;;;1.924731;;0;;906.841935;28.670968;19.22;10.16129;62.137097;;
83586;30/09/1961;0000;0;1.3;7;173.1;;;267.2;4.033333;;0;;903.362222;33.06;23.074667;13.9;57.191667;;
83586;31/10/1961;0000;0;2.096774;9;155.5;;;221.3;5.935484;5;49.5;;903.86129;29.506452;22.071613;15.016129;67.217742;;
83586;30/11/1961;0000;5;1.544444;7;120;;;219.1;6.455556;12;92.8;;901.606667;30.673333;23.58;16.71;71.558333;;
83586;31/12/1961;0000;0;1.010753;7;89.9;;;181.6;7.215054;15;136.8;;902.366667;27.73871;21.969032;16.083871;77.354839;;
83586;31/01/1962;0000;14;0.795699;7;40.8;;;127.2;8.021505;29;492;;901.093548;28.235484;22.287097;17.232258;89.362903;;
83586;28/02/1962;0000;0;0.964286;4;44.8;;;144;7.559524;18;187.4;;901.87381;29.007143;22.614286;16.860714;84.526786;;
83586;31/03/1962;0000;0;1.086022;4;77;;;239.5;5.677419;11;143.4;;902.841935;29.322581;22.380645;16.06129;79.983871;;
83586;30/04/1962;0000;0;1.033333;5;92.5;;;259.4;3.6;3;2.4;;903.512222;29.266667;21.033333;13.746667;76.675;;
83586;31/05/1962;0000;0;1.096774;7;94.2;;;268.7;2.88172;2;3.9;;930.690323;26.996774;18.370323;10.735484;75.112903;;
83586;30/06/1962;0000;14;1.288889;5;92;;;284.7;2.722222;3;20;;933.248889;24.846667;16.094667;8.413333;75.2;;
83586;31/07/1962;0000;0;1.290323;6;110.4;;;298.8;2.591398;1;2;;933.567742;25.629032;16.501935;8.367742;72.758065;;
