--------------------
BDMEP - INMET
--------------------
Estação           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Estação Operante
Inicio de operação: 11/10/1913
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83577;31/01/1961;0000;0;0.637363;3;66.4;;;132.1;7.793478;26;286.3;;927.633696;27.970968;22.56129;18.783871;85.758065;;
83577;28/02/1961;0000;5;0.642857;3;67.7;;;129.8;7.642857;18;417.6;;929.242857;28.925;22.890714;18.553571;81.919643;;
83577;31/03/1961;0000;0;0.451613;3;103.8;;;217.8;5.666667;14;183.9;;930.044086;29.974194;23.024516;18.3;76.137097;;
83577;30/04/1961;0000;0;0.333333;5;105.2;;;201.5;4.877778;7;115.9;;930.386667;29.33;22.484667;17.496667;75.166667;;
83577;31/05/1961;0000;0;0.204301;3;103.7;;;258.3;3.784946;3;73.1;;932.411828;28.245161;20.62129;14.825806;72.129032;;
83577;30/06/1961;0000;0;0.444444;5;124.2;;;230.5;3.3;0;0;;933.997778;27.033333;19.498667;13.65;66.8;;
83577;31/07/1961;0000;0;0.27957;3;171.4;;;270.9;1.903226;0;0;;934.164516;27.941935;19.399355;12.116129;56.741935;;
83577;31/08/1961;0000;0;0.27957;5;220.6;;;282.1;2.27957;1;4.3;;933.074194;30.296774;21.230323;13.587097;49.193548;;
83577;30/09/1961;0000;0;0.755556;5;305.3;;;243.4;1.711111;0;0;;929.498889;34.993333;25.854667;18.586667;44.233333;;
83577;31/10/1961;0000;0;0.473118;3;197.6;;;193.2;6.451613;7;90.7;;929.637634;31.219355;24.082581;18.503226;64.201613;;
83577;30/11/1961;0000;0;0.244444;3;130;;;243.1;6.122222;10;126.1;;927.952222;31.503333;24.576667;18.95;71.35;;
