--------------------
BDMEP - INMET
--------------------
Estação           : UNAI - MG (OMM: 83428)
Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Altitude  (metros): 460.00
Estação Operante
Inicio de operação: 07/04/1976
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83428;31/05/1978;0000;14;1.441758;5;112.2;;;214.2;4.23913;5;32.2;;;28.741935;21.824516;15.980645;74.298387;;
83428;30/06/1978;0000;0;1.183333;5;105.1;;;249.5;2.888889;0;0;;;27.136667;19.480667;12.706667;73.6;;
83428;31/07/1978;0000;0;1.533333;7;127.5;;;260.7;2.788889;1;7.7;;;28.293333;20.232;13.313333;68.15;;
83428;31/08/1978;0000;0;1.365591;9;201.9;;;277.2;1.387097;;0;;;;;12.419355;57.040323;;
83428;30/09/1978;0000;0;2.191111;7;235.5;;;236.4;2.677778;4;17.3;;;;;13.513333;55.216667;;
83428;31/10/1978;0000;0;1.419355;7;190;;;;4.795699;10;121.3;;;;;16.583871;61.233333;;
83428;30/11/1978;0000;0;0.869048;5;119;;;147.1;6.835294;8;75.7;;;;;19.643333;69.1;;
83428;31/12/1978;0000;14;1.173913;12;78.5;;;177.1;6.913043;20;247.2;;;29.265;23.922;18.490323;79.058333;;
83428;31/01/1979;0000;0;1.057471;5;61.8;;;110.9;7.471264;20;410.4;;;29.613793;23.52069;17.844828;81.75;;
83428;28/02/1979;0000;0;1.545455;9;;;;;7.590909;10;154.1;;;30.7;24.718182;19.654545;;;
83428;31/03/1979;0000;0;0.862069;9;96.9;;;183.4;6.333333;10;97.9;;;31.282759;24.642759;19.648276;78.913793;;
83428;30/04/1979;0000;0;0.788235;5;99.3;;;161.2;4.917647;6;89.5;;;30.628571;23.425;17.310714;81.696429;;
83428;31/05/1979;0000;9;1.2;7;131.7;;;;4.105882;6;36.2;;;29.925;21.856429;14.127586;79.276786;;
83428;30/06/1979;0000;5;2.321839;7;133;;;209.8;2.609195;;0;;;27.155172;19.157143;10.825;80.043103;;
83428;31/07/1979;0000;14;1.426667;5;;;;;4.146667;2;2.8;;;28.776;20.2928;12.256;78.5;;
83428;31/08/1979;0000;14;1.293103;7;;;;;4.293103;;0;;;31.721053;22.265263;12.773684;;;
83428;30/09/1979;0000;14;1.546429;7;;;;;5.642857;1;43.6;;;31.878947;24.945263;17.994737;;;
83428;31/10/1979;0000;0;1.381579;9;;;;;5.052632;4;23.4;;;33.148;26.1792;19.108;80.7;;
