--------------------
BDMEP - INMET
--------------------
Estação           : CANARANA - MT (OMM: 83270)
Latitude  (graus) : -13.47
Longitude (graus) : -52.27
Altitude  (metros): 430.00
Estação Operante
Inicio de operação: 04/08/1987
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83270;28/02/1995;0000;0;;;;;;;7.058824;8;84.4;;968.339394;30.268182;;19.375;;;
83270;31/03/1995;0000;;;;;;;;;;0;;;;;;;;
83270;31/05/1997;0000;0;1.156977;9.5;;;;258.3;3.232558;;0;;;31.348387;23.962069;18.680645;69.146552;;
83270;30/06/1997;0000;0;0.724138;6;;;;254.9;2.83908;3;18.4;;;31.2;23.152857;17.033333;65.37963;;
83270;31/07/1997;0000;0;0.844086;4;;;;;2.043011;0;0;;;32.23871;23.365806;15.764516;47.669355;;
83270;31/08/1997;0000;0;1.301075;6;;;;;2.010753;0;0;;;34.677419;25.711613;17.829032;40.306452;;
83270;30/09/1997;0000;0;0.795181;6;;;;;4.168675;6;55.6;;;35.682759;27.253846;21.137931;58.211538;;
83270;30/11/1997;0000;0;0.75;6;;;;;5.848837;11;120.6;;;33.683333;26.895862;22.14;67.482759;;
83270;31/01/1998;0000;;0.583333;;;;;177.7;;20;378.7;;;31.270968;25.479355;21.954839;82.939655;;
83270;28/02/1998;0000;;0.608434;;;;;178.3;;13;195.8;;;32.3;26.254815;22.653571;80.51;;
83270;31/03/1998;0000;;0.244318;;;;;;;12;156.2;;;32.73871;26.13931;22.1;79.724138;;
83270;30/04/1998;0000;;;;;;;;;;0;;;;;;;;
83270;31/05/1998;0000;;0.809783;;;;;236.6;;0;0;;;32.5;25.217419;19.83871;64.943548;;
83270;31/07/1998;0000;;0.426136;;;;;260.4;;;0;;;34.364516;25.142143;17.406452;41.105769;;
83270;31/08/1998;0000;;0.748387;;;;;231.7;;0;0;;;36.474194;27.265806;19.651613;38.290323;;
83270;30/09/1998;0000;;1.129213;;;;;151.1;;4;58.7;;;35.556667;27.371034;20.95;52.974138;;
83270;30/11/1998;0000;;0.397727;;;;;155.4;;17;291.4;;;31.323333;25.176667;21.296667;80.268519;;
83270;31/12/1998;0000;;0.247253;;;;;;;15;161.7;;;30.819355;25.188966;21.76129;82.616071;;
83270;31/01/1999;0000;;0.640449;;;;;;;18;329.7;;;30.625806;24.759333;21.003226;83.224138;;
83270;28/02/1999;0000;;0.22619;;;;;181.9;;15;274.7;;;31.396429;24.751429;21.139286;82.416667;;
83270;31/03/1999;0000;;0.16129;;;;;186.4;;16;256.6;;;31.177419;24.921935;21.325806;84.798387;;
83270;30/04/1999;0000;;0.355556;;;;;246.9;;9;80.7;;;32.056667;25.053333;19.97;74.266667;;
83270;30/09/1999;0000;;0.511236;;;;;204.7;;7;80.8;;;34.623333;26.87;20.943333;58.966667;;
83270;31/10/1999;0000;;0.521505;;;;;;;12;197.6;;;33.722581;26.342581;21.196774;67.66129;;
83270;30/11/1999;0000;;0.666667;;;;;;;16;238.4;;;31.19;24.939333;21.006667;80.939655;;
83270;31/12/1999;0000;;0.38172;;;;;;;18;284.1;;;30.006452;24.707097;21.316129;85.862903;;
