--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINO - MT (OMM: 83309)
Latitude  (graus) : -14.4
Longitude (graus) : -56.45
Altitude  (metros): 286.30
Estação Operante
Inicio de operação: 01/01/1932
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83309;31/01/1961;0000;36;1.467391;7;66.4;;;;2.597826;28;384.1;;977.307609;30.43871;25.046452;22.096774;86.016129;;
83309;28/02/1961;0000;36;1.084337;9;61.8;;;;2.333333;22;236;;978.383333;31.260714;25.285714;21.771429;84.303571;;
83309;31/03/1961;0000;0;1.193548;5;76.9;;;;3.655914;22;346;;978.380645;32.293548;25.583226;21.729032;83.25;;
83309;30/04/1961;0000;36;1.088889;4;80.3;;;;3.655556;11;82;;978.741111;32.35;25.781333;21.87;81.275;;
83309;31/05/1961;0000;0;1.182796;5;88.5;;;;3.408602;8;87.1;;982.219355;31.635484;24.443871;20.093548;79.983871;;
83309;30/06/1961;0000;0;1.644444;7;138.8;;;;2.533333;3;2.7;;980.826667;29.99;21.757333;16.92;72.316667;;
83309;31/07/1961;0000;36;1.731183;9;192.9;;;;2.505376;0;0;;982.193548;31.522581;21.942581;16.174194;64.629032;;
83309;31/08/1961;0000;0;1.548387;7;294.2;;;;1.752688;2;48.3;;980.554839;35.874194;25.374194;18.277419;51.008065;;
83309;30/09/1961;0000;0;1.388889;9;212.9;;;;2.411111;4;9.1;;978.365169;35.79;27.079333;20.93;58.65;;
83309;31/10/1961;0000;0;0.946237;5;152.3;;;;3.204301;15;112.7;;977.826882;33.832258;25.942581;21.096774;71.612903;;
83309;30/11/1961;0000;0;0.677778;3;90.5;;;;3.488889;14;188;;977.391111;32.75;25.833333;21.533333;79.575;;
83309;31/12/1961;0000;36;0.688172;7;74.6;;;;3.172043;20;385.8;;977.593548;30.977419;24.988387;21.635484;84.596774;;
83309;31/01/1962;0000;0;0.903226;7;60.2;;;;2.129032;29;412;;977.434409;30.893548;25.36129;22.33871;86.387097;;
83309;28/02/1962;0000;0;1.214286;5;62.3;;;;3.535714;22;327.6;;977.704762;31.789286;25.546429;22.167857;84.8125;;
83309;31/03/1962;0000;18;1.182796;9;95.9;;;;4.55914;14;67.7;;977.639785;32.380645;25.536774;21.283871;79.653226;;
83309;30/04/1962;0000;0;1.022222;9;71.5;;;;3.733333;17;205.7;;978.973034;31.74;24.816667;21.076667;83.708333;;
83309;31/05/1962;0000;0;1.301075;6;123.5;;;;3.021505;4;13;;981.153763;30.977419;23.284516;18.551613;75.91129;;
83309;30/06/1962;0000;0;1.388889;5;129.7;;;;2.066667;2;8.6;;982.492222;29.816667;21.121333;15.633333;73.483333;;
83309;31/07/1962;0000;0;1.634409;7;164.9;;;;2.677419;0;0;;984.38913;29.429032;20.165161;14.412903;66.822581;;
83309;31/08/1962;0000;0;1.602151;6;242.7;;;;2.483871;2;12.6;;981.068817;34.603226;24.542;17.774194;53.959677;;
83309;30/09/1962;0000;0;1.366667;9;150.2;;;;2.8;9;153.1;;979.304444;34.236667;26.383333;21.26;67.366667;;
83309;31/10/1962;0000;27;1.096774;5;118.7;;;;3.72043;14;123.2;;979.51828;31.625806;24.765806;20.070968;73.677419;;
83309;30/11/1962;0000;0;1.988889;9;149.5;;;;3.8;11;108.5;;977.208889;33.506667;26.198;21.106667;71.533333;;
83309;31/12/1962;0000;0;1.365591;6;66.6;;;;2.763441;27;503.4;;976.272043;30.470968;25.056129;22.151613;85.758065;;
83309;31/01/1963;0000;0;0.774194;6;77.7;;;;3.397849;22;181;;977.548387;31.525806;25.317419;21.796774;83.41129;;
83309;28/02/1963;0000;0;0.878571;6;57;;;;3.285714;25;369.8;;977.870238;30.932143;25.085;21.875;85.946429;;
83309;31/03/1963;0000;0;0.924731;5;80.8;;;;2.924731;20;219.1;;979.066667;32.119355;25.241935;21.445161;82.387097;;
83309;30/04/1963;0000;0;0.544444;3;78.8;;;;3.677778;12;121.5;;978.766667;32.406667;25.294;21.2;81.766667;;
83309;31/05/1963;0000;0;1;5;118.6;;;;2.55914;3;18.3;;981.547312;30.951613;23.04;18.519355;75.637097;;
83309;30/06/1963;0000;0;1.077778;5;146.7;;;;2.311111;1;0.2;;982.62;30.666667;21.47;16.116667;72.358333;;
83309;31/07/1963;0000;0;1.107527;5;214.8;;;;2.053763;1;1;;981.845652;32.06129;21.918065;15.919355;61.975806;;
83309;31/08/1963;0000;0;1.580645;9;296.4;;;;1.870968;0;0;;979.783696;34.870968;25.135484;18.370968;49.491935;;
83309;30/09/1963;0000;0;1.377778;5;273.5;;;;1.033333;3;19.6;;978.39;35.603333;26.693333;20.99;53.025;;
83309;31/10/1963;0000;5;1.311828;9;213.7;;;;1.946237;9;78.2;;977.93;36.216129;27.954194;22.141935;61.725806;;
83309;30/11/1963;0000;0;1.355556;7;129.9;;;;3.522222;14;262.3;;977.12;33.55;26.748;22.143333;72.266667;;
83309;31/12/1963;0000;32;0.946237;5;122.1;;;;2.709677;13;166.2;;977.408602;33.119355;26.414839;22.158065;77.25;;
83309;31/01/1964;0000;36;1.387097;10;71.2;;;;2.752688;23;363.9;;976.795699;31.232258;25.692258;22.648387;85.556452;;
83309;29/02/1964;0000;0;1.068966;7;70.9;;;;2.758621;17;128.4;;976.771264;32.251724;26.033103;22.493103;84.086207;;
83309;31/03/1964;0000;0;0.989247;5;64.7;;;;2.795699;27;225.6;;978.986022;31.632258;25.358065;21.903226;86.298387;;
83309;30/04/1964;0000;27;0.988889;7;96.3;;;;3.6;10;29.3;;979.195506;32.696667;25.657333;21.333333;80.166667;;
83309;31/05/1964;0000;0;0.709677;5;90.9;;;;2.728261;6;62.6;;981.407527;30.612903;23.40129;18.722581;79.629032;;
83309;30/06/1964;0000;0;1.122222;4;140.5;;;;2.111111;0;0;;981.344444;30.49;21.724667;16.33;72.575;;
83309;31/07/1964;0000;0;1.623656;6;175.4;;;;2.301075;2;3.8;;982.110753;31.145161;21.830968;15.845161;63.451613;;
83309;31/08/1964;0000;0;1.752688;6;298.7;;;;3.043011;0;0;;980.164516;35.622581;25.928387;19.641935;48.685484;;
83309;30/09/1964;0000;18;2.011111;7;244.2;;;;2.033333;3;4;;979.211111;34.843333;26.438;20.453333;54.916667;;
83309;31/10/1964;0000;0;1.602151;5;128.1;;;;3.11828;17;249;;978.456989;32.258065;25.432258;21.083871;72.887097;;
83309;30/11/1964;0000;0;1.333333;9;87.5;;;;2.888889;17;344.4;;977.377778;31.516667;25.222;21.356667;79.433333;;
83309;31/12/1964;0000;36;1.043011;5;83.8;;;;2.548387;19;233.7;;976.443011;30.925806;24.950323;21.390323;81.217742;;
83309;31/01/1965;0000;0;1.064516;5;75.5;;;;2.827957;23;269.8;;976.480645;31.087097;25.163871;21.612903;83.959677;;
83309;28/02/1965;0000;0;1.071429;7;62.9;;;;2.369048;22;301.4;;976.525;31.446429;25.14;21.767857;84.383929;;
83309;31/03/1965;0000;0;0.860215;5;73.2;;;;2.053763;21;328.3;;978.655435;30.703226;24.26129;20.641935;84.145161;;
83309;30/04/1965;0000;0;0.933333;5;69.2;;;;2.377778;16;150.1;;978.364444;31.326667;24.651333;20.913333;84.25;;
83309;31/05/1965;0000;0;0.946237;7;98.9;;;;2.569892;1;33.3;;979.817391;31.983871;24.453548;19.974194;78.879032;;
83309;30/06/1965;0000;5;0.933333;5;138.8;;;;2.488889;1;1.7;;982.28;32.52;23.278667;17.606667;71.766667;;
83309;31/07/1965;0000;0;1.784946;7;174.9;;;;1.569892;0;0;;981.77957;32.080645;22.891613;17.606452;66.290323;;
83309;31/08/1965;0000;36;1.666667;7;245.4;;;;2.182796;1;0.2;;980.008602;34.916129;25.100645;18.580645;51.879032;;
83309;30/09/1965;0000;0;1.488889;8;193.8;;;;2.211111;5;96.7;;978.615556;34.436667;26.264667;20.523333;62.066667;;
83309;31/10/1965;0000;0;1.290323;4;110.5;;;;3.16129;15;331.6;;977.924731;32.696774;25.590968;21.158065;77.403226;;
83309;30/11/1965;0000;0;1.177778;6;85.9;;;;2.533333;18;309;;977.083333;32.206667;25.460667;21.403333;81.766667;;
83309;31/12/1965;0000;14;1.215054;5;78.5;;;;2.72043;22;212.6;;977.64086;32.167742;25.464516;21.848387;82.782258;;
83309;31/08/1968;0000;23;1.701493;9;92.3;;;;3.014925;5;61.7;;959.926866;33.795652;24.778182;19.521739;;;
83309;30/09/1968;0000;23;1.822222;9;114.8;;;204.9;2.222222;6;72.9;;963.507778;32.026667;24.420667;19.28;70.783333;;
83309;31/10/1968;0000;0;1.956989;7;94.2;;;;3.88172;10;156.4;;;33.993548;26.544516;21.387097;73.443548;;
83309;30/11/1968;0000;36;1.44;5;91.1;;;236.8;4.393258;14;149.3;;;34.493333;27.04;21.863333;74.733333;;
83309;31/12/1968;0000;5;1.705376;7;52.1;;;115.8;3.537634;24;321.9;;;30.283871;25.126452;22.067742;84.830645;;
83309;31/01/1969;0000;36;1.860215;7;66.7;;;201.4;3.978261;20;281.8;;;31.829032;25.634839;21.606452;80.467742;;
83309;28/02/1969;0000;0;1.714286;5;48;;;145.2;3.785714;17;152.5;;;32.225;25.672857;22.107143;83.160714;;
83309;31/03/1969;0000;0;1.387097;5;57.2;;;205;4.634409;19;191;;;32.864516;25.971613;22.151613;82.282258;;
83309;30/04/1969;0000;5;1.244444;9;60.9;;;205.5;4.566667;10;101.4;;;32.286667;25.640667;21.653333;81.216667;;
83309;31/05/1969;0000;5;1.505376;7;81.9;;;260;3.387097;3;34.5;;;32.06129;24.065806;19.367742;77.129032;;
83309;30/06/1969;0000;0;1.9;7;101.2;;;242.1;3.633333;2;4.2;;;31.003333;22.897333;18.18;72.608333;;
83309;31/07/1969;0000;18;2.139785;12;147.5;;;282.1;2.645161;0;0;;;32.090323;22.260645;16.190323;60.225806;;
83309;31/08/1969;0000;5;2.053763;7;182.3;;;299.2;2.311828;0;0;;;33.935484;23.972258;17.235484;51.612903;;
83309;30/09/1969;0000;36;1.697674;7;134.7;;;182.9;2.732558;2;36.1;;;35.765517;27.575714;21.403571;57.339286;;
83309;31/10/1969;0000;27;2.043011;7;97.5;;;192;4.430108;9;138;;;33.193548;26.134194;21.383871;71.903226;;
83309;30/11/1969;0000;9;1.522222;5;62.7;;;165.5;3.855556;19;252.8;;;32.716667;25.998667;21.923333;79.566667;;
83309;31/12/1969;0000;0;1.591398;7;59.9;;;157.1;3.731183;18;379.9;;;;;21.941935;81.483871;;
83309;31/01/1970;0000;36;1.494624;9;58.7;;;127.1;3.752688;22;344.5;;;;;22.419355;83.564516;;
83309;28/02/1970;0000;5;1.511905;5;44.4;;;120.5;3.309524;18;225.9;;;31.617857;25.540714;22.214286;87.633929;;
83309;31/03/1970;0000;36;1.604396;5;63.8;;;185.3;4.666667;14;148.6;;;32.587097;25.670968;21.53871;81.830645;;
