--------------------
BDMEP - INMET
--------------------
Estação           : PADRE RICARDO REMETTER - MT (OMM: 83364)
Latitude  (graus) : -15.78
Longitude (graus) : -56.06
Altitude  (metros): 140.00
Estação Operante
Inicio de operação: 01/01/1986
Periodo solicitado dos dados: 01/01/1960 a 31/03/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
83364;31/01/1987;0000;;;;82;;;164.8;;17;126.3;;;32.344444;;23.507407;;;
83364;28/02/1987;0000;;;;65;;;;;12;141;;;32.312;;22.892;;;
83364;31/03/1987;0000;;;;66.2;;;;;14;158.2;;;31.580769;;22.146154;;;
83364;30/04/1987;0000;;;;73.3;;;;;10;50.8;;;33;;22.938462;;;
83364;31/05/1987;0000;;;;79.1;;;;;6;8.9;;;31.404545;;20.168182;;;
83364;30/06/1987;0000;;;;54;;;;;6;53.4;;;28.778947;;17.778947;;;
83364;31/07/1987;0000;;;;172.1;;;;;7;1.6;;;33.273077;;18.526923;;;
83364;31/08/1987;0000;;;;108.6;;;;;2;0.2;;;32.821739;;16.869565;;;
83364;30/09/1987;0000;;;;123.3;;;;;2;1.2;;;34.661905;;20.566667;;;
83364;31/10/1987;0000;;;;145.1;;;191.6;;11;137.2;;;35.344444;;23.585185;;;
83364;30/11/1987;0000;;;;86.6;;;171.8;;16;107.7;;;33.014815;;23.807407;;;
83364;31/12/1987;0000;;;;69.7;;;162.8;;21;301.4;;;31.858621;;23.596552;;;
83364;31/01/1988;0000;;;;58.3;;;170.3;;24;221.1;;;32.478571;;23.725;;;
83364;29/02/1988;0000;;;;39.3;;;;;15;193.7;;;31.313636;;23.322727;;;
83364;31/03/1988;0000;;;;58.3;;;;;17;115.2;;;32.468;;23.848;;;
83364;30/04/1988;0000;;;;64.1;;;174;;18;151.9;;;31.482143;;23.5;;;
83364;31/05/1988;0000;;;;42.1;;;;;4;3.1;;;29.809524;;20.895238;;;
83364;30/06/1988;0000;;;;74.7;;;;;3;0.5;;;30.327273;;16.781818;;;
83364;31/07/1988;0000;;;;93.5;;;;;3;1.2;;;29.354167;;13.129167;;;
83364;31/08/1988;0000;;;;113.3;;;;;;0;;;34.523529;;16.182353;;;
83364;30/09/1988;0000;;;;154;;;;;1;3.4;;;35.469565;;19.865217;;;
83364;31/10/1988;0000;;;;159.1;;;;;4;15.4;;;35.2;;22.863636;;;
83364;30/11/1988;0000;;;;117.1;;;;;12;120.5;;;33.281818;;22.995455;;;
83364;31/12/1988;0000;;;;59.3;;;;;14;78.3;;;32.619048;;23.757143;;;
83364;31/01/1989;0000;;;;69.4;;;;;20;193.7;;;31.729167;;22.858333;;;
83364;28/02/1989;0000;;;;59.8;;;;;17;94.6;;;31.475;;23.241667;;;
83364;31/03/1989;0000;;;;53.3;;;166;;16;139.9;;;31.933333;;22.807407;;;
83364;30/04/1989;0000;;;;72.9;;;;;12;125;;;32.3;;23.008;;;
83364;31/05/1989;0000;;;;75.8;;;238.6;;7;45.1;;;30.160714;;18.442857;;;
83364;30/06/1989;0000;;;;97.5;;;;;6;3;;;31.384615;;19.211538;;;
83364;31/07/1989;0000;;;;142.4;;;243.1;;4;24.9;;;31.148148;;14.407407;;;
83364;31/08/1989;0000;;;;94.5;;;;;5;57.7;;;32.213043;;18.882609;;;
83364;30/09/1989;0000;;;;86.3;;;;;1;21.4;;;33.122727;;19.754545;;;
83364;31/10/1989;0000;;;;86.8;;;;;4;24.6;;;34.947619;;21.733333;;;
83364;30/11/1989;0000;;;;84.7;;;219.5;;9;120.9;;;33.818519;;22.52963;;;
83364;31/12/1989;0000;;;;65.8;;;;;21;78.2;;;31.873077;;22.738462;;;
83364;31/01/1990;0000;;;;65.5;;;;;12;137.8;;;32.76087;;23.082609;;;
83364;28/02/1990;0000;;;;37.3;;;;;14;116.1;;;31.404762;;23.261905;;;
83364;31/03/1990;0000;;;;64.3;;;202.2;;13;158.2;;;33.460714;;23.007143;;;
83364;30/04/1990;0000;;;;59.5;;;;;3;14.1;;;33.528571;;23.095238;;;
83364;31/05/1990;0000;;;;42.6;;;;;6;25.3;;;30.858824;;20.917647;;;
83364;30/06/1990;0000;;;;93.9;;;;;3;16.9;;;29.876923;;;;;
83364;31/07/1990;0000;;;;107.4;;;252;;3;5.8;;;29.017241;;;;;
83364;31/08/1990;0000;;;;109.7;;;;;1;1.8;;;34.157895;;;;;
83364;30/09/1990;0000;;;;101.1;;;;;3;60.2;;;31.33125;;19.5;;;
83364;31/10/1990;0000;;;;;;;;;5;125.6;;;;;;;;
83364;30/11/1990;0000;;;;48.6;;;;;8;61.6;;;34.041176;;23.423529;;;
83364;31/12/1990;0000;;;;33.8;;;;;9;163.7;;;32.933333;;23.42;;;
83364;31/01/1992;0000;;;;31.2;;;;;10;106.7;;;32.81875;;23.36875;;;
83364;29/02/1992;0000;;;;30.9;;;;;9;158.1;;;32.106667;;23;;;
83364;31/03/1992;0000;;;;46.3;;;;;9;50.1;;;32.833333;;23.2;;;
83364;30/04/1992;0000;;;;62.7;;;;;9;100.9;;;32.338462;;22.746154;;;
83364;31/05/1992;0000;;;;71;;;;;6;13.7;;;33.370833;;21.716667;;;
83364;30/06/1992;0000;;;;91.3;;;;;;0;;;33.93;;18.655;;;
83364;31/07/1992;0000;;;;65.4;;;;;2;0.5;;;29.92;;14.085;;;
83364;31/08/1992;0000;;;;84.4;;;;;2;1.2;;;33.213043;;18.304348;;;
83364;30/09/1992;0000;;;;62.3;;;;;7;50.3;;;31.38;;19.715;;;
83364;31/10/1992;0000;;;;96;;;191.9;;12;91.7;;;33.375862;;22.624138;;;
83364;30/11/1992;0000;;;;47.5;;;;;7;175.9;;;31.827778;;22.516667;;;
83364;31/12/1992;0000;;;;55.8;;;;;9;68.5;;;32.388235;;23.411765;;;
